Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-01 04:15,17115.35,1,-1641.25,-0.38,-1641.25,-0.82,1181.25,0.28,2366.25,0.55
1,Exit Short,BUY,2021-02-01 07:00,17181.00,1,-1641.25,-0.38,-1641.25,-0.82,1181.25,0.28,2366.25,0.55
2,Entry Long,BUY,2021-02-01 07:00,17181.00,1,3975.00,0.93,2333.75,2,4795.00,1.12,2853.75,0.66
2,Exit Long,BUY_TG_HIT,2021-02-01 07:30,17340.00,1,3975.00,0.93,2333.75,2,4795.00,1.12,2853.75,0.66
3,Entry Short,SELL,2021-02-02 08:30,17340.75,1,985.00,0.23,3318.75,0.49,2493.75,0.58,721.25,0.17
3,Exit Short,INTRADAY_SExit,2021-02-02 09:45,17301.35,1,985.00,0.23,3318.75,0.49,2493.75,0.58,721.25,0.17
4,Entry Long,BUY,2021-02-03 06:00,17320.50,1,-1277.50,-0.3,2041.25,-0.63,0,0,1612.50,0.37
4,Exit Long,SELL,2021-02-03 06:15,17269.40,1,-1277.50,-0.3,2041.25,-0.63,0,0,1612.50,0.37
5,Entry Short,SELL,2021-02-03 06:15,17269.40,1,335.00,0.08,2376.25,0.17,486.25,0.11,831.25,0.19
5,Exit Short,BUY,2021-02-03 07:45,17256.00,1,335.00,0.08,2376.25,0.17,486.25,0.11,831.25,0.19
6,Entry Long,BUY,2021-02-03 07:45,17256.00,1,302.50,0.07,2678.75,0.15,923.75,0.21,73.75,0.02
6,Exit Long,SELL,2021-02-03 08:30,17268.10,1,302.50,0.07,2678.75,0.15,923.75,0.21,73.75,0.02
7,Entry Short,SELL,2021-02-03 08:30,17268.10,1,887.50,0.21,3566.25,0.44,1450.00,0.34,490.00,0.11
7,Exit Short,INTRADAY_SExit,2021-02-03 09:45,17232.60,1,887.50,0.21,3566.25,0.44,1450.00,0.34,490.00,0.11
8,Entry Short,SELL,2021-02-04 04:45,17201.70,1,-248.75,-0.06,3317.50,-0.12,1706.25,0.4,1033.75,0.24
8,Exit Short,BUY,2021-02-04 09:00,17211.65,1,-248.75,-0.06,3317.50,-0.12,1706.25,0.4,1033.75,0.24
9,Entry Long,BUY,2021-02-04 09:00,17211.65,1,-1143.75,-0.27,2173.75,-0.56,12.50,0,1291.25,0.3
9,Exit Long,INTRADAY_BExit,2021-02-04 09:45,17165.90,1,-1143.75,-0.27,2173.75,-0.56,12.50,0,1291.25,0.3
10,Entry Short,SELL,2021-02-05 04:15,17130.00,1,250.00,0.06,2423.75,0.12,2000.00,0.47,1497.50,0.35
10,Exit Short,BUY,2021-02-05 07:45,17120.00,1,250.00,0.06,2423.75,0.12,2000.00,0.47,1497.50,0.35
11,Entry Long,BUY,2021-02-05 07:45,17120.00,1,1372.50,0.32,3796.25,0.68,2246.25,0.52,1177.50,0.28
11,Exit Long,INTRADAY_BExit,2021-02-05 09:45,17174.90,1,1372.50,0.32,3796.25,0.68,2246.25,0.52,1177.50,0.28
12,Entry Short,SELL,2021-02-08 08:00,17222.00,1,-611.25,-0.14,3185.00,-0.3,2466.25,0.57,1666.25,0.39
12,Exit Short,INTRADAY_SExit,2021-02-08 09:45,17246.45,1,-611.25,-0.14,3185.00,-0.3,2466.25,0.57,1666.25,0.39
13,Entry Long,BUY,2021-02-09 04:30,17427.45,1,563.75,0.13,3748.75,0.28,2672.50,0.61,1270.00,0.29
13,Exit Long,SELL,2021-02-09 09:00,17450.00,1,563.75,0.13,3748.75,0.28,2672.50,0.61,1270.00,0.29
14,Entry Short,SELL,2021-02-09 09:00,17450.00,1,2438.75,0.56,6187.50,1.2,4000.00,0.92,0,0
14,Exit Short,INTRADAY_SExit,2021-02-09 09:45,17352.45,1,2438.75,0.56,6187.50,1.2,4000.00,0.92,0,0
15,Entry Short,SELL,2021-02-10 09:30,17163.90,1,-313.75,-0.07,5873.75,-0.15,310.00,0.07,1526.25,0.36
15,Exit Short,INTRADAY_SExit,2021-02-10 09:45,17176.45,1,-313.75,-0.07,5873.75,-0.15,310.00,0.07,1526.25,0.36
16,Entry Long,BUY,2021-02-11 04:15,17270.95,1,3226.25,0.75,9100.00,1.57,3226.25,0.75,773.75,0.18
16,Exit Long,BUY_TG_HIT,2021-02-11 06:15,17400.00,1,3226.25,0.75,9100.00,1.57,3226.25,0.75,773.75,0.18
17,Entry Long,BUY,2021-02-12 04:15,17525.00,1,-3125.00,-0.71,5975.00,-1.49,330.00,0.08,3375.00,0.77
17,Exit Long,SELL,2021-02-12 05:00,17400.00,1,-3125.00,-0.71,5975.00,-1.49,330.00,0.08,3375.00,0.77
18,Entry Short,SELL,2021-02-12 05:00,17400.00,1,2663.75,0.61,8638.75,1.29,3075.00,0.71,1373.75,0.32
18,Exit Short,INTRADAY_SExit,2021-02-12 09:45,17293.45,1,2663.75,0.61,8638.75,1.29,3075.00,0.71,1373.75,0.32
19,Entry Long,BUY,2021-02-15 04:30,17470.00,1,267.50,0.06,8906.25,0.13,1000.00,0.23,2455.00,0.56
19,Exit Long,INTRADAY_BExit,2021-02-15 09:45,17480.70,1,267.50,0.06,8906.25,0.13,1000.00,0.23,2455.00,0.56
20,Entry Short,SELL,2021-02-16 04:15,17309.65,1,2917.50,0.67,11823.75,1.4,3616.25,0.84,1536.25,0.36
20,Exit Short,SELL_TG_HIT,2021-02-16 05:15,17192.95,1,2917.50,0.67,11823.75,1.4,3616.25,0.84,1536.25,0.36
21,Entry Long,BUY,2021-02-16 08:30,17201.65,1,-430.00,-0.1,11393.75,-0.2,2482.50,0.58,472.50,0.11
21,Exit Long,INTRADAY_BExit,2021-02-16 09:45,17184.45,1,-430.00,-0.1,11393.75,-0.2,2482.50,0.58,472.50,0.11
22,Entry Long,BUY,2021-02-17 07:00,16772.35,1,-1918.75,-0.46,9475.00,-0.91,65.00,0.02,2258.75,0.54
22,Exit Long,SELL,2021-02-17 09:00,16695.60,1,-1918.75,-0.46,9475.00,-0.91,65.00,0.02,2258.75,0.54
23,Entry Short,SELL,2021-02-17 09:00,16695.60,1,-1573.75,-0.38,7901.25,-0.75,238.75,0.06,1610.00,0.39
23,Exit Short,INTRADAY_SExit,2021-02-17 09:45,16758.55,1,-1573.75,-0.38,7901.25,-0.75,238.75,0.06,1610.00,0.39
24,Entry Short,SELL,2021-02-18 04:15,16593.70,1,-1617.50,-0.39,6283.75,-0.78,1342.50,0.32,1657.50,0.4
24,Exit Short,BUY,2021-02-18 05:15,16658.40,1,-1617.50,-0.39,6283.75,-0.78,1342.50,0.32,1657.50,0.4
25,Entry Long,BUY,2021-02-18 05:15,16658.40,1,-2302.50,-0.55,3981.25,-1.12,0,0,3677.50,0.88
25,Exit Long,SELL,2021-02-18 06:00,16566.30,1,-2302.50,-0.55,3981.25,-1.12,0,0,3677.50,0.88
26,Entry Short,SELL,2021-02-18 06:00,16566.30,1,3782.50,0.91,7763.75,1.85,4031.25,0.97,83.75,0.02
26,Exit Short,SELL_TG_HIT,2021-02-18 07:15,16415.00,1,3782.50,0.91,7763.75,1.85,4031.25,0.97,83.75,0.02
27,Entry Long,BUY,2021-02-18 08:45,16465.60,1,-1965.00,-0.48,5798.75,-0.95,735.00,0.18,2890.00,0.7
27,Exit Long,INTRADAY_BExit,2021-02-18 09:45,16387.00,1,-1965.00,-0.48,5798.75,-0.95,735.00,0.18,2890.00,0.7
28,Entry Short,SELL,2021-02-19 05:30,16262.00,1,-1575.00,-0.39,4223.75,-0.77,615.00,0.15,2200.00,0.54
28,Exit Short,BUY,2021-02-19 06:30,16325.00,1,-1575.00,-0.39,4223.75,-0.77,615.00,0.15,2200.00,0.54
29,Entry Long,BUY,2021-02-19 06:30,16325.00,1,1915.00,0.47,6138.75,0.94,3426.25,0.84,622.50,0.15
29,Exit Long,INTRADAY_BExit,2021-02-19 09:45,16401.60,1,1915.00,0.47,6138.75,0.94,3426.25,0.84,622.50,0.15
30,Entry Short,SELL,2021-02-22 05:00,16213.60,1,-1035.00,-0.26,5103.75,-0.5,3465.00,0.85,1145.00,0.28
30,Exit Short,BUY,2021-02-22 07:45,16255.00,1,-1035.00,-0.26,5103.75,-0.5,3465.00,0.85,1145.00,0.28
31,Entry Long,BUY,2021-02-22 07:45,16255.00,1,-2633.75,-0.65,2470.00,-1.28,1622.50,0.4,2633.75,0.65
