Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-01 04:00,1293.4,1,-6750.00,-0.35,-6750.00,-2.25,300.00,0.02,8400.00,0.43
1,Exit Short,BUY,2021-02-01 05:30,1297.9,1,-6750.00,-0.35,-6750.00,-2.25,300.00,0.02,8400.00,0.43
2,Entry Long,BUY,2021-02-01 05:30,1297.9,1,-31200.00,-1.6,-37950.00,-10.64,14400.00,0.74,41850.00,2.15
2,Exit Long,SELL,2021-02-01 08:00,1277.1,1,-31200.00,-1.6,-37950.00,-10.64,14400.00,0.74,41850.00,2.15
3,Entry Short,SELL,2021-02-01 08:00,1277.1,1,-28350.00,-1.48,-66300.00,-10.82,6000.00,0.31,28350.00,1.48
3,Exit Short,BUY,2021-02-01 11:15,1296.0,1,-28350.00,-1.48,-66300.00,-10.82,6000.00,0.31,28350.00,1.48
4,Entry Long,BUY,2021-02-01 11:15,1296.0,1,-8850.00,-0.46,-75150.00,-3.79,5700.00,0.29,10500.00,0.54
4,Exit Long,SELL,2021-02-01 13:30,1290.1,1,-8850.00,-0.46,-75150.00,-3.79,5700.00,0.29,10500.00,0.54
5,Entry Short,SELL,2021-02-01 13:30,1290.1,1,-6600.00,-0.34,-81750.00,-2.94,1500.00,0.08,11100.00,0.57
5,Exit Short,INTRADAY_SExit,2021-02-01 17:45,1294.5,1,-6600.00,-0.34,-81750.00,-2.94,1500.00,0.08,11100.00,0.57
6,Entry Short,SELL,2021-02-02 04:15,1292.5,1,4350.00,0.22,-77400.00,1.99,10800.00,0.56,6600.00,0.34
6,Exit Short,BUY,2021-02-02 08:45,1289.6,1,4350.00,0.22,-77400.00,1.99,10800.00,0.56,6600.00,0.34
7,Entry Long,BUY,2021-02-02 08:45,1289.6,1,150.00,0.01,-77250.00,0.07,9600.00,0.5,3600.00,0.19
7,Exit Long,SELL,2021-02-02 14:15,1289.7,1,150.00,0.01,-77250.00,0.07,9600.00,0.5,3600.00,0.19
8,Entry Short,SELL,2021-02-02 14:15,1289.7,1,4650.00,0.24,-72600.00,2.09,9900.00,0.51,3000.00,0.16
8,Exit Short,INTRADAY_SExit,2021-02-02 17:45,1286.6,1,4650.00,0.24,-72600.00,2.09,9900.00,0.51,3000.00,0.16
9,Entry Long,BUY,2021-02-03 05:15,1283.1,1,-9900.00,-0.51,-82500.00,-4.35,1800.00,0.09,10350.00,0.54
9,Exit Long,SELL,2021-02-03 06:30,1276.5,1,-9900.00,-0.51,-82500.00,-4.35,1800.00,0.09,10350.00,0.54
10,Entry Short,SELL,2021-02-03 06:30,1276.5,1,-7350.00,-0.38,-89850.00,-3.38,1350.00,0.07,7500.00,0.39
10,Exit Short,BUY,2021-02-03 07:30,1281.4,1,-7350.00,-0.38,-89850.00,-3.38,1350.00,0.07,7500.00,0.39
11,Entry Long,BUY,2021-02-03 07:30,1281.4,1,4350.00,0.23,-85500.00,2.07,12600.00,0.66,4350.00,0.23
11,Exit Long,SELL,2021-02-03 13:30,1284.3,1,4350.00,0.23,-85500.00,2.07,12600.00,0.66,4350.00,0.23
12,Entry Short,SELL,2021-02-03 13:30,1284.3,1,1050.00,0.05,-84450.00,0.49,5850.00,0.3,6600.00,0.34
12,Exit Short,INTRADAY_SExit,2021-02-03 17:45,1283.6,1,1050.00,0.05,-84450.00,0.49,5850.00,0.3,6600.00,0.34
13,Entry Long,BUY,2021-02-04 06:30,1283.6,1,-1950.00,-0.1,-86400.00,-0.9,7350.00,0.38,3450.00,0.18
13,Exit Long,SELL,2021-02-04 09:45,1282.3,1,-1950.00,-0.1,-86400.00,-0.9,7350.00,0.38,3450.00,0.18
14,Entry Short,SELL,2021-02-04 09:45,1282.3,1,-3000.00,-0.16,-89400.00,-1.4,4650.00,0.24,3900.00,0.2
14,Exit Short,BUY,2021-02-04 13:15,1284.3,1,-3000.00,-0.16,-89400.00,-1.4,4650.00,0.24,3900.00,0.2
15,Entry Long,BUY,2021-02-04 13:15,1284.3,1,-8400.00,-0.44,-97800.00,-3.99,3000.00,0.16,10950.00,0.57
15,Exit Long,SELL,2021-02-04 14:45,1278.7,1,-8400.00,-0.44,-97800.00,-3.99,3000.00,0.16,10950.00,0.57
16,Entry Short,SELL,2021-02-04 14:45,1278.7,1,-6300.00,-0.33,-104100.00,-3.12,300.00,0.02,7950.00,0.41
16,Exit Short,BUY,2021-02-04 16:15,1282.9,1,-6300.00,-0.33,-104100.00,-3.12,300.00,0.02,7950.00,0.41
17,Entry Long,BUY,2021-02-04 16:15,1282.9,1,-600.00,-0.03,-104700.00,-0.31,3900.00,0.2,3450.00,0.18
17,Exit Long,INTRADAY_BExit,2021-02-04 17:45,1282.5,1,-600.00,-0.03,-104700.00,-0.31,3900.00,0.2,3450.00,0.18
18,Entry Long,BUY,2021-02-05 04:00,1293.4,1,10950.00,0.56,-93750.00,5.61,18300.00,0.94,3150.00,0.16
18,Exit Long,SELL,2021-02-05 08:00,1300.7,1,10950.00,0.56,-93750.00,5.61,18300.00,0.94,3150.00,0.16
19,Entry Short,SELL,2021-02-05 08:00,1300.7,1,-10950.00,-0.56,-104700.00,-5.31,900.00,0.05,11700.00,0.6
19,Exit Short,BUY,2021-02-05 12:30,1308.0,1,-10950.00,-0.56,-104700.00,-5.31,900.00,0.05,11700.00,0.6
20,Entry Long,BUY,2021-02-05 12:30,1308.0,1,11850.00,0.6,-92850.00,6.07,13350.00,0.68,3000.00,0.15
20,Exit Long,INTRADAY_BExit,2021-02-05 17:45,1315.9,1,11850.00,0.6,-92850.00,6.07,13350.00,0.68,3000.00,0.15
21,Entry Long,BUY,2021-02-08 04:15,1317.9,1,-1350.00,-0.07,-94200.00,-0.65,2700.00,0.14,5550.00,0.28
21,Exit Long,SELL,2021-02-08 08:15,1317.0,1,-1350.00,-0.07,-94200.00,-0.65,2700.00,0.14,5550.00,0.28
22,Entry Short,SELL,2021-02-08 08:15,1317.0,1,-900.00,-0.05,-95100.00,-0.44,2250.00,0.11,2250.00,0.11
22,Exit Short,BUY,2021-02-08 10:15,1317.6,1,-900.00,-0.05,-95100.00,-0.44,2250.00,0.11,2250.00,0.11
23,Entry Long,BUY,2021-02-08 10:15,1317.6,1,7050.00,0.36,-88050.00,3.44,12150.00,0.61,1650.00,0.08
23,Exit Long,SELL,2021-02-08 16:15,1322.3,1,7050.00,0.36,-88050.00,3.44,12150.00,0.61,1650.00,0.08
24,Entry Short,SELL,2021-02-08 16:15,1322.3,1,-1050.00,-0.05,-89100.00,-0.5,4950.00,0.25,3150.00,0.16
24,Exit Short,INTRADAY_SExit,2021-02-08 17:45,1323.0,1,-1050.00,-0.05,-89100.00,-0.5,4950.00,0.25,3150.00,0.16
25,Entry Long,BUY,2021-02-09 04:45,1337.7,1,-1200.00,-0.06,-90300.00,-0.57,4950.00,0.25,5550.00,0.28
25,Exit Long,SELL,2021-02-09 13:15,1336.9,1,-1200.00,-0.06,-90300.00,-0.57,4950.00,0.25,5550.00,0.28
26,Entry Short,SELL,2021-02-09 13:15,1336.9,1,-2850.00,-0.14,-93150.00,-1.36,13050.00,0.65,3150.00,0.16
26,Exit Short,BUY,2021-02-09 17:30,1338.8,1,-2850.00,-0.14,-93150.00,-1.36,13050.00,0.65,3150.00,0.16
27,Entry Long,BUY,2021-02-09 17:30,1338.8,1,-300.00,-0.01,-93450.00,-0.15,300.00,0.01,900.00,0.04
27,Exit Long,INTRADAY_BExit,2021-02-09 17:45,1338.6,1,-300.00,-0.01,-93450.00,-0.15,300.00,0.01,900.00,0.04
28,Entry Long,BUY,2021-02-10 06:00,1341.5,1,1500.00,0.07,-91950.00,0.73,9600.00,0.48,3000.00,0.15
28,Exit Long,SELL,2021-02-10 08:00,1342.5,1,1500.00,0.07,-91950.00,0.73,9600.00,0.48,3000.00,0.15
29,Entry Short,SELL,2021-02-10 08:00,1342.5,1,-3150.00,-0.16,-95100.00,-1.51,750.00,0.04,4200.00,0.21
29,Exit Short,BUY,2021-02-10 10:30,1344.6,1,-3150.00,-0.16,-95100.00,-1.51,750.00,0.04,4200.00,0.21
30,Entry Long,BUY,2021-02-10 10:30,1344.6,1,6600.00,0.33,-88500.00,3.22,15150.00,0.75,150.00,0.01
30,Exit Long,SELL,2021-02-10 15:30,1349.0,1,6600.00,0.33,-88500.00,3.22,15150.00,0.75,150.00,0.01
31,Entry Short,SELL,2021-02-10 15:30,1349.0,1,-12300.00,-0.61,-100800.00,-5.82,4950.00,0.24,15000.00,0.74
31,Exit Short,INTRADAY_SExit,2021-02-10 17:45,1357.2,1,-12300.00,-0.61,-100800.00,-5.82,4950.00,0.24,15000.00,0.74
32,Entry Long,BUY,2021-02-11 07:00,1355.8,1,-3600.00,-0.18,-104400.00,-1.81,2850.00,0.14,8700.00,0.43
32,Exit Long,SELL,2021-02-11 14:15,1353.4,1,-3600.00,-0.18,-104400.00,-1.81,2850.00,0.14,8700.00,0.43
33,Entry Short,SELL,2021-02-11 14:15,1353.4,1,5850.00,0.29,-98550.00,2.99,7200.00,0.35,6150.00,0.3
