Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-01 09:30,1219.8,1,-2400.00,-0.13,-2400.00,-0.8,1500.00,0.08,4950.00,0.27
1,Exit Long,SELL,2021-01-01 10:15,1218.2,1,-2400.00,-0.13,-2400.00,-0.8,1500.00,0.08,4950.00,0.27
2,Entry Short,SELL,2021-01-01 10:15,1218.2,1,-2700.00,-0.15,-5100.00,-0.91,150.00,0.01,5400.00,0.3
2,Exit Short,BUY,2021-01-01 11:15,1220.0,1,-2700.00,-0.15,-5100.00,-0.91,150.00,0.01,5400.00,0.3
3,Entry Long,BUY,2021-01-01 11:15,1220.0,1,-750.00,-0.04,-5850.00,-0.25,2550.00,0.14,3000.00,0.16
3,Exit Long,SELL,2021-01-01 13:15,1219.5,1,-750.00,-0.04,-5850.00,-0.25,2550.00,0.14,3000.00,0.16
4,Entry Short,SELL,2021-01-01 13:15,1219.5,1,-43050.00,-2.35,-48900.00,-14.64,12750.00,0.7,63750.00,3.49
4,Exit Short,INTRADAY_SExit,2021-01-04 09:15,1248.2,1,-43050.00,-2.35,-48900.00,-14.64,12750.00,0.7,63750.00,3.49
5,Entry Long,BUY,2021-01-04 09:30,1249.5,1,18750.00,1,-30150.00,7.47,30000.00,1.6,0,0
5,Exit Long,SELL,2021-01-04 13:30,1262.0,1,18750.00,1,-30150.00,7.47,30000.00,1.6,0,0
6,Entry Short,SELL,2021-01-04 13:30,1262.0,1,-7650.00,-0.4,-37800.00,-2.83,4350.00,0.23,8100.00,0.43
6,Exit Short,BUY,2021-01-04 16:00,1267.1,1,-7650.00,-0.4,-37800.00,-2.83,4350.00,0.23,8100.00,0.43
7,Entry Long,BUY,2021-01-04 16:00,1267.1,1,-4350.00,-0.23,-42150.00,-1.66,2700.00,0.14,5850.00,0.31
7,Exit Long,SELL,2021-01-04 18:15,1264.2,1,-4350.00,-0.23,-42150.00,-1.66,2700.00,0.14,5850.00,0.31
8,Entry Short,SELL,2021-01-04 18:15,1264.2,1,-10350.00,-0.55,-52500.00,-4.01,1650.00,0.09,12600.00,0.66
8,Exit Short,BUY,2021-01-04 19:00,1271.1,1,-10350.00,-0.55,-52500.00,-4.01,1650.00,0.09,12600.00,0.66
9,Entry Long,BUY,2021-01-04 19:00,1271.1,1,-6150.00,-0.32,-58650.00,-2.48,3750.00,0.2,7050.00,0.37
9,Exit Long,SELL,2021-01-04 21:00,1267.0,1,-6150.00,-0.32,-58650.00,-2.48,3750.00,0.2,7050.00,0.37
10,Entry Short,SELL,2021-01-04 21:00,1267.0,1,-2550.00,-0.13,-61200.00,-1.06,4950.00,0.26,4800.00,0.25
10,Exit Short,BUY,2021-01-04 22:15,1268.7,1,-2550.00,-0.13,-61200.00,-1.06,4950.00,0.26,4800.00,0.25
11,Entry Long,BUY,2021-01-04 22:15,1268.7,1,-1050.00,-0.06,-62250.00,-0.44,4500.00,0.24,2550.00,0.13
