Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-02-15 07:10,15314.35,1,-320.00,-0.04,-320.00,-0.32,32.50,0,617.50,0.08
1,Exit Long,SELL,2021-02-15 07:25,15307.95,1,-320.00,-0.04,-320.00,-0.32,32.50,0,617.50,0.08
2,Entry Short,SELL,2021-02-15 07:25,15307.95,1,-402.50,-0.05,-722.50,-0.4,147.50,0.02,952.50,0.12
2,Exit Short,BUY,2021-02-15 07:35,15316.00,1,-402.50,-0.05,-722.50,-0.4,147.50,0.02,952.50,0.12
3,Entry Long,BUY,2021-02-15 07:35,15316.00,1,-550.00,-0.07,-1272.50,-0.55,415.00,0.05,1512.50,0.2
3,Exit Long,SELL,2021-02-15 08:45,15305.00,1,-550.00,-0.07,-1272.50,-0.55,415.00,0.05,1512.50,0.2
4,Entry Short,SELL,2021-02-15 08:45,15305.00,1,-60.00,-0.01,-1332.50,-0.06,1000.00,0.13,1590.00,0.21
4,Exit Short,INTRADAY_SExit,2021-02-15 09:35,15306.20,1,-60.00,-0.01,-1332.50,-0.06,1000.00,0.13,1590.00,0.21
5,Entry Long,BUY,2021-02-16 04:05,15418.05,1,-1752.50,-0.23,-3085.00,-1.78,347.50,0.05,2102.50,0.27
5,Exit Long,SELL,2021-02-16 05:50,15383.00,1,-1752.50,-0.23,-3085.00,-1.78,347.50,0.05,2102.50,0.27
6,Entry Short,SELL,2021-02-16 05:50,15383.00,1,5185.00,0.67,2100.00,5.35,6845.00,0.89,200.00,0.03
6,Exit Short,BUY,2021-02-16 08:40,15279.30,1,5185.00,0.67,2100.00,5.35,6845.00,0.89,200.00,0.03
7,Entry Long,BUY,2021-02-16 08:40,15279.30,1,2487.50,0.33,4587.50,2.44,2935.00,0.38,355.00,0.05
7,Exit Long,INTRADAY_BExit,2021-02-16 09:35,15329.05,1,2487.50,0.33,4587.50,2.44,2935.00,0.38,355.00,0.05
8,Entry Short,SELL,2021-02-17 04:05,15225.50,1,-1275.00,-0.17,3312.50,-1.22,985.00,0.13,1670.00,0.22
8,Exit Short,BUY,2021-02-17 05:20,15251.00,1,-1275.00,-0.17,3312.50,-1.22,985.00,0.13,1670.00,0.22
9,Entry Long,BUY,2021-02-17 05:20,15251.00,1,1630.00,0.21,4942.50,1.58,3642.50,0.48,250.00,0.03
9,Exit Long,SELL,2021-02-17 07:20,15283.60,1,1630.00,0.21,4942.50,1.58,3642.50,0.48,250.00,0.03
10,Entry Short,SELL,2021-02-17 07:20,15283.60,1,3047.50,0.4,7990.00,2.9,5927.50,0.78,225.00,0.03
10,Exit Short,BUY,2021-02-17 09:25,15222.65,1,3047.50,0.4,7990.00,2.9,5927.50,0.78,225.00,0.03
11,Entry Long,BUY,2021-02-17 09:25,15222.65,1,120.00,0.02,8110.00,0.11,567.50,0.07,527.50,0.07
11,Exit Long,INTRADAY_BExit,2021-02-17 09:35,15225.05,1,120.00,0.02,8110.00,0.11,567.50,0.07,527.50,0.07
12,Entry Short,SELL,2021-02-18 04:25,15206.95,1,-1075.00,-0.14,7035.00,-0.99,205.00,0.03,1365.00,0.18
12,Exit Short,BUY,2021-02-18 04:55,15228.45,1,-1075.00,-0.14,7035.00,-0.99,205.00,0.03,1365.00,0.18
13,Entry Long,BUY,2021-02-18 04:55,15228.45,1,-220.00,-0.03,6815.00,-0.21,1342.50,0.18,295.00,0.04
13,Exit Long,SELL,2021-02-18 05:40,15224.05,1,-220.00,-0.03,6815.00,-0.21,1342.50,0.18,295.00,0.04
14,Entry Short,SELL,2021-02-18 05:40,15224.05,1,4800.00,0.63,11615.00,4.49,7017.50,0.92,205.00,0.03
14,Exit Short,BUY,2021-02-18 07:25,15128.05,1,4800.00,0.63,11615.00,4.49,7017.50,0.92,205.00,0.03
15,Entry Long,BUY,2021-02-18 07:25,15128.05,1,-402.50,-0.05,11212.50,-0.36,1352.50,0.18,3147.50,0.42
15,Exit Long,INTRADAY_BExit,2021-02-18 09:35,15120.00,1,-402.50,-0.05,11212.50,-0.36,1352.50,0.18,3147.50,0.42
16,Entry Long,BUY,2021-02-19 04:45,15094.50,1,-1825.00,-0.24,9387.50,-1.64,2525.00,0.33,2220.00,0.29
16,Exit Long,SELL,2021-02-19 05:35,15058.00,1,-1825.00,-0.24,9387.50,-1.64,2525.00,0.33,2220.00,0.29
17,Entry Short,SELL,2021-02-19 05:35,15058.00,1,-1852.50,-0.25,7535.00,-1.69,352.50,0.05,2340.00,0.31
17,Exit Short,BUY,2021-02-19 06:20,15095.05,1,-1852.50,-0.25,7535.00,-1.69,352.50,0.05,2340.00,0.31
18,Entry Long,BUY,2021-02-19 06:20,15095.05,1,-1312.50,-0.17,6222.50,-1.22,890.00,0.12,1602.50,0.21
18,Exit Long,SELL,2021-02-19 07:05,15068.80,1,-1312.50,-0.17,6222.50,-1.22,890.00,0.12,1602.50,0.21
19,Entry Short,SELL,2021-02-19 07:05,15068.80,1,7662.50,1.02,13885.00,7.21,7817.50,1.04,1785.00,0.24
19,Exit Short,SELL_TG_HIT,2021-02-19 08:45,14915.55,1,7662.50,1.02,13885.00,7.21,7817.50,1.04,1785.00,0.24
20,Entry Long,BUY,2021-02-22 04:05,14990.40,1,-3270.00,-0.44,10615.00,-2.87,430.00,0.06,3620.00,0.48
20,Exit Long,SELL,2021-02-22 04:30,14925.00,1,-3270.00,-0.44,10615.00,-2.87,430.00,0.06,3620.00,0.48
21,Entry Short,SELL,2021-02-22 04:30,14925.00,1,5415.00,0.73,16030.00,4.9,7497.50,1,925.00,0.12
21,Exit Short,BUY,2021-02-22 07:15,14816.70,1,5415.00,0.73,16030.00,4.9,7497.50,1,925.00,0.12
22,Entry Long,BUY,2021-02-22 07:15,14816.70,1,-5007.50,-0.68,11022.50,-4.32,165.00,0.02,5160.00,0.7
22,Exit Long,SELL,2021-02-22 08:15,14716.55,1,-5007.50,-0.68,11022.50,-4.32,165.00,0.02,5160.00,0.7
23,Entry Short,SELL,2021-02-22 08:15,14716.55,1,-577.50,-0.08,10445.00,-0.52,1515.00,0.21,1272.50,0.17
23,Exit Short,BUY,2021-02-22 08:40,14728.10,1,-577.50,-0.08,10445.00,-0.52,1515.00,0.21,1272.50,0.17
