Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-06-22 11:30,15840.75,1,-945.00,-0.12,-945.00,-0.94,115.00,0.01,1287.50,0.16
1,Exit Short,BUY,2021-06-22 11:54,15859.65,1,-945.00,-0.12,-945.00,-0.94,115.00,0.01,1287.50,0.16
2,Entry Long,BUY,2021-06-22 11:54,15859.65,1,-607.50,-0.08,-1552.50,-0.61,482.50,0.06,1387.50,0.17
2,Exit Long,SELL,2021-06-22 12:33,15847.50,1,-607.50,-0.08,-1552.50,-0.61,482.50,0.06,1387.50,0.17
3,Entry Short,SELL,2021-06-22 12:33,15847.50,1,2725.00,0.34,1172.50,2.77,3045.00,0.38,400.00,0.05
3,Exit Short,INTRADAY_SExit,2021-06-22 15:03,15793.00,1,2725.00,0.34,1172.50,2.77,3045.00,0.38,400.00,0.05
4,Entry Long,BUY,2021-06-23 09:33,15797.95,1,-2650.00,-0.34,-1477.50,-2.62,955.00,0.12,3897.50,0.49
4,Exit Long,SELL,2021-06-23 10:21,15744.95,1,-2650.00,-0.34,-1477.50,-2.62,955.00,0.12,3897.50,0.49
5,Entry Short,SELL,2021-06-23 10:21,15744.95,1,-1152.50,-0.15,-2630.00,-1.17,1997.50,0.25,2562.50,0.33
5,Exit Short,BUY,2021-06-23 13:51,15768.00,1,-1152.50,-0.15,-2630.00,-1.17,1997.50,0.25,2562.50,0.33
6,Entry Long,BUY,2021-06-23 13:51,15768.00,1,-1660.00,-0.21,-4290.00,-1.7,1347.50,0.17,2100.00,0.27
6,Exit Long,SELL,2021-06-23 14:30,15734.80,1,-1660.00,-0.21,-4290.00,-1.7,1347.50,0.17,2100.00,0.27
7,Entry Short,SELL,2021-06-23 14:30,15734.80,1,2255.00,0.29,-2035.00,2.36,2890.00,0.37,510.00,0.06
7,Exit Short,INTRADAY_SExit,2021-06-23 15:03,15689.70,1,2255.00,0.29,-2035.00,2.36,2890.00,0.37,510.00,0.06
