Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-01 04:15,14040.15,1,685.00,0.1,685.00,0.69,1690.00,0.24,457.50,0.07
1,Exit Long,INTRADAY_BExit,2021-01-01 09:45,14053.85,1,685.00,0.1,685.00,0.69,1690.00,0.24,457.50,0.07
2,Entry Long,BUY,2021-01-04 04:15,14133.80,1,-3055.00,-0.43,-2370.00,-3.03,380.00,0.05,3490.00,0.49
2,Exit Long,SELL,2021-01-04 05:30,14072.70,1,-3055.00,-0.43,-2370.00,-3.03,380.00,0.05,3490.00,0.49
3,Entry Short,SELL,2021-01-04 05:30,14072.70,1,-1952.50,-0.28,-4322.50,-2,5132.50,0.73,2060.00,0.29
3,Exit Short,BUY,2021-01-04 07:15,14111.75,1,-1952.50,-0.28,-4322.50,-2,5132.50,0.73,2060.00,0.29
4,Entry Long,BUY,2021-01-04 07:15,14111.75,1,2312.50,0.33,-2010.00,2.42,2720.00,0.39,487.50,0.07
4,Exit Long,INTRADAY_BExit,2021-01-04 09:45,14158.00,1,2312.50,0.33,-2010.00,2.42,2720.00,0.39,487.50,0.07
5,Entry Short,SELL,2021-01-05 04:45,14098.00,1,-1372.50,-0.19,-3382.50,-1.4,1050.00,0.15,2007.50,0.28
5,Exit Short,BUY,2021-01-05 05:30,14125.45,1,-1372.50,-0.19,-3382.50,-1.4,1050.00,0.15,2007.50,0.28
6,Entry Long,BUY,2021-01-05 05:30,14125.45,1,5027.50,0.71,1645.00,5.2,5115.00,0.72,632.50,0.09
6,Exit Long,INTRADAY_BExit,2021-01-05 09:45,14226.00,1,5027.50,0.71,1645.00,5.2,5115.00,0.72,632.50,0.09
7,Entry Long,BUY,2021-01-06 04:15,14215.00,1,-935.00,-0.13,710.00,-0.92,1527.50,0.21,2600.00,0.37
7,Exit Long,SELL,2021-01-06 08:15,14196.30,1,-935.00,-0.13,710.00,-0.92,1527.50,0.21,2600.00,0.37
8,Entry Short,SELL,2021-01-06 08:15,14196.30,1,300.00,0.04,1010.00,0.3,5910.00,0.83,652.50,0.09
8,Exit Short,INTRADAY_SExit,2021-01-06 09:45,14190.30,1,300.00,0.04,1010.00,0.3,5910.00,0.83,652.50,0.09
9,Entry Long,BUY,2021-01-07 04:15,14249.25,1,-1717.50,-0.24,-707.50,-1.7,937.50,0.13,2865.00,0.4
9,Exit Long,SELL,2021-01-07 08:15,14214.90,1,-1717.50,-0.24,-707.50,-1.7,937.50,0.13,2865.00,0.4
10,Entry Short,SELL,2021-01-07 08:15,14214.90,1,1292.50,0.18,585.00,1.3,1995.00,0.28,1177.50,0.17
10,Exit Short,INTRADAY_SExit,2021-01-07 09:45,14189.05,1,1292.50,0.18,585.00,1.3,1995.00,0.28,1177.50,0.17
11,Entry Long,BUY,2021-01-08 04:45,14289.75,1,4335.00,0.61,4920.00,4.31,4477.50,0.63,237.50,0.03
11,Exit Long,INTRADAY_BExit,2021-01-08 09:45,14376.45,1,4335.00,0.61,4920.00,4.31,4477.50,0.63,237.50,0.03
12,Entry Long,BUY,2021-01-11 04:15,14471.50,1,777.50,0.11,5697.50,0.74,1357.50,0.19,3527.50,0.49
12,Exit Long,INTRADAY_BExit,2021-01-11 09:45,14487.05,1,777.50,0.11,5697.50,0.74,1357.50,0.19,3527.50,0.49
13,Entry Long,BUY,2021-01-12 04:15,14495.45,1,-1512.50,-0.21,4185.00,-1.43,152.50,0.02,1557.50,0.21
13,Exit Long,SELL,2021-01-12 04:45,14465.20,1,-1512.50,-0.21,4185.00,-1.43,152.50,0.02,1557.50,0.21
14,Entry Short,SELL,2021-01-12 04:45,14465.20,1,-2095.00,-0.29,2090.00,-2.01,160.00,0.02,2177.50,0.3
14,Exit Short,BUY,2021-01-12 05:45,14507.10,1,-2095.00,-0.29,2090.00,-2.01,160.00,0.02,2177.50,0.3
15,Entry Long,BUY,2021-01-12 05:45,14507.10,1,4617.50,0.64,6707.50,4.52,5845.00,0.81,5.00,0
15,Exit Long,INTRADAY_BExit,2021-01-12 09:45,14599.45,1,4617.50,0.64,6707.50,4.52,5845.00,0.81,5.00,0
16,Entry Long,BUY,2021-01-13 04:15,14653.50,1,-1275.00,-0.17,5432.50,-1.19,325.00,0.04,2025.00,0.28
16,Exit Long,SELL,2021-01-13 05:45,14628.00,1,-1275.00,-0.17,5432.50,-1.19,325.00,0.04,2025.00,0.28
17,Entry Short,SELL,2021-01-13 05:45,14628.00,1,595.00,0.08,6027.50,0.56,7600.00,1.04,212.50,0.03
17,Exit Short,INTRADAY_SExit,2021-01-13 09:45,14616.10,1,595.00,0.08,6027.50,0.56,7600.00,1.04,212.50,0.03
18,Entry Short,SELL,2021-01-14 04:15,14525.00,1,-1925.00,-0.27,4102.50,-1.82,1020.00,0.14,2095.00,0.29
18,Exit Short,BUY,2021-01-14 05:15,14563.50,1,-1925.00,-0.27,4102.50,-1.82,1020.00,0.14,2095.00,0.29
