Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-01 04:05,13704.95,1,-22.00,-0.16,-22.00,-0.04,43.20,0.32,22.00,0.16
1,Exit Short,BUY,2021-02-01 04:30,13726.95,1,-22.00,-0.16,-22.00,-0.04,43.20,0.32,22.00,0.16
2,Entry Long,BUY,2021-02-01 04:30,13726.95,1,174.80,1.27,152.80,0.35,174.80,1.27,11.55,0.08
2,Exit Long,BUY_TG_HIT,2021-02-01 06:20,13901.75,1,174.80,1.27,152.80,0.35,174.80,1.27,11.55,0.08
3,Entry Long,BUY,2021-02-01 07:30,14085.90,1,167.95,1.19,320.75,0.33,169.60,1.2,94.85,0.67
3,Exit Long,BUY_TG_HIT,2021-02-01 09:05,14253.85,1,167.95,1.19,320.75,0.33,169.60,1.2,94.85,0.67
4,Entry Long,BUY,2021-02-01 09:10,14260.55,1,18.15,0.13,338.90,0.04,30.15,0.21,29.65,0.21
4,Exit Long,INTRADAY_BExit,2021-02-01 09:35,14278.70,1,18.15,0.13,338.90,0.04,30.15,0.21,29.65,0.21
5,Entry Long,BUY,2021-02-02 04:05,14696.05,1,-14.60,-0.1,324.30,-0.03,35.65,0.24,69.10,0.47
5,Exit Long,SELL,2021-02-02 04:40,14681.45,1,-14.60,-0.1,324.30,-0.03,35.65,0.24,69.10,0.47
6,Entry Short,SELL,2021-02-02 04:40,14681.45,1,154.85,1.05,479.15,0.31,156.35,1.06,4.20,0.03
6,Exit Short,SELL_TG_HIT,2021-02-02 05:15,14526.60,1,154.85,1.05,479.15,0.31,156.35,1.06,4.20,0.03
7,Entry Long,BUY,2021-02-02 07:10,14583.00,1,-35.60,-0.24,443.55,-0.07,6.80,0.05,40.20,0.28
7,Exit Long,SELL,2021-02-02 07:20,14547.40,1,-35.60,-0.24,443.55,-0.07,6.80,0.05,40.20,0.28
8,Entry Short,SELL,2021-02-02 07:20,14547.40,1,-42.15,-0.29,401.40,-0.08,0.55,0,42.60,0.29
8,Exit Short,BUY,2021-02-02 07:35,14589.55,1,-42.15,-0.29,401.40,-0.08,0.55,0,42.60,0.29
9,Entry Long,BUY,2021-02-02 07:35,14589.55,1,47.15,0.32,448.55,0.09,100.30,0.69,20.10,0.14
9,Exit Long,INTRADAY_BExit,2021-02-02 09:35,14636.70,1,47.15,0.32,448.55,0.09,100.30,0.69,20.10,0.14
10,Entry Long,BUY,2021-02-03 04:05,14696.55,1,105.65,0.72,554.20,0.21,132.30,0.9,25.40,0.17
10,Exit Long,SELL,2021-02-03 06:05,14802.20,1,105.65,0.72,554.20,0.21,132.30,0.9,25.40,0.17
11,Entry Short,SELL,2021-02-03 06:05,14802.20,1,-38.25,-0.26,515.95,-0.08,15.05,0.1,41.85,0.28
11,Exit Short,BUY,2021-02-03 07:10,14840.45,1,-38.25,-0.26,515.95,-0.08,15.05,0.1,41.85,0.28
12,Entry Long,BUY,2021-02-03 07:10,14840.45,1,-14.75,-0.1,501.20,-0.03,5.00,0.03,28.85,0.19
12,Exit Long,SELL,2021-02-03 07:35,14825.70,1,-14.75,-0.1,501.20,-0.03,5.00,0.03,28.85,0.19
13,Entry Short,SELL,2021-02-03 07:35,14825.70,1,-40.05,-0.27,461.15,-0.08,1.25,0.01,41.40,0.28
13,Exit Short,BUY,2021-02-03 07:55,14865.75,1,-40.05,-0.27,461.15,-0.08,1.25,0.01,41.40,0.28
14,Entry Long,BUY,2021-02-03 07:55,14865.75,1,-45.80,-0.31,415.35,-0.09,3.10,0.02,61.40,0.41
14,Exit Long,SELL,2021-02-03 08:45,14819.95,1,-45.80,-0.31,415.35,-0.09,3.10,0.02,61.40,0.41
15,Entry Short,SELL,2021-02-03 08:45,14819.95,1,22.60,0.15,437.95,0.04,42.95,0.29,45.50,0.31
15,Exit Short,INTRADAY_SExit,2021-02-03 09:35,14797.35,1,22.60,0.15,437.95,0.04,42.95,0.29,45.50,0.31
16,Entry Long,BUY,2021-02-04 05:00,14762.85,1,-38.60,-0.26,399.35,-0.08,1.30,0.01,48.10,0.33
16,Exit Long,SELL,2021-02-04 05:20,14724.25,1,-38.60,-0.26,399.35,-0.08,1.30,0.01,48.10,0.33
17,Entry Short,SELL,2021-02-04 05:20,14724.25,1,-14.00,-0.1,385.35,-0.03,1.65,0.01,14.45,0.1
17,Exit Short,BUY,2021-02-04 05:30,14738.25,1,-14.00,-0.1,385.35,-0.03,1.65,0.01,14.45,0.1
