Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-01-11 10:40,14423.05,50,-722.50,-0.1,-722.50,-1.44,1435.00,0.2,1597.50,0.22
1,Exit Short,BUY,2021-01-11 12:50,14437.50,50,-722.50,-0.1,-722.50,-1.44,1435.00,0.2,1597.50,0.22
2,Entry Long,BUY,2021-01-11 12:50,14437.50,50,2117.50,0.29,1395.00,4.3,2540.00,0.35,915.00,0.13
2,Exit Long,INTRADAY_BExit,2021-01-11 15:05,14479.85,50,2117.50,0.29,1395.00,4.3,2540.00,0.35,915.00,0.13
3,Entry Short,SELL,2021-01-13 11:30,14574.15,50,2272.50,0.31,3667.50,4.42,6922.50,0.95,762.50,0.1
3,Exit Short,BUY,2021-01-13 14:35,14528.70,50,2272.50,0.31,3667.50,4.42,6922.50,0.95,762.50,0.1
4,Entry Long,BUY,2021-01-13 14:35,14528.70,50,2460.00,0.34,6127.50,4.58,2460.00,0.34,767.50,0.11
4,Exit Long,INTRADAY_BExit,2021-01-13 15:05,14577.90,50,2460.00,0.34,6127.50,4.58,2460.00,0.34,767.50,0.11
5,Entry Short,SELL,2021-01-14 09:45,14494.40,50,-3652.50,-0.5,2475.00,-6.51,1145.00,0.16,4150.00,0.57
5,Exit Short,BUY,2021-01-14 11:15,14567.45,50,-3652.50,-0.5,2475.00,-6.51,1145.00,0.16,4150.00,0.57
6,Entry Long,BUY,2021-01-14 11:15,14567.45,50,1505.00,0.21,3980.00,2.87,2517.50,0.35,565.00,0.08
6,Exit Long,INTRADAY_BExit,2021-01-14 15:05,14597.55,50,1505.00,0.21,3980.00,2.87,2517.50,0.35,565.00,0.08
7,Entry Short,SELL,2021-01-15 09:40,14532.95,50,382.50,0.05,4362.50,0.71,4355.00,0.6,902.50,0.12
7,Exit Short,BUY,2021-01-15 12:35,14525.30,50,382.50,0.05,4362.50,0.71,4355.00,0.6,902.50,0.12
8,Entry Long,BUY,2021-01-15 12:35,14525.30,50,-2805.00,-0.39,1557.50,-5.16,787.50,0.11,4355.00,0.6
8,Exit Long,SELL,2021-01-15 14:00,14469.20,50,-2805.00,-0.39,1557.50,-5.16,787.50,0.11,4355.00,0.6
9,Entry Short,SELL,2021-01-15 14:00,14469.20,50,2045.00,0.28,3602.50,3.97,5567.50,0.77,0,0
9,Exit Short,INTRADAY_SExit,2021-01-15 15:05,14428.30,50,2045.00,0.28,3602.50,3.97,5567.50,0.77,0,0
10,Entry Long,BUY,2021-01-18 13:45,14342.45,50,-70.00,-0.01,3532.50,-0.13,3062.50,0.43,1135.00,0.16
10,Exit Long,SELL,2021-01-18 14:45,14341.05,50,-70.00,-0.01,3532.50,-0.13,3062.50,0.43,1135.00,0.16
11,Entry Short,SELL,2021-01-18 14:45,14341.05,50,260.00,0.04,3792.50,0.49,2350.00,0.33,212.50,0.03
11,Exit Short,INTRADAY_SExit,2021-01-18 15:05,14335.85,50,260.00,0.04,3792.50,0.49,2350.00,0.33,212.50,0.03
12,Entry Long,BUY,2021-01-19 09:35,14392.25,50,7332.50,1.02,11125.00,13.63,7597.50,1.06,2070.00,0.29
12,Exit Long,BUY_TG_HIT,2021-01-19 14:50,14538.90,50,7332.50,1.02,11125.00,13.63,7597.50,1.06,2070.00,0.29
13,Entry Short,SELL,2021-01-20 12:35,14578.95,50,-2375.00,-0.33,8750.00,-3.89,875.00,0.12,2552.50,0.35
13,Exit Short,BUY,2021-01-20 13:50,14626.45,50,-2375.00,-0.33,8750.00,-3.89,875.00,0.12,2552.50,0.35
14,Entry Long,BUY,2021-01-20 13:50,14626.45,50,1637.50,0.22,10387.50,2.79,2000.00,0.27,800.00,0.11
14,Exit Long,INTRADAY_BExit,2021-01-20 15:05,14659.20,50,1637.50,0.22,10387.50,2.79,2000.00,0.27,800.00,0.11
15,Entry Long,BUY,2021-01-21 09:35,14728.05,50,-1427.50,-0.19,8960.00,-2.36,1275.00,0.17,1495.00,0.2
15,Exit Long,SELL,2021-01-21 14:15,14699.50,50,-1427.50,-0.19,8960.00,-2.36,1275.00,0.17,1495.00,0.2
16,Entry Short,SELL,2021-01-21 14:15,14699.50,50,4865.00,0.66,13825.00,8.25,4947.50,0.67,1225.00,0.17
16,Exit Short,INTRADAY_SExit,2021-01-21 15:05,14602.20,50,4865.00,0.66,13825.00,8.25,4947.50,0.67,1225.00,0.17
17,Entry Short,SELL,2021-01-25 09:50,14295.55,50,-5100.00,-0.71,8725.00,-7.99,127.50,0.02,7150.00,1
17,Exit Short,BUY,2021-01-25 13:20,14397.55,50,-5100.00,-0.71,8725.00,-7.99,127.50,0.02,7150.00,1
18,Entry Long,BUY,2021-01-25 13:20,14397.55,50,-1935.00,-0.27,6790.00,-3.3,345.00,0.05,2912.50,0.4
18,Exit Long,SELL,2021-01-25 13:55,14358.85,50,-1935.00,-0.27,6790.00,-3.3,345.00,0.05,2912.50,0.4
19,Entry Short,SELL,2021-01-25 13:55,14358.85,50,4797.50,0.67,11587.50,8.45,5595.00,0.78,922.50,0.13
19,Exit Short,INTRADAY_SExit,2021-01-25 15:05,14262.90,50,4797.50,0.67,11587.50,8.45,5595.00,0.78,922.50,0.13
20,Entry Long,BUY,2021-01-28 13:30,13824.40,50,-397.50,-0.06,11190.00,-0.65,1055.00,0.15,3530.00,0.51
20,Exit Long,INTRADAY_BExit,2021-01-28 15:05,13816.45,50,-397.50,-0.06,11190.00,-0.65,1055.00,0.15,3530.00,0.51
21,Entry Short,SELL,2021-01-29 10:35,13821.70,50,-1377.50,-0.2,9812.50,-2.25,4680.00,0.68,2417.50,0.35
21,Exit Short,BUY,2021-01-29 14:25,13849.25,50,-1377.50,-0.2,9812.50,-2.25,4680.00,0.68,2417.50,0.35
22,Entry Long,BUY,2021-01-29 14:25,13849.25,50,-10222.50,-1.48,-410.00,-17.09,1187.50,0.17,12085.00,1.75
22,Exit Long,INTRADAY_BExit,2021-01-29 15:05,13644.80,50,-10222.50,-1.48,-410.00,-17.09,1187.50,0.17,12085.00,1.75
23,Entry Short,SELL,2021-02-01 09:35,13704.95,50,-2885.00,-0.42,-3295.00,-5.82,2160.00,0.32,3547.50,0.52
23,Exit Short,BUY,2021-02-01 10:50,13762.65,50,-2885.00,-0.42,-3295.00,-5.82,2160.00,0.32,3547.50,0.52
24,Entry Long,BUY,2021-02-01 10:50,13762.65,50,2642.50,0.38,-652.50,5.66,7172.50,1.04,605.00,0.09
24,Exit Long,SELL,2021-02-01 12:20,13815.50,50,2642.50,0.38,-652.50,5.66,7172.50,1.04,605.00,0.09
25,Entry Short,SELL,2021-02-01 12:20,13815.50,50,-8612.50,-1.25,-9265.00,-17.45,492.50,0.07,8612.50,1.25
25,Exit Short,SELL_SL_HIT,2021-02-01 12:55,13987.75,50,-8612.50,-1.25,-9265.00,-17.45,492.50,0.07,8612.50,1.25
26,Entry Long,BUY,2021-02-01 13:00,14085.90,50,8397.50,1.19,-867.50,20.61,8480.00,1.2,4742.50,0.67
26,Exit Long,BUY_TG_HIT,2021-02-01 14:35,14253.85,50,8397.50,1.19,-867.50,20.61,8480.00,1.2,4742.50,0.67
27,Entry Short,SELL,2021-02-02 10:50,14539.65,50,-3500.00,-0.48,-4367.50,-7.12,1885.00,0.26,4472.50,0.62
27,Exit Short,BUY,2021-02-02 13:15,14609.65,50,-3500.00,-0.48,-4367.50,-7.12,1885.00,0.26,4472.50,0.62
28,Entry Long,BUY,2021-02-02 13:15,14609.65,50,1352.50,0.19,-3015.00,2.96,4010.00,0.55,2010.00,0.28
28,Exit Long,INTRADAY_BExit,2021-02-02 15:05,14636.70,50,1352.50,0.19,-3015.00,2.96,4010.00,0.55,2010.00,0.28
29,Entry Long,BUY,2021-02-03 09:40,14702.45,50,7430.00,1.01,4415.00,15.81,7900.00,1.07,1015.00,0.14
29,Exit Long,BUY_TG_HIT,2021-02-03 13:10,14851.05,50,7430.00,1.01,4415.00,15.81,7900.00,1.07,1015.00,0.14
30,Entry Short,SELL,2021-02-04 09:35,14725.40,50,-4407.50,-0.6,7.50,-8.1,532.50,0.07,4762.50,0.65
30,Exit Short,BUY,2021-02-04 11:20,14813.55,50,-4407.50,-0.6,7.50,-8.1,532.50,0.07,4762.50,0.65
31,Entry Long,BUY,2021-02-04 11:20,14813.55,50,4675.00,0.63,4682.50,9.35,4842.50,0.65,1470.00,0.2
31,Exit Long,INTRADAY_BExit,2021-02-04 15:05,14907.05,50,4675.00,0.63,4682.50,9.35,4842.50,0.65,1470.00,0.2
32,Entry Short,SELL,2021-02-05 13:20,14923.55,50,-400.00,-0.05,4282.50,-0.73,2060.00,0.28,1887.50,0.25
32,Exit Short,INTRADAY_SExit,2021-02-05 15:05,14931.55,50,-400.00,-0.05,4282.50,-0.73,2060.00,0.28,1887.50,0.25
33,Entry Long,BUY,2021-02-08 09:35,15087.90,50,-925.00,-0.12,3357.50,-1.7,2255.00,0.3,1072.50,0.14
33,Exit Long,SELL,2021-02-08 12:25,15069.40,50,-925.00,-0.12,3357.50,-1.7,2255.00,0.3,1072.50,0.14
34,Entry Short,SELL,2021-02-08 12:25,15069.40,50,-2225.00,-0.3,1132.50,-4.17,570.00,0.08,2937.50,0.39
34,Exit Short,BUY,2021-02-08 13:20,15113.90,50,-2225.00,-0.3,1132.50,-4.17,570.00,0.08,2937.50,0.39
35,Entry Long,BUY,2021-02-08 13:20,15113.90,50,-287.50,-0.04,845.00,-0.56,2300.00,0.3,772.50,0.1
35,Exit Long,INTRADAY_BExit,2021-02-08 15:05,15108.15,50,-287.50,-0.04,845.00,-0.56,2300.00,0.3,772.50,0.1
36,Entry Short,SELL,2021-02-09 14:45,15206.10,50,5487.50,0.72,6332.50,10.79,6357.50,0.84,0,0
36,Exit Short,INTRADAY_SExit,2021-02-09 15:05,15096.35,50,5487.50,0.72,6332.50,10.79,6357.50,0.84,0,0
37,Entry Long,BUY,2021-02-10 12:05,15088.50,50,-2415.00,-0.32,3917.50,-4.29,1217.50,0.16,2612.50,0.35
37,Exit Long,SELL,2021-02-10 13:35,15040.20,50,-2415.00,-0.32,3917.50,-4.29,1217.50,0.16,2612.50,0.35
38,Entry Short,SELL,2021-02-10 13:35,15040.20,50,-935.00,-0.12,2982.50,-1.73,3150.00,0.42,1762.50,0.23
38,Exit Short,BUY,2021-02-10 14:40,15058.90,50,-935.00,-0.12,2982.50,-1.73,3150.00,0.42,1762.50,0.23
39,Entry Long,BUY,2021-02-10 14:40,15058.90,50,1457.50,0.19,4440.00,2.75,1457.50,0.19,3260.00,0.43
39,Exit Long,INTRADAY_BExit,2021-02-10 15:05,15088.05,50,1457.50,0.19,4440.00,2.75,1457.50,0.19,3260.00,0.43
40,Entry Short,SELL,2021-02-11 12:05,15112.15,50,-2475.00,-0.33,1965.00,-4.55,147.50,0.02,3290.00,0.44
40,Exit Short,BUY,2021-02-11 14:30,15161.65,50,-2475.00,-0.33,1965.00,-4.55,147.50,0.02,3290.00,0.44
41,Entry Long,BUY,2021-02-11 14:30,15161.65,50,335.00,0.04,2300.00,0.64,747.50,0.1,785.00,0.1
41,Exit Long,INTRADAY_BExit,2021-02-11 15:05,15168.35,50,335.00,0.04,2300.00,0.64,747.50,0.1,785.00,0.1
42,Entry Short,SELL,2021-02-12 13:50,15179.05,50,1685.00,0.22,3985.00,3.22,4902.50,0.65,60.00,0.01
42,Exit Short,BUY,2021-02-12 15:00,15145.35,50,1685.00,0.22,3985.00,3.22,4902.50,0.65,60.00,0.01
43,Entry Long,BUY,2021-02-12 15:00,15145.35,50,492.50,0.07,4477.50,0.91,677.50,0.09,95.00,0.01
43,Exit Long,INTRADAY_BExit,2021-02-12 15:05,15155.20,50,492.50,0.07,4477.50,0.91,677.50,0.09,95.00,0.01
44,Entry Short,SELL,2021-02-15 14:25,15296.30,50,-37.50,0,4440.00,-0.07,535.00,0.07,460.00,0.06
44,Exit Short,INTRADAY_SExit,2021-02-15 15:05,15297.05,50,-37.50,0,4440.00,-0.07,535.00,0.07,460.00,0.06
45,Entry Long,BUY,2021-02-16 09:35,15422.25,50,-3515.00,-0.46,925.00,-6.46,265.00,0.03,4477.50,0.58
45,Exit Long,SELL,2021-02-16 11:35,15351.95,50,-3515.00,-0.46,925.00,-6.46,265.00,0.03,4477.50,0.58
46,Entry Short,SELL,2021-02-16 11:35,15351.95,50,2015.00,0.26,2940.00,3.96,5487.50,0.71,950.00,0.12
46,Exit Short,BUY,2021-02-16 14:40,15311.65,50,2015.00,0.26,2940.00,3.96,5487.50,0.71,950.00,0.12
