Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-02-16 09:35,101.50,1,-8470.00,-1.08,-8470.00,-4.23,1925.00,0.25,8855.00,1.13
1,Exit Long,BUY_SL_HIT,2021-02-16 10:20,100.40,1,-8470.00,-1.08,-8470.00,-4.23,1925.00,0.25,8855.00,1.13
2,Entry Short,SELL,2021-02-17 09:35,102.20,1,-7315.00,-0.93,-15785.00,-3.82,770.00,0.1,10010.00,1.27
2,Exit Short,BUY,2021-02-17 09:50,103.15,1,-7315.00,-0.93,-15785.00,-3.82,770.00,0.1,10010.00,1.27
3,Entry Long,BUY,2021-02-17 09:50,103.15,1,-3850.00,-0.48,-19635.00,-2.09,3465.00,0.44,6545.00,0.82
3,Exit Long,SELL,2021-02-17 13:10,102.65,1,-3850.00,-0.48,-19635.00,-2.09,3465.00,0.44,6545.00,0.82
4,Entry Short,SELL,2021-02-17 13:10,102.65,1,-2695.00,-0.34,-22330.00,-1.49,4620.00,0.58,2695.00,0.34
4,Exit Short,BUY,2021-02-17 14:40,103.00,1,-2695.00,-0.34,-22330.00,-1.49,4620.00,0.58,2695.00,0.34
5,Entry Long,BUY,2021-02-17 14:40,103.00,1,-3465.00,-0.44,-25795.00,-1.95,385.00,0.05,4235.00,0.53
5,Exit Long,INTRADAY_BExit,2021-02-17 15:05,102.55,1,-3465.00,-0.44,-25795.00,-1.95,385.00,0.05,4235.00,0.53
6,Entry Long,BUY,2021-02-18 09:35,106.15,1,11165.00,1.37,-14630.00,6.41,12320.00,1.51,770.00,0.09
6,Exit Long,BUY_TG_HIT,2021-02-18 10:10,107.60,1,11165.00,1.37,-14630.00,6.41,12320.00,1.51,770.00,0.09
7,Entry Short,SELL,2021-02-18 11:50,109.80,1,-8470.00,-1,-23100.00,-4.57,385.00,0.05,10395.00,1.23
7,Exit Short,SELL_SL_HIT,2021-02-18 12:15,110.90,1,-8470.00,-1,-23100.00,-4.57,385.00,0.05,10395.00,1.23
8,Entry Long,BUY,2021-02-18 13:00,111.60,1,13860.00,1.61,-9240.00,7.83,15400.00,1.79,5005.00,0.58
8,Exit Long,BUY_TG_HIT,2021-02-18 14:40,113.40,1,13860.00,1.61,-9240.00,7.83,15400.00,1.79,5005.00,0.58
9,Entry Short,SELL,2021-02-18 14:50,111.85,1,5005.00,0.58,-4235.00,2.62,8085.00,0.94,0,0
9,Exit Short,INTRADAY_SExit,2021-02-18 15:05,111.20,1,5005.00,0.58,-4235.00,2.62,8085.00,0.94,0,0
10,Entry Long,BUY,2021-02-19 12:30,111.40,1,-7700.00,-0.9,-11935.00,-3.93,8470.00,0.99,8470.00,0.99
10,Exit Long,SELL,2021-02-19 13:05,110.40,1,-7700.00,-0.9,-11935.00,-3.93,8470.00,0.99,8470.00,0.99
11,Entry Short,SELL,2021-02-19 13:05,110.40,1,8855.00,1.04,-3080.00,4.71,10395.00,1.22,1540.00,0.18
11,Exit Short,SELL_TG_HIT,2021-02-19 13:35,109.25,1,8855.00,1.04,-3080.00,4.71,10395.00,1.22,1540.00,0.18
12,Entry Long,BUY,2021-02-22 09:35,107.15,1,9625.00,1.17,6545.00,4.89,11550.00,1.4,7315.00,0.89
12,Exit Long,BUY_TG_HIT,2021-02-22 13:10,108.40,1,9625.00,1.17,6545.00,4.89,11550.00,1.4,7315.00,0.89
13,Entry Short,SELL,2021-02-22 14:00,107.10,1,5390.00,0.65,11935.00,2.61,6545.00,0.79,3850.00,0.47
13,Exit Short,INTRADAY_SExit,2021-02-22 15:05,106.40,1,5390.00,0.65,11935.00,2.61,6545.00,0.79,3850.00,0.47
14,Entry Long,BUY,2021-02-23 09:35,113.05,1,9625.00,1.11,21560.00,4.54,10395.00,1.19,10395.00,1.19
14,Exit Long,BUY_TG_HIT,2021-02-23 12:25,114.30,1,9625.00,1.11,21560.00,4.54,10395.00,1.19,10395.00,1.19
15,Entry Short,SELL,2021-02-23 14:55,113.45,1,9240.00,1.06,30800.00,4.17,11550.00,1.32,0,0
15,Exit Short,INTRADAY_SExit,2021-02-23 15:05,112.25,1,9240.00,1.06,30800.00,4.17,11550.00,1.32,0,0
16,Entry Long,BUY,2021-02-24 09:35,113.70,1,-10395.00,-1.19,20405.00,-4.5,0,0,10395.00,1.19
16,Exit Long,BUY_SL_HIT,2021-02-24 10:00,112.35,1,-10395.00,-1.19,20405.00,-4.5,0,0,10395.00,1.19
17,Entry Short,SELL,2021-02-24 10:20,112.25,1,9240.00,1.07,29645.00,4.19,9625.00,1.11,3465.00,0.4
17,Exit Short,SELL_TG_HIT,2021-02-24 10:45,111.05,1,9240.00,1.07,29645.00,4.19,9625.00,1.11,3465.00,0.4
18,Entry Long,BUY,2021-02-25 09:35,116.80,1,9240.00,1.03,38885.00,4.02,11165.00,1.24,7315.00,0.81
18,Exit Long,BUY_TG_HIT,2021-02-25 11:15,118.00,1,9240.00,1.03,38885.00,4.02,11165.00,1.24,7315.00,0.81
19,Entry Short,SELL,2021-02-25 15:00,118.80,1,5775.00,0.63,44660.00,2.42,6930.00,0.76,385.00,0.04
19,Exit Short,INTRADAY_SExit,2021-02-25 15:05,118.05,1,5775.00,0.63,44660.00,2.42,6930.00,0.76,385.00,0.04
20,Entry Long,BUY,2021-02-26 14:15,115.55,1,-12705.00,-1.43,31955.00,-5.19,0,0,13090.00,1.47
20,Exit Long,BUY_SL_HIT,2021-02-26 14:55,113.90,1,-12705.00,-1.43,31955.00,-5.19,0,0,13090.00,1.47
21,Entry Long,BUY,2021-03-01 09:35,114.45,1,15015.00,1.7,46970.00,6.47,16170.00,1.83,3465.00,0.39
21,Exit Long,BUY_TG_HIT,2021-03-01 10:40,116.40,1,15015.00,1.7,46970.00,6.47,16170.00,1.83,3465.00,0.39
22,Entry Short,SELL,2021-03-01 15:00,116.50,1,385.00,0.04,47355.00,0.16,1925.00,0.21,1540.00,0.17
22,Exit Short,INTRADAY_SExit,2021-03-01 15:05,116.45,1,385.00,0.04,47355.00,0.16,1925.00,0.21,1540.00,0.17
23,Entry Long,BUY,2021-03-02 10:10,115.20,1,-12320.00,-1.39,35035.00,-4.98,6160.00,0.69,13090.00,1.48
23,Exit Long,BUY_SL_HIT,2021-03-02 11:20,113.60,1,-12320.00,-1.39,35035.00,-4.98,6160.00,0.69,13090.00,1.48
24,Entry Short,SELL,2021-03-02 11:25,113.85,1,9240.00,1.05,44275.00,3.93,10780.00,1.23,1925.00,0.22
24,Exit Short,SELL_TG_HIT,2021-03-02 12:55,112.65,1,9240.00,1.05,44275.00,3.93,10780.00,1.23,1925.00,0.22
25,Entry Long,BUY,2021-03-03 09:35,113.70,1,-4235.00,-0.48,40040.00,-1.73,3850.00,0.44,8470.00,0.97
25,Exit Long,SELL,2021-03-03 13:40,113.15,1,-4235.00,-0.48,40040.00,-1.73,3850.00,0.44,8470.00,0.97
26,Entry Short,SELL,2021-03-03 13:40,113.15,1,-4235.00,-0.49,35805.00,-1.76,3850.00,0.44,4235.00,0.49
26,Exit Short,BUY,2021-03-03 14:45,113.70,1,-4235.00,-0.49,35805.00,-1.76,3850.00,0.44,4235.00,0.49
27,Entry Long,BUY,2021-03-03 14:45,113.70,1,-770.00,-0.09,35035.00,-0.33,1925.00,0.22,770.00,0.09
27,Exit Long,INTRADAY_BExit,2021-03-03 15:05,113.60,1,-770.00,-0.09,35035.00,-0.33,1925.00,0.22,770.00,0.09
28,Entry Short,SELL,2021-03-04 11:15,114.35,1,9240.00,1.05,44275.00,3.93,9240.00,1.05,1155.00,0.13
28,Exit Short,SELL_TG_HIT,2021-03-04 13:05,113.15,1,9240.00,1.05,44275.00,3.93,9240.00,1.05,1155.00,0.13
29,Entry Long,BUY,2021-03-05 09:35,117.60,1,-10010.00,-1.11,34265.00,-4.1,5390.00,0.6,10395.00,1.15
29,Exit Long,BUY_SL_HIT,2021-03-05 10:25,116.30,1,-10010.00,-1.11,34265.00,-4.1,5390.00,0.6,10395.00,1.15
30,Entry Short,SELL,2021-03-05 11:10,115.10,1,-4620.00,-0.52,29645.00,-1.97,7315.00,0.83,5390.00,0.61
30,Exit Short,BUY,2021-03-05 12:30,115.70,1,-4620.00,-0.52,29645.00,-1.97,7315.00,0.83,5390.00,0.61
31,Entry Long,BUY,2021-03-05 12:30,115.70,1,-10010.00,-1.12,19635.00,-4.36,3850.00,0.43,10010.00,1.12
31,Exit Long,BUY_SL_HIT,2021-03-05 13:35,114.40,1,-10010.00,-1.12,19635.00,-4.36,3850.00,0.43,10010.00,1.12
32,Entry Short,SELL,2021-03-05 13:40,114.15,1,-1155.00,-0.13,18480.00,-0.53,11165.00,1.27,3850.00,0.44
