Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-15 13:35,159.95,1,533.30,0.06,533.30,0.27,866.61,0.1,3133.14,0.37
1,Exit Short,BUY,2021-02-15 14:25,159.85,1,533.30,0.06,533.30,0.27,866.61,0.1,3133.14,0.37
2,Entry Long,BUY,2021-02-15 14:25,159.85,1,-2399.85,-0.28,-1866.55,-1.2,1466.58,0.17,2533.18,0.3
2,Exit Long,INTRADAY_BExit,2021-02-15 15:05,159.40,1,-2399.85,-0.28,-1866.55,-1.2,1466.58,0.17,2533.18,0.3
3,Entry Long,BUY,2021-02-16 09:35,162.40,1,10132.70,1.17,8266.15,5.11,10666.00,1.23,2733.16,0.32
3,Exit Long,BUY_TG_HIT,2021-02-16 10:50,164.30,1,10132.70,1.17,8266.15,5.11,10666.00,1.23,2733.16,0.32
4,Entry Short,SELL,2021-02-16 14:50,169.60,1,2399.85,0.27,10666.00,1.15,4533.05,0.5,866.61,0.1
4,Exit Short,INTRADAY_SExit,2021-02-16 15:05,169.15,1,2399.85,0.27,10666.00,1.15,4533.05,0.5,866.61,0.1
5,Entry Long,BUY,2021-02-17 11:00,170.35,1,4799.70,0.53,15465.70,2.28,11265.96,1.24,1333.25,0.15
5,Exit Long,SELL,2021-02-17 13:45,171.25,1,4799.70,0.53,15465.70,2.28,11265.96,1.24,1333.25,0.15
6,Entry Short,SELL,2021-02-17 13:45,171.25,1,-4533.05,-0.5,10932.65,-2.1,1133.26,0.12,10666.00,1.17
6,Exit Short,BUY,2021-02-17 14:20,172.10,1,-4533.05,-0.5,10932.65,-2.1,1133.26,0.12,10666.00,1.17
7,Entry Long,BUY,2021-02-17 14:20,172.10,1,266.65,0.03,11199.30,0.13,3133.14,0.34,1866.55,0.2
7,Exit Long,INTRADAY_BExit,2021-02-17 15:05,172.15,1,266.65,0.03,11199.30,0.13,3133.14,0.34,1866.55,0.2
8,Entry Short,SELL,2021-02-18 09:35,172.20,1,-17598.90,-1.92,-6399.60,-8.33,399.98,0.04,18398.85,2
8,Exit Short,SELL_SL_HIT,2021-02-18 09:50,175.50,1,-17598.90,-1.92,-6399.60,-8.33,399.98,0.04,18398.85,2
9,Entry Long,BUY,2021-02-18 09:55,175.90,1,12799.20,1.36,6399.60,6.61,15065.73,1.61,2333.19,0.25
9,Exit Long,BUY_TG_HIT,2021-02-18 10:20,178.30,1,12799.20,1.36,6399.60,6.61,15065.73,1.61,2333.19,0.25
10,Entry Short,SELL,2021-02-18 11:05,175.25,1,-9066.10,-0.97,-2666.50,-4.39,1666.56,0.18,12132.58,1.3
10,Exit Short,SELL_SL_HIT,2021-02-18 13:00,176.95,1,-9066.10,-0.97,-2666.50,-4.39,1666.56,0.18,12132.58,1.3
11,Entry Long,BUY,2021-02-18 13:05,177.30,1,-3466.45,-0.37,-6132.95,-1.76,4399.73,0.47,8799.45,0.93
11,Exit Long,SELL,2021-02-18 13:35,176.65,1,-3466.45,-0.37,-6132.95,-1.76,4399.73,0.47,8799.45,0.93
12,Entry Short,SELL,2021-02-18 13:35,176.65,1,-5599.65,-0.59,-11732.60,-2.89,5532.99,0.59,6066.29,0.64
12,Exit Short,BUY,2021-02-18 14:40,177.70,1,-5599.65,-0.59,-11732.60,-2.89,5532.99,0.59,6066.29,0.64
13,Entry Long,BUY,2021-02-18 14:40,177.70,1,799.95,0.08,-10932.65,0.42,866.61,0.09,5333.00,0.56
13,Exit Long,INTRADAY_BExit,2021-02-18 15:05,177.85,1,799.95,0.08,-10932.65,0.42,866.61,0.09,5333.00,0.56
14,Entry Short,SELL,2021-02-19 09:35,174.00,1,-5333.00,-0.57,-16265.65,-2.82,4999.69,0.54,6999.56,0.75
14,Exit Short,BUY,2021-02-19 12:30,175.00,1,-5333.00,-0.57,-16265.65,-2.82,4999.69,0.54,6999.56,0.75
15,Entry Long,BUY,2021-02-19 12:30,175.00,1,9866.05,1.06,-6399.60,5.37,13665.81,1.46,0,0
15,Exit Long,BUY_TG_HIT,2021-02-19 12:55,176.85,1,9866.05,1.06,-6399.60,5.37,13665.81,1.46,0,0
16,Entry Short,SELL,2021-02-19 13:10,174.25,1,-1333.25,-0.14,-7732.85,-0.69,3733.10,0.4,3466.45,0.37
16,Exit Short,INTRADAY_SExit,2021-02-19 15:05,174.50,1,-1333.25,-0.14,-7732.85,-0.69,3733.10,0.4,3466.45,0.37
17,Entry Long,BUY,2021-02-23 09:35,170.55,1,-266.65,-0.03,-7999.50,-0.14,8799.45,0.97,7799.51,0.86
17,Exit Long,SELL,2021-02-23 11:20,170.50,1,-266.65,-0.03,-7999.50,-0.14,8799.45,0.97,7799.51,0.86
18,Entry Short,SELL,2021-02-23 11:20,170.50,1,-3999.75,-0.44,-11999.25,-2.08,8132.83,0.89,5266.34,0.58
18,Exit Short,BUY,2021-02-23 14:35,171.25,1,-3999.75,-0.44,-11999.25,-2.08,8132.83,0.89,5266.34,0.58
19,Entry Long,BUY,2021-02-23 14:35,171.25,1,-8799.45,-0.96,-20798.70,-4.68,0,0,9132.76,1
19,Exit Long,INTRADAY_BExit,2021-02-23 15:05,169.60,1,-8799.45,-0.96,-20798.70,-4.68,0,0,9132.76,1
20,Entry Short,SELL,2021-02-24 09:35,168.65,1,-1066.60,-0.12,-21865.30,-0.6,4066.41,0.45,7132.89,0.79
20,Exit Short,INTRADAY_SExit,2021-02-24 15:50,168.85,1,-1066.60,-0.12,-21865.30,-0.6,4066.41,0.45,7132.89,0.79
21,Entry Long,BUY,2021-02-25 10:55,167.65,1,9332.75,1.04,-12532.55,5.24,11665.94,1.3,2933.15,0.33
21,Exit Long,BUY_TG_HIT,2021-02-25 12:50,169.40,1,9332.75,1.04,-12532.55,5.24,11665.94,1.3,2933.15,0.33
22,Entry Short,SELL,2021-02-25 13:35,169.35,1,6399.60,0.71,-6132.95,3.41,8199.49,0.91,3999.75,0.44
22,Exit Short,INTRADAY_SExit,2021-02-25 15:05,168.15,1,6399.60,0.71,-6132.95,3.41,8199.49,0.91,3999.75,0.44
23,Entry Long,BUY,2021-02-26 14:20,162.40,1,-6399.60,-0.74,-12532.55,-3.3,2066.54,0.24,8532.80,0.99
23,Exit Long,SELL,2021-02-26 15:00,161.20,1,-6399.60,-0.74,-12532.55,-3.3,2066.54,0.24,8532.80,0.99
24,Entry Short,SELL,2021-02-26 15:00,161.20,1,8799.45,1.02,-3733.10,4.69,8932.78,1.04,666.63,0.08
24,Exit Short,INTRADAY_SExit,2021-02-26 15:05,159.55,1,8799.45,1.02,-3733.10,4.69,8932.78,1.04,666.63,0.08
25,Entry Long,BUY,2021-03-01 09:35,164.35,1,-799.95,-0.09,-4533.05,-0.41,8466.14,0.97,9332.75,1.06
25,Exit Long,SELL,2021-03-01 11:55,164.20,1,-799.95,-0.09,-4533.05,-0.41,8466.14,0.97,9332.75,1.06
26,Entry Short,SELL,2021-03-01 11:55,164.20,1,-9599.40,-1.1,-14132.45,-4.91,933.28,0.11,9866.05,1.13
26,Exit Short,BUY,2021-03-01 13:00,166.00,1,-9599.40,-1.1,-14132.45,-4.91,933.28,0.11,9866.05,1.13
27,Entry Long,BUY,2021-03-01 13:00,166.00,1,3999.75,0.45,-10132.70,2.15,10266.03,1.16,1333.25,0.15
27,Exit Long,INTRADAY_BExit,2021-03-01 15:05,166.75,1,3999.75,0.45,-10132.70,2.15,10266.03,1.16,1333.25,0.15
28,Entry Short,SELL,2021-03-02 09:35,168.10,1,9332.75,1.04,-799.95,4.92,9732.73,1.09,6666.25,0.74
28,Exit Short,SELL_TG_HIT,2021-03-02 12:10,166.35,1,9332.75,1.04,-799.95,4.92,9732.73,1.09,6666.25,0.74
29,Entry Long,BUY,2021-03-03 09:35,167.15,1,-3199.80,-0.36,-3999.75,-1.61,4333.06,0.49,7666.19,0.86
29,Exit Long,SELL,2021-03-03 10:35,166.55,1,-3199.80,-0.36,-3999.75,-1.61,4333.06,0.49,7666.19,0.86
30,Entry Short,SELL,2021-03-03 10:35,166.55,1,-3466.45,-0.39,-7466.20,-1.77,4266.40,0.48,5732.98,0.65
30,Exit Short,BUY,2021-03-03 12:00,167.20,1,-3466.45,-0.39,-7466.20,-1.77,4266.40,0.48,5732.98,0.65
31,Entry Long,BUY,2021-03-03 12:00,167.20,1,10132.70,1.14,2666.50,5.26,10266.03,1.15,733.29,0.08
31,Exit Long,BUY_TG_HIT,2021-03-03 13:15,169.10,1,10132.70,1.14,2666.50,5.26,10266.03,1.15,733.29,0.08
32,Entry Short,SELL,2021-03-04 09:35,168.05,1,-6666.25,-0.74,-3999.75,-3.29,7866.18,0.88,8532.80,0.95
32,Exit Short,BUY,2021-03-04 11:25,169.30,1,-6666.25,-0.74,-3999.75,-3.29,7866.18,0.88,8532.80,0.95
33,Entry Long,BUY,2021-03-04 11:25,169.30,1,-4799.70,-0.53,-8799.45,-2.45,6466.26,0.72,4799.70,0.53
33,Exit Long,SELL,2021-03-04 13:05,168.40,1,-4799.70,-0.53,-8799.45,-2.45,6466.26,0.72,4799.70,0.53
34,Entry Short,SELL,2021-03-04 13:05,168.40,1,6399.60,0.71,-2399.85,3.35,6399.60,0.71,1866.55,0.21
34,Exit Short,INTRADAY_SExit,2021-03-04 15:05,167.20,1,6399.60,0.71,-2399.85,3.35,6399.60,0.71,1866.55,0.21
35,Entry Long,BUY,2021-03-05 10:15,166.15,1,-10399.35,-1.17,-12799.20,-5.26,2466.51,0.28,10399.35,1.17
35,Exit Long,BUY_SL_HIT,2021-03-05 11:00,164.20,1,-10399.35,-1.17,-12799.20,-5.26,2466.51,0.28,10399.35,1.17
36,Entry Short,SELL,2021-03-05 11:05,164.15,1,-9866.05,-1.13,-22665.25,-5.27,1866.55,0.21,9866.05,1.13
36,Exit Short,SELL_SL_HIT,2021-03-05 12:15,166.00,1,-9866.05,-1.13,-22665.25,-5.27,1866.55,0.21,9866.05,1.13
37,Entry Long,BUY,2021-03-05 12:20,166.15,1,-7999.50,-0.9,-30664.75,-4.51,3266.46,0.37,8532.80,0.96
37,Exit Long,SELL,2021-03-05 13:45,164.65,1,-7999.50,-0.9,-30664.75,-4.51,3266.46,0.37,8532.80,0.96
38,Entry Short,SELL,2021-03-05 13:45,164.65,1,11732.60,1.34,-18932.15,6.93,11732.60,1.34,1266.59,0.14
38,Exit Short,SELL_TG_HIT,2021-03-05 14:50,162.45,1,11732.60,1.34,-18932.15,6.93,11732.60,1.34,1266.59,0.14
39,Entry Long,BUY,2021-03-08 09:35,165.05,1,9866.05,1.12,-9066.10,5.45,9866.05,1.12,66.66,0.01
39,Exit Long,BUY_TG_HIT,2021-03-08 09:55,166.90,1,9866.05,1.12,-9066.10,5.45,9866.05,1.12,66.66,0.01
40,Entry Short,SELL,2021-03-08 11:10,166.20,1,-7199.55,-0.81,-16265.65,-3.77,0,0,7399.54,0.83
40,Exit Short,BUY,2021-03-08 11:35,167.55,1,-7199.55,-0.81,-16265.65,-3.77,0,0,7399.54,0.83
41,Entry Long,BUY,2021-03-08 11:35,167.55,1,-1066.60,-0.12,-17332.25,-0.58,4999.69,0.56,2599.84,0.29
41,Exit Long,SELL,2021-03-08 12:50,167.35,1,-1066.60,-0.12,-17332.25,-0.58,4999.69,0.56,2599.84,0.29
42,Entry Short,SELL,2021-03-08 12:50,167.35,1,5866.30,0.66,-11465.95,3.21,5932.96,0.66,2466.51,0.28
42,Exit Short,INTRADAY_SExit,2021-03-08 15:05,166.25,1,5866.30,0.66,-11465.95,3.21,5932.96,0.66,2466.51,0.28
43,Entry Long,BUY,2021-03-09 11:30,164.30,1,-4533.05,-0.52,-15999.00,-2.4,0,0,5666.31,0.65
43,Exit Long,SELL,2021-03-09 12:10,163.45,1,-4533.05,-0.52,-15999.00,-2.4,0,0,5666.31,0.65
44,Entry Short,SELL,2021-03-09 12:10,163.45,1,9332.75,1.07,-6666.25,5.07,9332.75,1.07,0,0
44,Exit Short,SELL_TG_HIT,2021-03-09 12:35,161.70,1,9332.75,1.07,-6666.25,5.07,9332.75,1.07,0,0
45,Entry Long,BUY,2021-03-09 14:05,162.05,1,3733.10,0.43,-2933.15,1.93,3733.10,0.43,4066.41,0.47
45,Exit Long,INTRADAY_BExit,2021-03-09 15:05,162.75,1,3733.10,0.43,-2933.15,1.93,3733.10,0.43,4066.41,0.47
46,Entry Short,SELL,2021-03-10 10:40,163.25,1,7999.50,0.92,5066.35,4.06,8666.13,1,333.31,0.04
46,Exit Short,SELL_TG_HIT,2021-03-10 13:40,161.75,1,7999.50,0.92,5066.35,4.06,8666.13,1,333.31,0.04
47,Entry Long,BUY,2021-03-10 14:15,162.20,1,-1066.60,-0.12,3999.75,-0.52,933.28,0.11,3866.43,0.45
47,Exit Long,SELL,2021-03-10 14:45,162.00,1,-1066.60,-0.12,3999.75,-0.52,933.28,0.11,3866.43,0.45
48,Entry Short,SELL,2021-03-10 14:45,162.00,1,-3199.80,-0.37,799.95,-1.57,0,0,4599.71,0.53
48,Exit Short,BUY,2021-03-10 14:55,162.60,1,-3199.80,-0.37,799.95,-1.57,0,0,4599.71,0.53
49,Entry Long,BUY,2021-03-10 14:55,162.60,1,-2133.20,-0.25,-1333.25,-1.06,799.95,0.09,2133.20,0.25
49,Exit Long,INTRADAY_BExit,2021-03-10 15:05,162.20,1,-2133.20,-0.25,-1333.25,-1.06,799.95,0.09,2133.20,0.25
50,Entry Short,SELL,2021-03-12 14:10,165.05,1,-2933.15,-0.33,-4266.40,-1.48,666.63,0.08,4133.08,0.47
50,Exit Short,INTRADAY_SExit,2021-03-12 15:05,165.60,1,-2933.15,-0.33,-4266.40,-1.48,666.63,0.08,4133.08,0.47
51,Entry Long,BUY,2021-03-15 09:35,165.80,1,10932.65,1.24,6666.25,5.59,14332.44,1.62,266.65,0.03
