Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-01 04:30,142.60,1,-1599.90,-0.21,-1599.90,-0.8,466.64,0.06,1733.23,0.23
1,Exit Long,SELL,2021-01-01 06:15,142.30,1,-1599.90,-0.21,-1599.90,-0.8,466.64,0.06,1733.23,0.23
2,Entry Short,SELL,2021-01-01 06:15,142.30,1,-2133.20,-0.28,-3733.10,-1.08,133.32,0.02,3466.45,0.46
2,Exit Short,BUY,2021-01-01 07:15,142.70,1,-2133.20,-0.28,-3733.10,-1.08,133.32,0.02,3466.45,0.46
3,Entry Long,BUY,2021-01-01 07:15,142.70,1,1066.60,0.14,-2666.50,0.54,1933.21,0.25,1266.59,0.17
3,Exit Long,INTRADAY_BExit,2021-01-01 09:45,142.90,1,1066.60,0.14,-2666.50,0.54,1933.21,0.25,1266.59,0.17
4,Entry Long,BUY,2021-01-04 04:15,143.40,1,-4533.05,-0.59,-7199.55,-2.3,399.98,0.05,4533.05,0.59
4,Exit Long,SELL,2021-01-04 05:30,142.55,1,-4533.05,-0.59,-7199.55,-2.3,399.98,0.05,4533.05,0.59
5,Entry Short,SELL,2021-01-04 05:30,142.55,1,2133.20,0.28,-5066.35,1.11,4266.40,0.56,0,0
5,Exit Short,INTRADAY_SExit,2021-01-04 09:45,142.15,1,2133.20,0.28,-5066.35,1.11,4266.40,0.56,0,0
6,Entry Short,SELL,2021-01-05 05:45,140.80,1,-3466.45,-0.46,-8532.80,-1.78,333.31,0.04,3666.44,0.49
6,Exit Short,INTRADAY_SExit,2021-01-05 09:45,141.45,1,-3466.45,-0.46,-8532.80,-1.78,333.31,0.04,3666.44,0.49
7,Entry Long,BUY,2021-01-06 04:15,143.00,1,16532.30,2.17,7999.50,8.63,19332.13,2.53,3466.45,0.45
7,Exit Long,BUY_TG_HIT,2021-01-06 07:30,146.10,1,16532.30,2.17,7999.50,8.63,19332.13,2.53,3466.45,0.45
8,Entry Long,BUY,2021-01-06 07:45,146.75,1,5866.30,0.75,13865.80,2.82,11132.64,1.42,2866.49,0.37
8,Exit Long,INTRADAY_BExit,2021-01-06 09:45,147.85,1,5866.30,0.75,13865.80,2.82,11132.64,1.42,2866.49,0.37
9,Entry Long,BUY,2021-01-07 04:30,151.50,1,-10932.65,-1.35,2933.15,-5.11,799.95,0.1,11999.25,1.49
9,Exit Long,SELL,2021-01-07 06:15,149.45,1,-10932.65,-1.35,2933.15,-5.11,799.95,0.1,11999.25,1.49
10,Entry Short,SELL,2021-01-07 06:15,149.45,1,5333.00,0.67,8266.15,2.63,8066.16,1.01,3533.11,0.44
10,Exit Short,INTRADAY_SExit,2021-01-07 09:45,148.45,1,5333.00,0.67,8266.15,2.63,8066.16,1.01,3533.11,0.44
11,Entry Long,BUY,2021-01-08 04:30,151.25,1,8266.15,1.02,16532.30,3.97,10532.68,1.31,2466.51,0.31
11,Exit Long,INTRADAY_BExit,2021-01-08 09:45,152.80,1,8266.15,1.02,16532.30,3.97,10532.68,1.31,2466.51,0.31
12,Entry Short,SELL,2021-01-11 04:45,152.95,1,1599.90,0.2,18132.20,0.74,9132.76,1.12,5066.35,0.62
12,Exit Short,INTRADAY_SExit,2021-01-11 09:45,152.65,1,1599.90,0.2,18132.20,0.74,9132.76,1.12,5066.35,0.62
13,Entry Short,SELL,2021-01-12 04:15,151.05,1,-13065.85,-1.62,5066.35,-5.99,2599.84,0.32,14399.10,1.79
13,Exit Short,BUY,2021-01-12 04:45,153.50,1,-13065.85,-1.62,5066.35,-5.99,2599.84,0.32,14399.10,1.79
14,Entry Long,BUY,2021-01-12 04:45,153.50,1,799.95,0.1,5866.30,0.39,4333.06,0.53,5866.30,0.72
14,Exit Long,INTRADAY_BExit,2021-01-12 09:45,153.65,1,799.95,0.1,5866.30,0.39,4333.06,0.53,5866.30,0.72
15,Entry Long,BUY,2021-01-13 04:15,155.10,1,-10399.35,-1.26,-4533.05,-5.05,2799.83,0.34,12599.21,1.52
15,Exit Long,SELL,2021-01-13 05:00,153.15,1,-10399.35,-1.26,-4533.05,-5.05,2799.83,0.34,12599.21,1.52
