Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-15 07:00,2051.55,1,-737.50,-0.14,-737.50,-0.37,1862.50,0.36,1112.50,0.22
1,Exit Short,BUY,2021-02-15 08:10,2054.50,1,-737.50,-0.14,-737.50,-0.37,1862.50,0.36,1112.50,0.22
2,Entry Long,BUY,2021-02-15 08:10,2054.50,1,-1587.50,-0.31,-2325.00,-0.8,225.00,0.04,1587.50,0.31
2,Exit Long,SELL,2021-02-15 08:35,2048.15,1,-1587.50,-0.31,-2325.00,-0.8,225.00,0.04,1587.50,0.31
3,Entry Short,SELL,2021-02-15 08:35,2048.15,1,2412.50,0.47,87.50,1.22,4525.00,0.88,200.00,0.04
3,Exit Short,INTRADAY_SExit,2021-02-15 09:35,2038.50,1,2412.50,0.47,87.50,1.22,4525.00,0.88,200.00,0.04
4,Entry Long,BUY,2021-02-16 04:05,2050.05,1,4962.50,0.97,5050.00,2.48,5337.50,1.04,2337.50,0.46
4,Exit Long,BUY_TG_HIT,2021-02-16 05:00,2069.90,1,4962.50,0.97,5050.00,2.48,5337.50,1.04,2337.50,0.46
5,Entry Short,SELL,2021-02-16 06:00,2067.15,1,-3312.50,-0.64,1737.50,-1.62,500.00,0.1,3837.50,0.74
5,Exit Short,BUY,2021-02-16 06:55,2080.40,1,-3312.50,-0.64,1737.50,-1.62,500.00,0.1,3837.50,0.74
6,Entry Long,BUY,2021-02-16 06:55,2080.40,1,-1600.00,-0.31,137.50,-0.79,1737.50,0.33,1812.50,0.35
6,Exit Long,SELL,2021-02-16 07:15,2074.00,1,-1600.00,-0.31,137.50,-0.79,1737.50,0.33,1812.50,0.35
7,Entry Short,SELL,2021-02-16 07:15,2074.00,1,1612.50,0.31,1750.00,0.81,4237.50,0.82,537.50,0.1
7,Exit Short,BUY,2021-02-16 09:00,2067.55,1,1612.50,0.31,1750.00,0.81,4237.50,0.82,537.50,0.1
8,Entry Long,BUY,2021-02-16 09:00,2067.55,1,650.00,0.13,2400.00,0.32,1087.50,0.21,212.50,0.04
8,Exit Long,INTRADAY_BExit,2021-02-16 09:35,2070.15,1,650.00,0.13,2400.00,0.32,1087.50,0.21,212.50,0.04
9,Entry Short,SELL,2021-02-17 04:10,2064.60,1,-1237.50,-0.24,1162.50,-0.61,350.00,0.07,1337.50,0.26
9,Exit Short,BUY,2021-02-17 04:15,2069.55,1,-1237.50,-0.24,1162.50,-0.61,350.00,0.07,1337.50,0.26
10,Entry Long,BUY,2021-02-17 04:15,2069.55,1,-875.00,-0.17,287.50,-0.43,600.00,0.12,2287.50,0.44
10,Exit Long,SELL,2021-02-17 05:00,2066.05,1,-875.00,-0.17,287.50,-0.43,600.00,0.12,2287.50,0.44
11,Entry Short,SELL,2021-02-17 05:00,2066.05,1,-487.50,-0.09,-200.00,-0.24,2675.00,0.52,862.50,0.17
11,Exit Short,BUY,2021-02-17 05:35,2068.00,1,-487.50,-0.09,-200.00,-0.24,2675.00,0.52,862.50,0.17
12,Entry Long,BUY,2021-02-17 05:35,2068.00,1,6725.00,1.3,6525.00,3.37,6750.00,1.31,12.50,0
12,Exit Long,BUY_TG_HIT,2021-02-17 06:40,2094.90,1,6725.00,1.3,6525.00,3.37,6750.00,1.31,12.50,0
13,Entry Short,SELL,2021-02-17 07:35,2081.30,1,-3712.50,-0.71,2812.50,-1.8,1187.50,0.23,3712.50,0.71
