Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-15 14:20,2038.75,1,62.50,0.01,62.50,0.03,575.00,0.11,1375.00,0.27
1,Exit Short,INTRADAY_SExit,2021-02-15 15:05,2038.50,1,62.50,0.01,62.50,0.03,575.00,0.11,1375.00,0.27
2,Entry Long,BUY,2021-02-16 09:40,2046.10,1,5950.00,1.16,6012.50,2.97,6325.00,1.24,1350.00,0.26
2,Exit Long,BUY_TG_HIT,2021-02-16 10:30,2069.90,1,5950.00,1.16,6012.50,2.97,6325.00,1.24,1350.00,0.26
3,Entry Short,SELL,2021-02-16 13:10,2064.15,1,-1500.00,-0.29,4512.50,-0.73,1775.00,0.34,1975.00,0.38
3,Exit Short,INTRADAY_SExit,2021-02-16 15:05,2070.15,1,-1500.00,-0.29,4512.50,-0.73,1775.00,0.34,1975.00,0.38
4,Entry Long,BUY,2021-02-17 09:35,2065.60,1,-1587.50,-0.31,2925.00,-0.78,1587.50,0.31,2562.50,0.5
4,Exit Long,SELL,2021-02-17 10:45,2059.25,1,-1587.50,-0.31,2925.00,-0.78,1587.50,0.31,2562.50,0.5
5,Entry Short,SELL,2021-02-17 10:45,2059.25,1,-3250.00,-0.63,-325.00,-1.6,225.00,0.04,4025.00,0.78
5,Exit Short,BUY,2021-02-17 11:15,2072.25,1,-3250.00,-0.63,-325.00,-1.6,225.00,0.04,4025.00,0.78
6,Entry Long,BUY,2021-02-17 11:15,2072.25,1,5662.50,1.09,5337.50,2.84,5687.50,1.1,662.50,0.13
6,Exit Long,BUY_TG_HIT,2021-02-17 12:10,2094.90,1,5662.50,1.09,5337.50,2.84,5687.50,1.1,662.50,0.13
7,Entry Short,SELL,2021-02-17 13:45,2081.65,1,-2850.00,-0.55,2487.50,-1.39,125.00,0.02,3900.00,0.75
7,Exit Short,BUY,2021-02-17 14:20,2093.05,1,-2850.00,-0.55,2487.50,-1.39,125.00,0.02,3900.00,0.75
8,Entry Long,BUY,2021-02-17 14:20,2093.05,1,-1587.50,-0.3,900.00,-0.78,2237.50,0.43,3200.00,0.61
8,Exit Long,INTRADAY_BExit,2021-02-17 15:05,2086.70,1,-1587.50,-0.3,900.00,-0.78,2237.50,0.43,3200.00,0.61
9,Entry Short,SELL,2021-02-18 11:50,2089.30,1,3087.50,0.59,3987.50,1.54,4000.00,0.77,2075.00,0.4
9,Exit Short,INTRADAY_SExit,2021-02-18 15:05,2076.95,1,3087.50,0.59,3987.50,1.54,4000.00,0.77,2075.00,0.4
10,Entry Long,BUY,2021-02-19 09:35,2083.75,1,4862.50,0.93,8850.00,2.38,5087.50,0.98,412.50,0.08
10,Exit Long,BUY_TG_HIT,2021-02-19 10:20,2103.20,1,4862.50,0.93,8850.00,2.38,5087.50,0.98,412.50,0.08
11,Entry Short,SELL,2021-02-19 13:50,2097.90,1,5437.50,1.04,14287.50,2.6,6262.50,1.19,275.00,0.05
11,Exit Short,SELL_TG_HIT,2021-02-19 14:15,2076.15,1,5437.50,1.04,14287.50,2.6,6262.50,1.19,275.00,0.05
12,Entry Long,BUY,2021-02-23 09:35,2036.20,1,-287.50,-0.06,14000.00,-0.13,5200.00,1.02,5150.00,1.01
12,Exit Long,SELL,2021-02-23 12:45,2035.05,1,-287.50,-0.06,14000.00,-0.13,5200.00,1.02,5150.00,1.01
13,Entry Short,SELL,2021-02-23 12:45,2035.05,1,2375.00,0.47,16375.00,1.11,2575.00,0.51,3075.00,0.6
13,Exit Short,INTRADAY_SExit,2021-02-23 15:05,2025.55,1,2375.00,0.47,16375.00,1.11,2575.00,0.51,3075.00,0.6
14,Entry Long,BUY,2021-02-24 09:35,2053.60,1,-1900.00,-0.37,14475.00,-0.88,525.00,0.1,4812.50,0.94
14,Exit Long,INTRADAY_BExit,2021-02-24 15:50,2046.00,1,-1900.00,-0.37,14475.00,-0.88,525.00,0.1,4812.50,0.94
15,Entry Short,SELL,2021-02-26 09:35,2140.00,1,5437.50,1.02,19912.50,2.54,5487.50,1.03,200.00,0.04
15,Exit Short,SELL_TG_HIT,2021-02-26 09:55,2118.25,1,5437.50,1.02,19912.50,2.54,5487.50,1.03,200.00,0.04
16,Entry Long,BUY,2021-02-26 14:05,2112.25,1,-2787.50,-0.53,17125.00,-1.27,1537.50,0.29,2787.50,0.53
16,Exit Long,INTRADAY_BExit,2021-02-26 15:05,2101.10,1,-2787.50,-0.53,17125.00,-1.27,1537.50,0.29,2787.50,0.53
17,Entry Short,SELL,2021-03-01 11:35,2096.70,1,5512.50,1.05,22637.50,2.54,5912.50,1.13,987.50,0.19
17,Exit Short,SELL_TG_HIT,2021-03-01 12:25,2074.65,1,5512.50,1.05,22637.50,2.54,5912.50,1.13,987.50,0.19
18,Entry Long,BUY,2021-03-01 13:15,2088.35,1,5450.00,1.04,28087.50,2.45,5812.50,1.11,1587.50,0.3
18,Exit Long,BUY_TG_HIT,2021-03-01 14:40,2110.15,1,5450.00,1.04,28087.50,2.45,5812.50,1.11,1587.50,0.3
19,Entry Short,SELL,2021-03-02 11:20,2107.70,1,-912.50,-0.17,27175.00,-0.4,3150.00,0.6,3175.00,0.6
19,Exit Short,BUY,2021-03-02 13:55,2111.35,1,-912.50,-0.17,27175.00,-0.4,3150.00,0.6,3175.00,0.6
20,Entry Long,BUY,2021-03-02 13:55,2111.35,1,-2237.50,-0.42,24937.50,-0.98,337.50,0.06,3337.50,0.63
20,Exit Long,SELL,2021-03-02 14:55,2102.40,1,-2237.50,-0.42,24937.50,-0.98,337.50,0.06,3337.50,0.63
21,Entry Short,SELL,2021-03-02 14:55,2102.40,1,-1337.50,-0.25,23600.00,-0.59,600.00,0.11,1337.50,0.25
21,Exit Short,INTRADAY_SExit,2021-03-02 15:05,2107.75,1,-1337.50,-0.25,23600.00,-0.59,600.00,0.11,1337.50,0.25
22,Entry Long,BUY,2021-03-03 09:35,2135.05,1,6237.50,1.17,29837.50,2.79,6237.50,1.17,4762.50,0.89
22,Exit Long,BUY_TG_HIT,2021-03-03 14:25,2160.00,1,6237.50,1.17,29837.50,2.79,6237.50,1.17,4762.50,0.89
23,Entry Short,SELL,2021-03-04 09:35,2174.05,1,-3487.50,-0.64,26350.00,-1.52,2487.50,0.46,5737.50,1.06
23,Exit Short,BUY,2021-03-04 13:20,2188.00,1,-3487.50,-0.64,26350.00,-1.52,2487.50,0.46,5737.50,1.06
24,Entry Long,BUY,2021-03-04 13:20,2188.00,1,-1637.50,-0.3,24712.50,-0.72,1175.00,0.21,2337.50,0.43
24,Exit Long,INTRADAY_BExit,2021-03-04 15:05,2181.45,1,-1637.50,-0.3,24712.50,-0.72,1175.00,0.21,2337.50,0.43
25,Entry Short,SELL,2021-03-05 09:40,2183.00,1,-7625.00,-1.4,17087.50,-3.39,112.50,0.02,7787.50,1.43
25,Exit Short,SELL_SL_HIT,2021-03-05 10:10,2213.50,1,-7625.00,-1.4,17087.50,-3.39,112.50,0.02,7787.50,1.43
26,Entry Long,BUY,2021-03-05 10:15,2211.90,1,-5462.50,-0.99,11625.00,-2.52,12.50,0,5475.00,0.99
26,Exit Long,BUY_SL_HIT,2021-03-05 10:55,2190.05,1,-5462.50,-0.99,11625.00,-2.52,12.50,0,5475.00,0.99
27,Entry Short,SELL,2021-03-05 14:00,2186.50,1,400.00,0.07,12025.00,0.19,4625.00,0.85,112.50,0.02
27,Exit Short,INTRADAY_SExit,2021-03-05 15:05,2184.90,1,400.00,0.07,12025.00,0.19,4625.00,0.85,112.50,0.02
28,Entry Long,BUY,2021-03-08 09:35,2217.00,1,5812.50,1.05,17837.50,2.74,6025.00,1.09,1100.00,0.2
28,Exit Long,BUY_TG_HIT,2021-03-08 10:10,2240.25,1,5812.50,1.05,17837.50,2.74,6025.00,1.09,1100.00,0.2
29,Entry Short,SELL,2021-03-08 12:35,2214.85,1,5425.00,0.98,23262.50,2.49,5625.00,1.02,37.50,0.01
29,Exit Short,SELL_TG_HIT,2021-03-08 13:50,2193.15,1,5425.00,0.98,23262.50,2.49,5625.00,1.02,37.50,0.01
30,Entry Long,BUY,2021-03-09 09:35,2211.50,1,-5875.00,-1.06,17387.50,-2.63,112.50,0.02,6287.50,1.14
30,Exit Long,BUY_SL_HIT,2021-03-09 10:05,2188.00,1,-5875.00,-1.06,17387.50,-2.63,112.50,0.02,6287.50,1.14
31,Entry Short,SELL,2021-03-09 10:20,2189.40,1,5825.00,1.06,23212.50,2.68,6450.00,1.18,1550.00,0.28
31,Exit Short,SELL_TG_HIT,2021-03-09 12:35,2166.10,1,5825.00,1.06,23212.50,2.68,6450.00,1.18,1550.00,0.28
32,Entry Long,BUY,2021-03-09 14:25,2186.00,1,1912.50,0.35,25125.00,0.86,2000.00,0.37,2000.00,0.37
32,Exit Long,INTRADAY_BExit,2021-03-09 15:05,2193.65,1,1912.50,0.35,25125.00,0.86,2000.00,0.37,2000.00,0.37
33,Entry Short,SELL,2021-03-10 11:10,2188.95,1,175.00,0.03,25300.00,0.08,3487.50,0.64,425.00,0.08
33,Exit Short,BUY,2021-03-10 12:55,2188.25,1,175.00,0.03,25300.00,0.08,3487.50,0.64,425.00,0.08
34,Entry Long,BUY,2021-03-10 12:55,2188.25,1,-487.50,-0.09,24812.50,-0.22,900.00,0.16,2450.00,0.45
34,Exit Long,INTRADAY_BExit,2021-03-10 15:05,2186.30,1,-487.50,-0.09,24812.50,-0.22,900.00,0.16,2450.00,0.45
35,Entry Short,SELL,2021-03-12 12:00,2186.00,1,8550.00,1.56,33362.50,3.8,10925.00,2,312.50,0.06
35,Exit Short,SELL_TG_HIT,2021-03-12 13:45,2151.80,1,8550.00,1.56,33362.50,3.8,10925.00,2,312.50,0.06
36,Entry Long,BUY,2021-03-15 14:45,2104.95,1,3637.50,0.69,37000.00,1.56,3950.00,0.75,412.50,0.08
36,Exit Long,INTRADAY_BExit,2021-03-15 15:05,2119.50,1,3637.50,0.69,37000.00,1.56,3950.00,0.75,412.50,0.08
37,Entry Short,SELL,2021-03-16 13:35,2109.70,1,62.50,0.01,37062.50,0.03,1912.50,0.36,1087.50,0.21
37,Exit Short,INTRADAY_SExit,2021-03-16 15:05,2109.45,1,62.50,0.01,37062.50,0.03,1912.50,0.36,1087.50,0.21
38,Entry Long,BUY,2021-03-17 11:40,2081.85,1,-1975.00,-0.38,35087.50,-0.83,512.50,0.1,2387.50,0.46
38,Exit Long,SELL,2021-03-17 13:55,2073.95,1,-1975.00,-0.38,35087.50,-0.83,512.50,0.1,2387.50,0.46
39,Entry Short,SELL,2021-03-17 13:55,2073.95,1,5050.00,0.97,40137.50,2.15,6212.50,1.2,237.50,0.05
39,Exit Short,SELL_TG_HIT,2021-03-17 14:10,2053.75,1,5050.00,0.97,40137.50,2.15,6212.50,1.2,237.50,0.05
40,Entry Long,BUY,2021-03-18 09:35,2077.60,1,-4612.50,-0.89,35525.00,-1.92,500.00,0.1,4900.00,0.94
40,Exit Long,BUY_SL_HIT,2021-03-18 10:20,2059.15,1,-4612.50,-0.89,35525.00,-1.92,500.00,0.1,4900.00,0.94
41,Entry Short,SELL,2021-03-18 10:25,2060.45,1,5512.50,1.07,41037.50,2.34,5687.50,1.1,237.50,0.05
41,Exit Short,SELL_TG_HIT,2021-03-18 13:20,2038.40,1,5512.50,1.07,41037.50,2.34,5687.50,1.1,237.50,0.05
42,Entry Long,BUY,2021-03-19 10:55,2028.80,1,-4625.00,-0.91,36412.50,-1.92,1137.50,0.22,5250.00,1.04
42,Exit Long,BUY_SL_HIT,2021-03-19 12:10,2010.30,1,-4625.00,-0.91,36412.50,-1.92,1137.50,0.22,5250.00,1.04
43,Entry Short,SELL,2021-03-22 09:35,2061.20,1,4700.00,0.91,41112.50,1.99,5300.00,1.03,1875.00,0.36
43,Exit Short,SELL_TG_HIT,2021-03-22 12:30,2042.40,1,4700.00,0.91,41112.50,1.99,5300.00,1.03,1875.00,0.36
44,Entry Long,BUY,2021-03-22 13:50,2058.40,1,1387.50,0.27,42500.00,0.58,1550.00,0.3,3262.50,0.63
44,Exit Long,INTRADAY_BExit,2021-03-22 15:05,2063.95,1,1387.50,0.27,42500.00,0.58,1550.00,0.3,3262.50,0.63
45,Entry Short,SELL,2021-03-24 09:35,2067.95,1,4750.00,0.92,47250.00,1.96,5862.50,1.13,387.50,0.07
45,Exit Short,SELL_TG_HIT,2021-03-24 10:50,2048.95,1,4750.00,0.92,47250.00,1.96,5862.50,1.13,387.50,0.07
46,Entry Long,BUY,2021-03-24 11:55,2067.40,1,-3512.50,-0.68,43737.50,-1.42,587.50,0.11,3975.00,0.77
46,Exit Long,SELL,2021-03-24 14:00,2053.35,1,-3512.50,-0.68,43737.50,-1.42,587.50,0.11,3975.00,0.77
47,Entry Short,SELL,2021-03-24 14:00,2053.35,1,462.50,0.09,44200.00,0.19,2750.00,0.54,912.50,0.18
47,Exit Short,INTRADAY_SExit,2021-03-24 15:05,2051.50,1,462.50,0.09,44200.00,0.19,2750.00,0.54,912.50,0.18
48,Entry Long,BUY,2021-03-26 11:45,2017.00,1,-800.00,-0.16,43400.00,-0.33,1412.50,0.28,2312.50,0.46
48,Exit Long,INTRADAY_BExit,2021-03-26 15:05,2013.80,1,-800.00,-0.16,43400.00,-0.33,1412.50,0.28,2312.50,0.46
