Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-01 04:05,1856.95,100,-720.00,-0.39,-720.00,-0.72,855.00,0.46,905.00,0.49
1,Exit Short,BUY,2021-02-01 05:15,1864.15,100,-720.00,-0.39,-720.00,-0.72,855.00,0.46,905.00,0.49
2,Entry Long,BUY,2021-02-01 05:15,1864.15,100,-875.00,-0.47,-1595.00,-0.88,1385.00,0.74,875.00,0.47
2,Exit Long,SELL,2021-02-01 06:45,1855.40,100,-875.00,-0.47,-1595.00,-0.88,1385.00,0.74,875.00,0.47
3,Entry Short,SELL,2021-02-01 06:45,1855.40,100,-2455.00,-1.32,-4050.00,-2.49,140.00,0.08,2855.00,1.54
3,Exit Short,BUY,2021-02-01 07:25,1879.95,100,-2455.00,-1.32,-4050.00,-2.49,140.00,0.08,2855.00,1.54
4,Entry Long,BUY,2021-02-01 07:25,1879.95,100,1400.00,0.74,-2650.00,1.46,1405.00,0.75,940.00,0.5
4,Exit Long,BUY_TG_HIT,2021-02-01 08:20,1893.95,100,1400.00,0.74,-2650.00,1.46,1405.00,0.75,940.00,0.5
5,Entry Long,BUY,2021-02-01 08:55,1901.75,100,-680.00,-0.36,-3330.00,-0.7,325.00,0.17,1520.00,0.8
5,Exit Long,INTRADAY_BExit,2021-02-01 09:35,1894.95,100,-680.00,-0.36,-3330.00,-0.7,325.00,0.17,1520.00,0.8
6,Entry Short,SELL,2021-02-02 04:10,1890.60,100,1550.00,0.82,-1780.00,1.6,1630.00,0.86,1135.00,0.6
6,Exit Short,SELL_TG_HIT,2021-02-02 04:50,1875.10,100,1550.00,0.82,-1780.00,1.6,1630.00,0.86,1135.00,0.6
7,Entry Long,BUY,2021-02-02 05:55,1873.50,100,-1045.00,-0.56,-2825.00,-1.06,150.00,0.08,1160.00,0.62
7,Exit Long,SELL,2021-02-02 07:55,1863.05,100,-1045.00,-0.56,-2825.00,-1.06,150.00,0.08,1160.00,0.62
8,Entry Short,SELL,2021-02-02 07:55,1863.05,100,-195.00,-0.1,-3020.00,-0.2,80.00,0.04,245.00,0.13
8,Exit Short,BUY,2021-02-02 08:05,1865.00,100,-195.00,-0.1,-3020.00,-0.2,80.00,0.04,245.00,0.13
9,Entry Long,BUY,2021-02-02 08:05,1865.00,100,1500.00,0.8,-1520.00,1.55,1500.00,0.8,0,0
9,Exit Long,BUY_TG_HIT,2021-02-02 08:50,1880.00,100,1500.00,0.8,-1520.00,1.55,1500.00,0.8,0,0
