Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-01-01 04:15,1986.00,100,-800.00,-0.4,-800.00,-0.8,100.00,0.05,885.00,0.45
1,Exit Short,BUY,2021-01-01 05:15,1994.00,100,-800.00,-0.4,-800.00,-0.8,100.00,0.05,885.00,0.45
2,Entry Long,BUY,2021-01-01 05:15,1994.00,100,-700.00,-0.35,-1500.00,-0.71,300.00,0.15,895.00,0.45
2,Exit Long,INTRADAY_BExit,2021-01-01 09:45,1987.00,100,-700.00,-0.35,-1500.00,-0.71,300.00,0.15,895.00,0.45
3,Entry Short,SELL,2021-01-04 04:15,1979.85,100,-1395.00,-0.7,-2895.00,-1.42,1185.00,0.6,1905.00,0.96
3,Exit Short,BUY,2021-01-04 08:30,1993.80,100,-1395.00,-0.7,-2895.00,-1.42,1185.00,0.6,1905.00,0.96
4,Entry Long,BUY,2021-01-04 08:30,1993.80,100,-255.00,-0.13,-3150.00,-0.26,120.00,0.06,1080.00,0.54
4,Exit Long,INTRADAY_BExit,2021-01-04 09:45,1991.25,100,-255.00,-0.13,-3150.00,-0.26,120.00,0.06,1080.00,0.54
5,Entry Short,SELL,2021-01-05 05:30,1969.75,100,385.00,0.2,-2765.00,0.4,1375.00,0.7,375.00,0.19
5,Exit Short,INTRADAY_SExit,2021-01-05 09:45,1965.90,100,385.00,0.2,-2765.00,0.4,1375.00,0.7,375.00,0.19
6,Entry Short,SELL,2021-01-06 04:45,1941.00,100,1940.00,1,-825.00,2,2090.00,1.08,380.00,0.2
6,Exit Short,SELL_TG_HIT,2021-01-06 07:45,1921.60,100,1940.00,1,-825.00,2,2090.00,1.08,380.00,0.2
7,Entry Short,SELL,2021-01-06 08:00,1921.05,100,650.00,0.34,-175.00,0.66,1590.00,0.83,95.00,0.05
7,Exit Short,INTRADAY_SExit,2021-01-06 09:45,1914.55,100,650.00,0.34,-175.00,0.66,1590.00,0.83,95.00,0.05
8,Entry Long,BUY,2021-01-07 04:30,1939.50,100,-2375.00,-1.22,-2550.00,-2.38,40.00,0.02,3050.00,1.57
8,Exit Long,BUY_SL_HIT,2021-01-07 05:00,1915.75,100,-2375.00,-1.22,-2550.00,-2.38,40.00,0.02,3050.00,1.57
9,Entry Short,SELL,2021-01-07 05:45,1915.30,100,300.00,0.16,-2250.00,0.31,1015.00,0.53,600.00,0.31
9,Exit Short,INTRADAY_SExit,2021-01-07 09:45,1912.30,100,300.00,0.16,-2250.00,0.31,1015.00,0.53,600.00,0.31
10,Entry Long,BUY,2021-01-08 08:00,1922.00,100,1295.00,0.67,-955.00,1.32,1640.00,0.85,800.00,0.42
10,Exit Long,INTRADAY_BExit,2021-01-08 09:45,1934.95,100,1295.00,0.67,-955.00,1.32,1640.00,0.85,800.00,0.42
11,Entry Long,BUY,2021-01-11 04:30,1923.90,100,-600.00,-0.31,-1555.00,-0.61,10.00,0.01,1140.00,0.59
11,Exit Long,SELL,2021-01-11 06:00,1917.90,100,-600.00,-0.31,-1555.00,-0.61,10.00,0.01,1140.00,0.59
12,Entry Short,SELL,2021-01-11 06:00,1917.90,100,1985.00,1.03,430.00,2.02,2360.00,1.23,0,0
12,Exit Short,SELL_TG_HIT,2021-01-11 09:15,1898.05,100,1985.00,1.03,430.00,2.02,2360.00,1.23,0,0
13,Entry Long,BUY,2021-01-12 05:15,1919.30,100,2065.00,1.08,2495.00,2.06,2065.00,1.08,330.00,0.17
13,Exit Long,BUY_TG_HIT,2021-01-12 07:45,1939.95,100,2065.00,1.08,2495.00,2.06,2065.00,1.08,330.00,0.17
