Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-01 04:45,863.00,1,-16987.50,-2.62,-16987.50,-8.49,300.00,0.05,29550.00,4.57
1,Exit Short,BUY,2021-02-01 06:45,885.65,1,-16987.50,-2.62,-16987.50,-8.49,300.00,0.05,29550.00,4.57
2,Entry Long,BUY,2021-02-01 06:45,885.65,1,3300.00,0.5,-13687.50,1.8,8887.50,1.34,9112.50,1.37
2,Exit Long,INTRADAY_BExit,2021-02-02 03:45,890.05,1,3300.00,0.5,-13687.50,1.8,8887.50,1.34,9112.50,1.37
3,Entry Short,SELL,2021-02-02 05:45,871.65,1,-150.00,-0.02,-13837.50,-0.08,6825.00,1.04,937.50,0.14
3,Exit Short,INTRADAY_SExit,2021-02-03 03:45,871.85,1,-150.00,-0.02,-13837.50,-0.08,6825.00,1.04,937.50,0.14
4,Entry Long,BUY,2021-02-03 07:15,880.95,1,-8850.00,-1.34,-22687.50,-4.75,1162.50,0.18,8925.00,1.35
4,Exit Long,INTRADAY_BExit,2021-02-04 03:45,869.15,1,-8850.00,-1.34,-22687.50,-4.75,1162.50,0.18,8925.00,1.35
5,Entry Short,SELL,2021-02-04 04:45,866.55,1,-4500.00,-0.69,-27187.50,-2.54,1912.50,0.29,4500.00,0.69
5,Exit Short,INTRADAY_SExit,2021-02-05 03:45,872.55,1,-4500.00,-0.69,-27187.50,-2.54,1912.50,0.29,4500.00,0.69
6,Entry Short,SELL,2021-02-05 05:15,861.60,1,-3675.00,-0.57,-30862.50,-2.13,3412.50,0.53,4500.00,0.7
6,Exit Short,BUY,2021-02-05 06:45,866.50,1,-3675.00,-0.57,-30862.50,-2.13,3412.50,0.53,4500.00,0.7
7,Entry Long,BUY,2021-02-05 06:45,866.50,1,2962.50,0.46,-27900.00,1.75,2962.50,0.46,3300.00,0.51
7,Exit Long,INTRADAY_BExit,2021-02-08 03:45,870.45,1,2962.50,0.46,-27900.00,1.75,2962.50,0.46,3300.00,0.51
8,Entry Long,BUY,2021-02-09 04:45,880.00,1,14250.00,2.16,-13650.00,8.28,14250.00,2.16,1987.50,0.3
8,Exit Long,INTRADAY_BExit,2021-02-10 03:45,899.00,1,14250.00,2.16,-13650.00,8.28,14250.00,2.16,1987.50,0.3
9,Entry Short,SELL,2021-02-10 08:15,901.70,1,-8362.50,-1.24,-22012.50,-4.49,450.00,0.07,10725.00,1.59
9,Exit Short,INTRADAY_SExit,2021-02-11 03:45,912.85,1,-8362.50,-1.24,-22012.50,-4.49,450.00,0.07,10725.00,1.59
10,Entry Long,BUY,2021-02-16 05:15,886.15,1,-10125.00,-1.52,-32137.50,-5.69,2212.50,0.33,10612.50,1.6
10,Exit Long,SELL,2021-02-16 07:45,872.65,1,-10125.00,-1.52,-32137.50,-5.69,2212.50,0.33,10612.50,1.6
11,Entry Short,SELL,2021-02-16 07:45,872.65,1,-2662.50,-0.41,-34800.00,-1.59,187.50,0.03,4500.00,0.69
11,Exit Short,INTRADAY_SExit,2021-02-17 03:45,876.20,1,-2662.50,-0.41,-34800.00,-1.59,187.50,0.03,4500.00,0.69
12,Entry Long,BUY,2021-02-17 04:45,884.90,1,-1462.50,-0.22,-36262.50,-0.89,675.00,0.1,6637.50,1
12,Exit Long,INTRADAY_BExit,2021-02-18 03:45,882.95,1,-1462.50,-0.22,-36262.50,-0.89,675.00,0.1,6637.50,1
13,Entry Short,SELL,2021-02-19 05:45,889.50,1,9487.50,1.42,-26775.00,5.79,11437.50,1.71,187.50,0.03
