Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-15 04:05,891.95,1,6600.00,0.99,6600.00,3.3,7050.00,1.05,2250.00,0.34
1,Exit Short,SELL_TG_HIT,2021-02-15 07:30,883.15,1,6600.00,0.99,6600.00,3.3,7050.00,1.05,2250.00,0.34
2,Entry Short,SELL,2021-02-16 04:15,881.95,1,-3037.50,-0.46,3562.50,-1.47,1912.50,0.29,3412.50,0.52
2,Exit Short,BUY,2021-02-16 04:55,886.00,1,-3037.50,-0.46,3562.50,-1.47,1912.50,0.29,3412.50,0.52
3,Entry Long,BUY,2021-02-16 04:55,886.00,1,-3375.00,-0.51,187.50,-1.66,2325.00,0.35,3637.50,0.55
3,Exit Long,SELL,2021-02-16 05:55,881.50,1,-3375.00,-0.51,187.50,-1.66,2325.00,0.35,3637.50,0.55
4,Entry Short,SELL,2021-02-16 05:55,881.50,1,3750.00,0.57,3937.50,1.87,7125.00,1.08,2775.00,0.42
4,Exit Short,INTRADAY_SExit,2021-02-16 09:35,876.50,1,3750.00,0.57,3937.50,1.87,7125.00,1.08,2775.00,0.42
5,Entry Short,SELL,2021-02-17 04:10,877.15,1,-3450.00,-0.52,487.50,-1.69,637.50,0.1,3937.50,0.6
5,Exit Short,BUY,2021-02-17 04:35,881.75,1,-3450.00,-0.52,487.50,-1.69,637.50,0.1,3937.50,0.6
6,Entry Long,BUY,2021-02-17 04:35,881.75,1,-1312.50,-0.2,-825.00,-0.65,3037.50,0.46,2062.50,0.31
6,Exit Long,SELL,2021-02-17 07:35,880.00,1,-1312.50,-0.2,-825.00,-0.65,3037.50,0.46,2062.50,0.31
7,Entry Short,SELL,2021-02-17 07:35,880.00,1,-1762.50,-0.27,-2587.50,-0.88,337.50,0.05,1762.50,0.27
7,Exit Short,BUY,2021-02-17 07:50,882.35,1,-1762.50,-0.27,-2587.50,-0.88,337.50,0.05,1762.50,0.27
8,Entry Long,BUY,2021-02-17 07:50,882.35,1,-2512.50,-0.38,-5100.00,-1.27,0,0,2512.50,0.38
8,Exit Long,SELL,2021-02-17 08:00,879.00,1,-2512.50,-0.38,-5100.00,-1.27,0,0,2512.50,0.38
9,Entry Short,SELL,2021-02-17 08:00,879.00,1,-1950.00,-0.3,-7050.00,-1,2212.50,0.34,2062.50,0.31
9,Exit Short,BUY,2021-02-17 09:30,881.60,1,-1950.00,-0.3,-7050.00,-1,2212.50,0.34,2062.50,0.31
10,Entry Long,BUY,2021-02-17 09:30,881.60,1,-750.00,-0.11,-7800.00,-0.39,412.50,0.06,900.00,0.14
10,Exit Long,INTRADAY_BExit,2021-02-17 09:35,880.60,1,-750.00,-0.11,-7800.00,-0.39,412.50,0.06,900.00,0.14
11,Entry Long,BUY,2021-02-18 04:05,884.60,1,6937.50,1.05,-862.50,3.61,7387.50,1.11,600.00,0.09
11,Exit Long,BUY_TG_HIT,2021-02-18 04:30,893.85,1,6937.50,1.05,-862.50,3.61,7387.50,1.11,600.00,0.09
12,Entry Long,BUY,2021-02-18 04:45,894.65,1,-4800.00,-0.72,-5662.50,-2.41,3000.00,0.45,5737.50,0.86
12,Exit Long,SELL,2021-02-18 06:15,888.25,1,-4800.00,-0.72,-5662.50,-2.41,3000.00,0.45,5737.50,0.86
13,Entry Short,SELL,2021-02-18 06:15,888.25,1,-3637.50,-0.55,-9300.00,-1.87,1912.50,0.29,3637.50,0.55
13,Exit Short,BUY,2021-02-18 07:45,893.10,1,-3637.50,-0.55,-9300.00,-1.87,1912.50,0.29,3637.50,0.55
14,Entry Long,BUY,2021-02-18 07:45,893.10,1,-2212.50,-0.33,-11512.50,-1.16,150.00,0.02,2700.00,0.4
14,Exit Long,SELL,2021-02-18 08:20,890.15,1,-2212.50,-0.33,-11512.50,-1.16,150.00,0.02,2700.00,0.4
15,Entry Short,SELL,2021-02-18 08:20,890.15,1,-825.00,-0.12,-12337.50,-0.44,450.00,0.07,1387.50,0.21
15,Exit Short,BUY,2021-02-18 08:25,891.25,1,-825.00,-0.12,-12337.50,-0.44,450.00,0.07,1387.50,0.21
16,Entry Long,BUY,2021-02-18 08:25,891.25,1,1687.50,0.25,-10650.00,0.9,2662.50,0.4,562.50,0.08
16,Exit Long,INTRADAY_BExit,2021-02-18 09:35,893.50,1,1687.50,0.25,-10650.00,0.9,2662.50,0.4,562.50,0.08
