Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-02-01 04:15,284.30,1,5175.00,1.21,5175.00,2.59,5475.00,1.28,1050.00,0.25
1,Exit Long,BUY_TG_HIT,2021-02-01 05:30,287.75,1,5175.00,1.21,5175.00,2.59,5475.00,1.28,1050.00,0.25
2,Entry Short,SELL,2021-02-01 05:45,285.70,1,-7275.00,-1.7,-2100.00,-3.55,600.00,0.14,7650.00,1.79
2,Exit Short,SELL_SL_HIT,2021-02-01 06:00,290.55,1,-7275.00,-1.7,-2100.00,-3.55,600.00,0.14,7650.00,1.79
3,Entry Long,BUY,2021-02-01 06:30,292.80,1,14625.00,3.33,12525.00,7.39,15000.00,3.42,2325.00,0.53
3,Exit Long,BUY_TG_HIT,2021-02-01 07:30,302.55,1,14625.00,3.33,12525.00,7.39,15000.00,3.42,2325.00,0.53
4,Entry Short,SELL,2021-02-02 05:15,319.50,1,-6900.00,-1.44,5625.00,-3.25,3750.00,0.78,7350.00,1.53
4,Exit Short,SELL_SL_HIT,2021-02-02 05:45,324.10,1,-6900.00,-1.44,5625.00,-3.25,3750.00,0.78,7350.00,1.53
5,Entry Short,SELL,2021-02-02 06:15,321.20,1,-5175.00,-1.07,450.00,-2.52,2925.00,0.61,7125.00,1.48
5,Exit Short,BUY,2021-02-02 07:30,324.65,1,-5175.00,-1.07,450.00,-2.52,2925.00,0.61,7125.00,1.48
6,Entry Long,BUY,2021-02-02 07:30,324.65,1,8850.00,1.82,9300.00,4.42,10650.00,2.19,225.00,0.05
6,Exit Long,BUY_TG_HIT,2021-02-02 08:15,330.55,1,8850.00,1.82,9300.00,4.42,10650.00,2.19,225.00,0.05
7,Entry Short,SELL,2021-02-03 04:15,331.75,1,-5325.00,-1.07,3975.00,-2.54,2700.00,0.54,6675.00,1.34
7,Exit Short,SELL_SL_HIT,2021-02-03 05:15,335.30,1,-5325.00,-1.07,3975.00,-2.54,2700.00,0.54,6675.00,1.34
8,Entry Short,SELL,2021-02-03 06:45,334.95,1,-4950.00,-0.99,-975.00,-2.43,75.00,0.01,5325.00,1.06
8,Exit Short,SELL_SL_HIT,2021-02-03 07:45,338.25,1,-4950.00,-0.99,-975.00,-2.43,75.00,0.01,5325.00,1.06
9,Entry Long,BUY,2021-02-03 09:15,340.30,1,-3975.00,-0.78,-4950.00,-2,450.00,0.09,5550.00,1.09
9,Exit Long,INTRADAY_BExit,2021-02-03 09:45,337.65,1,-3975.00,-0.78,-4950.00,-2,450.00,0.09,5550.00,1.09
10,Entry Short,SELL,2021-02-04 04:15,336.60,1,-4950.00,-0.98,-9900.00,-2.54,3525.00,0.7,5700.00,1.13
10,Exit Short,BUY,2021-02-04 06:15,339.90,1,-4950.00,-0.98,-9900.00,-2.54,3525.00,0.7,5700.00,1.13
11,Entry Long,BUY,2021-02-04 06:15,339.90,1,7800.00,1.53,-2100.00,4.1,10050.00,1.97,10275.00,2.02
11,Exit Long,BUY_TG_HIT,2021-02-04 08:15,345.10,1,7800.00,1.53,-2100.00,4.1,10050.00,1.97,10275.00,2.02
12,Entry Long,BUY,2021-02-04 09:15,352.25,1,7125.00,1.35,5025.00,3.6,7350.00,1.39,600.00,0.11
12,Exit Long,BUY_TG_HIT,2021-02-04 09:30,357.00,1,7125.00,1.35,5025.00,3.6,7350.00,1.39,600.00,0.11
13,Entry Short,SELL,2021-02-05 07:15,396.50,1,11175.00,1.88,16200.00,5.45,13275.00,2.23,4800.00,0.81
13,Exit Short,SELL_TG_HIT,2021-02-05 08:15,389.05,1,11175.00,1.88,16200.00,5.45,13275.00,2.23,4800.00,0.81
14,Entry Short,SELL,2021-02-08 06:45,397.25,1,-6450.00,-1.08,9750.00,-2.98,2775.00,0.47,7575.00,1.27
14,Exit Short,SELL_SL_HIT,2021-02-08 08:30,401.55,1,-6450.00,-1.08,9750.00,-2.98,2775.00,0.47,7575.00,1.27
15,Entry Short,SELL,2021-02-08 09:15,398.45,1,375.00,0.06,10125.00,0.18,1200.00,0.2,1800.00,0.3
15,Exit Short,INTRADAY_SExit,2021-02-08 09:45,398.20,1,375.00,0.06,10125.00,0.18,1200.00,0.2,1800.00,0.3
16,Entry Long,BUY,2021-02-09 05:15,401.75,1,-5175.00,-0.86,4950.00,-2.46,4875.00,0.81,5400.00,0.9
16,Exit Long,SELL,2021-02-09 09:00,398.30,1,-5175.00,-0.86,4950.00,-2.46,4875.00,0.81,5400.00,0.9
