Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-15 12:05,399.95,1,-2325.00,-0.39,-2325.00,-1.16,1125.00,0.19,2775.00,0.46
1,Exit Short,BUY,2021-02-15 12:35,401.50,1,-2325.00,-0.39,-2325.00,-1.16,1125.00,0.19,2775.00,0.46
2,Entry Long,BUY,2021-02-15 12:35,401.50,1,0,0,-2325.00,0,3450.00,0.57,1425.00,0.24
2,Exit Long,SELL,2021-02-15 13:35,401.50,1,0,0,-2325.00,0,3450.00,0.57,1425.00,0.24
3,Entry Short,SELL,2021-02-15 13:35,401.50,1,-1425.00,-0.24,-3750.00,-0.72,0,0,1575.00,0.26
3,Exit Short,BUY,2021-02-15 13:45,402.45,1,-1425.00,-0.24,-3750.00,-0.72,0,0,1575.00,0.26
4,Entry Long,BUY,2021-02-15 13:45,402.45,1,9150.00,1.52,5400.00,4.66,9750.00,1.62,150.00,0.02
4,Exit Long,BUY_TG_HIT,2021-02-15 14:10,408.55,1,9150.00,1.52,5400.00,4.66,9750.00,1.62,150.00,0.02
5,Entry Short,SELL,2021-02-15 14:35,406.90,1,1125.00,0.18,6525.00,0.55,1950.00,0.32,2025.00,0.33
5,Exit Short,INTRADAY_SExit,2021-02-15 15:05,406.15,1,1125.00,0.18,6525.00,0.55,1950.00,0.32,2025.00,0.33
6,Entry Long,BUY,2021-02-16 09:35,415.10,1,-3150.00,-0.51,3375.00,-1.53,525.00,0.08,4050.00,0.65
6,Exit Long,SELL,2021-02-16 09:45,413.00,1,-3150.00,-0.51,3375.00,-1.53,525.00,0.08,4050.00,0.65
7,Entry Short,SELL,2021-02-16 09:45,413.00,1,7050.00,1.14,10425.00,3.47,7650.00,1.23,1050.00,0.17
7,Exit Short,SELL_TG_HIT,2021-02-16 09:55,408.30,1,7050.00,1.14,10425.00,3.47,7650.00,1.23,1050.00,0.17
8,Entry Long,BUY,2021-02-16 10:45,410.30,1,-1050.00,-0.17,9375.00,-0.5,1125.00,0.18,3450.00,0.56
8,Exit Long,SELL,2021-02-16 11:05,409.60,1,-1050.00,-0.17,9375.00,-0.5,1125.00,0.18,3450.00,0.56
9,Entry Short,SELL,2021-02-16 11:05,409.60,1,6825.00,1.11,16200.00,3.26,6900.00,1.12,900.00,0.15
9,Exit Short,SELL_TG_HIT,2021-02-16 13:05,405.05,1,6825.00,1.11,16200.00,3.26,6900.00,1.12,900.00,0.15
10,Entry Short,SELL,2021-02-16 13:10,404.35,1,-375.00,-0.06,15825.00,-0.17,4425.00,0.73,1875.00,0.31
10,Exit Short,BUY,2021-02-16 14:15,404.60,1,-375.00,-0.06,15825.00,-0.17,4425.00,0.73,1875.00,0.31
11,Entry Long,BUY,2021-02-16 14:15,404.60,1,-450.00,-0.07,15375.00,-0.21,3450.00,0.57,1425.00,0.23
11,Exit Long,SELL,2021-02-16 14:50,404.30,1,-450.00,-0.07,15375.00,-0.21,3450.00,0.57,1425.00,0.23
12,Entry Short,SELL,2021-02-16 14:50,404.30,1,-225.00,-0.04,15150.00,-0.1,150.00,0.02,1800.00,0.3
12,Exit Short,INTRADAY_SExit,2021-02-16 15:05,404.45,1,-225.00,-0.04,15150.00,-0.1,150.00,0.02,1800.00,0.3
13,Entry Long,BUY,2021-02-17 09:50,408.35,1,7200.00,1.18,22350.00,3.35,8175.00,1.33,2325.00,0.38
13,Exit Long,BUY_TG_HIT,2021-02-17 10:20,413.15,1,7200.00,1.18,22350.00,3.35,8175.00,1.33,2325.00,0.38
14,Entry Short,SELL,2021-02-17 11:25,415.00,1,-450.00,-0.07,21900.00,-0.2,2100.00,0.34,2100.00,0.34
14,Exit Short,BUY,2021-02-17 12:45,415.30,1,-450.00,-0.07,21900.00,-0.2,2100.00,0.34,2100.00,0.34
15,Entry Long,BUY,2021-02-17 12:45,415.30,1,-2175.00,-0.35,19725.00,-0.98,300.00,0.05,2625.00,0.42
15,Exit Long,SELL,2021-02-17 13:00,413.85,1,-2175.00,-0.35,19725.00,-0.98,300.00,0.05,2625.00,0.42
16,Entry Short,SELL,2021-02-17 13:00,413.85,1,7500.00,1.21,27225.00,3.41,7500.00,1.21,0,0
