Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-15 04:15,399.05,1,-2775.00,-0.46,-2775.00,-1.39,825.00,0.14,2775.00,0.46
1,Exit Short,BUY,2021-02-15 05:20,400.90,1,-2775.00,-0.46,-2775.00,-1.39,825.00,0.14,2775.00,0.46
2,Entry Long,BUY,2021-02-15 05:20,400.90,1,-2325.00,-0.39,-5100.00,-1.18,2400.00,0.4,2550.00,0.42
2,Exit Long,SELL,2021-02-15 06:50,399.35,1,-2325.00,-0.39,-5100.00,-1.18,2400.00,0.4,2550.00,0.42
3,Entry Short,SELL,2021-02-15 06:50,399.35,1,-2475.00,-0.41,-7575.00,-1.27,150.00,0.03,2625.00,0.44
3,Exit Short,BUY,2021-02-15 07:00,401.00,1,-2475.00,-0.41,-7575.00,-1.27,150.00,0.03,2625.00,0.44
4,Entry Long,BUY,2021-02-15 07:00,401.00,1,7725.00,1.28,150.00,4.01,12975.00,2.16,675.00,0.11
4,Exit Long,INTRADAY_BExit,2021-02-15 09:35,406.15,1,7725.00,1.28,150.00,4.01,12975.00,2.16,675.00,0.11
5,Entry Short,SELL,2021-02-16 04:10,413.75,1,13050.00,2.1,13200.00,6.52,13125.00,2.11,450.00,0.07
5,Exit Short,SELL_TG_HIT,2021-02-16 07:35,405.05,1,13050.00,2.1,13200.00,6.52,13125.00,2.11,450.00,0.07
6,Entry Short,SELL,2021-02-16 07:40,404.35,1,-150.00,-0.02,13050.00,-0.07,4425.00,0.73,3825.00,0.63
6,Exit Short,INTRADAY_SExit,2021-02-16 09:35,404.45,1,-150.00,-0.02,13050.00,-0.07,4425.00,0.73,3825.00,0.63
7,Entry Long,BUY,2021-02-17 04:10,406.40,1,13200.00,2.17,26250.00,6.2,13200.00,2.17,525.00,0.09
7,Exit Long,BUY_TG_HIT,2021-02-17 05:20,415.20,1,13200.00,2.17,26250.00,6.2,13200.00,2.17,525.00,0.09
8,Entry Long,BUY,2021-02-17 05:25,414.60,1,-6675.00,-1.07,19575.00,-2.95,2700.00,0.43,6900.00,1.11
8,Exit Long,SELL,2021-02-17 08:05,410.15,1,-6675.00,-1.07,19575.00,-2.95,2700.00,0.43,6900.00,1.11
9,Entry Short,SELL,2021-02-17 08:05,410.15,1,-5925.00,-0.96,13650.00,-2.7,1950.00,0.32,6675.00,1.08
9,Exit Short,BUY,2021-02-17 09:05,414.10,1,-5925.00,-0.96,13650.00,-2.7,1950.00,0.32,6675.00,1.08
10,Entry Long,BUY,2021-02-17 09:05,414.10,1,-1575.00,-0.25,12075.00,-0.74,1650.00,0.27,2250.00,0.36
10,Exit Long,INTRADAY_BExit,2021-02-17 09:35,413.05,1,-1575.00,-0.25,12075.00,-0.74,1650.00,0.27,2250.00,0.36
11,Entry Short,SELL,2021-02-18 04:15,420.10,1,-5700.00,-0.9,6375.00,-2.69,600.00,0.1,5700.00,0.9
11,Exit Short,BUY,2021-02-18 05:05,423.90,1,-5700.00,-0.9,6375.00,-2.69,600.00,0.1,5700.00,0.9
12,Entry Long,BUY,2021-02-18 05:05,423.90,1,-3525.00,-0.55,2850.00,-1.71,300.00,0.05,3900.00,0.61
12,Exit Long,SELL,2021-02-18 05:25,421.55,1,-3525.00,-0.55,2850.00,-1.71,300.00,0.05,3900.00,0.61
13,Entry Short,SELL,2021-02-18 05:25,421.55,1,6375.00,1.01,9225.00,3.14,8175.00,1.29,975.00,0.15
13,Exit Short,INTRADAY_SExit,2021-02-18 09:35,417.30,1,6375.00,1.01,9225.00,3.14,8175.00,1.29,975.00,0.15
14,Entry Long,BUY,2021-02-19 04:10,412.50,1,-3525.00,-0.57,5700.00,-1.68,3225.00,0.52,3675.00,0.59
14,Exit Long,SELL,2021-02-19 05:20,410.15,1,-3525.00,-0.57,5700.00,-1.68,3225.00,0.52,3675.00,0.59
15,Entry Short,SELL,2021-02-19 05:20,410.15,1,15825.00,2.57,21525.00,7.69,15825.00,2.57,2325.00,0.38
15,Exit Short,SELL_TG_HIT,2021-02-19 08:35,399.60,1,15825.00,2.57,21525.00,7.69,15825.00,2.57,2325.00,0.38
16,Entry Short,SELL,2021-02-19 08:40,395.60,1,-2625.00,-0.44,18900.00,-1.18,975.00,0.16,8250.00,1.39
16,Exit Short,INTRADAY_SExit,2021-02-19 09:35,397.35,1,-2625.00,-0.44,18900.00,-1.18,975.00,0.16,8250.00,1.39
17,Entry Short,SELL,2021-02-22 04:30,395.65,1,12000.00,2.02,30900.00,5.48,12450.00,2.1,3750.00,0.63
17,Exit Short,SELL_TG_HIT,2021-02-22 08:25,387.65,1,12000.00,2.02,30900.00,5.48,12450.00,2.1,3750.00,0.63
18,Entry Short,SELL,2021-02-22 08:30,387.55,1,-4500.00,-0.77,26400.00,-1.95,2250.00,0.39,7800.00,1.34
18,Exit Short,INTRADAY_SExit,2021-02-22 09:35,390.55,1,-4500.00,-0.77,26400.00,-1.95,2250.00,0.39,7800.00,1.34
19,Entry Short,SELL,2021-02-23 04:10,393.00,1,-900.00,-0.15,25500.00,-0.4,5550.00,0.94,975.00,0.17
19,Exit Short,BUY,2021-02-23 04:30,393.60,1,-900.00,-0.15,25500.00,-0.4,5550.00,0.94,975.00,0.17
20,Entry Long,BUY,2021-02-23 04:30,393.60,1,1500.00,0.25,27000.00,0.67,9225.00,1.56,1500.00,0.25
20,Exit Long,INTRADAY_BExit,2021-02-23 09:35,394.60,1,1500.00,0.25,27000.00,0.67,9225.00,1.56,1500.00,0.25
21,Entry Long,BUY,2021-02-24 04:05,401.80,1,450.00,0.07,27450.00,0.2,7575.00,1.26,825.00,0.14
21,Exit Long,SELL,2021-02-24 10:15,402.10,1,450.00,0.07,27450.00,0.2,7575.00,1.26,825.00,0.14
22,Entry Short,SELL,2021-02-24 10:15,402.10,1,-2550.00,-0.42,24900.00,-1.12,0,0,5400.00,0.9
22,Exit Short,INTRADAY_SExit,2021-02-24 10:20,403.80,1,-2550.00,-0.42,24900.00,-1.12,0,0,5400.00,0.9
23,Entry Long,BUY,2021-02-25 04:25,414.80,1,-4200.00,-0.68,20700.00,-1.87,4050.00,0.65,4200.00,0.68
23,Exit Long,SELL,2021-02-25 06:10,412.00,1,-4200.00,-0.68,20700.00,-1.87,4050.00,0.65,4200.00,0.68
24,Entry Short,SELL,2021-02-25 06:10,412.00,1,2400.00,0.39,23100.00,1.09,4575.00,0.74,1575.00,0.25
24,Exit Short,INTRADAY_SExit,2021-02-25 09:35,410.40,1,2400.00,0.39,23100.00,1.09,4575.00,0.74,1575.00,0.25
25,Entry Long,BUY,2021-02-26 04:25,402.10,1,-4275.00,-0.71,18825.00,-1.92,675.00,0.11,5025.00,0.83
25,Exit Long,SELL,2021-02-26 04:55,399.25,1,-4275.00,-0.71,18825.00,-1.92,675.00,0.11,5025.00,0.83
26,Entry Short,SELL,2021-02-26 04:55,399.25,1,3075.00,0.51,21900.00,1.41,11400.00,1.9,0,0
26,Exit Short,BUY,2021-02-26 09:20,397.20,1,3075.00,0.51,21900.00,1.41,11400.00,1.9,0,0
27,Entry Long,BUY,2021-02-26 09:20,397.20,1,-1050.00,-0.18,20850.00,-0.47,75.00,0.01,1800.00,0.3
27,Exit Long,SELL,2021-02-26 09:25,396.50,1,-1050.00,-0.18,20850.00,-0.47,75.00,0.01,1800.00,0.3
28,Entry Short,SELL,2021-02-26 09:25,396.50,1,5700.00,0.96,26550.00,2.58,5700.00,0.96,150.00,0.03
28,Exit Short,INTRADAY_SExit,2021-02-26 09:35,392.70,1,5700.00,0.96,26550.00,2.58,5700.00,0.96,150.00,0.03
29,Entry Long,BUY,2021-03-01 04:15,396.50,1,-2550.00,-0.43,24000.00,-1.13,4950.00,0.83,2775.00,0.47
29,Exit Long,SELL,2021-03-01 06:35,394.80,1,-2550.00,-0.43,24000.00,-1.13,4950.00,0.83,2775.00,0.47
30,Entry Short,SELL,2021-03-01 06:35,394.80,1,-3525.00,-0.6,20475.00,-1.57,3300.00,0.56,4500.00,0.76
30,Exit Short,BUY,2021-03-01 07:45,397.15,1,-3525.00,-0.6,20475.00,-1.57,3300.00,0.56,4500.00,0.76
31,Entry Long,BUY,2021-03-01 07:45,397.15,1,-1500.00,-0.25,18975.00,-0.68,2850.00,0.48,2850.00,0.48
31,Exit Long,INTRADAY_BExit,2021-03-01 09:35,396.15,1,-1500.00,-0.25,18975.00,-0.68,2850.00,0.48,2850.00,0.48
32,Entry Short,SELL,2021-03-02 04:20,397.50,1,-3675.00,-0.62,15300.00,-1.68,0,0,4200.00,0.7
32,Exit Short,BUY,2021-03-02 04:45,399.95,1,-3675.00,-0.62,15300.00,-1.68,0,0,4200.00,0.7
33,Entry Long,BUY,2021-03-02 04:45,399.95,1,-3225.00,-0.54,12075.00,-1.5,75.00,0.01,3600.00,0.6
33,Exit Long,SELL,2021-03-02 04:55,397.80,1,-3225.00,-0.54,12075.00,-1.5,75.00,0.01,3600.00,0.6
34,Entry Short,SELL,2021-03-02 04:55,397.80,1,3375.00,0.57,15450.00,1.59,9000.00,1.51,825.00,0.14
34,Exit Short,INTRADAY_SExit,2021-03-02 09:35,395.55,1,3375.00,0.57,15450.00,1.59,9000.00,1.51,825.00,0.14
35,Entry Long,BUY,2021-03-03 04:30,402.80,1,12900.00,2.14,28350.00,5.99,13500.00,2.23,1500.00,0.25
35,Exit Long,BUY_TG_HIT,2021-03-03 08:20,411.40,1,12900.00,2.14,28350.00,5.99,13500.00,2.23,1500.00,0.25
36,Entry Long,BUY,2021-03-03 08:25,409.35,1,-2025.00,-0.33,26325.00,-0.89,1275.00,0.21,3225.00,0.53
36,Exit Long,INTRADAY_BExit,2021-03-03 09:35,408.00,1,-2025.00,-0.33,26325.00,-0.89,1275.00,0.21,3225.00,0.53
37,Entry Short,SELL,2021-03-04 04:20,401.00,1,-2700.00,-0.45,23625.00,-1.19,1350.00,0.22,3375.00,0.56
37,Exit Short,BUY,2021-03-04 05:50,402.80,1,-2700.00,-0.45,23625.00,-1.19,1350.00,0.22,3375.00,0.56
38,Entry Long,BUY,2021-03-04 05:50,402.80,1,-750.00,-0.12,22875.00,-0.34,5100.00,0.84,1425.00,0.24
38,Exit Long,SELL,2021-03-04 09:00,402.30,1,-750.00,-0.12,22875.00,-0.34,5100.00,0.84,1425.00,0.24
39,Entry Short,SELL,2021-03-04 09:00,402.30,1,6000.00,0.99,28875.00,2.69,6000.00,0.99,375.00,0.06
39,Exit Short,INTRADAY_SExit,2021-03-04 09:35,398.30,1,6000.00,0.99,28875.00,2.69,6000.00,0.99,375.00,0.06
40,Entry Short,SELL,2021-03-05 04:05,387.70,1,-5025.00,-0.86,23850.00,-2.2,675.00,0.12,5175.00,0.89
40,Exit Short,BUY,2021-03-05 04:15,391.05,1,-5025.00,-0.86,23850.00,-2.2,675.00,0.12,5175.00,0.89
41,Entry Long,BUY,2021-03-05 04:15,391.05,1,-2550.00,-0.43,21300.00,-1.14,2325.00,0.4,2625.00,0.45
41,Exit Long,SELL,2021-03-05 05:00,389.35,1,-2550.00,-0.43,21300.00,-1.14,2325.00,0.4,2625.00,0.45
42,Entry Short,SELL,2021-03-05 05:00,389.35,1,12450.00,2.13,33750.00,5.63,12975.00,2.22,1050.00,0.18
42,Exit Short,SELL_TG_HIT,2021-03-05 08:35,381.05,1,12450.00,2.13,33750.00,5.63,12975.00,2.22,1050.00,0.18
43,Entry Short,SELL,2021-03-05 08:40,379.45,1,-5850.00,-1.03,27900.00,-2.5,1200.00,0.21,7125.00,1.25
43,Exit Short,INTRADAY_SExit,2021-03-05 09:35,383.35,1,-5850.00,-1.03,27900.00,-2.5,1200.00,0.21,7125.00,1.25
44,Entry Long,BUY,2021-03-08 04:05,389.60,1,-750.00,-0.13,27150.00,-0.33,7050.00,1.21,750.00,0.13
44,Exit Long,SELL,2021-03-08 05:15,389.10,1,-750.00,-0.13,27150.00,-0.33,7050.00,1.21,750.00,0.13
45,Entry Short,SELL,2021-03-08 05:15,389.10,1,-4575.00,-0.78,22575.00,-2.01,1650.00,0.28,4950.00,0.85
45,Exit Short,BUY,2021-03-08 06:55,392.15,1,-4575.00,-0.78,22575.00,-2.01,1650.00,0.28,4950.00,0.85
46,Entry Long,BUY,2021-03-08 06:55,392.15,1,-3675.00,-0.62,18900.00,-1.65,225.00,0.04,5475.00,0.93
46,Exit Long,SELL,2021-03-08 07:20,389.70,1,-3675.00,-0.62,18900.00,-1.65,225.00,0.04,5475.00,0.93
47,Entry Short,SELL,2021-03-08 07:20,389.70,1,-2475.00,-0.42,16425.00,-1.13,2325.00,0.4,3225.00,0.55
47,Exit Short,BUY,2021-03-08 08:45,391.35,1,-2475.00,-0.42,16425.00,-1.13,2325.00,0.4,3225.00,0.55
48,Entry Long,BUY,2021-03-08 08:45,391.35,1,-1200.00,-0.2,15225.00,-0.55,5025.00,0.86,1500.00,0.26
48,Exit Long,INTRADAY_BExit,2021-03-08 09:35,390.55,1,-1200.00,-0.2,15225.00,-0.55,5025.00,0.86,1500.00,0.26
49,Entry Long,BUY,2021-03-09 04:05,393.80,1,-2025.00,-0.34,13200.00,-0.94,1500.00,0.25,2100.00,0.36
49,Exit Long,SELL,2021-03-09 04:20,392.45,1,-2025.00,-0.34,13200.00,-0.94,1500.00,0.25,2100.00,0.36
50,Entry Short,SELL,2021-03-09 04:20,392.45,1,-3300.00,-0.56,9900.00,-1.55,525.00,0.09,3975.00,0.68
50,Exit Short,BUY,2021-03-09 06:10,394.65,1,-3300.00,-0.56,9900.00,-1.55,525.00,0.09,3975.00,0.68
51,Entry Long,BUY,2021-03-09 06:10,394.65,1,-2775.00,-0.47,7125.00,-1.32,1275.00,0.22,2775.00,0.47
51,Exit Long,SELL,2021-03-09 06:50,392.80,1,-2775.00,-0.47,7125.00,-1.32,1275.00,0.22,2775.00,0.47
52,Entry Short,SELL,2021-03-09 06:50,392.80,1,12750.00,2.16,19875.00,6.16,12750.00,2.16,750.00,0.13
52,Exit Short,SELL_TG_HIT,2021-03-09 08:45,384.30,1,12750.00,2.16,19875.00,6.16,12750.00,2.16,750.00,0.13
53,Entry Short,SELL,2021-03-10 04:05,390.75,1,2625.00,0.45,22500.00,1.19,5100.00,0.87,2025.00,0.35
53,Exit Short,INTRADAY_SExit,2021-03-10 09:35,389.00,1,2625.00,0.45,22500.00,1.19,5100.00,0.87,2025.00,0.35
54,Entry Long,BUY,2021-03-12 04:05,395.00,1,-2475.00,-0.42,20025.00,-1.11,0,0,2775.00,0.47
54,Exit Long,SELL,2021-03-12 04:35,393.35,1,-2475.00,-0.42,20025.00,-1.11,0,0,2775.00,0.47
55,Entry Short,SELL,2021-03-12 04:35,393.35,1,14175.00,2.4,34200.00,6.44,16050.00,2.72,75.00,0.01
55,Exit Short,SELL_TG_HIT,2021-03-12 08:15,383.90,1,14175.00,2.4,34200.00,6.44,16050.00,2.72,75.00,0.01
56,Entry Short,SELL,2021-03-12 08:20,383.90,1,1050.00,0.18,35250.00,0.45,8550.00,1.48,2700.00,0.47
56,Exit Short,INTRADAY_SExit,2021-03-12 09:35,383.20,1,1050.00,0.18,35250.00,0.45,8550.00,1.48,2700.00,0.47
57,Entry Short,SELL,2021-03-15 04:05,372.55,1,-6375.00,-1.14,28875.00,-2.71,300.00,0.05,7125.00,1.27
