Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-01 04:05,283.50,100,-205.00,-0.72,-205.00,-0.2,60.00,0.21,230.00,0.81
1,Exit Short,BUY,2021-02-01 04:40,285.55,100,-205.00,-0.72,-205.00,-0.2,60.00,0.21,230.00,0.81
2,Entry Long,BUY,2021-02-01 04:40,285.55,100,-75.00,-0.26,-280.00,-0.08,195.00,0.68,85.00,0.3
2,Exit Long,SELL,2021-02-01 05:45,284.80,100,-75.00,-0.26,-280.00,-0.08,195.00,0.68,85.00,0.3
3,Entry Short,SELL,2021-02-01 05:45,284.80,100,-465.00,-1.63,-745.00,-0.47,30.00,0.11,490.00,1.72
3,Exit Short,BUY,2021-02-01 06:00,289.45,100,-465.00,-1.63,-745.00,-0.47,30.00,0.11,490.00,1.72
4,Entry Long,BUY,2021-02-01 06:00,289.45,100,155.00,0.54,-590.00,0.16,530.00,1.83,300.00,1.04
4,Exit Long,SELL,2021-02-01 06:50,291.00,100,155.00,0.54,-590.00,0.16,530.00,1.83,300.00,1.04
5,Entry Short,SELL,2021-02-01 06:50,291.00,100,-775.00,-2.66,-1365.00,-0.78,65.00,0.22,840.00,2.89
5,Exit Short,BUY,2021-02-01 07:25,298.75,100,-775.00,-2.66,-1365.00,-0.78,65.00,0.22,840.00,2.89
6,Entry Long,BUY,2021-02-01 07:25,298.75,100,865.00,2.9,-500.00,0.88,905.00,3.03,95.00,0.32
6,Exit Long,BUY_TG_HIT,2021-02-01 08:05,307.40,100,865.00,2.9,-500.00,0.88,905.00,3.03,95.00,0.32
7,Entry Short,SELL,2021-02-01 08:45,304.10,100,-620.00,-2.04,-1120.00,-0.62,80.00,0.26,620.00,2.04
7,Exit Short,BUY,2021-02-01 09:20,310.30,100,-620.00,-2.04,-1120.00,-0.62,80.00,0.26,620.00,2.04
8,Entry Long,BUY,2021-02-01 09:20,310.30,100,65.00,0.21,-1055.00,0.07,305.00,0.98,140.00,0.45
8,Exit Long,INTRADAY_BExit,2021-02-01 09:35,310.95,100,65.00,0.21,-1055.00,0.07,305.00,0.98,140.00,0.45
9,Entry Long,BUY,2021-02-02 04:05,327.80,100,-780.00,-2.38,-1835.00,-0.79,20.00,0.06,835.00,2.55
9,Exit Long,SELL,2021-02-02 04:45,320.00,100,-780.00,-2.38,-1835.00,-0.79,20.00,0.06,835.00,2.55
10,Entry Short,SELL,2021-02-02 04:45,320.00,100,-185.00,-0.58,-2020.00,-0.19,385.00,1.2,345.00,1.08
10,Exit Short,BUY,2021-02-02 06:45,321.85,100,-185.00,-0.58,-2020.00,-0.19,385.00,1.2,345.00,1.08
11,Entry Long,BUY,2021-02-02 06:45,321.85,100,785.00,2.44,-1235.00,0.8,805.00,2.5,135.00,0.42
11,Exit Long,BUY_TG_HIT,2021-02-02 08:10,329.70,100,785.00,2.44,-1235.00,0.8,805.00,2.5,135.00,0.42
12,Entry Long,BUY,2021-02-02 08:45,333.20,100,295.00,0.89,-940.00,0.3,420.00,1.26,85.00,0.26
12,Exit Long,INTRADAY_BExit,2021-02-02 09:35,336.15,100,295.00,0.89,-940.00,0.3,420.00,1.26,85.00,0.26
13,Entry Short,SELL,2021-02-03 04:05,330.30,100,-215.00,-0.65,-1155.00,-0.22,165.00,0.5,235.00,0.71
13,Exit Short,BUY,2021-02-03 05:05,332.45,100,-215.00,-0.65,-1155.00,-0.22,165.00,0.5,235.00,0.71
14,Entry Long,BUY,2021-02-03 05:05,332.45,100,125.00,0.38,-1030.00,0.13,555.00,1.67,55.00,0.17
14,Exit Long,SELL,2021-02-03 06:45,333.70,100,125.00,0.38,-1030.00,0.13,555.00,1.67,55.00,0.17
15,Entry Short,SELL,2021-02-03 06:45,333.70,100,-310.00,-0.93,-1340.00,-0.31,20.00,0.06,330.00,0.99
15,Exit Short,BUY,2021-02-03 07:45,336.80,100,-310.00,-0.93,-1340.00,-0.31,20.00,0.06,330.00,0.99
16,Entry Long,BUY,2021-02-03 07:45,336.80,100,-225.00,-0.67,-1565.00,-0.23,20.00,0.06,255.00,0.76
16,Exit Long,SELL,2021-02-03 08:30,334.55,100,-225.00,-0.67,-1565.00,-0.23,20.00,0.06,255.00,0.76
17,Entry Short,SELL,2021-02-03 08:30,334.55,100,-135.00,-0.4,-1700.00,-0.14,285.00,0.85,195.00,0.58
17,Exit Short,BUY,2021-02-03 09:00,335.90,100,-135.00,-0.4,-1700.00,-0.14,285.00,0.85,195.00,0.58
18,Entry Long,BUY,2021-02-03 09:00,335.90,100,50.00,0.15,-1650.00,0.05,400.00,1.19,115.00,0.34
18,Exit Long,INTRADAY_BExit,2021-02-03 09:35,336.40,100,50.00,0.15,-1650.00,0.05,400.00,1.19,115.00,0.34
19,Entry Short,SELL,2021-02-04 04:05,334.65,100,-95.00,-0.28,-1745.00,-0.1,195.00,0.58,200.00,0.6
19,Exit Short,BUY,2021-02-04 05:40,335.60,100,-95.00,-0.28,-1745.00,-0.1,195.00,0.58,200.00,0.6
20,Entry Long,BUY,2021-02-04 05:40,335.60,100,-185.00,-0.55,-1930.00,-0.19,630.00,1.88,185.00,0.55
20,Exit Long,SELL,2021-02-04 08:10,333.75,100,-185.00,-0.55,-1930.00,-0.19,630.00,1.88,185.00,0.55
21,Entry Short,SELL,2021-02-04 08:10,333.75,100,-955.00,-2.86,-2885.00,-0.97,265.00,0.79,1095.00,3.28
21,Exit Short,SELL_SL_HIT,2021-02-04 08:15,343.30,100,-955.00,-2.86,-2885.00,-0.97,265.00,0.79,1095.00,3.28
22,Entry Short,SELL,2021-02-04 08:25,337.50,100,-1230.00,-3.64,-4115.00,-1.27,550.00,1.63,1250.00,3.7
22,Exit Short,BUY,2021-02-04 09:10,349.80,100,-1230.00,-3.64,-4115.00,-1.27,550.00,1.63,1250.00,3.7
23,Entry Long,BUY,2021-02-04 09:10,349.80,100,330.00,0.94,-3785.00,0.34,590.00,1.69,20.00,0.06
23,Exit Long,INTRADAY_BExit,2021-02-04 09:35,353.10,100,330.00,0.94,-3785.00,0.34,590.00,1.69,20.00,0.06
24,Entry Short,SELL,2021-02-05 04:55,400.00,100,800.00,2,-2985.00,0.83,845.00,2.11,500.00,1.25
24,Exit Short,SELL_TG_HIT,2021-02-05 07:55,392.00,100,800.00,2,-2985.00,0.83,845.00,2.11,500.00,1.25
25,Entry Long,BUY,2021-02-05 08:50,396.70,100,-280.00,-0.71,-3265.00,-0.29,15.00,0.04,590.00,1.49
25,Exit Long,INTRADAY_BExit,2021-02-05 09:35,393.90,100,-280.00,-0.71,-3265.00,-0.29,15.00,0.04,590.00,1.49
26,Entry Long,BUY,2021-02-08 04:05,400.40,100,5.00,0.01,-3260.00,0.01,460.00,1.15,340.00,0.85
26,Exit Long,SELL,2021-02-08 05:25,400.45,100,5.00,0.01,-3260.00,0.01,460.00,1.15,340.00,0.85
27,Entry Short,SELL,2021-02-08 05:25,400.45,100,225.00,0.56,-3035.00,0.23,570.00,1.42,45.00,0.11
27,Exit Short,BUY,2021-02-08 07:10,398.20,100,225.00,0.56,-3035.00,0.23,570.00,1.42,45.00,0.11
28,Entry Long,BUY,2021-02-08 07:10,398.20,100,-50.00,-0.13,-3085.00,-0.05,325.00,0.82,260.00,0.65
28,Exit Long,SELL,2021-02-08 09:15,397.70,100,-50.00,-0.13,-3085.00,-0.05,325.00,0.82,260.00,0.65
29,Entry Short,SELL,2021-02-08 09:15,397.70,100,-85.00,-0.21,-3170.00,-0.09,20.00,0.05,120.00,0.3
29,Exit Short,INTRADAY_SExit,2021-02-08 09:35,398.55,100,-85.00,-0.21,-3170.00,-0.09,20.00,0.05,120.00,0.3
30,Entry Short,SELL,2021-02-09 04:05,392.70,100,-80.00,-0.2,-3250.00,-0.08,370.00,0.94,210.00,0.53
30,Exit Short,BUY,2021-02-09 04:35,393.50,100,-80.00,-0.2,-3250.00,-0.08,370.00,0.94,210.00,0.53
31,Entry Long,BUY,2021-02-09 04:35,393.50,100,850.00,2.16,-2400.00,0.88,1000.00,2.54,150.00,0.38
31,Exit Long,BUY_TG_HIT,2021-02-09 05:20,402.00,100,850.00,2.16,-2400.00,0.88,1000.00,2.54,150.00,0.38
32,Entry Short,SELL,2021-02-09 06:35,400.40,100,-30.00,-0.07,-2430.00,-0.03,265.00,0.66,60.00,0.15
32,Exit Short,BUY,2021-02-09 08:10,400.70,100,-30.00,-0.07,-2430.00,-0.03,265.00,0.66,60.00,0.15
33,Entry Long,BUY,2021-02-09 08:10,400.70,100,-175.00,-0.44,-2605.00,-0.18,10.00,0.02,215.00,0.54
33,Exit Long,SELL,2021-02-09 08:25,398.95,100,-175.00,-0.44,-2605.00,-0.18,10.00,0.02,215.00,0.54
34,Entry Short,SELL,2021-02-09 08:25,398.95,100,575.00,1.44,-2030.00,0.59,690.00,1.73,120.00,0.3
34,Exit Short,INTRADAY_SExit,2021-02-09 09:35,393.20,100,575.00,1.44,-2030.00,0.59,690.00,1.73,120.00,0.3
35,Entry Short,SELL,2021-02-10 05:10,389.10,100,-430.00,-1.11,-2460.00,-0.44,0,0,485.00,1.25
35,Exit Short,BUY,2021-02-10 05:50,393.40,100,-430.00,-1.11,-2460.00,-0.44,0,0,485.00,1.25
36,Entry Long,BUY,2021-02-10 05:50,393.40,100,-140.00,-0.36,-2600.00,-0.14,305.00,0.78,185.00,0.47
36,Exit Long,SELL,2021-02-10 06:50,392.00,100,-140.00,-0.36,-2600.00,-0.14,305.00,0.78,185.00,0.47
37,Entry Short,SELL,2021-02-10 06:50,392.00,100,50.00,0.13,-2550.00,0.05,360.00,0.92,180.00,0.46
37,Exit Short,BUY,2021-02-10 09:05,391.50,100,50.00,0.13,-2550.00,0.05,360.00,0.92,180.00,0.46
38,Entry Long,BUY,2021-02-10 09:05,391.50,100,40.00,0.1,-2510.00,0.04,110.00,0.28,350.00,0.89
38,Exit Long,INTRADAY_BExit,2021-02-10 09:35,391.90,100,40.00,0.1,-2510.00,0.04,110.00,0.28,350.00,0.89
39,Entry Short,SELL,2021-02-11 04:35,393.80,100,170.00,0.43,-2340.00,0.17,450.00,1.14,45.00,0.11
39,Exit Short,BUY,2021-02-11 07:00,392.10,100,170.00,0.43,-2340.00,0.17,450.00,1.14,45.00,0.11
40,Entry Long,BUY,2021-02-11 07:00,392.10,100,-210.00,-0.54,-2550.00,-0.22,35.00,0.09,310.00,0.79
40,Exit Long,SELL,2021-02-11 07:35,390.00,100,-210.00,-0.54,-2550.00,-0.22,35.00,0.09,310.00,0.79
41,Entry Short,SELL,2021-02-11 07:35,390.00,100,-115.00,-0.29,-2665.00,-0.12,175.00,0.45,170.00,0.44
41,Exit Short,BUY,2021-02-11 08:20,391.15,100,-115.00,-0.29,-2665.00,-0.12,175.00,0.45,170.00,0.44
42,Entry Long,BUY,2021-02-11 08:20,391.15,100,-195.00,-0.5,-2860.00,-0.2,70.00,0.18,215.00,0.55
42,Exit Long,SELL,2021-02-11 09:30,389.20,100,-195.00,-0.5,-2860.00,-0.2,70.00,0.18,215.00,0.55
43,Entry Short,SELL,2021-02-11 09:30,389.20,100,-125.00,-0.32,-2985.00,-0.13,20.00,0.05,140.00,0.36
43,Exit Short,INTRADAY_SExit,2021-02-11 09:35,390.45,100,-125.00,-0.32,-2985.00,-0.13,20.00,0.05,140.00,0.36
44,Entry Short,SELL,2021-02-12 04:05,387.50,100,-150.00,-0.39,-3135.00,-0.15,195.00,0.5,225.00,0.58
44,Exit Short,BUY,2021-02-12 05:00,389.00,100,-150.00,-0.39,-3135.00,-0.15,195.00,0.5,225.00,0.58
45,Entry Long,BUY,2021-02-12 05:00,389.00,100,190.00,0.49,-2945.00,0.2,365.00,0.94,45.00,0.12
45,Exit Long,SELL,2021-02-12 06:35,390.90,100,190.00,0.49,-2945.00,0.2,365.00,0.94,45.00,0.12
46,Entry Short,SELL,2021-02-12 06:35,390.90,100,-130.00,-0.33,-3075.00,-0.13,35.00,0.09,150.00,0.38
46,Exit Short,BUY,2021-02-12 07:05,392.20,100,-130.00,-0.33,-3075.00,-0.13,35.00,0.09,150.00,0.38
47,Entry Long,BUY,2021-02-12 07:05,392.20,100,315.00,0.8,-2760.00,0.32,715.00,1.82,15.00,0.04
47,Exit Long,SELL,2021-02-12 08:20,395.35,100,315.00,0.8,-2760.00,0.32,715.00,1.82,15.00,0.04
48,Entry Short,SELL,2021-02-12 08:20,395.35,100,230.00,0.58,-2530.00,0.24,475.00,1.2,0,0
48,Exit Short,INTRADAY_SExit,2021-02-12 09:35,393.05,100,230.00,0.58,-2530.00,0.24,475.00,1.2,0,0
49,Entry Long,BUY,2021-02-15 04:05,399.10,100,-45.00,-0.11,-2575.00,-0.05,50.00,0.13,170.00,0.43
49,Exit Long,SELL,2021-02-15 05:35,398.65,100,-45.00,-0.11,-2575.00,-0.05,50.00,0.13,170.00,0.43
50,Entry Short,SELL,2021-02-15 05:35,398.65,100,-135.00,-0.34,-2710.00,-0.14,0,0,175.00,0.44
50,Exit Short,BUY,2021-02-15 05:55,400.00,100,-135.00,-0.34,-2710.00,-0.14,0,0,175.00,0.44
51,Entry Long,BUY,2021-02-15 05:55,400.00,100,-50.00,-0.12,-2760.00,-0.05,100.00,0.25,85.00,0.21
51,Exit Long,SELL,2021-02-15 06:25,399.50,100,-50.00,-0.12,-2760.00,-0.05,100.00,0.25,85.00,0.21
52,Entry Short,SELL,2021-02-15 06:25,399.50,100,-90.00,-0.23,-2850.00,-0.09,140.00,0.35,175.00,0.44
