Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-01 09:45,277.75,100,165.00,0.59,165.00,0.17,210.00,0.76,95.00,0.34
1,Exit Long,INTRADAY_BExit,2021-01-01 15:15,279.40,100,165.00,0.59,165.00,0.17,210.00,0.76,95.00,0.34
2,Entry Short,SELL,2021-01-04 11:00,280.70,100,-85.00,-0.3,80.00,-0.08,295.00,1.05,90.00,0.32
2,Exit Short,BUY,2021-01-04 12:45,281.55,100,-85.00,-0.3,80.00,-0.08,295.00,1.05,90.00,0.32
3,Entry Long,BUY,2021-01-04 12:45,281.55,100,-95.00,-0.34,-15.00,-0.09,35.00,0.12,155.00,0.55
3,Exit Long,SELL,2021-01-04 14:15,280.60,100,-95.00,-0.34,-15.00,-0.09,35.00,0.12,155.00,0.55
4,Entry Short,SELL,2021-01-04 14:15,280.60,100,-40.00,-0.14,-55.00,-0.04,145.00,0.52,105.00,0.37
4,Exit Short,INTRADAY_SExit,2021-01-04 15:15,281.00,100,-40.00,-0.14,-55.00,-0.04,145.00,0.52,105.00,0.37
5,Entry Long,BUY,2021-01-05 11:15,279.05,100,265.00,0.95,210.00,0.27,340.00,1.22,75.00,0.27
5,Exit Long,INTRADAY_BExit,2021-01-05 15:15,281.70,100,265.00,0.95,210.00,0.27,340.00,1.22,75.00,0.27
6,Entry Short,SELL,2021-01-06 13:45,285.20,100,35.00,0.12,245.00,0.03,380.00,1.33,0,0
6,Exit Short,BUY,2021-01-06 14:45,284.85,100,35.00,0.12,245.00,0.03,380.00,1.33,0,0
7,Entry Long,BUY,2021-01-06 14:45,284.85,100,45.00,0.16,290.00,0.04,105.00,0.37,20.00,0.07
7,Exit Long,INTRADAY_BExit,2021-01-06 15:15,285.30,100,45.00,0.16,290.00,0.04,105.00,0.37,20.00,0.07
8,Entry Short,SELL,2021-01-07 10:30,288.35,100,-190.00,-0.66,100.00,-0.19,35.00,0.12,210.00,0.73
8,Exit Short,BUY,2021-01-07 13:15,290.25,100,-190.00,-0.66,100.00,-0.19,35.00,0.12,210.00,0.73
9,Entry Long,BUY,2021-01-07 13:15,290.25,100,-145.00,-0.5,-45.00,-0.14,15.00,0.05,185.00,0.64
9,Exit Long,SELL,2021-01-07 13:45,288.80,100,-145.00,-0.5,-45.00,-0.14,15.00,0.05,185.00,0.64
10,Entry Short,SELL,2021-01-07 13:45,288.80,100,135.00,0.47,90.00,0.14,170.00,0.59,90.00,0.31
10,Exit Short,INTRADAY_SExit,2021-01-07 15:15,287.45,100,135.00,0.47,90.00,0.14,170.00,0.59,90.00,0.31
11,Entry Long,BUY,2021-01-08 09:45,289.60,100,15.00,0.05,105.00,0.01,180.00,0.62,5.00,0.02
11,Exit Long,SELL,2021-01-08 11:00,289.75,100,15.00,0.05,105.00,0.01,180.00,0.62,5.00,0.02
12,Entry Short,SELL,2021-01-08 11:00,289.75,100,345.00,1.19,450.00,0.34,455.00,1.57,15.00,0.05
12,Exit Short,INTRADAY_SExit,2021-01-08 15:15,286.30,100,345.00,1.19,450.00,0.34,455.00,1.57,15.00,0.05
13,Entry Long,BUY,2021-01-11 11:15,282.75,100,-155.00,-0.55,295.00,-0.15,60.00,0.21,170.00,0.6
13,Exit Long,SELL,2021-01-11 13:00,281.20,100,-155.00,-0.55,295.00,-0.15,60.00,0.21,170.00,0.6
14,Entry Short,SELL,2021-01-11 13:00,281.20,100,-90.00,-0.32,205.00,-0.09,105.00,0.37,165.00,0.59
14,Exit Short,INTRADAY_SExit,2021-01-11 15:15,282.10,100,-90.00,-0.32,205.00,-0.09,105.00,0.37,165.00,0.59
15,Entry Long,BUY,2021-01-12 09:45,284.15,100,-165.00,-0.58,40.00,-0.16,5.00,0.02,225.00,0.79
15,Exit Long,SELL,2021-01-12 10:15,282.50,100,-165.00,-0.58,40.00,-0.16,5.00,0.02,225.00,0.79
16,Entry Short,SELL,2021-01-12 10:15,282.50,100,-145.00,-0.51,-105.00,-0.14,85.00,0.3,150.00,0.53
16,Exit Short,BUY,2021-01-12 11:15,283.95,100,-145.00,-0.51,-105.00,-0.14,85.00,0.3,150.00,0.53
17,Entry Long,BUY,2021-01-12 11:15,283.95,100,220.00,0.77,115.00,0.22,520.00,1.83,55.00,0.19
17,Exit Long,SELL,2021-01-12 13:00,286.15,100,220.00,0.77,115.00,0.22,520.00,1.83,55.00,0.19
18,Entry Short,SELL,2021-01-12 13:00,286.15,100,-130.00,-0.45,-15.00,-0.13,90.00,0.31,155.00,0.54
18,Exit Short,BUY,2021-01-12 14:30,287.45,100,-130.00,-0.45,-15.00,-0.13,90.00,0.31,155.00,0.54
19,Entry Long,BUY,2021-01-12 14:30,287.45,100,535.00,1.86,520.00,0.54,640.00,2.23,60.00,0.21
19,Exit Long,INTRADAY_BExit,2021-01-12 15:15,292.80,100,535.00,1.86,520.00,0.54,640.00,2.23,60.00,0.21
20,Entry Short,SELL,2021-01-13 11:45,298.45,100,-525.00,-1.76,-5.00,-0.52,395.00,1.32,535.00,1.79
20,Exit Short,BUY,2021-01-13 14:30,303.70,100,-525.00,-1.76,-5.00,-0.52,395.00,1.32,535.00,1.79
21,Entry Long,BUY,2021-01-13 14:30,303.70,100,325.00,1.07,320.00,0.33,430.00,1.42,150.00,0.49
21,Exit Long,INTRADAY_BExit,2021-01-13 15:15,306.95,100,325.00,1.07,320.00,0.33,430.00,1.42,150.00,0.49
22,Entry Short,SELL,2021-01-14 14:45,306.50,100,-40.00,-0.13,280.00,-0.04,30.00,0.1,115.00,0.38
22,Exit Short,INTRADAY_SExit,2021-01-14 15:15,306.90,100,-40.00,-0.13,280.00,-0.04,30.00,0.1,115.00,0.38
23,Entry Short,SELL,2021-01-15 09:45,307.10,100,25.00,0.08,305.00,0.02,280.00,0.91,225.00,0.73
23,Exit Short,BUY,2021-01-15 12:45,306.85,100,25.00,0.08,305.00,0.02,280.00,0.91,225.00,0.73
24,Entry Long,BUY,2021-01-15 12:45,306.85,100,-215.00,-0.7,90.00,-0.21,35.00,0.11,345.00,1.12
24,Exit Long,SELL,2021-01-15 14:00,304.70,100,-215.00,-0.7,90.00,-0.21,35.00,0.11,345.00,1.12
25,Entry Short,SELL,2021-01-15 14:00,304.70,100,90.00,0.3,180.00,0.09,340.00,1.12,40.00,0.13
25,Exit Short,INTRADAY_SExit,2021-01-15 15:15,303.80,100,90.00,0.3,180.00,0.09,340.00,1.12,40.00,0.13
26,Entry Long,BUY,2021-01-18 09:45,308.00,100,-510.00,-1.66,-330.00,-0.51,50.00,0.16,545.00,1.77
26,Exit Long,SELL,2021-01-18 10:00,302.90,100,-510.00,-1.66,-330.00,-0.51,50.00,0.16,545.00,1.77
27,Entry Short,SELL,2021-01-18 10:00,302.90,100,645.00,2.13,315.00,0.65,660.00,2.18,140.00,0.46
