Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-02-15 07:20,28623.30,1,-1457.50,-0.2,-1457.50,-0.73,667.50,0.09,1457.50,0.2
1,Exit Long,SELL,2021-02-15 07:30,28565.00,1,-1457.50,-0.2,-1457.50,-0.73,667.50,0.09,1457.50,0.2
2,Entry Short,SELL,2021-02-15 07:30,28565.00,1,-4000.00,-0.56,-5457.50,-2.01,2302.50,0.32,4877.50,0.68
2,Exit Short,BUY,2021-02-15 09:10,28725.00,1,-4000.00,-0.56,-5457.50,-2.01,2302.50,0.32,4877.50,0.68
3,Entry Long,BUY,2021-02-15 09:10,28725.00,1,-1232.50,-0.17,-6690.00,-0.63,5873.75,0.82,2630.00,0.37
3,Exit Long,INTRADAY_BExit,2021-02-15 09:35,28675.70,1,-1232.50,-0.17,-6690.00,-0.63,5873.75,0.82,2630.00,0.37
4,Entry Short,SELL,2021-02-16 05:25,29000.00,1,6638.75,0.92,-51.25,3.43,6638.75,0.92,1940.00,0.27
4,Exit Short,SELL_TG_HIT,2021-02-16 06:25,28734.45,1,6638.75,0.92,-51.25,3.43,6638.75,0.92,1940.00,0.27
5,Entry Short,SELL,2021-02-16 08:40,28664.70,1,-357.50,-0.05,-408.75,-0.18,3492.50,0.49,1391.25,0.19
5,Exit Short,INTRADAY_SExit,2021-02-16 09:35,28679.00,1,-357.50,-0.05,-408.75,-0.18,3492.50,0.49,1391.25,0.19
6,Entry Long,BUY,2021-02-17 04:05,28740.35,1,-1431.25,-0.2,-1840.00,-0.72,2741.25,0.38,1813.75,0.25
6,Exit Long,SELL,2021-02-17 04:30,28683.10,1,-1431.25,-0.2,-1840.00,-0.72,2741.25,0.38,1813.75,0.25
7,Entry Short,SELL,2021-02-17 04:30,28683.10,1,-172.50,-0.02,-2012.50,-0.09,2702.50,0.38,1043.75,0.15
7,Exit Short,BUY,2021-02-17 05:20,28690.00,1,-172.50,-0.02,-2012.50,-0.09,2702.50,0.38,1043.75,0.15
8,Entry Long,BUY,2021-02-17 05:20,28690.00,1,-75.00,-0.01,-2087.50,-0.04,3183.75,0.44,1168.75,0.16
8,Exit Long,SELL,2021-02-17 06:45,28687.00,1,-75.00,-0.01,-2087.50,-0.04,3183.75,0.44,1168.75,0.16
9,Entry Short,SELL,2021-02-17 06:45,28687.00,1,7832.50,1.09,5745.00,3.96,9425.00,1.31,0,0
9,Exit Short,SELL_TG_HIT,2021-02-17 08:10,28373.70,1,7832.50,1.09,5745.00,3.96,9425.00,1.31,0,0
10,Entry Long,BUY,2021-02-17 08:30,28518.25,1,-1640.00,-0.23,4105.00,-0.8,1668.75,0.23,2813.75,0.39
10,Exit Long,SELL,2021-02-17 09:20,28452.65,1,-1640.00,-0.23,4105.00,-0.8,1668.75,0.23,2813.75,0.39
11,Entry Short,SELL,2021-02-17 09:20,28452.65,1,1300.00,0.18,5405.00,0.64,1991.25,0.28,460.00,0.06
11,Exit Short,INTRADAY_SExit,2021-02-17 09:35,28400.65,1,1300.00,0.18,5405.00,0.64,1991.25,0.28,460.00,0.06
