Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-02-15 04:05,28387.00,1,8450.00,1.19,8450.00,4.23,9327.50,1.31,2301.25,0.32
1,Exit Long,BUY_TG_HIT,2021-02-15 09:10,28725.00,1,8450.00,1.19,8450.00,4.23,9327.50,1.31,2301.25,0.32
2,Entry Long,BUY,2021-02-15 09:15,28775.00,1,-2482.50,-0.35,5967.50,-1.19,1436.25,0.2,3880.00,0.54
2,Exit Long,INTRADAY_BExit,2021-02-15 09:35,28675.70,1,-2482.50,-0.35,5967.50,-1.19,1436.25,0.2,3880.00,0.54
3,Entry Long,BUY,2021-02-16 04:10,29000.00,1,-8731.25,-1.2,-2763.75,-4.24,3748.75,0.52,9055.00,1.25
3,Exit Long,BUY_SL_HIT,2021-02-16 07:45,28650.75,1,-8731.25,-1.2,-2763.75,-4.24,3748.75,0.52,9055.00,1.25
4,Entry Long,BUY,2021-02-17 04:15,28827.15,1,-3601.25,-0.5,-6365.00,-1.83,571.25,0.08,3601.25,0.5
4,Exit Long,SELL,2021-02-17 04:30,28683.10,1,-3601.25,-0.5,-6365.00,-1.83,571.25,0.08,3601.25,0.5
5,Entry Short,SELL,2021-02-17 04:30,28683.10,1,-1536.25,-0.21,-7901.25,-0.79,2702.50,0.38,1536.25,0.21
5,Exit Short,BUY,2021-02-17 05:35,28744.55,1,-1536.25,-0.21,-7901.25,-0.79,2702.50,0.38,1536.25,0.21
6,Entry Long,BUY,2021-02-17 05:35,28744.55,1,-1438.75,-0.2,-9340.00,-0.75,1820.00,0.25,2532.50,0.35
6,Exit Long,SELL,2021-02-17 06:45,28687.00,1,-1438.75,-0.2,-9340.00,-0.75,1820.00,0.25,2532.50,0.35
7,Entry Short,SELL,2021-02-17 06:45,28687.00,1,7832.50,1.09,-1507.50,4.11,9425.00,1.31,0,0
7,Exit Short,SELL_TG_HIT,2021-02-17 08:10,28373.70,1,7832.50,1.09,-1507.50,4.11,9425.00,1.31,0,0
8,Entry Short,SELL,2021-02-18 04:40,28120.00,1,7796.25,1.11,6288.75,3.93,8000.00,1.14,458.75,0.07
8,Exit Short,SELL_TG_HIT,2021-02-18 06:05,27808.15,1,7796.25,1.11,6288.75,3.93,8000.00,1.14,458.75,0.07
9,Entry Short,SELL,2021-02-19 04:10,27750.00,1,-1925.00,-0.28,4363.75,-0.93,7266.25,1.05,1925.00,0.28
9,Exit Short,BUY,2021-02-19 05:10,27827.00,1,-1925.00,-0.28,4363.75,-0.93,7266.25,1.05,1925.00,0.28
10,Entry Long,BUY,2021-02-19 05:10,27827.00,1,-5583.75,-0.8,-1220.00,-2.73,73.75,0.01,5583.75,0.8
10,Exit Long,SELL,2021-02-19 05:25,27603.65,1,-5583.75,-0.8,-1220.00,-2.73,73.75,0.01,5583.75,0.8
11,Entry Short,SELL,2021-02-19 05:25,27603.65,1,-3658.75,-0.53,-4878.75,-1.84,1276.25,0.18,4571.25,0.66
11,Exit Short,BUY,2021-02-19 06:25,27750.00,1,-3658.75,-0.53,-4878.75,-1.84,1276.25,0.18,4571.25,0.66
12,Entry Long,BUY,2021-02-19 06:25,27750.00,1,-1858.75,-0.27,-6737.50,-0.95,0,0,2220.00,0.32
12,Exit Long,SELL,2021-02-19 06:40,27675.65,1,-1858.75,-0.27,-6737.50,-0.95,0,0,2220.00,0.32
13,Entry Short,SELL,2021-02-19 06:40,27675.65,1,7742.50,1.12,1005.00,4.01,9141.25,1.32,648.75,0.09
13,Exit Short,SELL_TG_HIT,2021-02-19 08:40,27365.95,1,7742.50,1.12,1005.00,4.01,9141.25,1.32,648.75,0.09
14,Entry Short,SELL,2021-02-19 08:45,27155.90,1,-9542.50,-1.41,-8537.50,-4.75,8661.25,1.28,10307.50,1.52
14,Exit Short,BUY,2021-02-19 08:55,27537.60,1,-9542.50,-1.41,-8537.50,-4.75,8661.25,1.28,10307.50,1.52
15,Entry Long,BUY,2021-02-19 08:55,27537.60,1,2356.25,0.34,-6181.25,1.23,5051.25,0.73,751.25,0.11
15,Exit Long,INTRADAY_BExit,2021-02-19 09:35,27631.85,1,2356.25,0.34,-6181.25,1.23,5051.25,0.73,751.25,0.11
16,Entry Long,BUY,2021-02-22 04:10,27672.65,1,-2311.25,-0.33,-8492.50,-1.19,3646.25,0.53,2316.25,0.33
16,Exit Long,SELL,2021-02-22 04:30,27580.20,1,-2311.25,-0.33,-8492.50,-1.19,3646.25,0.53,2316.25,0.33
17,Entry Short,SELL,2021-02-22 04:30,27580.20,1,7706.25,1.12,-786.25,4.02,7881.25,1.14,0,0
17,Exit Short,SELL_TG_HIT,2021-02-22 07:55,27271.95,1,7706.25,1.12,-786.25,4.02,7881.25,1.14,0,0
18,Entry Short,SELL,2021-02-22 08:00,27257.10,1,2035.00,0.3,1248.75,1.02,3101.25,0.46,1126.25,0.17
18,Exit Short,INTRADAY_SExit,2021-02-22 09:35,27175.70,1,2035.00,0.3,1248.75,1.02,3101.25,0.46,1126.25,0.17
19,Entry Short,SELL,2021-02-23 04:05,27020.65,1,-1960.00,-0.29,-711.25,-0.97,3741.25,0.55,2573.75,0.38
19,Exit Short,BUY,2021-02-23 05:25,27099.05,1,-1960.00,-0.29,-711.25,-0.97,3741.25,0.55,2573.75,0.38
20,Entry Long,BUY,2021-02-23 05:25,27099.05,1,-5263.75,-0.78,-5975.00,-2.64,2673.75,0.39,5263.75,0.78
20,Exit Long,SELL,2021-02-23 06:15,26888.50,1,-5263.75,-0.78,-5975.00,-2.64,2673.75,0.39,5263.75,0.78
21,Entry Short,SELL,2021-02-23 06:15,26888.50,1,-6973.75,-1.04,-12948.75,-3.59,315.00,0.05,7547.50,1.12
21,Exit Short,BUY,2021-02-23 06:45,27167.45,1,-6973.75,-1.04,-12948.75,-3.59,315.00,0.05,7547.50,1.12
22,Entry Long,BUY,2021-02-23 06:45,27167.45,1,7308.75,1.08,-5640.00,3.91,9051.25,1.33,0,0
