Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-01-01 10:00,68176,1,-41520.00,-2.03,-41520.00,-13.84,9480.00,0.46,62490.00,3.06
1,Exit Short,INTRADAY_SExit,2021-01-04 09:30,69560,1,-41520.00,-2.03,-41520.00,-13.84,9480.00,0.46,62490.00,3.06
2,Entry Long,BUY,2021-01-04 10:00,69491,1,22860.00,1.1,-18660.00,8.84,25620.00,1.23,3930.00,0.19
2,Exit Long,BUY_TG_HIT,2021-01-04 14:00,70253,1,22860.00,1.1,-18660.00,8.84,25620.00,1.23,3930.00,0.19
3,Entry Short,SELL,2021-01-04 16:30,70130,1,-11880.00,-0.56,-30540.00,-4.22,8700.00,0.41,18060.00,0.86
3,Exit Short,BUY,2021-01-04 19:30,70526,1,-11880.00,-0.56,-30540.00,-4.22,8700.00,0.41,18060.00,0.86
4,Entry Long,BUY,2021-01-04 19:30,70526,1,-14880.00,-0.7,-45420.00,-5.52,5070.00,0.24,20430.00,0.97
4,Exit Long,SELL,2021-01-04 22:30,70030,1,-14880.00,-0.7,-45420.00,-5.52,5070.00,0.24,20430.00,0.97
5,Entry Short,SELL,2021-01-04 22:30,70030,1,9300.00,0.44,-36120.00,3.65,24300.00,1.16,1860.00,0.09
5,Exit Short,INTRADAY_SExit,2021-01-04 23:30,69720,1,9300.00,0.44,-36120.00,3.65,24300.00,1.16,1860.00,0.09
6,Entry Long,BUY,2021-01-05 10:00,70175,1,7650.00,0.36,-28470.00,2.9,9690.00,0.46,3450.00,0.16
6,Exit Long,SELL,2021-01-05 14:00,70430,1,7650.00,0.36,-28470.00,2.9,9690.00,0.46,3450.00,0.16
7,Entry Short,SELL,2021-01-05 14:00,70430,1,-3870.00,-0.18,-32340.00,-1.43,3780.00,0.18,7950.00,0.38
7,Exit Short,BUY,2021-01-05 15:00,70559,1,-3870.00,-0.18,-32340.00,-1.43,3780.00,0.18,7950.00,0.38
8,Entry Long,BUY,2021-01-05 15:00,70559,1,-270.00,-0.01,-32610.00,-0.1,9570.00,0.45,3870.00,0.18
8,Exit Long,SELL,2021-01-05 20:00,70550,1,-270.00,-0.01,-32610.00,-0.1,9570.00,0.45,3870.00,0.18
9,Entry Short,SELL,2021-01-05 20:00,70550,1,-2010.00,-0.09,-34620.00,-0.75,11940.00,0.56,5700.00,0.27
9,Exit Short,BUY,2021-01-05 23:00,70617,1,-2010.00,-0.09,-34620.00,-0.75,11940.00,0.56,5700.00,0.27
10,Entry Long,BUY,2021-01-05 23:00,70617,1,3930.00,0.19,-30690.00,1.48,4140.00,0.2,1080.00,0.05
10,Exit Long,INTRADAY_BExit,2021-01-05 23:30,70748,1,3930.00,0.19,-30690.00,1.48,4140.00,0.2,1080.00,0.05
11,Entry Short,SELL,2021-01-06 10:00,70355,1,-13560.00,-0.64,-44250.00,-5.04,4020.00,0.19,14460.00,0.69
11,Exit Short,BUY,2021-01-06 14:00,70807,1,-13560.00,-0.64,-44250.00,-5.04,4020.00,0.19,14460.00,0.69
12,Entry Long,BUY,2021-01-06 14:00,70807,1,-300.00,-0.01,-44550.00,-0.12,22290.00,1.05,7710.00,0.36
12,Exit Long,SELL,2021-01-06 18:00,70797,1,-300.00,-0.01,-44550.00,-0.12,22290.00,1.05,7710.00,0.36
13,Entry Short,SELL,2021-01-06 18:00,70797,1,31830.00,1.5,-12720.00,12.46,35100.00,1.65,690.00,0.03
13,Exit Short,SELL_TG_HIT,2021-01-06 21:00,69736,1,31830.00,1.5,-12720.00,12.46,35100.00,1.65,690.00,0.03
14,Entry Long,BUY,2021-01-07 10:00,69590,1,7500.00,0.36,-5220.00,2.61,21030.00,1.01,5550.00,0.27
14,Exit Long,SELL,2021-01-07 14:00,69840,1,7500.00,0.36,-5220.00,2.61,21030.00,1.01,5550.00,0.27
15,Entry Short,SELL,2021-01-07 14:00,69840,1,-2040.00,-0.1,-7260.00,-0.69,11160.00,0.53,7650.00,0.37
15,Exit Short,BUY,2021-01-07 17:30,69908,1,-2040.00,-0.1,-7260.00,-0.69,11160.00,0.53,7650.00,0.37
16,Entry Long,BUY,2021-01-07 17:30,69908,1,-1050.00,-0.05,-8310.00,-0.36,3660.00,0.17,12090.00,0.58
16,Exit Long,SELL,2021-01-07 20:00,69873,1,-1050.00,-0.05,-8310.00,-0.36,3660.00,0.17,12090.00,0.58
17,Entry Short,SELL,2021-01-07 20:00,69873,1,-1110.00,-0.05,-9420.00,-0.38,10740.00,0.51,11700.00,0.56
17,Exit Short,BUY,2021-01-07 22:30,69910,1,-1110.00,-0.05,-9420.00,-0.38,10740.00,0.51,11700.00,0.56
18,Entry Long,BUY,2021-01-07 22:30,69910,1,-1050.00,-0.05,-10470.00,-0.36,1320.00,0.06,6420.00,0.31
18,Exit Long,INTRADAY_BExit,2021-01-07 23:30,69875,1,-1050.00,-0.05,-10470.00,-0.36,1320.00,0.06,6420.00,0.31
19,Entry Short,SELL,2021-01-08 10:00,69710,1,40950.00,1.96,30480.00,14.14,70740.00,3.38,2250.00,0.11
