Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-01-01 04:30,68176,1,-41520.00,-2.03,-41520.00,-13.84,9480.00,0.46,62490.00,3.06
1,Exit Short,INTRADAY_SExit,2021-01-04 04:00,69560,1,-41520.00,-2.03,-41520.00,-13.84,9480.00,0.46,62490.00,3.06
2,Entry Long,BUY,2021-01-04 04:30,69491,1,12210.00,0.59,-29310.00,4.72,13290.00,0.64,3930.00,0.19
2,Exit Long,BUY_TG_HIT,2021-01-04 08:00,69898,1,12210.00,0.59,-29310.00,4.72,13290.00,0.64,3930.00,0.19
3,Entry Long,BUY,2021-01-04 08:30,70253,1,-17820.00,-0.85,-47130.00,-6.58,14370.00,0.68,30990.00,1.47
3,Exit Long,SELL,2021-01-04 17:30,69659,1,-17820.00,-0.85,-47130.00,-6.58,14370.00,0.68,30990.00,1.47
4,Entry Short,SELL,2021-01-04 17:30,69659,1,-1830.00,-0.09,-48960.00,-0.72,5940.00,0.28,3210.00,0.15
4,Exit Short,INTRADAY_SExit,2021-01-04 18:00,69720,1,-1830.00,-0.09,-48960.00,-0.72,5940.00,0.28,3210.00,0.15
5,Entry Long,BUY,2021-01-05 06:00,70221,1,13200.00,0.63,-35760.00,5.26,15270.00,0.72,4050.00,0.19
5,Exit Long,BUY_TG_HIT,2021-01-05 11:00,70661,1,13200.00,0.63,-35760.00,5.26,15270.00,0.72,4050.00,0.19
6,Entry Long,BUY,2021-01-05 11:30,70720,1,-11580.00,-0.55,-47340.00,-4.38,4740.00,0.22,17040.00,0.8
6,Exit Long,BUY_SL_HIT,2021-01-05 16:00,70334,1,-11580.00,-0.55,-47340.00,-4.38,4740.00,0.22,17040.00,0.8
7,Entry Long,BUY,2021-01-06 07:30,70414,1,11790.00,0.56,-35550.00,4.67,12690.00,0.6,810.00,0.04
7,Exit Long,BUY_TG_HIT,2021-01-06 08:30,70807,1,11790.00,0.56,-35550.00,4.67,12690.00,0.6,810.00,0.04
8,Entry Long,BUY,2021-01-06 09:00,71010,1,-19800.00,-0.93,-55350.00,-7.49,16200.00,0.76,22770.00,1.07
8,Exit Long,SELL,2021-01-06 13:00,70350,1,-19800.00,-0.93,-55350.00,-7.49,16200.00,0.76,22770.00,1.07
9,Entry Short,SELL,2021-01-06 13:00,70350,1,18420.00,0.87,-36930.00,7.53,21690.00,1.03,9990.00,0.47
9,Exit Short,SELL_TG_HIT,2021-01-06 15:30,69736,1,18420.00,0.87,-36930.00,7.53,21690.00,1.03,9990.00,0.47
10,Entry Short,SELL,2021-01-06 16:00,69225,1,-9630.00,-0.46,-46560.00,-3.66,19350.00,0.93,9990.00,0.48
10,Exit Short,INTRADAY_SExit,2021-01-06 18:00,69546,1,-9630.00,-0.46,-46560.00,-3.66,19350.00,0.93,9990.00,0.48
11,Entry Long,BUY,2021-01-07 05:00,69615,1,16050.00,0.77,-30510.00,6.33,20280.00,0.97,6300.00,0.3
11,Exit Long,BUY_TG_HIT,2021-01-07 07:00,70150,1,16050.00,0.77,-30510.00,6.33,20280.00,0.97,6300.00,0.3
12,Entry Short,SELL,2021-01-07 10:30,69650,1,-13080.00,-0.63,-43590.00,-4.85,5460.00,0.26,18390.00,0.88
12,Exit Short,BUY,2021-01-07 16:30,70086,1,-13080.00,-0.63,-43590.00,-4.85,5460.00,0.26,18390.00,0.88
