Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-01-01 10:00,68120,1,-290.00,-0.09,-290.00,-0.1,70.00,0.02,315.00,0.09
1,Exit Short,BUY,2021-01-01 11:00,68178,1,-290.00,-0.09,-290.00,-0.1,70.00,0.02,315.00,0.09
2,Entry Long,BUY,2021-01-01 11:00,68178,1,6610.00,1.94,6320.00,2.21,11870.00,3.48,1890.00,0.55
2,Exit Long,INTRADAY_BExit,2021-01-04 09:30,69500,1,6610.00,1.94,6320.00,2.21,11870.00,3.48,1890.00,0.55
3,Entry Long,BUY,2021-01-04 10:00,69417,1,3860.00,1.11,10180.00,1.26,4300.00,1.24,510.00,0.15
3,Exit Long,BUY_TG_HIT,2021-01-04 14:00,70189,1,3860.00,1.11,10180.00,1.26,4300.00,1.24,510.00,0.15
4,Entry Short,SELL,2021-01-04 22:30,69972,1,1365.00,0.39,11545.00,0.44,3860.00,1.1,340.00,0.1
4,Exit Short,INTRADAY_SExit,2021-01-04 23:30,69699,1,1365.00,0.39,11545.00,0.44,3860.00,1.1,340.00,0.1
5,Entry Long,BUY,2021-01-05 10:00,70083,1,1585.00,0.45,13130.00,0.51,3335.00,0.95,355.00,0.1
5,Exit Long,SELL,2021-01-05 21:00,70400,1,1585.00,0.45,13130.00,0.51,3335.00,0.95,355.00,0.1
6,Entry Short,SELL,2021-01-05 21:00,70400,1,-800.00,-0.23,12330.00,-0.26,700.00,0.2,1295.00,0.37
6,Exit Short,BUY,2021-01-05 23:00,70560,1,-800.00,-0.23,12330.00,-0.26,700.00,0.2,1295.00,0.37
7,Entry Long,BUY,2021-01-05 23:00,70560,1,650.00,0.18,12980.00,0.21,695.00,0.2,230.00,0.07
7,Exit Long,INTRADAY_BExit,2021-01-05 23:30,70690,1,650.00,0.18,12980.00,0.21,695.00,0.2,230.00,0.07
8,Entry Short,SELL,2021-01-06 10:00,70294,1,-2065.00,-0.59,10915.00,-0.66,595.00,0.17,2280.00,0.65
8,Exit Short,BUY,2021-01-06 14:00,70707,1,-2065.00,-0.59,10915.00,-0.66,595.00,0.17,2280.00,0.65
9,Entry Long,BUY,2021-01-06 14:00,70707,1,120.00,0.03,11035.00,0.04,3685.00,1.04,990.00,0.28
9,Exit Long,SELL,2021-01-06 18:00,70731,1,120.00,0.03,11035.00,0.04,3685.00,1.04,990.00,0.28
10,Entry Short,SELL,2021-01-06 18:00,70731,1,5155.00,1.46,16190.00,1.66,5505.00,1.56,95.00,0.03
10,Exit Short,SELL_TG_HIT,2021-01-06 21:00,69700,1,5155.00,1.46,16190.00,1.66,5505.00,1.56,95.00,0.03
11,Entry Long,BUY,2021-01-07 10:00,69529,1,1105.00,0.32,17295.00,0.35,3465.00,1,820.00,0.24
11,Exit Long,SELL,2021-01-07 14:30,69750,1,1105.00,0.32,17295.00,0.35,3465.00,1,820.00,0.24
12,Entry Short,SELL,2021-01-07 14:30,69750,1,-550.00,-0.16,16745.00,-0.17,1595.00,0.46,1425.00,0.41
12,Exit Short,BUY,2021-01-07 17:30,69860,1,-550.00,-0.16,16745.00,-0.17,1595.00,0.46,1425.00,0.41
13,Entry Long,BUY,2021-01-07 17:30,69860,1,-175.00,-0.05,16570.00,-0.06,1575.00,0.45,1995.00,0.57
13,Exit Long,INTRADAY_BExit,2021-01-07 23:30,69825,1,-175.00,-0.05,16570.00,-0.06,1575.00,0.45,1995.00,0.57
14,Entry Short,SELL,2021-01-08 10:00,69642,1,6565.00,1.89,23135.00,2.07,11470.00,3.29,430.00,0.12
14,Exit Short,SELL_TG_HIT,2021-01-08 14:00,68329,1,6565.00,1.89,23135.00,2.07,11470.00,3.29,430.00,0.12
