Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-01-01 09:30,68144,1,-1330.00,-1.95,-1330.00,-0.44,379.00,0.56,2031.00,2.98
1,Exit Short,INTRADAY_SExit,2021-01-04 09:15,69474,1,-1330.00,-1.95,-1330.00,-0.44,379.00,0.56,2031.00,2.98
2,Entry Long,BUY,2021-01-04 09:30,69496,1,529.00,0.76,-801.00,0.18,1104.00,1.59,176.00,0.25
2,Exit Long,SELL,2021-01-04 22:00,70025,1,529.00,0.76,-801.00,0.18,1104.00,1.59,176.00,0.25
3,Entry Short,SELL,2021-01-04 22:00,70025,1,498.00,0.71,-303.00,0.17,820.00,1.17,90.00,0.13
3,Exit Short,INTRADAY_SExit,2021-01-04 23:15,69527,1,498.00,0.71,-303.00,0.17,820.00,1.17,90.00,0.13
4,Entry Long,BUY,2021-01-05 09:30,70250,1,131.00,0.19,-172.00,0.04,499.00,0.71,250.00,0.36
4,Exit Long,SELL,2021-01-05 21:00,70381,1,131.00,0.19,-172.00,0.04,499.00,0.71,250.00,0.36
5,Entry Short,SELL,2021-01-05 21:00,70381,1,-226.00,-0.32,-398.00,-0.08,126.00,0.18,246.00,0.35
5,Exit Short,INTRADAY_SExit,2021-01-05 23:15,70607,1,-226.00,-0.32,-398.00,-0.08,126.00,0.18,246.00,0.35
6,Entry Short,SELL,2021-01-06 09:30,70211,1,-473.00,-0.67,-871.00,-0.16,110.00,0.16,539.00,0.77
6,Exit Short,BUY,2021-01-06 14:00,70684,1,-473.00,-0.67,-871.00,-0.16,110.00,0.16,539.00,0.77
7,Entry Long,BUY,2021-01-06 14:00,70684,1,44.00,0.06,-827.00,0.01,728.00,1.03,184.00,0.26
7,Exit Long,SELL,2021-01-06 18:00,70728,1,44.00,0.06,-827.00,0.01,728.00,1.03,184.00,0.26
8,Entry Short,SELL,2021-01-06 18:00,70728,1,1568.00,2.22,741.00,0.52,1827.00,2.58,27.00,0.04
8,Exit Short,SELL_TG_HIT,2021-01-06 21:30,69160,1,1568.00,2.22,741.00,0.52,1827.00,2.58,27.00,0.04
9,Entry Long,BUY,2021-01-07 12:30,70058,1,-287.00,-0.41,454.00,-0.1,102.00,0.15,628.00,0.9
9,Exit Long,INTRADAY_BExit,2021-01-07 23:15,69771,1,-287.00,-0.41,454.00,-0.1,102.00,0.15,628.00,0.9
10,Entry Short,SELL,2021-01-08 11:30,69464,1,1410.00,2.03,1864.00,0.47,2064.00,2.97,170.00,0.24
10,Exit Short,SELL_TG_HIT,2021-01-08 19:15,68054,1,1410.00,2.03,1864.00,0.47,2064.00,2.97,170.00,0.24
11,Entry Long,BUY,2021-01-11 14:00,65231,1,-711.00,-1.09,1153.00,-0.24,225.00,0.34,995.00,1.53
11,Exit Long,SELL,2021-01-11 18:45,64520,1,-711.00,-1.09,1153.00,-0.24,225.00,0.34,995.00,1.53
12,Entry Short,SELL,2021-01-11 18:45,64520,1,-839.00,-1.3,314.00,-0.28,554.00,0.86,1015.00,1.57
12,Exit Short,BUY,2021-01-11 21:00,65359,1,-839.00,-1.3,314.00,-0.28,554.00,0.86,1015.00,1.57
13,Entry Long,BUY,2021-01-11 21:00,65359,1,-4.00,-0.01,310.00,0,311.00,0.48,348.00,0.53
13,Exit Long,INTRADAY_BExit,2021-01-11 23:15,65355,1,-4.00,-0.01,310.00,0,311.00,0.48,348.00,0.53
14,Entry Short,SELL,2021-01-12 19:15,65231,1,-395.00,-0.61,-85.00,-0.13,30.00,0.05,669.00,1.03
14,Exit Short,INTRADAY_SExit,2021-01-12 23:15,65626,1,-395.00,-0.61,-85.00,-0.13,30.00,0.05,669.00,1.03
15,Entry Long,BUY,2021-01-13 09:30,66281,1,-469.00,-0.71,-554.00,-0.16,102.00,0.15,781.00,1.18
15,Exit Long,SELL,2021-01-13 15:00,65812,1,-469.00,-0.71,-554.00,-0.16,102.00,0.15,781.00,1.18
16,Entry Short,SELL,2021-01-13 15:00,65812,1,-82.00,-0.12,-636.00,-0.03,597.00,0.91,276.00,0.42
16,Exit Short,BUY,2021-01-13 21:30,65894,1,-82.00,-0.12,-636.00,-0.03,597.00,0.91,276.00,0.42
17,Entry Long,BUY,2021-01-13 21:30,65894,1,-99.00,-0.15,-735.00,-0.03,147.00,0.22,114.00,0.17
17,Exit Long,INTRADAY_BExit,2021-01-13 23:15,65795,1,-99.00,-0.15,-735.00,-0.03,147.00,0.22,114.00,0.17
18,Entry Short,SELL,2021-01-14 09:30,65273,1,-176.00,-0.27,-911.00,-0.06,323.00,0.49,405.00,0.62
18,Exit Short,BUY,2021-01-14 19:00,65449,1,-176.00,-0.27,-911.00,-0.06,323.00,0.49,405.00,0.62
19,Entry Long,BUY,2021-01-14 19:00,65449,1,805.00,1.23,-106.00,0.27,996.00,1.52,214.00,0.33
19,Exit Long,INTRADAY_BExit,2021-01-14 23:15,66254,1,805.00,1.23,-106.00,0.27,996.00,1.52,214.00,0.33
20,Entry Short,SELL,2021-01-15 11:30,65750,1,1377.00,2.09,1271.00,0.46,1599.00,2.43,250.00,0.38
20,Exit Short,SELL_TG_HIT,2021-01-15 21:45,64373,1,1377.00,2.09,1271.00,0.46,1599.00,2.43,250.00,0.38
21,Entry Long,BUY,2021-01-18 11:45,65395,1,-156.00,-0.24,1115.00,-0.05,175.00,0.27,595.00,0.91
21,Exit Long,INTRADAY_BExit,2021-01-18 23:15,65239,1,-156.00,-0.24,1115.00,-0.05,175.00,0.27,595.00,0.91
22,Entry Short,SELL,2021-01-19 19:00,65582,1,-486.00,-0.74,629.00,-0.16,139.00,0.21,486.00,0.74
22,Exit Short,INTRADAY_SExit,2021-01-19 23:15,66068,1,-486.00,-0.74,629.00,-0.16,139.00,0.21,486.00,0.74
23,Entry Long,BUY,2021-01-20 09:30,66278,1,-235.00,-0.35,394.00,-0.08,322.00,0.49,258.00,0.39
23,Exit Long,SELL,2021-01-20 17:30,66043,1,-235.00,-0.35,394.00,-0.08,322.00,0.49,258.00,0.39
24,Entry Short,SELL,2021-01-20 17:30,66043,1,-812.00,-1.23,-418.00,-0.27,461.00,0.7,919.00,1.39
24,Exit Short,BUY,2021-01-20 20:15,66855,1,-812.00,-1.23,-418.00,-0.27,461.00,0.7,919.00,1.39
25,Entry Long,BUY,2021-01-20 20:15,66855,1,95.00,0.14,-323.00,0.03,295.00,0.44,370.00,0.55
25,Exit Long,INTRADAY_BExit,2021-01-20 23:15,66950,1,95.00,0.14,-323.00,0.03,295.00,0.44,370.00,0.55
26,Entry Short,SELL,2021-01-21 19:45,67206,1,-29.00,-0.04,-352.00,-0.01,176.00,0.26,179.00,0.27
26,Exit Short,INTRADAY_SExit,2021-01-21 23:15,67235,1,-29.00,-0.04,-352.00,-0.01,176.00,0.26,179.00,0.27
27,Entry Long,BUY,2021-01-22 20:45,66194,1,327.00,0.49,-25.00,0.11,539.00,0.81,14.00,0.02
27,Exit Long,INTRADAY_BExit,2021-01-22 23:15,66521,1,327.00,0.49,-25.00,0.11,539.00,0.81,14.00,0.02
28,Entry Short,SELL,2021-01-25 20:45,66423,1,17.00,0.03,-8.00,0.01,517.00,0.78,188.00,0.28
28,Exit Short,INTRADAY_SExit,2021-01-25 23:15,66406,1,17.00,0.03,-8.00,0.01,517.00,0.78,188.00,0.28
29,Entry Long,BUY,2021-01-27 21:00,66105,1,361.00,0.55,353.00,0.12,385.00,0.58,105.00,0.16
29,Exit Long,INTRADAY_BExit,2021-01-27 23:15,66466,1,361.00,0.55,353.00,0.12,385.00,0.58,105.00,0.16
30,Entry Short,SELL,2021-01-28 09:30,65900,1,-249.00,-0.38,104.00,-0.08,390.00,0.59,299.00,0.45
30,Exit Short,BUY,2021-01-28 15:45,66149,1,-249.00,-0.38,104.00,-0.08,390.00,0.59,299.00,0.45
31,Entry Long,BUY,2021-01-28 15:45,66149,1,2181.00,3.3,2285.00,0.73,2298.00,3.47,148.00,0.22
31,Exit Long,BUY_TG_HIT,2021-01-28 19:30,68330,1,2181.00,3.3,2285.00,0.73,2298.00,3.47,148.00,0.22
32,Entry Short,SELL,2021-01-28 20:45,69311,1,1274.00,1.84,3559.00,0.42,1793.00,2.59,388.00,0.56
32,Exit Short,INTRADAY_SExit,2021-01-28 23:15,68037,1,1274.00,1.84,3559.00,0.42,1793.00,2.59,388.00,0.56
33,Entry Long,BUY,2021-01-29 15:00,69577,1,-47.00,-0.07,3512.00,-0.02,1532.00,2.2,123.00,0.18
33,Exit Long,INTRADAY_BExit,2021-01-29 23:15,69530,1,-47.00,-0.07,3512.00,-0.02,1532.00,2.2,123.00,0.18
34,Entry Long,BUY,2021-02-01 09:30,73470,1,-1085.00,-1.48,2427.00,-0.36,730.00,0.99,1779.00,2.42
34,Exit Long,SELL,2021-02-01 21:45,72385,1,-1085.00,-1.48,2427.00,-0.36,730.00,0.99,1779.00,2.42
35,Entry Short,SELL,2021-02-01 21:45,72385,1,-536.00,-0.74,1891.00,-0.18,135.00,0.19,591.00,0.82
35,Exit Short,INTRADAY_SExit,2021-02-01 23:15,72921,1,-536.00,-0.74,1891.00,-0.18,135.00,0.19,591.00,0.82
36,Entry Long,BUY,2021-02-03 19:45,68782,1,-193.00,-0.28,1698.00,-0.06,48.00,0.07,607.00,0.88
36,Exit Long,INTRADAY_BExit,2021-02-03 23:15,68589,1,-193.00,-0.28,1698.00,-0.06,48.00,0.07,607.00,0.88
37,Entry Short,SELL,2021-02-04 09:30,67840,1,1310.00,1.93,3008.00,0.43,1471.00,2.17,293.00,0.43
37,Exit Short,INTRADAY_SExit,2021-02-04 23:15,66530,1,1310.00,1.93,3008.00,0.43,1471.00,2.17,293.00,0.43
38,Entry Long,BUY,2021-02-05 11:00,67360,1,150.00,0.22,3158.00,0.05,890.00,1.32,72.00,0.11
38,Exit Long,SELL,2021-02-05 19:00,67510,1,150.00,0.22,3158.00,0.05,890.00,1.32,72.00,0.11
39,Entry Short,SELL,2021-02-05 19:00,67510,1,-552.00,-0.82,2606.00,-0.18,0,0,820.00,1.21
39,Exit Short,BUY,2021-02-05 21:30,68062,1,-552.00,-0.82,2606.00,-0.18,0,0,820.00,1.21
40,Entry Long,BUY,2021-02-05 21:30,68062,1,639.00,0.94,3245.00,0.21,664.00,0.98,22.00,0.03
40,Exit Long,INTRADAY_BExit,2021-02-05 23:15,68701,1,639.00,0.94,3245.00,0.21,664.00,0.98,22.00,0.03
41,Entry Short,SELL,2021-02-09 12:15,69992,1,-368.00,-0.53,2877.00,-0.12,159.00,0.23,478.00,0.68
41,Exit Short,BUY,2021-02-09 15:15,70360,1,-368.00,-0.53,2877.00,-0.12,159.00,0.23,478.00,0.68
42,Entry Long,BUY,2021-02-09 15:15,70360,1,-966.00,-1.37,1911.00,-0.32,280.00,0.4,1433.00,2.04
42,Exit Long,SELL,2021-02-09 20:30,69394,1,-966.00,-1.37,1911.00,-0.32,280.00,0.4,1433.00,2.04
43,Entry Short,SELL,2021-02-09 20:30,69394,1,-162.00,-0.23,1749.00,-0.05,145.00,0.21,436.00,0.63
43,Exit Short,INTRADAY_SExit,2021-02-09 23:15,69556,1,-162.00,-0.23,1749.00,-0.05,145.00,0.21,436.00,0.63
44,Entry Long,BUY,2021-02-10 19:30,69611,1,-1166.00,-1.68,583.00,-0.39,147.00,0.21,1210.00,1.74
44,Exit Long,SELL,2021-02-10 21:15,68445,1,-1166.00,-1.68,583.00,-0.39,147.00,0.21,1210.00,1.74
45,Entry Short,SELL,2021-02-10 21:15,68445,1,-302.00,-0.44,281.00,-0.1,45.00,0.07,453.00,0.66
45,Exit Short,INTRADAY_SExit,2021-02-10 23:15,68747,1,-302.00,-0.44,281.00,-0.1,45.00,0.07,453.00,0.66
46,Entry Long,BUY,2021-02-11 13:00,68969,1,-550.00,-0.8,-269.00,-0.18,199.00,0.29,668.00,0.97
46,Exit Long,INTRADAY_BExit,2021-02-11 23:15,68419,1,-550.00,-0.8,-269.00,-0.18,199.00,0.29,668.00,0.97
47,Entry Short,SELL,2021-02-12 09:30,68654,1,-596.00,-0.87,-865.00,-0.2,333.00,0.49,746.00,1.09
47,Exit Short,BUY,2021-02-12 21:45,69250,1,-596.00,-0.87,-865.00,-0.2,333.00,0.49,746.00,1.09
48,Entry Long,BUY,2021-02-12 21:45,69250,1,21.00,0.03,-844.00,0.01,250.00,0.36,119.00,0.17
48,Exit Long,INTRADAY_BExit,2021-02-12 23:15,69271,1,21.00,0.03,-844.00,0.01,250.00,0.36,119.00,0.17
49,Entry Short,SELL,2021-02-16 13:15,70116,1,1588.00,2.26,744.00,0.53,1691.00,2.41,364.00,0.52
49,Exit Short,SELL_TG_HIT,2021-02-16 19:15,68528,1,1588.00,2.26,744.00,0.53,1691.00,2.41,364.00,0.52
50,Entry Long,BUY,2021-02-16 21:15,69735,1,-505.00,-0.72,239.00,-0.17,225.00,0.32,805.00,1.15
50,Exit Long,INTRADAY_BExit,2021-02-16 23:15,69230,1,-505.00,-0.72,239.00,-0.17,225.00,0.32,805.00,1.15
51,Entry Short,SELL,2021-02-17 15:00,68728,1,-389.00,-0.57,-150.00,-0.13,368.00,0.54,508.00,0.74
51,Exit Short,BUY,2021-02-17 22:45,69117,1,-389.00,-0.57,-150.00,-0.13,368.00,0.54,508.00,0.74
52,Entry Long,BUY,2021-02-17 22:45,69117,1,173.00,0.25,23.00,0.06,263.00,0.38,57.00,0.08
52,Exit Long,INTRADAY_BExit,2021-02-17 23:15,69290,1,173.00,0.25,23.00,0.06,263.00,0.38,57.00,0.08
53,Entry Short,SELL,2021-02-18 18:00,68710,1,70.00,0.1,93.00,0.02,410.00,0.6,470.00,0.68
53,Exit Short,INTRADAY_SExit,2021-02-18 23:15,68640,1,70.00,0.1,93.00,0.02,410.00,0.6,470.00,0.68
54,Entry Long,BUY,2021-02-19 14:45,68284,1,736.00,1.08,829.00,0.25,1641.00,2.4,224.00,0.33
54,Exit Long,INTRADAY_BExit,2021-02-19 23:15,69020,1,736.00,1.08,829.00,0.25,1641.00,2.4,224.00,0.33
55,Entry Short,SELL,2021-02-22 19:15,70430,1,-459.00,-0.65,370.00,-0.15,99.00,0.14,641.00,0.91
55,Exit Short,BUY,2021-02-22 20:30,70889,1,-459.00,-0.65,370.00,-0.15,99.00,0.14,641.00,0.91
56,Entry Long,BUY,2021-02-22 20:30,70889,1,408.00,0.58,778.00,0.14,591.00,0.83,38.00,0.05
56,Exit Long,INTRADAY_BExit,2021-02-22 23:15,71297,1,408.00,0.58,778.00,0.14,591.00,0.83,38.00,0.05
57,Entry Short,SELL,2021-02-23 15:00,71235,1,576.00,0.81,1354.00,0.19,1165.00,1.64,332.00,0.47
57,Exit Short,INTRADAY_SExit,2021-02-23 23:15,70659,1,576.00,0.81,1354.00,0.19,1165.00,1.64,332.00,0.47
58,Entry Long,BUY,2021-02-24 18:15,70819,1,-539.00,-0.76,815.00,-0.18,241.00,0.34,706.00,1
58,Exit Long,SELL,2021-02-24 19:30,70280,1,-539.00,-0.76,815.00,-0.18,241.00,0.34,706.00,1
59,Entry Short,SELL,2021-02-24 19:30,70280,1,-540.00,-0.77,275.00,-0.18,324.00,0.46,700.00,1
59,Exit Short,BUY,2021-02-24 23:00,70820,1,-540.00,-0.77,275.00,-0.18,324.00,0.46,700.00,1
60,Entry Long,BUY,2021-02-24 23:00,70820,1,-18.00,-0.03,257.00,-0.01,68.00,0.1,39.00,0.06
60,Exit Long,INTRADAY_BExit,2021-02-24 23:15,70802,1,-18.00,-0.03,257.00,-0.01,68.00,0.1,39.00,0.06
61,Entry Short,SELL,2021-02-25 14:15,71062,1,-396.00,-0.56,-139.00,-0.13,73.00,0.1,585.00,0.82
61,Exit Short,BUY,2021-02-25 16:45,71458,1,-396.00,-0.56,-139.00,-0.13,73.00,0.1,585.00,0.82
62,Entry Long,BUY,2021-02-25 16:45,71458,1,-541.00,-0.76,-680.00,-0.18,132.00,0.18,728.00,1.02
62,Exit Long,SELL,2021-02-25 19:45,70917,1,-541.00,-0.76,-680.00,-0.18,132.00,0.18,728.00,1.02
63,Entry Short,SELL,2021-02-25 19:45,70917,1,192.00,0.27,-488.00,0.06,265.00,0.37,543.00,0.77
