Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-01-01 04:30,68130,1,-1366.00,-2,-1366.00,-0.46,365.00,0.54,2045.00,3
1,Exit Short,INTRADAY_SExit,2021-01-04 04:00,69496,1,-1366.00,-2,-1366.00,-0.46,365.00,0.54,2045.00,3
2,Entry Long,BUY,2021-01-04 04:30,69410,1,316.00,0.46,-1050.00,0.11,435.00,0.63,90.00,0.13
2,Exit Long,BUY_TG_HIT,2021-01-04 07:00,69726,1,316.00,0.46,-1050.00,0.11,435.00,0.63,90.00,0.13
3,Entry Long,BUY,2021-01-04 07:30,69720,1,451.00,0.65,-599.00,0.15,522.00,0.75,37.00,0.05
3,Exit Long,BUY_TG_HIT,2021-01-04 08:30,70171,1,451.00,0.65,-599.00,0.15,522.00,0.75,37.00,0.05
4,Entry Long,BUY,2021-01-05 07:30,70360,1,300.00,0.43,-299.00,0.1,340.00,0.48,250.00,0.36
4,Exit Long,BUY_TG_HIT,2021-01-05 12:00,70660,1,300.00,0.43,-299.00,0.1,340.00,0.48,250.00,0.36
5,Entry Long,BUY,2021-01-05 12:30,70520,1,155.00,0.22,-144.00,0.05,171.00,0.24,432.00,0.61
5,Exit Long,INTRADAY_BExit,2021-01-05 18:00,70675,1,155.00,0.22,-144.00,0.05,171.00,0.24,432.00,0.61
6,Entry Long,BUY,2021-01-06 07:30,70345,1,339.00,0.48,195.00,0.11,405.00,0.58,25.00,0.04
6,Exit Long,BUY_TG_HIT,2021-01-06 08:30,70684,1,339.00,0.48,195.00,0.11,405.00,0.58,25.00,0.04
7,Entry Long,BUY,2021-01-06 09:00,70926,1,298.00,0.42,493.00,0.1,486.00,0.69,25.00,0.04
7,Exit Long,BUY_TG_HIT,2021-01-06 10:30,71224,1,298.00,0.42,493.00,0.1,486.00,0.69,25.00,0.04
8,Entry Short,SELL,2021-01-06 15:30,69719,1,559.00,0.8,1052.00,0.19,818.00,1.17,151.00,0.22
8,Exit Short,SELL_TG_HIT,2021-01-06 16:00,69160,1,559.00,0.8,1052.00,0.19,818.00,1.17,151.00,0.22
9,Entry Long,BUY,2021-01-07 05:00,69576,1,482.00,0.69,1534.00,0.16,622.00,0.89,210.00,0.3
9,Exit Long,BUY_TG_HIT,2021-01-07 07:00,70058,1,482.00,0.69,1534.00,0.16,622.00,0.89,210.00,0.3
10,Entry Short,SELL,2021-01-07 10:30,69591,1,-378.00,-0.54,1156.00,-0.13,161.00,0.23,559.00,0.8
10,Exit Short,BUY,2021-01-07 16:30,69969,1,-378.00,-0.54,1156.00,-0.13,161.00,0.23,559.00,0.8
11,Entry Long,BUY,2021-01-07 16:30,69969,1,-292.00,-0.42,864.00,-0.1,17.00,0.02,319.00,0.46
11,Exit Long,BUY_SL_HIT,2021-01-07 17:30,69677,1,-292.00,-0.42,864.00,-0.1,17.00,0.02,319.00,0.46
