Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-15 07:55,630.65,1,-1155.00,-0.26,-1155.00,-0.58,1085.00,0.25,1400.00,0.32
1,Exit Short,BUY,2021-02-15 08:25,632.30,1,-1155.00,-0.26,-1155.00,-0.58,1085.00,0.25,1400.00,0.32
2,Entry Long,BUY,2021-02-15 08:25,632.30,1,-1715.00,-0.39,-2870.00,-0.86,840.00,0.19,1890.00,0.43
2,Exit Long,INTRADAY_BExit,2021-02-15 09:35,629.85,1,-1715.00,-0.39,-2870.00,-0.86,840.00,0.19,1890.00,0.43
3,Entry Short,SELL,2021-02-16 04:05,625.55,1,-4165.00,-0.95,-7035.00,-2.11,35.00,0.01,5740.00,1.31
3,Exit Short,BUY,2021-02-16 04:25,631.50,1,-4165.00,-0.95,-7035.00,-2.11,35.00,0.01,5740.00,1.31
4,Entry Long,BUY,2021-02-16 04:25,631.50,1,-735.00,-0.17,-7770.00,-0.38,2450.00,0.55,1155.00,0.26
4,Exit Long,SELL,2021-02-16 05:20,630.45,1,-735.00,-0.17,-7770.00,-0.38,2450.00,0.55,1155.00,0.26
5,Entry Short,SELL,2021-02-16 05:20,630.45,1,3500.00,0.79,-4270.00,1.82,3675.00,0.83,1750.00,0.4
5,Exit Short,SELL_TG_HIT,2021-02-16 07:45,625.45,1,3500.00,0.79,-4270.00,1.82,3675.00,0.83,1750.00,0.4
6,Entry Long,BUY,2021-02-16 08:15,627.90,1,-1120.00,-0.25,-5390.00,-0.57,420.00,0.1,1785.00,0.41
6,Exit Long,SELL,2021-02-16 08:30,626.30,1,-1120.00,-0.25,-5390.00,-0.57,420.00,0.1,1785.00,0.41
7,Entry Short,SELL,2021-02-16 08:30,626.30,1,-1400.00,-0.32,-6790.00,-0.72,630.00,0.14,1400.00,0.32
7,Exit Short,BUY,2021-02-16 09:05,628.30,1,-1400.00,-0.32,-6790.00,-0.72,630.00,0.14,1400.00,0.32
8,Entry Long,BUY,2021-02-16 09:05,628.30,1,2940.00,0.67,-3850.00,1.52,3045.00,0.69,525.00,0.12
8,Exit Long,BUY_TG_HIT,2021-02-16 09:25,632.50,1,2940.00,0.67,-3850.00,1.52,3045.00,0.69,525.00,0.12
9,Entry Short,SELL,2021-02-17 04:05,627.25,1,-1715.00,-0.39,-5565.00,-0.87,1085.00,0.25,1820.00,0.41
9,Exit Short,BUY,2021-02-17 05:30,629.70,1,-1715.00,-0.39,-5565.00,-0.87,1085.00,0.25,1820.00,0.41
10,Entry Long,BUY,2021-02-17 05:30,629.70,1,-980.00,-0.22,-6545.00,-0.5,1190.00,0.27,1190.00,0.27
10,Exit Long,SELL,2021-02-17 06:05,628.30,1,-980.00,-0.22,-6545.00,-0.5,1190.00,0.27,1190.00,0.27
11,Entry Short,SELL,2021-02-17 06:05,628.30,1,3395.00,0.77,-3150.00,1.75,3815.00,0.87,1225.00,0.28
11,Exit Short,SELL_TG_HIT,2021-02-17 08:05,623.45,1,3395.00,0.77,-3150.00,1.75,3815.00,0.87,1225.00,0.28
12,Entry Long,BUY,2021-02-17 08:30,624.45,1,-1015.00,-0.23,-4165.00,-0.52,840.00,0.19,1155.00,0.26
12,Exit Long,SELL,2021-02-17 09:20,623.00,1,-1015.00,-0.23,-4165.00,-0.52,840.00,0.19,1155.00,0.26
13,Entry Short,SELL,2021-02-17 09:20,623.00,1,700.00,0.16,-3465.00,0.36,805.00,0.18,910.00,0.21
13,Exit Short,INTRADAY_SExit,2021-02-17 09:35,622.00,1,700.00,0.16,-3465.00,0.36,805.00,0.18,910.00,0.21
14,Entry Long,BUY,2021-02-18 04:05,625.75,1,-2135.00,-0.49,-5600.00,-1.09,1505.00,0.34,2380.00,0.54
