Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-02-01 04:05,595.15,100,-335.00,-0.56,-335.00,-0.33,130.00,0.22,395.00,0.66
1,Exit Long,BUY_SL_HIT,2021-02-01 04:10,591.80,100,-335.00,-0.56,-335.00,-0.33,130.00,0.22,395.00,0.66
2,Entry Short,SELL,2021-02-01 04:15,589.00,100,-295.00,-0.5,-630.00,-0.3,150.00,0.25,320.00,0.54
2,Exit Short,SELL_SL_HIT,2021-02-01 04:25,591.95,100,-295.00,-0.5,-630.00,-0.3,150.00,0.25,320.00,0.54
3,Entry Short,SELL,2021-02-01 05:55,590.00,100,330.00,0.56,-300.00,0.33,375.00,0.64,200.00,0.34
3,Exit Short,SELL_TG_HIT,2021-02-01 06:50,586.70,100,330.00,0.56,-300.00,0.33,375.00,0.64,200.00,0.34
4,Entry Short,SELL,2021-02-01 07:45,583.95,100,-285.00,-0.49,-585.00,-0.29,25.00,0.04,340.00,0.58
4,Exit Short,SELL_SL_HIT,2021-02-01 07:50,586.80,100,-285.00,-0.49,-585.00,-0.29,25.00,0.04,340.00,0.58
5,Entry Long,BUY,2021-02-01 07:55,588.75,100,305.00,0.52,-280.00,0.31,310.00,0.53,265.00,0.45
5,Exit Long,BUY_TG_HIT,2021-02-01 08:15,591.80,100,305.00,0.52,-280.00,0.31,310.00,0.53,265.00,0.45
6,Entry Short,SELL,2021-02-01 08:30,588.00,100,485.00,0.82,205.00,0.49,565.00,0.96,130.00,0.22
6,Exit Short,SELL_TG_HIT,2021-02-01 08:45,583.15,100,485.00,0.82,205.00,0.49,565.00,0.96,130.00,0.22
7,Entry Short,SELL,2021-02-01 09:20,584.80,100,-495.00,-0.85,-290.00,-0.49,40.00,0.07,570.00,0.97
7,Exit Short,INTRADAY_SExit,2021-02-01 09:35,589.75,100,-495.00,-0.85,-290.00,-0.49,40.00,0.07,570.00,0.97
8,Entry Long,BUY,2021-02-02 04:05,598.25,100,550.00,0.92,260.00,0.55,675.00,1.13,290.00,0.48
