Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-06-21 11:00,669.50,100,-75.00,-0.11,-75.00,-0.07,280.00,0.42,90.00,0.13
1,Exit Short,BUY,2021-06-21 11:33,670.25,100,-75.00,-0.11,-75.00,-0.07,280.00,0.42,90.00,0.13
2,Entry Long,BUY,2021-06-21 11:33,670.25,100,-265.00,-0.4,-340.00,-0.27,5.00,0.01,280.00,0.42
2,Exit Long,SELL,2021-06-21 11:57,667.60,100,-265.00,-0.4,-340.00,-0.27,5.00,0.01,280.00,0.42
3,Entry Short,SELL,2021-06-21 11:57,667.60,100,-165.00,-0.25,-505.00,-0.17,55.00,0.08,200.00,0.3
3,Exit Short,BUY,2021-06-21 13:06,669.25,100,-165.00,-0.25,-505.00,-0.17,55.00,0.08,200.00,0.3
4,Entry Long,BUY,2021-06-21 13:06,669.25,100,-125.00,-0.19,-630.00,-0.13,45.00,0.07,125.00,0.19
4,Exit Long,SELL,2021-06-21 13:51,668.00,100,-125.00,-0.19,-630.00,-0.13,45.00,0.07,125.00,0.19
5,Entry Short,SELL,2021-06-21 13:51,668.00,100,-180.00,-0.27,-810.00,-0.18,70.00,0.1,195.00,0.29
5,Exit Short,BUY,2021-06-21 14:27,669.80,100,-180.00,-0.27,-810.00,-0.18,70.00,0.1,195.00,0.29
6,Entry Long,BUY,2021-06-21 14:27,669.80,100,75.00,0.11,-735.00,0.08,215.00,0.32,45.00,0.07
6,Exit Long,INTRADAY_BExit,2021-06-21 15:03,670.55,100,75.00,0.11,-735.00,0.08,215.00,0.32,45.00,0.07
7,Entry Short,SELL,2021-06-22 09:42,671.20,100,75.00,0.11,-660.00,0.08,290.00,0.43,170.00,0.25
7,Exit Short,BUY,2021-06-22 11:21,670.45,100,75.00,0.11,-660.00,0.08,290.00,0.43,170.00,0.25
8,Entry Long,BUY,2021-06-22 11:21,670.45,100,-180.00,-0.27,-840.00,-0.18,25.00,0.04,275.00,0.41
8,Exit Long,SELL,2021-06-22 11:36,668.65,100,-180.00,-0.27,-840.00,-0.18,25.00,0.04,275.00,0.41
9,Entry Short,SELL,2021-06-22 11:36,668.65,100,-195.00,-0.29,-1035.00,-0.2,15.00,0.02,245.00,0.37
9,Exit Short,BUY,2021-06-22 11:48,670.60,100,-195.00,-0.29,-1035.00,-0.2,15.00,0.02,245.00,0.37
