Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-02-15 15:00,333.90,1,5272.50,0.55,5272.50,2.64,6697.50,0.7,1995.00,0.21
1,Exit Long,INTRADAY_BExit,2021-02-15 15:05,335.75,1,5272.50,0.55,5272.50,2.64,6697.50,0.7,1995.00,0.21
2,Entry Short,SELL,2021-02-16 10:25,332.80,1,3277.50,0.35,8550.00,1.6,12540.00,1.32,2992.50,0.32
2,Exit Short,BUY,2021-02-16 14:40,331.65,1,3277.50,0.35,8550.00,1.6,12540.00,1.32,2992.50,0.32
3,Entry Long,BUY,2021-02-16 14:40,331.65,1,-997.50,-0.11,7552.50,-0.48,1710.00,0.18,2422.50,0.26
3,Exit Long,INTRADAY_BExit,2021-02-16 15:05,331.30,1,-997.50,-0.11,7552.50,-0.48,1710.00,0.18,2422.50,0.26
4,Entry Short,SELL,2021-02-17 09:35,328.40,1,-3562.50,-0.38,3990.00,-1.72,712.50,0.08,8835.00,0.94
4,Exit Short,BUY,2021-02-17 09:45,329.65,1,-3562.50,-0.38,3990.00,-1.72,712.50,0.08,8835.00,0.94
5,Entry Long,BUY,2021-02-17 09:45,329.65,1,5842.50,0.62,9832.50,2.86,11115.00,1.18,3277.50,0.35
5,Exit Long,SELL,2021-02-17 12:50,331.70,1,5842.50,0.62,9832.50,2.86,11115.00,1.18,3277.50,0.35
6,Entry Short,SELL,2021-02-17 12:50,331.70,1,2422.50,0.26,12255.00,1.15,10545.00,1.12,570.00,0.06
6,Exit Short,BUY,2021-02-17 14:20,330.85,1,2422.50,0.26,12255.00,1.15,10545.00,1.12,570.00,0.06
7,Entry Long,BUY,2021-02-17 14:20,330.85,1,3135.00,0.33,15390.00,1.48,12967.50,1.38,997.50,0.11
7,Exit Long,INTRADAY_BExit,2021-02-17 15:05,331.95,1,3135.00,0.33,15390.00,1.48,12967.50,1.38,997.50,0.11
8,Entry Short,SELL,2021-02-18 09:35,329.90,1,-4987.50,-0.53,10402.50,-2.32,1995.00,0.21,8122.50,0.86
8,Exit Short,BUY,2021-02-18 10:30,331.65,1,-4987.50,-0.53,10402.50,-2.32,1995.00,0.21,8122.50,0.86
9,Entry Long,BUY,2021-02-18 10:30,331.65,1,-7267.50,-0.77,3135.00,-3.45,855.00,0.09,7267.50,0.77
9,Exit Long,SELL,2021-02-18 11:25,329.10,1,-7267.50,-0.77,3135.00,-3.45,855.00,0.09,7267.50,0.77
10,Entry Short,SELL,2021-02-18 11:25,329.10,1,4560.00,0.49,7695.00,2.24,12682.50,1.35,1710.00,0.18
10,Exit Short,BUY,2021-02-18 14:25,327.50,1,4560.00,0.49,7695.00,2.24,12682.50,1.35,1710.00,0.18
11,Entry Long,BUY,2021-02-18 14:25,327.50,1,-3135.00,-0.34,4560.00,-1.51,2280.00,0.24,4275.00,0.46
11,Exit Long,INTRADAY_BExit,2021-02-18 15:05,326.40,1,-3135.00,-0.34,4560.00,-1.51,2280.00,0.24,4275.00,0.46
12,Entry Short,SELL,2021-02-19 09:35,315.90,1,-6697.50,-0.74,-2137.50,-3.27,1282.50,0.14,8550.00,0.95
12,Exit Short,BUY,2021-02-19 10:00,318.25,1,-6697.50,-0.74,-2137.50,-3.27,1282.50,0.14,8550.00,0.95
13,Entry Long,BUY,2021-02-19 10:00,318.25,1,-2422.50,-0.27,-4560.00,-1.22,7125.00,0.79,3847.50,0.42
13,Exit Long,SELL,2021-02-19 11:05,317.40,1,-2422.50,-0.27,-4560.00,-1.22,7125.00,0.79,3847.50,0.42
14,Entry Short,SELL,2021-02-19 11:05,317.40,1,24795.00,2.74,20235.00,12.69,24795.00,2.74,6697.50,0.74
14,Exit Short,SELL_TG_HIT,2021-02-19 14:05,308.70,1,24795.00,2.74,20235.00,12.69,24795.00,2.74,6697.50,0.74
15,Entry Long,BUY,2021-02-19 14:35,308.75,1,4132.50,0.47,24367.50,1.88,7267.50,0.83,3420.00,0.39
