Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-15 04:20,328.00,1,-16815.00,-1.8,-16815.00,-8.41,9262.50,0.99,18240.00,1.95
1,Exit Short,BUY,2021-02-15 09:30,333.90,1,-16815.00,-1.8,-16815.00,-8.41,9262.50,0.99,18240.00,1.95
2,Entry Long,BUY,2021-02-15 09:30,333.90,1,5272.50,0.55,-11542.50,2.88,6697.50,0.7,1995.00,0.21
2,Exit Long,INTRADAY_BExit,2021-02-15 09:35,335.75,1,5272.50,0.55,-11542.50,2.88,6697.50,0.7,1995.00,0.21
3,Entry Short,SELL,2021-02-16 04:10,335.60,1,12255.00,1.28,712.50,6.5,20520.00,2.15,997.50,0.1
3,Exit Short,INTRADAY_SExit,2021-02-16 09:35,331.30,1,12255.00,1.28,712.50,6.5,20520.00,2.15,997.50,0.1
4,Entry Long,BUY,2021-02-17 04:10,330.80,1,-5130.00,-0.54,-4417.50,-2.56,7837.50,0.83,6555.00,0.7
4,Exit Long,SELL,2021-02-17 08:05,329.00,1,-5130.00,-0.54,-4417.50,-2.56,7837.50,0.83,6555.00,0.7
5,Entry Short,SELL,2021-02-17 08:05,329.00,1,-6840.00,-0.73,-11257.50,-3.5,2850.00,0.3,7552.50,0.81
5,Exit Short,BUY,2021-02-17 08:45,331.40,1,-6840.00,-0.73,-11257.50,-3.5,2850.00,0.3,7552.50,0.81
6,Entry Long,BUY,2021-02-17 08:45,331.40,1,1567.50,0.17,-9690.00,0.83,11400.00,1.21,2565.00,0.27
6,Exit Long,INTRADAY_BExit,2021-02-17 09:35,331.95,1,1567.50,0.17,-9690.00,0.83,11400.00,1.21,2565.00,0.27
7,Entry Long,BUY,2021-02-18 04:30,331.80,1,-4275.00,-0.45,-13965.00,-2.25,2707.50,0.29,4845.00,0.51
7,Exit Long,SELL,2021-02-18 05:30,330.30,1,-4275.00,-0.45,-13965.00,-2.25,2707.50,0.29,4845.00,0.51
8,Entry Short,SELL,2021-02-18 05:30,330.30,1,11115.00,1.18,-2850.00,5.97,16102.50,1.71,712.50,0.08
8,Exit Short,INTRADAY_SExit,2021-02-18 09:35,326.40,1,11115.00,1.18,-2850.00,5.97,16102.50,1.71,712.50,0.08
9,Entry Long,BUY,2021-02-19 04:25,318.40,1,-3990.00,-0.44,-6840.00,-2.02,6697.50,0.74,4845.00,0.53
9,Exit Long,SELL,2021-02-19 07:05,317.00,1,-3990.00,-0.44,-6840.00,-2.02,6697.50,0.74,4845.00,0.53
10,Entry Short,SELL,2021-02-19 07:05,317.00,1,-3847.50,-0.43,-10687.50,-1.99,0,0,3847.50,0.43
10,Exit Short,BUY,2021-02-19 07:15,318.35,1,-3847.50,-0.43,-10687.50,-1.99,0,0,3847.50,0.43
11,Entry Long,BUY,2021-02-19 07:15,318.35,1,-3847.50,-0.42,-14535.00,-2.03,1140.00,0.13,4417.50,0.49
11,Exit Long,SELL,2021-02-19 07:35,317.00,1,-3847.50,-0.42,-14535.00,-2.03,1140.00,0.13,4417.50,0.49
12,Entry Short,SELL,2021-02-19 07:35,317.00,1,23655.00,2.62,9120.00,12.75,23655.00,2.62,997.50,0.11
12,Exit Short,SELL_TG_HIT,2021-02-19 08:35,308.70,1,23655.00,2.62,9120.00,12.75,23655.00,2.62,997.50,0.11
13,Entry Short,SELL,2021-02-19 08:40,306.50,1,-10545.00,-1.21,-1425.00,-5.04,14392.50,1.65,13680.00,1.57
13,Exit Short,INTRADAY_SExit,2021-02-19 09:35,310.20,1,-10545.00,-1.21,-1425.00,-5.04,14392.50,1.65,13680.00,1.57
14,Entry Long,BUY,2021-02-22 04:05,311.90,1,-5700.00,-0.64,-7125.00,-2.87,7125.00,0.8,5842.50,0.66
14,Exit Long,SELL,2021-02-22 04:40,309.90,1,-5700.00,-0.64,-7125.00,-2.87,7125.00,0.8,5842.50,0.66
15,Entry Short,SELL,2021-02-22 04:40,309.90,1,17670.00,2,10545.00,9.16,20092.50,2.27,4702.50,0.53
15,Exit Short,SELL_TG_HIT,2021-02-22 08:55,303.70,1,17670.00,2,10545.00,9.16,20092.50,2.27,4702.50,0.53
16,Entry Short,SELL,2021-02-22 09:00,304.50,1,-4987.50,-0.57,5557.50,-2.37,1140.00,0.13,9120.00,1.05
16,Exit Short,INTRADAY_SExit,2021-02-22 09:35,306.25,1,-4987.50,-0.57,5557.50,-2.37,1140.00,0.13,9120.00,1.05
17,Entry Long,BUY,2021-02-23 04:35,320.10,1,18382.50,2.01,23940.00,8.94,21232.50,2.33,10260.00,1.12
17,Exit Long,BUY_TG_HIT,2021-02-23 09:05,326.55,1,18382.50,2.01,23940.00,8.94,21232.50,2.33,10260.00,1.12
18,Entry Long,BUY,2021-02-24 04:10,328.95,1,-8977.50,-0.96,14962.50,-4.01,3135.00,0.33,9547.50,1.02
18,Exit Long,SELL,2021-02-24 04:45,325.80,1,-8977.50,-0.96,14962.50,-4.01,3135.00,0.33,9547.50,1.02
19,Entry Short,SELL,2021-02-24 04:45,325.80,1,-3420.00,-0.37,11542.50,-1.59,427.50,0.05,3420.00,0.37
19,Exit Short,BUY,2021-02-24 04:50,327.00,1,-3420.00,-0.37,11542.50,-1.59,427.50,0.05,3420.00,0.37
20,Entry Long,BUY,2021-02-24 04:50,327.00,1,-4560.00,-0.49,6982.50,-2.16,1425.00,0.15,4560.00,0.49
20,Exit Long,SELL,2021-02-24 05:10,325.40,1,-4560.00,-0.49,6982.50,-2.16,1425.00,0.15,4560.00,0.49
21,Entry Short,SELL,2021-02-24 05:10,325.40,1,14107.50,1.52,21090.00,6.82,42322.50,4.56,1852.50,0.2
21,Exit Short,INTRADAY_SExit,2021-02-24 10:20,320.45,1,14107.50,1.52,21090.00,6.82,42322.50,4.56,1852.50,0.2
22,Entry Short,SELL,2021-02-25 04:25,325.80,1,-8122.50,-0.87,12967.50,-3.67,1140.00,0.12,9690.00,1.04
22,Exit Short,BUY,2021-02-25 05:20,328.65,1,-8122.50,-0.87,12967.50,-3.67,1140.00,0.12,9690.00,1.04
23,Entry Long,BUY,2021-02-25 05:20,328.65,1,-5985.00,-0.64,6982.50,-2.81,5272.50,0.56,5985.00,0.64
23,Exit Long,SELL,2021-02-25 06:15,326.55,1,-5985.00,-0.64,6982.50,-2.81,5272.50,0.56,5985.00,0.64
24,Entry Short,SELL,2021-02-25 06:15,326.55,1,-4132.50,-0.44,2850.00,-2,2137.50,0.23,4275.00,0.46
24,Exit Short,BUY,2021-02-25 08:10,328.00,1,-4132.50,-0.44,2850.00,-2,2137.50,0.23,4275.00,0.46
25,Entry Long,BUY,2021-02-25 08:10,328.00,1,-3277.50,-0.35,-427.50,-1.62,0,0,4132.50,0.44
25,Exit Long,SELL,2021-02-25 08:25,326.85,1,-3277.50,-0.35,-427.50,-1.62,0,0,4132.50,0.44
26,Entry Short,SELL,2021-02-25 08:25,326.85,1,-4417.50,-0.47,-4845.00,-2.21,855.00,0.09,4417.50,0.47
26,Exit Short,BUY,2021-02-25 08:45,328.40,1,-4417.50,-0.47,-4845.00,-2.21,855.00,0.09,4417.50,0.47
27,Entry Long,BUY,2021-02-25 08:45,328.40,1,21090.00,2.25,16245.00,10.81,23085.00,2.47,2280.00,0.24
27,Exit Long,BUY_TG_HIT,2021-02-25 09:20,335.80,1,21090.00,2.25,16245.00,10.81,23085.00,2.47,2280.00,0.24
28,Entry Long,BUY,2021-02-25 09:25,334.40,1,-1282.50,-0.13,14962.50,-0.59,3135.00,0.33,3562.50,0.37
28,Exit Long,INTRADAY_BExit,2021-02-25 09:35,333.95,1,-1282.50,-0.13,14962.50,-0.59,3135.00,0.33,3562.50,0.37
29,Entry Long,BUY,2021-02-26 04:20,329.95,1,-10402.50,-1.11,4560.00,-4.84,855.00,0.09,11400.00,1.21
29,Exit Long,SELL,2021-02-26 05:05,326.30,1,-10402.50,-1.11,4560.00,-4.84,855.00,0.09,11400.00,1.21
30,Entry Short,SELL,2021-02-26 05:05,326.30,1,1995.00,0.21,6555.00,0.98,20377.50,2.19,2422.50,0.26
30,Exit Short,BUY,2021-02-26 08:05,325.60,1,1995.00,0.21,6555.00,0.98,20377.50,2.19,2422.50,0.26
31,Entry Long,BUY,2021-02-26 08:05,325.60,1,24937.50,2.69,31492.50,12.07,27217.50,2.93,2137.50,0.23
31,Exit Long,BUY_TG_HIT,2021-02-26 09:20,334.35,1,24937.50,2.69,31492.50,12.07,27217.50,2.93,2137.50,0.23
32,Entry Long,BUY,2021-02-26 09:25,331.95,1,-12112.50,-1.28,19380.00,-5.23,0,0,14820.00,1.57
