Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-01 04:15,258.20,100,-565.00,-2.19,-565.00,-0.56,75.00,0.29,620.00,2.4
1,Exit Short,SELL_SL_HIT,2021-02-01 04:30,263.85,100,-565.00,-2.19,-565.00,-0.56,75.00,0.29,620.00,2.4
2,Entry Long,BUY,2021-02-01 07:30,271.70,100,610.00,2.25,45.00,0.61,630.00,2.32,445.00,1.64
2,Exit Long,BUY_TG_HIT,2021-02-01 08:00,277.80,100,610.00,2.25,45.00,0.61,630.00,2.32,445.00,1.64
3,Entry Long,BUY,2021-02-03 04:15,328.00,100,1190.00,3.63,1235.00,1.19,1200.00,3.66,40.00,0.12
3,Exit Long,BUY_TG_HIT,2021-02-03 06:15,339.90,100,1190.00,3.63,1235.00,1.19,1200.00,3.66,40.00,0.12
4,Entry Short,SELL,2021-02-03 07:45,336.10,100,480.00,1.43,1715.00,0.47,770.00,2.29,580.00,1.73
4,Exit Short,INTRADAY_SExit,2021-02-03 09:45,331.30,100,480.00,1.43,1715.00,0.47,770.00,2.29,580.00,1.73
5,Entry Short,SELL,2021-02-04 09:15,325.75,100,-15.00,-0.05,1700.00,-0.01,40.00,0.12,160.00,0.49
5,Exit Short,INTRADAY_SExit,2021-02-04 09:45,325.90,100,-15.00,-0.05,1700.00,-0.01,40.00,0.12,160.00,0.49
6,Entry Long,BUY,2021-02-05 06:30,322.25,100,-595.00,-1.85,1105.00,-0.59,110.00,0.34,665.00,2.06
6,Exit Long,SELL,2021-02-05 08:00,316.30,100,-595.00,-1.85,1105.00,-0.59,110.00,0.34,665.00,2.06
7,Entry Short,SELL,2021-02-05 08:00,316.30,100,80.00,0.25,1185.00,0.08,370.00,1.17,110.00,0.35
7,Exit Short,INTRADAY_SExit,2021-02-05 09:45,315.50,100,80.00,0.25,1185.00,0.08,370.00,1.17,110.00,0.35
8,Entry Long,BUY,2021-02-08 04:15,324.40,100,880.00,2.71,2065.00,0.87,915.00,2.82,275.00,0.85
8,Exit Long,BUY_TG_HIT,2021-02-08 09:30,333.20,100,880.00,2.71,2065.00,0.87,915.00,2.82,275.00,0.85
9,Entry Short,SELL,2021-02-09 06:00,328.55,100,325.00,0.99,2390.00,0.32,635.00,1.93,495.00,1.51
9,Exit Short,INTRADAY_SExit,2021-02-09 09:45,325.30,100,325.00,0.99,2390.00,0.32,635.00,1.93,495.00,1.51
10,Entry Short,SELL,2021-02-10 08:15,321.45,100,-180.00,-0.56,2210.00,-0.18,120.00,0.37,215.00,0.67
10,Exit Short,BUY,2021-02-10 08:45,323.25,100,-180.00,-0.56,2210.00,-0.18,120.00,0.37,215.00,0.67
11,Entry Long,BUY,2021-02-10 08:45,323.25,100,825.00,2.55,3035.00,0.81,940.00,2.91,75.00,0.23
11,Exit Long,BUY_TG_HIT,2021-02-10 09:15,331.50,100,825.00,2.55,3035.00,0.81,940.00,2.91,75.00,0.23
