Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-01 09:45,185.05,100,145.00,0.78,145.00,0.14,195.00,1.05,55.00,0.3
1,Exit Long,INTRADAY_BExit,2021-01-01 15:15,186.50,100,145.00,0.78,145.00,0.14,195.00,1.05,55.00,0.3
2,Entry Short,SELL,2021-01-04 10:00,190.80,100,-25.00,-0.13,120.00,-0.02,205.00,1.07,120.00,0.63
2,Exit Short,BUY,2021-01-04 12:45,191.05,100,-25.00,-0.13,120.00,-0.02,205.00,1.07,120.00,0.63
3,Entry Long,BUY,2021-01-04 12:45,191.05,100,-50.00,-0.26,70.00,-0.05,45.00,0.24,85.00,0.44
3,Exit Long,SELL,2021-01-04 14:30,190.55,100,-50.00,-0.26,70.00,-0.05,45.00,0.24,85.00,0.44
4,Entry Short,SELL,2021-01-04 14:30,190.55,100,-75.00,-0.39,-5.00,-0.07,5.00,0.03,105.00,0.55
4,Exit Short,INTRADAY_SExit,2021-01-04 15:15,191.30,100,-75.00,-0.39,-5.00,-0.07,5.00,0.03,105.00,0.55
5,Entry Long,BUY,2021-01-05 11:45,187.25,100,-70.00,-0.37,-75.00,-0.07,65.00,0.35,125.00,0.67
5,Exit Long,SELL,2021-01-05 13:30,186.55,100,-70.00,-0.37,-75.00,-0.07,65.00,0.35,125.00,0.67
6,Entry Short,SELL,2021-01-05 13:30,186.55,100,-205.00,-1.1,-280.00,-0.21,0,0,290.00,1.55
6,Exit Short,BUY,2021-01-05 14:00,188.60,100,-205.00,-1.1,-280.00,-0.21,0,0,290.00,1.55
7,Entry Long,BUY,2021-01-05 14:00,188.60,100,485.00,2.57,205.00,0.49,500.00,2.65,0,0
7,Exit Long,BUY_TG_HIT,2021-01-05 14:45,193.45,100,485.00,2.57,205.00,0.49,500.00,2.65,0,0
8,Entry Short,SELL,2021-01-06 13:45,195.35,100,165.00,0.84,370.00,0.16,470.00,2.41,0,0
8,Exit Short,BUY,2021-01-06 14:30,193.70,100,165.00,0.84,370.00,0.16,470.00,2.41,0,0
9,Entry Long,BUY,2021-01-06 14:30,193.70,100,185.00,0.96,555.00,0.18,270.00,1.39,135.00,0.7
9,Exit Long,INTRADAY_BExit,2021-01-06 15:15,195.55,100,185.00,0.96,555.00,0.18,270.00,1.39,135.00,0.7
10,Entry Short,SELL,2021-01-07 13:45,197.40,100,50.00,0.25,605.00,0.05,105.00,0.53,90.00,0.46
10,Exit Short,INTRADAY_SExit,2021-01-07 15:15,196.90,100,50.00,0.25,605.00,0.05,105.00,0.53,90.00,0.46
11,Entry Long,BUY,2021-01-08 09:45,200.75,100,-125.00,-0.62,480.00,-0.12,75.00,0.37,165.00,0.82
11,Exit Long,SELL,2021-01-08 11:15,199.50,100,-125.00,-0.62,480.00,-0.12,75.00,0.37,165.00,0.82
12,Entry Short,SELL,2021-01-08 11:15,199.50,100,-110.00,-0.55,370.00,-0.11,60.00,0.3,120.00,0.6
12,Exit Short,BUY,2021-01-08 13:30,200.60,100,-110.00,-0.55,370.00,-0.11,60.00,0.3,120.00,0.6
13,Entry Long,BUY,2021-01-08 13:30,200.60,100,-130.00,-0.65,240.00,-0.13,10.00,0.05,165.00,0.82
13,Exit Long,SELL,2021-01-08 13:45,199.30,100,-130.00,-0.65,240.00,-0.13,10.00,0.05,165.00,0.82
14,Entry Short,SELL,2021-01-08 13:45,199.30,100,95.00,0.48,335.00,0.09,220.00,1.1,40.00,0.2
14,Exit Short,INTRADAY_SExit,2021-01-08 15:15,198.35,100,95.00,0.48,335.00,0.09,220.00,1.1,40.00,0.2
15,Entry Long,BUY,2021-01-11 09:45,204.20,100,-185.00,-0.91,150.00,-0.18,5.00,0.02,280.00,1.37
15,Exit Long,SELL,2021-01-11 10:30,202.35,100,-185.00,-0.91,150.00,-0.18,5.00,0.02,280.00,1.37
16,Entry Short,SELL,2021-01-11 10:30,202.35,100,-155.00,-0.77,-5.00,-0.15,80.00,0.4,160.00,0.79
16,Exit Short,BUY,2021-01-11 11:15,203.90,100,-155.00,-0.77,-5.00,-0.15,80.00,0.4,160.00,0.79
17,Entry Long,BUY,2021-01-11 11:15,203.90,100,420.00,2.06,415.00,0.42,450.00,2.21,30.00,0.15
17,Exit Long,BUY_TG_HIT,2021-01-11 13:15,208.10,100,420.00,2.06,415.00,0.42,450.00,2.21,30.00,0.15
18,Entry Short,SELL,2021-01-12 11:45,243.25,100,555.00,2.28,970.00,0.55,570.00,2.34,110.00,0.45
18,Exit Short,SELL_TG_HIT,2021-01-12 15:00,237.70,100,555.00,2.28,970.00,0.55,570.00,2.34,110.00,0.45
19,Entry Long,BUY,2021-01-13 09:45,245.30,100,-410.00,-1.67,560.00,-0.41,70.00,0.29,630.00,2.57
19,Exit Long,SELL,2021-01-13 10:45,241.20,100,-410.00,-1.67,560.00,-0.41,70.00,0.29,630.00,2.57
20,Entry Short,SELL,2021-01-13 10:45,241.20,100,-180.00,-0.75,380.00,-0.18,280.00,1.16,430.00,1.78
20,Exit Short,BUY,2021-01-13 14:15,243.00,100,-180.00,-0.75,380.00,-0.18,280.00,1.16,430.00,1.78
21,Entry Long,BUY,2021-01-13 14:15,243.00,100,-40.00,-0.16,340.00,-0.04,100.00,0.41,130.00,0.53
21,Exit Long,INTRADAY_BExit,2021-01-13 15:15,242.60,100,-40.00,-0.16,340.00,-0.04,100.00,0.41,130.00,0.53
22,Entry Short,SELL,2021-01-14 09:45,239.85,100,-645.00,-2.69,-305.00,-0.64,95.00,0.4,710.00,2.96
22,Exit Short,BUY,2021-01-14 11:00,246.30,100,-645.00,-2.69,-305.00,-0.64,95.00,0.4,710.00,2.96
23,Entry Long,BUY,2021-01-14 11:00,246.30,100,-120.00,-0.49,-425.00,-0.12,350.00,1.42,195.00,0.79
23,Exit Long,INTRADAY_BExit,2021-01-14 15:15,245.10,100,-120.00,-0.49,-425.00,-0.12,350.00,1.42,195.00,0.79
