Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-15 07:20,680.55,1,233.75,0.08,233.75,0.12,1020.00,0.35,297.50,0.1
1,Exit Short,BUY,2021-02-15 08:10,680.00,1,233.75,0.08,233.75,0.12,1020.00,0.35,297.50,0.1
2,Entry Long,BUY,2021-02-15 08:10,680.00,1,-510.00,-0.18,-276.25,-0.25,1062.50,0.37,616.25,0.21
2,Exit Long,SELL,2021-02-15 09:00,678.80,1,-510.00,-0.18,-276.25,-0.25,1062.50,0.37,616.25,0.21
3,Entry Short,SELL,2021-02-15 09:00,678.80,1,1657.50,0.57,1381.25,0.83,2146.25,0.74,0,0
3,Exit Short,SELL_TG_HIT,2021-02-15 09:20,674.90,1,1657.50,0.57,1381.25,0.83,2146.25,0.74,0,0
4,Entry Long,BUY,2021-02-16 04:05,705.00,1,-2125.00,-0.71,-743.75,-1.06,148.75,0.05,2125.00,0.71
4,Exit Long,BUY_SL_HIT,2021-02-16 04:10,700.00,1,-2125.00,-0.71,-743.75,-1.06,148.75,0.05,2125.00,0.71
5,Entry Short,SELL,2021-02-16 05:45,702.00,1,-1530.00,-0.51,-2273.75,-0.77,1445.00,0.48,1785.00,0.6
5,Exit Short,BUY,2021-02-16 06:35,705.60,1,-1530.00,-0.51,-2273.75,-0.77,1445.00,0.48,1785.00,0.6
6,Entry Long,BUY,2021-02-16 06:35,705.60,1,-297.50,-0.1,-2571.25,-0.15,425.00,0.14,658.75,0.22
6,Exit Long,SELL,2021-02-16 07:00,704.90,1,-297.50,-0.1,-2571.25,-0.15,425.00,0.14,658.75,0.22
7,Entry Short,SELL,2021-02-16 07:00,704.90,1,1870.00,0.62,-701.25,0.95,2018.75,0.67,212.50,0.07
7,Exit Short,SELL_TG_HIT,2021-02-16 07:25,700.50,1,1870.00,0.62,-701.25,0.95,2018.75,0.67,212.50,0.07
8,Entry Short,SELL,2021-02-16 08:30,698.40,1,-1487.50,-0.5,-2188.75,-0.75,467.50,0.16,1487.50,0.5
8,Exit Short,BUY,2021-02-16 08:45,701.90,1,-1487.50,-0.5,-2188.75,-0.75,467.50,0.16,1487.50,0.5
9,Entry Long,BUY,2021-02-16 08:45,701.90,1,2040.00,0.68,-148.75,1.03,2252.50,0.76,255.00,0.09
9,Exit Long,BUY_TG_HIT,2021-02-16 09:05,706.70,1,2040.00,0.68,-148.75,1.03,2252.50,0.76,255.00,0.09
10,Entry Short,SELL,2021-02-17 04:05,696.65,1,1636.25,0.55,1487.50,0.82,1721.25,0.58,1636.25,0.55
10,Exit Short,SELL_TG_HIT,2021-02-17 04:55,692.80,1,1636.25,0.55,1487.50,0.82,1721.25,0.58,1636.25,0.55
11,Entry Long,BUY,2021-02-17 05:15,696.30,1,1508.75,0.51,2996.25,0.75,1508.75,0.51,467.50,0.16
11,Exit Long,BUY_TG_HIT,2021-02-17 05:35,699.85,1,1508.75,0.51,2996.25,0.75,1508.75,0.51,467.50,0.16
12,Entry Short,SELL,2021-02-17 07:20,701.50,1,1997.50,0.67,4993.75,0.98,2167.50,0.73,191.25,0.06
12,Exit Short,SELL_TG_HIT,2021-02-17 07:35,696.80,1,1997.50,0.67,4993.75,0.98,2167.50,0.73,191.25,0.06
13,Entry Long,BUY,2021-02-17 08:55,695.80,1,1933.75,0.65,6927.50,0.94,1997.50,0.68,297.50,0.1
13,Exit Long,BUY_TG_HIT,2021-02-17 09:10,700.35,1,1933.75,0.65,6927.50,0.94,1997.50,0.68,297.50,0.1
14,Entry Long,BUY,2021-02-18 04:05,712.95,1,-1742.50,-0.58,5185.00,-0.84,318.75,0.11,1870.00,0.62
14,Exit Long,SELL,2021-02-18 05:25,708.85,1,-1742.50,-0.58,5185.00,-0.84,318.75,0.11,1870.00,0.62
15,Entry Short,SELL,2021-02-18 05:25,708.85,1,1551.25,0.51,6736.25,0.76,1551.25,0.51,446.25,0.15
15,Exit Short,SELL_TG_HIT,2021-02-18 05:55,705.20,1,1551.25,0.51,6736.25,0.76,1551.25,0.51,446.25,0.15
16,Entry Short,SELL,2021-02-18 06:50,704.50,1,-913.75,-0.31,5822.50,-0.44,616.25,0.21,977.50,0.33
16,Exit Short,BUY,2021-02-18 07:25,706.65,1,-913.75,-0.31,5822.50,-0.44,616.25,0.21,977.50,0.33
17,Entry Long,BUY,2021-02-18 07:25,706.65,1,-1423.75,-0.47,4398.75,-0.69,446.25,0.15,1423.75,0.47
17,Exit Long,SELL,2021-02-18 08:00,703.30,1,-1423.75,-0.47,4398.75,-0.69,446.25,0.15,1423.75,0.47
18,Entry Short,SELL,2021-02-18 08:00,703.30,1,1997.50,0.67,6396.25,0.98,2550.00,0.85,510.00,0.17
18,Exit Short,SELL_TG_HIT,2021-02-18 08:25,698.60,1,1997.50,0.67,6396.25,0.98,2550.00,0.85,510.00,0.17
19,Entry Long,BUY,2021-02-18 08:55,702.65,1,1487.50,0.5,7883.75,0.72,1508.75,0.51,531.25,0.18
19,Exit Long,BUY_TG_HIT,2021-02-18 09:05,706.15,1,1487.50,0.5,7883.75,0.72,1508.75,0.51,531.25,0.18
20,Entry Short,SELL,2021-02-18 09:30,701.60,1,-531.25,-0.18,7352.50,-0.26,0,0,765.00,0.26
20,Exit Short,INTRADAY_SExit,2021-02-18 09:35,702.85,1,-531.25,-0.18,7352.50,-0.26,0,0,765.00,0.26
21,Entry Short,SELL,2021-02-19 04:05,679.60,1,-1912.50,-0.66,5440.00,-0.92,340.00,0.12,1933.75,0.67
21,Exit Short,SELL_SL_HIT,2021-02-19 04:25,684.10,1,-1912.50,-0.66,5440.00,-0.92,340.00,0.12,1933.75,0.67
22,Entry Short,SELL,2021-02-19 05:20,681.50,1,212.50,0.07,5652.50,0.1,1487.50,0.51,127.50,0.04
22,Exit Short,BUY,2021-02-19 05:50,681.00,1,212.50,0.07,5652.50,0.1,1487.50,0.51,127.50,0.04
23,Entry Long,BUY,2021-02-19 05:50,681.00,1,1678.75,0.58,7331.25,0.82,1955.00,0.68,148.75,0.05
23,Exit Long,BUY_TG_HIT,2021-02-19 06:45,684.95,1,1678.75,0.58,7331.25,0.82,1955.00,0.68,148.75,0.05
24,Entry Short,SELL,2021-02-19 07:05,682.20,1,-977.50,-0.34,6353.75,-0.47,255.00,0.09,1445.00,0.5
24,Exit Short,BUY,2021-02-19 07:15,684.50,1,-977.50,-0.34,6353.75,-0.47,255.00,0.09,1445.00,0.5
25,Entry Long,BUY,2021-02-19 07:15,684.50,1,-1275.00,-0.44,5078.75,-0.62,127.50,0.04,1615.00,0.56
25,Exit Long,SELL,2021-02-19 07:35,681.50,1,-1275.00,-0.44,5078.75,-0.62,127.50,0.04,1615.00,0.56
26,Entry Short,SELL,2021-02-19 07:35,681.50,1,3187.50,1.1,8266.25,1.55,3421.25,1.18,446.25,0.15
26,Exit Short,SELL_TG_HIT,2021-02-19 08:05,674.00,1,3187.50,1.1,8266.25,1.55,3421.25,1.18,446.25,0.15
27,Entry Long,BUY,2021-02-19 09:05,669.35,1,-1721.25,-0.61,6545.00,-0.83,701.25,0.25,1955.00,0.69
27,Exit Long,BUY_SL_HIT,2021-02-19 09:30,665.30,1,-1721.25,-0.61,6545.00,-0.83,701.25,0.25,1955.00,0.69
28,Entry Short,SELL,2021-02-22 05:05,686.85,1,-1933.75,-0.66,4611.25,-0.94,1976.25,0.68,1933.75,0.66
28,Exit Short,BUY,2021-02-22 07:00,691.40,1,-1933.75,-0.66,4611.25,-0.94,1976.25,0.68,1933.75,0.66
29,Entry Long,BUY,2021-02-22 07:00,691.40,1,2125.00,0.72,6736.25,1.04,2762.50,0.94,1190.00,0.4
29,Exit Long,BUY_TG_HIT,2021-02-22 07:15,696.40,1,2125.00,0.72,6736.25,1.04,2762.50,0.94,1190.00,0.4
30,Entry Short,SELL,2021-02-22 07:35,688.00,1,-552.50,-0.19,6183.75,-0.27,1466.25,0.5,1147.50,0.39
30,Exit Short,BUY,2021-02-22 09:10,689.30,1,-552.50,-0.19,6183.75,-0.27,1466.25,0.5,1147.50,0.39
31,Entry Long,BUY,2021-02-22 09:10,689.30,1,-1253.75,-0.43,4930.00,-0.61,1445.00,0.49,1551.25,0.53
31,Exit Long,INTRADAY_BExit,2021-02-22 09:35,686.35,1,-1253.75,-0.43,4930.00,-0.61,1445.00,0.49,1551.25,0.53
32,Entry Long,BUY,2021-02-23 04:25,691.35,1,1763.75,0.6,6693.75,0.86,2273.75,0.77,1508.75,0.51
32,Exit Long,BUY_TG_HIT,2021-02-23 05:05,695.50,1,1763.75,0.6,6693.75,0.86,2273.75,0.77,1508.75,0.51
33,Entry Long,BUY,2021-02-23 06:30,709.00,1,-488.75,-0.16,6205.00,-0.24,1508.75,0.5,637.50,0.21
33,Exit Long,SELL,2021-02-23 07:10,707.85,1,-488.75,-0.16,6205.00,-0.24,1508.75,0.5,637.50,0.21
34,Entry Short,SELL,2021-02-23 07:10,707.85,1,-1657.50,-0.55,4547.50,-0.8,148.75,0.05,1721.25,0.57
34,Exit Short,SELL_SL_HIT,2021-02-23 07:40,711.75,1,-1657.50,-0.55,4547.50,-0.8,148.75,0.05,1721.25,0.57
35,Entry Long,BUY,2021-02-23 07:45,713.40,1,1572.50,0.52,6120.00,0.77,1997.50,0.66,935.00,0.31
35,Exit Long,BUY_TG_HIT,2021-02-23 08:25,717.10,1,1572.50,0.52,6120.00,0.77,1997.50,0.66,935.00,0.31
36,Entry Long,BUY,2021-02-23 08:30,720.00,1,2295.00,0.75,8415.00,1.11,2380.00,0.78,2167.50,0.71
36,Exit Long,BUY_TG_HIT,2021-02-23 09:00,725.40,1,2295.00,0.75,8415.00,1.11,2380.00,0.78,2167.50,0.71
37,Entry Short,SELL,2021-02-23 09:30,725.80,1,1211.25,0.39,9626.25,0.58,1742.50,0.56,510.00,0.17
37,Exit Short,INTRADAY_SExit,2021-02-23 09:35,722.95,1,1211.25,0.39,9626.25,0.58,1742.50,0.56,510.00,0.17
38,Entry Long,BUY,2021-02-24 04:05,739.00,1,-2847.50,-0.91,6778.75,-1.36,361.25,0.12,2847.50,0.91
38,Exit Long,SELL,2021-02-24 04:15,732.30,1,-2847.50,-0.91,6778.75,-1.36,361.25,0.12,2847.50,0.91
39,Entry Short,SELL,2021-02-24 04:15,732.30,1,1275.00,0.41,8053.75,0.62,1360.00,0.44,786.25,0.25
39,Exit Short,SELL_TG_HIT,2021-02-24 04:20,729.30,1,1275.00,0.41,8053.75,0.62,1360.00,0.44,786.25,0.25
40,Entry Short,SELL,2021-02-24 05:55,728.00,1,828.75,0.27,8882.50,0.4,2911.25,0.94,1275.00,0.41
40,Exit Short,INTRADAY_SExit,2021-02-24 10:20,726.05,1,828.75,0.27,8882.50,0.4,2911.25,0.94,1275.00,0.41
41,Entry Long,BUY,2021-02-25 04:05,748.45,1,2592.50,0.82,11475.00,1.24,3145.00,0.99,1657.50,0.52
41,Exit Long,BUY_TG_HIT,2021-02-25 04:50,754.55,1,2592.50,0.82,11475.00,1.24,3145.00,0.99,1657.50,0.52
42,Entry Short,SELL,2021-02-25 05:15,750.95,1,1551.25,0.49,13026.25,0.73,1997.50,0.63,42.50,0.01
42,Exit Short,SELL_TG_HIT,2021-02-25 05:30,747.30,1,1551.25,0.49,13026.25,0.73,1997.50,0.63,42.50,0.01
43,Entry Long,BUY,2021-02-25 07:10,746.50,1,-212.50,-0.07,12813.75,-0.1,1317.50,0.42,807.50,0.25
43,Exit Long,SELL,2021-02-25 08:05,746.00,1,-212.50,-0.07,12813.75,-0.1,1317.50,0.42,807.50,0.25
44,Entry Short,SELL,2021-02-25 08:05,746.00,1,-658.75,-0.21,12155.00,-0.31,1615.00,0.51,722.50,0.23
44,Exit Short,BUY,2021-02-25 09:00,747.55,1,-658.75,-0.21,12155.00,-0.31,1615.00,0.51,722.50,0.23
45,Entry Long,BUY,2021-02-25 09:00,747.55,1,2103.75,0.66,14258.75,0.99,2188.75,0.69,552.50,0.17
