Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-01-01 09:45,646.45,1,148.75,0.05,148.75,0.07,1678.75,0.61,2528.75,0.92
1,Exit Short,INTRADAY_SExit,2021-01-01 15:15,646.10,1,148.75,0.05,148.75,0.07,1678.75,0.61,2528.75,0.92
2,Entry Long,BUY,2021-01-04 09:45,661.30,1,3187.50,1.13,3336.25,1.59,3570.00,1.27,127.50,0.05
2,Exit Long,BUY_TG_HIT,2021-01-04 10:45,668.80,1,3187.50,1.13,3336.25,1.59,3570.00,1.27,127.50,0.05
3,Entry Short,SELL,2021-01-05 10:00,688.15,1,3506.25,1.2,6842.50,1.72,3973.75,1.36,3336.25,1.14
3,Exit Short,SELL_TG_HIT,2021-01-05 13:30,679.90,1,3506.25,1.2,6842.50,1.72,3973.75,1.36,3336.25,1.14
4,Entry Long,BUY,2021-01-06 09:45,685.60,1,4802.50,1.65,11645.00,2.32,5440.00,1.87,2507.50,0.86
4,Exit Long,BUY_TG_HIT,2021-01-06 13:30,696.90,1,4802.50,1.65,11645.00,2.32,5440.00,1.87,2507.50,0.86
5,Entry Short,SELL,2021-01-06 14:15,679.50,1,-2103.75,-0.73,9541.25,-0.99,403.75,0.14,3485.00,1.21
5,Exit Short,INTRADAY_SExit,2021-01-06 15:15,684.45,1,-2103.75,-0.73,9541.25,-0.99,403.75,0.14,3485.00,1.21
6,Entry Long,BUY,2021-01-07 09:45,716.10,1,3230.00,1.06,12771.25,1.54,5270.00,1.73,595.00,0.2
6,Exit Long,BUY_TG_HIT,2021-01-07 10:30,723.70,1,3230.00,1.06,12771.25,1.54,5270.00,1.73,595.00,0.2
7,Entry Short,SELL,2021-01-08 09:45,720.05,1,4271.25,1.4,17042.50,2.01,4781.25,1.56,3038.75,0.99
7,Exit Short,SELL_TG_HIT,2021-01-08 14:15,710.00,1,4271.25,1.4,17042.50,2.01,4781.25,1.56,3038.75,0.99
8,Entry Long,BUY,2021-01-12 09:45,722.00,1,-3293.75,-1.07,13748.75,-1.52,85.00,0.03,4037.50,1.32
8,Exit Long,BUY_SL_HIT,2021-01-12 10:00,714.25,1,-3293.75,-1.07,13748.75,-1.52,85.00,0.03,4037.50,1.32
9,Entry Short,SELL,2021-01-12 11:30,704.20,1,2528.75,0.84,16277.50,1.18,3421.25,1.14,2358.75,0.79
9,Exit Short,INTRADAY_SExit,2021-01-12 15:15,698.25,1,2528.75,0.84,16277.50,1.18,3421.25,1.14,2358.75,0.79
10,Entry Long,BUY,2021-01-13 09:45,705.00,1,3315.00,1.11,19592.50,1.53,3718.75,1.24,2125.00,0.71
10,Exit Long,BUY_TG_HIT,2021-01-13 12:30,712.80,1,3315.00,1.11,19592.50,1.53,3718.75,1.24,2125.00,0.71
11,Entry Short,SELL,2021-01-13 14:15,703.15,1,-3315.00,-1.11,16277.50,-1.51,361.25,0.12,4951.25,1.66
11,Exit Short,INTRADAY_SExit,2021-01-13 15:15,710.95,1,-3315.00,-1.11,16277.50,-1.51,361.25,0.12,4951.25,1.66
12,Entry Short,SELL,2021-01-14 10:00,704.35,1,-1147.50,-0.38,15130.00,-0.53,1296.25,0.43,2571.25,0.86
12,Exit Short,INTRADAY_SExit,2021-01-14 15:15,707.05,1,-1147.50,-0.38,15130.00,-0.53,1296.25,0.43,2571.25,0.86
13,Entry Long,BUY,2021-01-15 09:45,716.90,1,-3782.50,-1.24,11347.50,-1.76,170.00,0.06,4568.75,1.5
13,Exit Long,BUY_SL_HIT,2021-01-15 11:30,708.00,1,-3782.50,-1.24,11347.50,-1.76,170.00,0.06,4568.75,1.5
14,Entry Short,SELL,2021-01-15 11:45,713.00,1,3400.00,1.12,14747.50,1.61,4143.75,1.37,1721.25,0.57
