Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-15 04:05,682.95,1,297.50,0.1,297.50,0.15,3230.00,1.11,0,0
1,Exit Short,BUY,2021-02-15 04:55,682.25,1,297.50,0.1,297.50,0.15,3230.00,1.11,0,0
2,Entry Long,BUY,2021-02-15 04:55,682.25,1,-935.00,-0.32,-637.50,-0.47,2295.00,0.79,977.50,0.34
2,Exit Long,SELL,2021-02-15 06:00,680.05,1,-935.00,-0.32,-637.50,-0.47,2295.00,0.79,977.50,0.34
3,Entry Short,SELL,2021-02-15 06:00,680.05,1,-1445.00,-0.5,-2082.50,-0.72,212.50,0.07,1445.00,0.5
3,Exit Short,BUY,2021-02-15 06:50,683.45,1,-1445.00,-0.5,-2082.50,-0.72,212.50,0.07,1445.00,0.5
4,Entry Long,BUY,2021-02-15 06:50,683.45,1,-1530.00,-0.53,-3612.50,-0.77,510.00,0.18,1827.50,0.63
4,Exit Long,SELL,2021-02-15 07:30,679.85,1,-1530.00,-0.53,-3612.50,-0.77,510.00,0.18,1827.50,0.63
5,Entry Short,SELL,2021-02-15 07:30,679.85,1,1360.00,0.47,-2252.50,0.69,2592.50,0.9,1126.25,0.39
5,Exit Short,INTRADAY_SExit,2021-02-15 09:35,676.65,1,1360.00,0.47,-2252.50,0.69,2592.50,0.9,1126.25,0.39
6,Entry Long,BUY,2021-02-16 04:05,705.00,1,-2805.00,-0.94,-5057.50,-1.42,1700.00,0.57,3548.75,1.18
6,Exit Long,SELL,2021-02-16 08:30,698.40,1,-2805.00,-0.94,-5057.50,-1.42,1700.00,0.57,3548.75,1.18
7,Entry Short,SELL,2021-02-16 08:30,698.40,1,-1487.50,-0.5,-6545.00,-0.76,467.50,0.16,1487.50,0.5
7,Exit Short,BUY,2021-02-16 08:45,701.90,1,-1487.50,-0.5,-6545.00,-0.76,467.50,0.16,1487.50,0.5
8,Entry Long,BUY,2021-02-16 08:45,701.90,1,786.25,0.26,-5758.75,0.41,4080.00,1.37,255.00,0.09
8,Exit Long,INTRADAY_BExit,2021-02-16 09:35,703.75,1,786.25,0.26,-5758.75,0.41,4080.00,1.37,255.00,0.09
9,Entry Short,SELL,2021-02-17 04:55,692.80,1,-1487.50,-0.51,-7246.25,-0.77,106.25,0.04,1615.00,0.55
9,Exit Short,BUY,2021-02-17 05:15,696.30,1,-1487.50,-0.51,-7246.25,-0.77,106.25,0.04,1615.00,0.55
10,Entry Long,BUY,2021-02-17 05:15,696.30,1,-2677.50,-0.9,-9923.75,-1.39,3867.50,1.31,2698.75,0.91
10,Exit Long,SELL,2021-02-17 08:10,690.00,1,-2677.50,-0.9,-9923.75,-1.39,3867.50,1.31,2698.75,0.91
11,Entry Short,SELL,2021-02-17 08:10,690.00,1,-4823.75,-1.64,-14747.50,-2.54,552.50,0.19,5078.75,1.73
11,Exit Short,BUY,2021-02-17 09:25,701.35,1,-4823.75,-1.64,-14747.50,-2.54,552.50,0.19,5078.75,1.73
12,Entry Long,BUY,2021-02-17 09:25,701.35,1,-1147.50,-0.38,-15895.00,-0.62,0,0,1530.00,0.51
12,Exit Long,INTRADAY_BExit,2021-02-17 09:35,698.65,1,-1147.50,-0.38,-15895.00,-0.62,0,0,1530.00,0.51
13,Entry Long,BUY,2021-02-18 04:05,712.95,1,-1997.50,-0.66,-17892.50,-1.08,318.75,0.11,2018.75,0.67
13,Exit Long,SELL,2021-02-18 05:30,708.25,1,-1997.50,-0.66,-17892.50,-1.08,318.75,0.11,2018.75,0.67
14,Entry Short,SELL,2021-02-18 05:30,708.25,1,2295.00,0.76,-15597.50,1.26,4653.75,1.55,595.00,0.2
14,Exit Short,INTRADAY_SExit,2021-02-18 09:35,702.85,1,2295.00,0.76,-15597.50,1.26,4653.75,1.55,595.00,0.2
15,Entry Long,BUY,2021-02-19 04:25,684.10,1,-1933.75,-0.67,-17531.25,-1.05,1020.00,0.35,2061.25,0.71
15,Exit Long,SELL,2021-02-19 05:25,679.55,1,-1933.75,-0.67,-17531.25,-1.05,1020.00,0.35,2061.25,0.71
16,Entry Short,SELL,2021-02-19 05:25,679.55,1,-1678.75,-0.58,-19210.00,-0.92,658.75,0.23,2210.00,0.77
16,Exit Short,BUY,2021-02-19 06:20,683.50,1,-1678.75,-0.58,-19210.00,-0.92,658.75,0.23,2210.00,0.77
17,Entry Long,BUY,2021-02-19 06:20,683.50,1,-850.00,-0.29,-20060.00,-0.47,892.50,0.31,1190.00,0.41
17,Exit Long,SELL,2021-02-19 07:35,681.50,1,-850.00,-0.29,-20060.00,-0.47,892.50,0.31,1190.00,0.41
18,Entry Short,SELL,2021-02-19 07:35,681.50,1,5992.50,2.07,-14067.50,3.33,6162.50,2.13,446.25,0.15
18,Exit Short,SELL_TG_HIT,2021-02-19 08:35,667.40,1,5992.50,2.07,-14067.50,3.33,6162.50,2.13,446.25,0.15
