Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-02-01 04:05,603.90,100,165.00,0.27,165.00,0.17,260.00,0.43,90.00,0.15
1,Exit Long,SELL,2021-02-01 04:10,605.55,100,165.00,0.27,165.00,0.17,260.00,0.43,90.00,0.15
2,Entry Short,SELL,2021-02-01 04:10,605.55,100,-605.00,-1,-440.00,-0.6,65.00,0.11,715.00,1.18
2,Exit Short,SELL_SL_HIT,2021-02-01 04:35,611.60,100,-605.00,-1,-440.00,-0.6,65.00,0.11,715.00,1.18
3,Entry Short,SELL,2021-02-01 05:40,608.20,100,-410.00,-0.67,-850.00,-0.41,260.00,0.43,440.00,0.72
3,Exit Short,BUY,2021-02-01 06:00,612.30,100,-410.00,-0.67,-850.00,-0.41,260.00,0.43,440.00,0.72
4,Entry Long,BUY,2021-02-01 06:00,612.30,100,620.00,1.01,-230.00,0.63,860.00,1.4,215.00,0.35
4,Exit Long,BUY_TG_HIT,2021-02-01 06:35,618.50,100,620.00,1.01,-230.00,0.63,860.00,1.4,215.00,0.35
5,Entry Short,SELL,2021-02-01 06:50,611.95,100,-910.00,-1.49,-1140.00,-0.91,35.00,0.06,955.00,1.56
5,Exit Short,BUY,2021-02-01 06:55,621.05,100,-910.00,-1.49,-1140.00,-0.91,35.00,0.06,955.00,1.56
6,Entry Long,BUY,2021-02-01 06:55,621.05,100,-580.00,-0.93,-1720.00,-0.59,95.00,0.15,775.00,1.25
6,Exit Long,BUY_SL_HIT,2021-02-01 07:15,615.25,100,-580.00,-0.93,-1720.00,-0.59,95.00,0.15,775.00,1.25
7,Entry Short,SELL,2021-02-01 07:20,609.40,100,-735.00,-1.21,-2455.00,-0.75,55.00,0.09,830.00,1.36
7,Exit Short,SELL_SL_HIT,2021-02-01 07:25,616.75,100,-735.00,-1.21,-2455.00,-0.75,55.00,0.09,830.00,1.36
8,Entry Short,SELL,2021-02-01 07:45,617.45,100,-670.00,-1.09,-3125.00,-0.69,30.00,0.05,745.00,1.21
8,Exit Short,BUY,2021-02-01 07:50,624.15,100,-670.00,-1.09,-3125.00,-0.69,30.00,0.05,745.00,1.21
9,Entry Long,BUY,2021-02-01 07:50,624.15,100,-400.00,-0.64,-3525.00,-0.41,230.00,0.37,775.00,1.24
9,Exit Long,SELL,2021-02-01 08:20,620.15,100,-400.00,-0.64,-3525.00,-0.41,230.00,0.37,775.00,1.24
10,Entry Short,SELL,2021-02-01 08:20,620.15,100,-765.00,-1.23,-4290.00,-0.79,420.00,0.68,785.00,1.27
10,Exit Short,BUY,2021-02-01 09:00,627.80,100,-765.00,-1.23,-4290.00,-0.79,420.00,0.68,785.00,1.27
11,Entry Long,BUY,2021-02-01 09:00,627.80,100,720.00,1.15,-3570.00,0.75,885.00,1.41,90.00,0.14
11,Exit Long,BUY_TG_HIT,2021-02-01 09:20,635.00,100,720.00,1.15,-3570.00,0.75,885.00,1.41,90.00,0.14
12,Entry Short,SELL,2021-02-02 04:50,637.80,100,905.00,1.42,-2665.00,0.94,905.00,1.42,255.00,0.4
12,Exit Short,SELL_TG_HIT,2021-02-02 05:10,628.75,100,905.00,1.42,-2665.00,0.94,905.00,1.42,255.00,0.4
13,Entry Long,BUY,2021-02-02 06:05,642.55,100,-590.00,-0.92,-3255.00,-0.61,55.00,0.09,685.00,1.07
13,Exit Long,BUY_SL_HIT,2021-02-02 06:40,636.65,100,-590.00,-0.92,-3255.00,-0.61,55.00,0.09,685.00,1.07
14,Entry Short,SELL,2021-02-02 06:50,634.40,100,-250.00,-0.39,-3505.00,-0.26,415.00,0.65,340.00,0.54
14,Exit Short,BUY,2021-02-02 07:50,636.90,100,-250.00,-0.39,-3505.00,-0.26,415.00,0.65,340.00,0.54
15,Entry Long,BUY,2021-02-02 07:50,636.90,100,310.00,0.49,-3195.00,0.32,555.00,0.87,385.00,0.6
15,Exit Long,INTRADAY_BExit,2021-02-02 09:35,640.00,100,310.00,0.49,-3195.00,0.32,555.00,0.87,385.00,0.6
16,Entry Long,BUY,2021-02-03 04:45,646.20,100,900.00,1.39,-2295.00,0.93,915.00,1.42,0,0
16,Exit Long,BUY_TG_HIT,2021-02-03 04:50,655.20,100,900.00,1.39,-2295.00,0.93,915.00,1.42,0,0
17,Entry Short,SELL,2021-02-03 06:10,653.00,100,-275.00,-0.42,-2570.00,-0.28,165.00,0.25,400.00,0.61
17,Exit Short,BUY,2021-02-03 06:50,655.75,100,-275.00,-0.42,-2570.00,-0.28,165.00,0.25,400.00,0.61
18,Entry Long,BUY,2021-02-03 06:50,655.75,100,-95.00,-0.14,-2665.00,-0.1,125.00,0.19,125.00,0.19
18,Exit Long,SELL,2021-02-03 07:20,654.80,100,-95.00,-0.14,-2665.00,-0.1,125.00,0.19,125.00,0.19
19,Entry Short,SELL,2021-02-03 07:20,654.80,100,-570.00,-0.87,-3235.00,-0.59,180.00,0.27,700.00,1.07
