Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-01-11 04:05,697.65,100,165.00,0.24,165.00,0.17,945.00,1.35,480.00,0.69
1,Exit Short,INTRADAY_SExit,2021-01-11 09:35,696.00,100,165.00,0.24,165.00,0.17,945.00,1.35,480.00,0.69
2,Entry Long,BUY,2021-01-12 04:05,721.05,100,-775.00,-1.07,-610.00,-0.77,0,0,875.00,1.21
2,Exit Long,SELL,2021-01-12 04:25,713.30,100,-775.00,-1.07,-610.00,-0.77,0,0,875.00,1.21
3,Entry Short,SELL,2021-01-12 04:25,713.30,100,1815.00,2.54,1205.00,1.83,1825.00,2.56,235.00,0.33
3,Exit Short,INTRADAY_SExit,2021-01-12 09:35,695.15,100,1815.00,2.54,1205.00,1.83,1825.00,2.56,235.00,0.33
4,Entry Short,SELL,2021-01-13 04:05,704.30,100,-210.00,-0.3,995.00,-0.21,675.00,0.96,460.00,0.65
4,Exit Short,BUY,2021-01-13 06:50,706.40,100,-210.00,-0.3,995.00,-0.21,675.00,0.96,460.00,0.65
5,Entry Long,BUY,2021-01-13 06:50,706.40,100,-320.00,-0.45,675.00,-0.32,715.00,1.01,320.00,0.45
5,Exit Long,SELL,2021-01-13 08:05,703.20,100,-320.00,-0.45,675.00,-0.32,715.00,1.01,320.00,0.45
6,Entry Short,SELL,2021-01-13 08:05,703.20,100,-850.00,-1.21,-175.00,-0.84,1020.00,1.45,870.00,1.24
6,Exit Short,INTRADAY_SExit,2021-01-13 09:35,711.70,100,-850.00,-1.21,-175.00,-0.84,1020.00,1.45,870.00,1.24
7,Entry Short,SELL,2021-01-14 04:05,701.00,100,-450.00,-0.64,-625.00,-0.45,390.00,0.56,565.00,0.81
7,Exit Short,BUY,2021-01-14 05:40,705.50,100,-450.00,-0.64,-625.00,-0.45,390.00,0.56,565.00,0.81
8,Entry Long,BUY,2021-01-14 05:40,705.50,100,-280.00,-0.4,-905.00,-0.28,140.00,0.2,345.00,0.49
8,Exit Long,SELL,2021-01-14 06:35,702.70,100,-280.00,-0.4,-905.00,-0.28,140.00,0.2,345.00,0.49
9,Entry Short,SELL,2021-01-14 06:35,702.70,100,-350.00,-0.5,-1255.00,-0.35,295.00,0.42,585.00,0.83
9,Exit Short,INTRADAY_SExit,2021-01-14 09:35,706.20,100,-350.00,-0.5,-1255.00,-0.35,295.00,0.42,585.00,0.83
10,Entry Long,BUY,2021-01-15 04:05,721.25,100,-910.00,-1.26,-2165.00,-0.92,0,0,1225.00,1.7
10,Exit Long,SELL,2021-01-15 04:20,712.15,100,-910.00,-1.26,-2165.00,-0.92,0,0,1225.00,1.7
11,Entry Short,SELL,2021-01-15 04:20,712.15,100,805.00,1.13,-1360.00,0.82,1450.00,2.04,330.00,0.46
11,Exit Short,INTRADAY_SExit,2021-01-15 09:35,704.10,100,805.00,1.13,-1360.00,0.82,1450.00,2.04,330.00,0.46
12,Entry Short,SELL,2021-01-18 04:05,680.05,100,805.00,1.18,-555.00,0.82,2055.00,3.02,820.00,1.21
12,Exit Short,INTRADAY_SExit,2021-01-18 09:35,672.00,100,805.00,1.18,-555.00,0.82,2055.00,3.02,820.00,1.21
13,Entry Short,SELL,2021-01-19 04:05,668.30,100,-220.00,-0.33,-775.00,-0.22,375.00,0.56,265.00,0.4
13,Exit Short,BUY,2021-01-19 04:15,670.50,100,-220.00,-0.33,-775.00,-0.22,375.00,0.56,265.00,0.4
