Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-01 09:45,604.20,1,3172.50,0.78,3172.50,1.59,3172.50,0.78,1046.25,0.26
1,Exit Long,BUY_TG_HIT,2021-01-01 10:30,608.90,1,3172.50,0.78,3172.50,1.59,3172.50,0.78,1046.25,0.26
2,Entry Short,SELL,2021-01-01 12:15,606.10,1,1721.25,0.42,4893.75,0.85,2700.00,0.66,877.50,0.21
2,Exit Short,SELL_TG_HIT,2021-01-01 13:45,603.55,1,1721.25,0.42,4893.75,0.85,2700.00,0.66,877.50,0.21
3,Entry Long,BUY,2021-01-01 14:15,605.15,1,-303.75,-0.07,4590.00,-0.15,843.75,0.21,1383.75,0.34
3,Exit Long,INTRADAY_BExit,2021-01-01 15:15,604.70,1,-303.75,-0.07,4590.00,-0.15,843.75,0.21,1383.75,0.34
4,Entry Long,BUY,2021-01-04 09:45,605.60,1,-1518.75,-0.37,3071.25,-0.74,945.00,0.23,3847.50,0.94
4,Exit Long,SELL,2021-01-04 11:15,603.35,1,-1518.75,-0.37,3071.25,-0.74,945.00,0.23,3847.50,0.94
5,Entry Short,SELL,2021-01-04 11:15,603.35,1,-2936.25,-0.72,135.00,-1.45,573.75,0.14,3408.75,0.84
5,Exit Short,BUY,2021-01-04 11:45,607.70,1,-2936.25,-0.72,135.00,-1.45,573.75,0.14,3408.75,0.84
6,Entry Long,BUY,2021-01-04 11:45,607.70,1,-1991.25,-0.49,-1856.25,-0.99,641.25,0.16,2396.25,0.58
6,Exit Long,BUY_SL_HIT,2021-01-04 12:30,604.75,1,-1991.25,-0.49,-1856.25,-0.99,641.25,0.16,2396.25,0.58
7,Entry Short,SELL,2021-01-04 12:45,605.95,1,-1586.25,-0.39,-3442.50,-0.8,0,0,1721.25,0.42
7,Exit Short,BUY,2021-01-04 13:30,608.30,1,-1586.25,-0.39,-3442.50,-0.8,0,0,1721.25,0.42
8,Entry Long,BUY,2021-01-04 13:30,608.30,1,-438.75,-0.11,-3881.25,-0.22,1316.25,0.32,1856.25,0.45
8,Exit Long,INTRADAY_BExit,2021-01-04 15:15,607.65,1,-438.75,-0.11,-3881.25,-0.22,1316.25,0.32,1856.25,0.45
9,Entry Long,BUY,2021-01-05 11:00,611.50,1,-1012.50,-0.25,-4893.75,-0.52,843.75,0.2,1991.25,0.48
9,Exit Long,SELL,2021-01-05 12:30,610.00,1,-1012.50,-0.25,-4893.75,-0.52,843.75,0.2,1991.25,0.48
10,Entry Short,SELL,2021-01-05 12:30,610.00,1,2227.50,0.54,-2666.25,1.14,2801.25,0.68,641.25,0.16
10,Exit Short,SELL_TG_HIT,2021-01-05 13:30,606.70,1,2227.50,0.54,-2666.25,1.14,2801.25,0.68,641.25,0.16
11,Entry Long,BUY,2021-01-05 14:15,608.00,1,3206.25,0.78,540.00,1.62,3678.75,0.9,202.50,0.05
11,Exit Long,INTRADAY_BExit,2021-01-05 15:15,612.75,1,3206.25,0.78,540.00,1.62,3678.75,0.9,202.50,0.05
12,Entry Short,SELL,2021-01-06 10:30,610.95,1,-1485.00,-0.36,-945.00,-0.74,911.25,0.22,1552.50,0.38
