Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-02-15 07:15,3168.10,1,-817.50,-0.17,-817.50,-0.41,757.50,0.16,1515.00,0.32
1,Exit Long,SELL,2021-02-15 08:05,3162.65,1,-817.50,-0.17,-817.50,-0.41,757.50,0.16,1515.00,0.32
2,Entry Short,SELL,2021-02-15 08:05,3162.65,1,1897.50,0.4,1080.00,0.95,2692.50,0.57,90.00,0.02
2,Exit Short,INTRADAY_SExit,2021-02-15 09:35,3150.00,1,1897.50,0.4,1080.00,0.95,2692.50,0.57,90.00,0.02
3,Entry Long,BUY,2021-02-16 04:05,3156.20,1,-315.00,-0.07,765.00,-0.16,3180.00,0.67,330.00,0.07
3,Exit Long,SELL,2021-02-16 04:55,3154.10,1,-315.00,-0.07,765.00,-0.16,3180.00,0.67,330.00,0.07
4,Entry Short,SELL,2021-02-16 04:55,3154.10,1,4620.00,0.98,5385.00,2.3,4927.50,1.04,1192.50,0.25
4,Exit Short,SELL_TG_HIT,2021-02-16 06:55,3123.30,1,4620.00,0.98,5385.00,2.3,4927.50,1.04,1192.50,0.25
5,Entry Long,BUY,2021-02-16 08:05,3122.90,1,22.50,0,5407.50,0.01,810.00,0.17,1177.50,0.25
5,Exit Long,INTRADAY_BExit,2021-02-16 09:35,3123.05,1,22.50,0,5407.50,0.01,810.00,0.17,1177.50,0.25
6,Entry Short,SELL,2021-02-17 04:05,3073.95,1,-1815.00,-0.39,3592.50,-0.88,2542.50,0.55,1815.00,0.39
6,Exit Short,BUY,2021-02-17 05:15,3086.05,1,-1815.00,-0.39,3592.50,-0.88,2542.50,0.55,1815.00,0.39
7,Entry Long,BUY,2021-02-17 05:15,3086.05,1,442.50,0.1,4035.00,0.22,3375.00,0.73,742.50,0.16
7,Exit Long,SELL,2021-02-17 07:30,3089.00,1,442.50,0.1,4035.00,0.22,3375.00,0.73,742.50,0.16
8,Entry Short,SELL,2021-02-17 07:30,3089.00,1,-217.50,-0.05,3817.50,-0.11,1500.00,0.32,427.50,0.09
8,Exit Short,BUY,2021-02-17 08:45,3090.45,1,-217.50,-0.05,3817.50,-0.11,1500.00,0.32,427.50,0.09
9,Entry Long,BUY,2021-02-17 08:45,3090.45,1,-1117.50,-0.24,2700.00,-0.55,375.00,0.08,1297.50,0.28
9,Exit Long,SELL,2021-02-17 09:05,3083.00,1,-1117.50,-0.24,2700.00,-0.55,375.00,0.08,1297.50,0.28
10,Entry Short,SELL,2021-02-17 09:05,3083.00,1,82.50,0.02,2782.50,0.04,877.50,0.19,285.00,0.06
10,Exit Short,INTRADAY_SExit,2021-02-17 09:35,3082.45,1,82.50,0.02,2782.50,0.04,877.50,0.19,285.00,0.06
11,Entry Long,BUY,2021-02-18 04:05,3102.75,1,-3037.50,-0.65,-255.00,-1.5,0,0,3090.00,0.66
11,Exit Long,SELL,2021-02-18 05:05,3082.50,1,-3037.50,-0.65,-255.00,-1.5,0,0,3090.00,0.66
12,Entry Short,SELL,2021-02-18 05:05,3082.50,1,6075.00,1.31,5820.00,3.04,6217.50,1.34,0,0
12,Exit Short,SELL_TG_HIT,2021-02-18 06:50,3042.00,1,6075.00,1.31,5820.00,3.04,6217.50,1.34,0,0
13,Entry Long,BUY,2021-02-18 07:25,3055.40,1,1552.50,0.34,7372.50,0.75,2265.00,0.49,1560.00,0.34
13,Exit Long,INTRADAY_BExit,2021-02-18 09:35,3065.75,1,1552.50,0.34,7372.50,0.75,2265.00,0.49,1560.00,0.34
14,Entry Short,SELL,2021-02-19 04:05,3046.50,1,840.00,0.18,8212.50,0.41,3607.50,0.79,210.00,0.05
14,Exit Short,BUY,2021-02-19 05:25,3040.90,1,840.00,0.18,8212.50,0.41,3607.50,0.79,210.00,0.05
15,Entry Long,BUY,2021-02-19 05:25,3040.90,1,-135.00,-0.03,8077.50,-0.06,690.00,0.15,1035.00,0.23
15,Exit Long,SELL,2021-02-19 07:05,3040.00,1,-135.00,-0.03,8077.50,-0.06,690.00,0.15,1035.00,0.23
