Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-01 09:45,2905.00,1,3570.00,0.82,3570.00,1.79,3660.00,0.84,105.00,0.02
1,Exit Long,INTRADAY_BExit,2021-01-01 15:15,2928.80,1,3570.00,0.82,3570.00,1.79,3660.00,0.84,105.00,0.02
2,Entry Short,SELL,2021-01-06 13:30,3077.30,1,3330.00,0.72,6900.00,1.64,6322.50,1.37,600.00,0.13
2,Exit Short,INTRADAY_SExit,2021-01-06 15:15,3055.10,1,3330.00,0.72,6900.00,1.64,6322.50,1.37,600.00,0.13
3,Entry Long,BUY,2021-01-07 13:15,3041.25,1,-562.50,-0.12,6337.50,-0.27,1342.50,0.29,1087.50,0.24
3,Exit Long,INTRADAY_BExit,2021-01-07 15:15,3037.50,1,-562.50,-0.12,6337.50,-0.27,1342.50,0.29,1087.50,0.24
4,Entry Long,BUY,2021-01-12 09:45,3188.10,1,-1890.00,-0.4,4447.50,-0.92,2505.00,0.52,2362.50,0.49
4,Exit Long,INTRADAY_BExit,2021-01-12 15:15,3175.50,1,-1890.00,-0.4,4447.50,-0.92,2505.00,0.52,2362.50,0.49
5,Entry Short,SELL,2021-01-13 09:45,3143.80,1,-1785.00,-0.38,2662.50,-0.87,1290.00,0.27,3075.00,0.65
5,Exit Short,BUY,2021-01-13 14:45,3155.70,1,-1785.00,-0.38,2662.50,-0.87,1290.00,0.27,3075.00,0.65
6,Entry Long,BUY,2021-01-13 14:45,3155.70,1,2707.50,0.57,5370.00,1.34,2760.00,0.58,435.00,0.09
6,Exit Long,INTRADAY_BExit,2021-01-13 15:15,3173.75,1,2707.50,0.57,5370.00,1.34,2760.00,0.58,435.00,0.09
7,Entry Short,SELL,2021-01-14 09:45,3149.25,1,-5550.00,-1.17,-180.00,-2.7,2437.50,0.52,6705.00,1.42
7,Exit Short,BUY,2021-01-14 11:00,3186.25,1,-5550.00,-1.17,-180.00,-2.7,2437.50,0.52,6705.00,1.42
8,Entry Long,BUY,2021-01-14 11:00,3186.25,1,9982.50,2.09,9802.50,5,11782.50,2.47,0,0
8,Exit Long,BUY_TG_HIT,2021-01-14 14:00,3252.80,1,9982.50,2.09,9802.50,5,11782.50,2.47,0,0
9,Entry Short,SELL,2021-01-15 09:45,3218.30,1,-5865.00,-1.21,3937.50,-2.8,772.50,0.16,8355.00,1.73
9,Exit Short,BUY,2021-01-15 10:15,3257.40,1,-5865.00,-1.21,3937.50,-2.8,772.50,0.16,8355.00,1.73
10,Entry Long,BUY,2021-01-15 10:15,3257.40,1,-3090.00,-0.63,847.50,-1.52,690.00,0.14,4537.50,0.93
10,Exit Long,INTRADAY_BExit,2021-01-15 15:15,3236.80,1,-3090.00,-0.63,847.50,-1.52,690.00,0.14,4537.50,0.93
11,Entry Short,SELL,2021-01-18 09:45,3204.45,1,-6412.50,-1.33,-5565.00,-3.19,210.00,0.04,7732.50,1.61
11,Exit Short,BUY,2021-01-18 10:30,3247.20,1,-6412.50,-1.33,-5565.00,-3.19,210.00,0.04,7732.50,1.61
12,Entry Long,BUY,2021-01-18 10:30,3247.20,1,-3375.00,-0.69,-8940.00,-1.74,682.50,0.14,5062.50,1.04
12,Exit Long,INTRADAY_BExit,2021-01-18 15:15,3224.70,1,-3375.00,-0.69,-8940.00,-1.74,682.50,0.14,5062.50,1.04
13,Entry Long,BUY,2021-01-19 09:45,3246.55,1,2295.00,0.47,-6645.00,1.2,5017.50,1.03,1065.00,0.22
13,Exit Long,INTRADAY_BExit,2021-01-19 15:15,3261.85,1,2295.00,0.47,-6645.00,1.2,5017.50,1.03,1065.00,0.22
14,Entry Short,SELL,2021-01-20 12:45,3296.35,1,-2632.50,-0.53,-9277.50,-1.36,1447.50,0.29,2910.00,0.59
14,Exit Short,BUY,2021-01-20 15:00,3313.90,1,-2632.50,-0.53,-9277.50,-1.36,1447.50,0.29,2910.00,0.59
15,Entry Long,BUY,2021-01-20 15:00,3313.90,1,-900.00,-0.18,-10177.50,-0.47,7.50,0,1560.00,0.31
15,Exit Long,INTRADAY_BExit,2021-01-20 15:15,3307.90,1,-900.00,-0.18,-10177.50,-0.47,7.50,0,1560.00,0.31
16,Entry Short,SELL,2021-01-21 10:00,3284.50,1,255.00,0.05,-9922.50,0.13,2010.00,0.41,2655.00,0.54
16,Exit Short,INTRADAY_SExit,2021-01-21 15:15,3282.80,1,255.00,0.05,-9922.50,0.13,2010.00,0.41,2655.00,0.54
17,Entry Long,BUY,2021-01-22 10:00,3300.80,1,-262.50,-0.05,-10185.00,-0.14,3127.50,0.63,1920.00,0.39
17,Exit Long,INTRADAY_BExit,2021-01-22 15:15,3299.05,1,-262.50,-0.05,-10185.00,-0.14,3127.50,0.63,1920.00,0.39
18,Entry Short,SELL,2021-01-27 09:45,3304.25,1,9577.50,1.93,-607.50,5.05,9705.00,1.96,690.00,0.14
18,Exit Short,SELL_TG_HIT,2021-01-27 13:15,3240.40,1,9577.50,1.93,-607.50,5.05,9705.00,1.96,690.00,0.14
19,Entry Short,SELL,2021-01-28 09:45,3249.20,1,6382.50,1.31,5775.00,3.2,6420.00,1.32,2737.50,0.56
19,Exit Short,INTRADAY_SExit,2021-01-28 15:15,3206.65,1,6382.50,1.31,5775.00,3.2,6420.00,1.32,2737.50,0.56
20,Entry Long,BUY,2021-02-01 13:45,3138.90,1,3015.00,0.64,8790.00,1.47,6405.00,1.36,3457.50,0.73
20,Exit Long,INTRADAY_BExit,2021-02-01 15:15,3159.00,1,3015.00,0.64,8790.00,1.47,6405.00,1.36,3457.50,0.73
21,Entry Short,SELL,2021-02-04 10:00,3209.10,1,-1485.00,-0.31,7305.00,-0.71,3765.00,0.78,1560.00,0.32
21,Exit Short,BUY,2021-02-04 14:15,3219.00,1,-1485.00,-0.31,7305.00,-0.71,3765.00,0.78,1560.00,0.32
22,Entry Long,BUY,2021-02-04 14:15,3219.00,1,-4522.50,-0.94,2782.50,-2.18,97.50,0.02,4522.50,0.94
22,Exit Long,INTRADAY_BExit,2021-02-04 15:15,3188.85,1,-4522.50,-0.94,2782.50,-2.18,97.50,0.02,4522.50,0.94
23,Entry Short,SELL,2021-02-05 09:45,3151.55,1,-3067.50,-0.65,-285.00,-1.51,2400.00,0.51,3712.50,0.79
23,Exit Short,BUY,2021-02-05 12:00,3172.00,1,-3067.50,-0.65,-285.00,-1.51,2400.00,0.51,3712.50,0.79
24,Entry Long,BUY,2021-02-05 12:00,3172.00,1,442.50,0.09,157.50,0.22,1672.50,0.35,1650.00,0.35
24,Exit Long,INTRADAY_BExit,2021-02-05 15:15,3174.95,1,442.50,0.09,157.50,0.22,1672.50,0.35,1650.00,0.35
25,Entry Long,BUY,2021-02-10 10:00,3191.00,1,4747.50,0.99,4905.00,2.37,6187.50,1.29,1927.50,0.4
25,Exit Long,INTRADAY_BExit,2021-02-10 15:15,3222.65,1,4747.50,0.99,4905.00,2.37,6187.50,1.29,1927.50,0.4
26,Entry Short,SELL,2021-02-11 13:00,3196.30,1,-3735.00,-0.78,1170.00,-1.82,330.00,0.07,4102.50,0.86
26,Exit Short,BUY,2021-02-11 14:15,3221.20,1,-3735.00,-0.78,1170.00,-1.82,330.00,0.07,4102.50,0.86
27,Entry Long,BUY,2021-02-11 14:15,3221.20,1,-1087.50,-0.23,82.50,-0.54,180.00,0.04,1582.50,0.33
27,Exit Long,INTRADAY_BExit,2021-02-11 15:15,3213.95,1,-1087.50,-0.23,82.50,-0.54,180.00,0.04,1582.50,0.33
28,Entry Short,SELL,2021-02-12 11:15,3228.10,1,3660.00,0.76,3742.50,1.83,4935.00,1.02,780.00,0.16
28,Exit Short,INTRADAY_SExit,2021-02-12 15:15,3203.70,1,3660.00,0.76,3742.50,1.83,4935.00,1.02,780.00,0.16
29,Entry Long,BUY,2021-02-16 10:30,3156.00,1,-3195.00,-0.67,547.50,-1.57,675.00,0.14,4425.00,0.93
29,Exit Long,SELL,2021-02-16 12:00,3134.70,1,-3195.00,-0.67,547.50,-1.57,675.00,0.14,4425.00,0.93
30,Entry Short,SELL,2021-02-16 12:00,3134.70,1,2040.00,0.43,2587.50,1.02,3622.50,0.77,472.50,0.1
30,Exit Short,INTRADAY_SExit,2021-02-16 15:15,3121.10,1,2040.00,0.43,2587.50,1.02,3622.50,0.77,472.50,0.1
31,Entry Long,BUY,2021-02-17 11:30,3096.65,1,-2122.50,-0.46,465.00,-1.05,1012.50,0.22,3202.50,0.69
31,Exit Long,INTRADAY_BExit,2021-02-17 15:15,3082.50,1,-2122.50,-0.46,465.00,-1.05,1012.50,0.22,3202.50,0.69
32,Entry Short,SELL,2021-02-18 11:00,3072.95,1,1492.50,0.32,1957.50,0.74,5167.50,1.12,82.50,0.02
