Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-01 04:05,3082.70,100,3770.00,1.22,3770.00,3.77,3860.00,1.25,1290.00,0.42
1,Exit Short,SELL_TG_HIT,2021-02-01 05:40,3045.00,100,3770.00,1.22,3770.00,3.77,3860.00,1.25,1290.00,0.42
2,Entry Long,BUY,2021-02-01 05:50,3069.70,100,3430.00,1.12,7200.00,3.31,3810.00,1.24,835.00,0.27
2,Exit Long,BUY_TG_HIT,2021-02-01 07:35,3104.00,100,3430.00,1.12,7200.00,3.31,3810.00,1.24,835.00,0.27
3,Entry Long,BUY,2021-02-01 08:50,3126.90,100,3160.00,1.01,10360.00,2.95,3340.00,1.07,290.00,0.09
3,Exit Long,BUY_TG_HIT,2021-02-01 09:05,3158.50,100,3160.00,1.01,10360.00,2.95,3340.00,1.07,290.00,0.09
4,Entry Short,SELL,2021-02-01 09:25,3124.95,100,-1235.00,-0.4,9125.00,-1.12,390.00,0.12,2105.00,0.67
4,Exit Short,INTRADAY_SExit,2021-02-01 09:35,3137.30,100,-1235.00,-0.4,9125.00,-1.12,390.00,0.12,2105.00,0.67
5,Entry Long,BUY,2021-02-02 04:05,3205.40,100,-2795.00,-0.87,6330.00,-2.56,0,0,3095.00,0.97
5,Exit Long,SELL,2021-02-02 04:25,3177.45,100,-2795.00,-0.87,6330.00,-2.56,0,0,3095.00,0.97
6,Entry Short,SELL,2021-02-02 04:25,3177.45,100,-2150.00,-0.68,4180.00,-2.02,205.00,0.06,2255.00,0.71
6,Exit Short,BUY,2021-02-02 04:50,3198.95,100,-2150.00,-0.68,4180.00,-2.02,205.00,0.06,2255.00,0.71
7,Entry Long,BUY,2021-02-02 04:50,3198.95,100,-215.00,-0.07,3965.00,-0.21,605.00,0.19,1890.00,0.59
7,Exit Long,SELL,2021-02-02 06:05,3196.80,100,-215.00,-0.07,3965.00,-0.21,605.00,0.19,1890.00,0.59
8,Entry Short,SELL,2021-02-02 06:05,3196.80,100,-925.00,-0.29,3040.00,-0.89,355.00,0.11,1305.00,0.41
8,Exit Short,BUY,2021-02-02 07:30,3206.05,100,-925.00,-0.29,3040.00,-0.89,355.00,0.11,1305.00,0.41
9,Entry Long,BUY,2021-02-02 07:30,3206.05,100,-465.00,-0.15,2575.00,-0.45,195.00,0.06,930.00,0.29
9,Exit Long,SELL,2021-02-02 07:50,3201.40,100,-465.00,-0.15,2575.00,-0.45,195.00,0.06,930.00,0.29
10,Entry Short,SELL,2021-02-02 07:50,3201.40,100,-560.00,-0.17,2015.00,-0.55,340.00,0.11,1260.00,0.39
10,Exit Short,BUY,2021-02-02 08:15,3207.00,100,-560.00,-0.17,2015.00,-0.55,340.00,0.11,1260.00,0.39
11,Entry Long,BUY,2021-02-02 08:15,3207.00,100,-735.00,-0.23,1280.00,-0.72,205.00,0.06,1450.00,0.45
11,Exit Long,SELL,2021-02-02 08:30,3199.65,100,-735.00,-0.23,1280.00,-0.72,205.00,0.06,1450.00,0.45
12,Entry Short,SELL,2021-02-02 08:30,3199.65,100,-435.00,-0.14,845.00,-0.43,265.00,0.08,935.00,0.29
12,Exit Short,INTRADAY_SExit,2021-02-02 09:35,3204.00,100,-435.00,-0.14,845.00,-0.43,265.00,0.08,935.00,0.29
13,Entry Long,BUY,2021-02-03 04:05,3213.90,100,-860.00,-0.27,-15.00,-0.85,2210.00,0.69,970.00,0.3
13,Exit Long,SELL,2021-02-03 06:00,3205.30,100,-860.00,-0.27,-15.00,-0.85,2210.00,0.69,970.00,0.3
14,Entry Short,SELL,2021-02-03 06:00,3205.30,100,-1295.00,-0.4,-1310.00,-1.3,2030.00,0.63,1435.00,0.45
14,Exit Short,BUY,2021-02-03 06:45,3218.25,100,-1295.00,-0.4,-1310.00,-1.3,2030.00,0.63,1435.00,0.45
15,Entry Long,BUY,2021-02-03 06:45,3218.25,100,-315.00,-0.1,-1625.00,-0.32,625.00,0.19,615.00,0.19
15,Exit Long,SELL,2021-02-03 07:55,3215.10,100,-315.00,-0.1,-1625.00,-0.32,625.00,0.19,615.00,0.19
16,Entry Short,SELL,2021-02-03 07:55,3215.10,100,1505.00,0.47,-120.00,1.53,1705.00,0.53,685.00,0.21
16,Exit Short,INTRADAY_SExit,2021-02-03 09:35,3200.05,100,1505.00,0.47,-120.00,1.53,1705.00,0.53,685.00,0.21
17,Entry Short,SELL,2021-02-04 05:05,3188.35,100,-550.00,-0.17,-670.00,-0.55,1235.00,0.39,665.00,0.21
17,Exit Short,BUY,2021-02-04 05:45,3193.85,100,-550.00,-0.17,-670.00,-0.55,1235.00,0.39,665.00,0.21
18,Entry Long,BUY,2021-02-04 05:45,3193.85,100,50.00,0.02,-620.00,0.05,1700.00,0.53,335.00,0.1
18,Exit Long,SELL,2021-02-04 07:10,3194.35,100,50.00,0.02,-620.00,0.05,1700.00,0.53,335.00,0.1
19,Entry Short,SELL,2021-02-04 07:10,3194.35,100,-500.00,-0.16,-1120.00,-0.5,740.00,0.23,500.00,0.16
19,Exit Short,BUY,2021-02-04 07:55,3199.35,100,-500.00,-0.16,-1120.00,-0.5,740.00,0.23,500.00,0.16
20,Entry Long,BUY,2021-02-04 07:55,3199.35,100,-35.00,-0.01,-1155.00,-0.04,1215.00,0.38,435.00,0.14
20,Exit Long,SELL,2021-02-04 09:10,3199.00,100,-35.00,-0.01,-1155.00,-0.04,1215.00,0.38,435.00,0.14
21,Entry Short,SELL,2021-02-04 09:10,3199.00,100,680.00,0.21,-475.00,0.69,1140.00,0.36,100.00,0.03
21,Exit Short,INTRADAY_SExit,2021-02-04 09:35,3192.20,100,680.00,0.21,-475.00,0.69,1140.00,0.36,100.00,0.03
22,Entry Long,BUY,2021-02-05 05:35,3141.00,100,1370.00,0.44,895.00,1.38,2540.00,0.81,385.00,0.12
22,Exit Long,SELL,2021-02-05 07:40,3154.70,100,1370.00,0.44,895.00,1.38,2540.00,0.81,385.00,0.12
23,Entry Short,SELL,2021-02-05 07:40,3154.70,100,-610.00,-0.19,285.00,-0.6,870.00,0.28,730.00,0.23
23,Exit Short,BUY,2021-02-05 09:20,3160.80,100,-610.00,-0.19,285.00,-0.6,870.00,0.28,730.00,0.23
24,Entry Long,BUY,2021-02-05 09:20,3160.80,100,-390.00,-0.12,-105.00,-0.39,200.00,0.06,730.00,0.23
24,Exit Long,INTRADAY_BExit,2021-02-05 09:35,3156.90,100,-390.00,-0.12,-105.00,-0.39,200.00,0.06,730.00,0.23
25,Entry Long,BUY,2021-02-08 04:05,3169.15,100,-775.00,-0.24,-880.00,-0.78,370.00,0.12,915.00,0.29
25,Exit Long,SELL,2021-02-08 04:20,3161.40,100,-775.00,-0.24,-880.00,-0.78,370.00,0.12,915.00,0.29
26,Entry Short,SELL,2021-02-08 04:20,3161.40,100,-980.00,-0.31,-1860.00,-0.99,625.00,0.2,1085.00,0.34
26,Exit Short,BUY,2021-02-08 05:05,3171.20,100,-980.00,-0.31,-1860.00,-0.99,625.00,0.2,1085.00,0.34
27,Entry Long,BUY,2021-02-08 05:05,3171.20,100,-400.00,-0.13,-2260.00,-0.41,1235.00,0.39,515.00,0.16
27,Exit Long,SELL,2021-02-08 06:20,3167.20,100,-400.00,-0.13,-2260.00,-0.41,1235.00,0.39,515.00,0.16
28,Entry Short,SELL,2021-02-08 06:20,3167.20,100,-965.00,-0.3,-3225.00,-0.99,220.00,0.07,1060.00,0.33
28,Exit Short,BUY,2021-02-08 06:55,3176.85,100,-965.00,-0.3,-3225.00,-0.99,220.00,0.07,1060.00,0.33
29,Entry Long,BUY,2021-02-08 06:55,3176.85,100,1165.00,0.37,-2060.00,1.2,2200.00,0.69,170.00,0.05
29,Exit Long,SELL,2021-02-08 08:10,3188.50,100,1165.00,0.37,-2060.00,1.2,2200.00,0.69,170.00,0.05
30,Entry Short,SELL,2021-02-08 08:10,3188.50,100,-1075.00,-0.34,-3135.00,-1.1,0,0,1150.00,0.36
30,Exit Short,BUY,2021-02-08 08:25,3199.25,100,-1075.00,-0.34,-3135.00,-1.1,0,0,1150.00,0.36
31,Entry Long,BUY,2021-02-08 08:25,3199.25,100,2575.00,0.8,-560.00,2.66,2575.00,0.8,20.00,0.01
31,Exit Long,BUY_TG_HIT,2021-02-08 08:50,3225.00,100,2575.00,0.8,-560.00,2.66,2575.00,0.8,20.00,0.01
32,Entry Short,SELL,2021-02-09 04:15,3223.45,100,-225.00,-0.07,-785.00,-0.23,1745.00,0.54,1155.00,0.36
32,Exit Short,BUY,2021-02-09 06:55,3225.70,100,-225.00,-0.07,-785.00,-0.23,1745.00,0.54,1155.00,0.36
33,Entry Long,BUY,2021-02-09 06:55,3225.70,100,-920.00,-0.29,-1705.00,-0.93,230.00,0.07,1165.00,0.36
33,Exit Long,SELL,2021-02-09 08:50,3216.50,100,-920.00,-0.29,-1705.00,-0.93,230.00,0.07,1165.00,0.36
34,Entry Short,SELL,2021-02-09 08:50,3216.50,100,4105.00,1.28,2400.00,4.18,4440.00,1.38,45.00,0.01
34,Exit Short,INTRADAY_SExit,2021-02-09 09:35,3175.45,100,4105.00,1.28,2400.00,4.18,4440.00,1.38,45.00,0.01
35,Entry Long,BUY,2021-02-10 04:10,3194.15,100,-2735.00,-0.86,-335.00,-2.67,385.00,0.12,2860.00,0.9
35,Exit Long,BUY_SL_HIT,2021-02-10 04:55,3166.80,100,-2735.00,-0.86,-335.00,-2.67,385.00,0.12,2860.00,0.9
36,Entry Long,BUY,2021-02-10 05:20,3174.00,100,2670.00,0.84,2335.00,2.68,3000.00,0.95,100.00,0.03
36,Exit Long,BUY_TG_HIT,2021-02-10 06:25,3200.70,100,2670.00,0.84,2335.00,2.68,3000.00,0.95,100.00,0.03
