Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-01-11 11:55,3155.75,100,-2670.00,-0.85,-2670.00,-2.67,20.00,0.01,2925.00,0.93
1,Exit Short,BUY,2021-01-11 13:40,3182.45,100,-2670.00,-0.85,-2670.00,-2.67,20.00,0.01,2925.00,0.93
2,Entry Long,BUY,2021-01-11 13:40,3182.45,100,-705.00,-0.22,-3375.00,-0.72,1465.00,0.46,950.00,0.3
2,Exit Long,INTRADAY_BExit,2021-01-11 15:05,3175.40,100,-705.00,-0.22,-3375.00,-0.72,1465.00,0.46,950.00,0.3
3,Entry Long,BUY,2021-01-12 09:35,3189.80,100,-90.00,-0.03,-3465.00,-0.09,2020.00,0.63,1145.00,0.36
3,Exit Long,SELL,2021-01-12 14:05,3188.90,100,-90.00,-0.03,-3465.00,-0.09,2020.00,0.63,1145.00,0.36
4,Entry Short,SELL,2021-01-12 14:05,3188.90,100,820.00,0.26,-2645.00,0.85,890.00,0.28,765.00,0.24
4,Exit Short,INTRADAY_SExit,2021-01-12 15:05,3180.70,100,820.00,0.26,-2645.00,0.85,890.00,0.28,765.00,0.24
5,Entry Long,BUY,2021-01-13 13:55,3147.00,100,1045.00,0.33,-1600.00,1.07,1050.00,0.33,1045.00,0.33
5,Exit Long,INTRADAY_BExit,2021-01-13 15:05,3157.45,100,1045.00,0.33,-1600.00,1.07,1050.00,0.33,1045.00,0.33
6,Entry Short,SELL,2021-01-14 09:35,3147.20,100,-1700.00,-0.54,-3300.00,-1.73,1720.00,0.55,2220.00,0.71
6,Exit Short,BUY,2021-01-14 10:20,3164.20,100,-1700.00,-0.54,-3300.00,-1.73,1720.00,0.55,2220.00,0.71
7,Entry Long,BUY,2021-01-14 10:20,3164.20,100,7100.00,2.24,3800.00,7.34,7530.00,2.38,560.00,0.18
7,Exit Long,BUY_TG_HIT,2021-01-14 13:40,3235.20,100,7100.00,2.24,3800.00,7.34,7530.00,2.38,560.00,0.18
8,Entry Short,SELL,2021-01-15 09:35,3220.00,100,-3605.00,-1.12,195.00,-3.47,1000.00,0.31,4400.00,1.37
8,Exit Short,BUY,2021-01-15 09:55,3256.05,100,-3605.00,-1.12,195.00,-3.47,1000.00,0.31,4400.00,1.37
9,Entry Long,BUY,2021-01-15 09:55,3256.05,100,-2070.00,-0.64,-1875.00,-2.07,1795.00,0.55,2605.00,0.8
9,Exit Long,INTRADAY_BExit,2021-01-15 15:05,3235.35,100,-2070.00,-0.64,-1875.00,-2.07,1795.00,0.55,2605.00,0.8
10,Entry Short,SELL,2021-01-18 09:35,3210.60,100,-2640.00,-0.82,-4515.00,-2.69,2320.00,0.72,2640.00,0.82
10,Exit Short,BUY,2021-01-18 10:05,3237.00,100,-2640.00,-0.82,-4515.00,-2.69,2320.00,0.72,2640.00,0.82
11,Entry Long,BUY,2021-01-18 10:05,3237.00,100,-2040.00,-0.63,-6555.00,-2.14,1975.00,0.61,2505.00,0.77
11,Exit Long,SELL,2021-01-18 11:45,3216.60,100,-2040.00,-0.63,-6555.00,-2.14,1975.00,0.61,2505.00,0.77
12,Entry Short,SELL,2021-01-18 11:45,3216.60,100,-2440.00,-0.76,-8995.00,-2.61,340.00,0.11,2670.00,0.83
12,Exit Short,BUY,2021-01-18 12:35,3241.00,100,-2440.00,-0.76,-8995.00,-2.61,340.00,0.11,2670.00,0.83
13,Entry Long,BUY,2021-01-18 12:35,3241.00,100,-1030.00,-0.32,-10025.00,-1.13,880.00,0.27,1300.00,0.4
13,Exit Long,SELL,2021-01-18 14:40,3230.70,100,-1030.00,-0.32,-10025.00,-1.13,880.00,0.27,1300.00,0.4
14,Entry Short,SELL,2021-01-18 14:40,3230.70,100,775.00,0.24,-9250.00,0.86,1170.00,0.36,990.00,0.31
14,Exit Short,INTRADAY_SExit,2021-01-18 15:05,3222.95,100,775.00,0.24,-9250.00,0.86,1170.00,0.36,990.00,0.31
15,Entry Long,BUY,2021-01-19 09:35,3253.40,100,-320.00,-0.1,-9570.00,-0.35,2560.00,0.79,1580.00,0.49
15,Exit Long,SELL,2021-01-19 12:20,3250.20,100,-320.00,-0.1,-9570.00,-0.35,2560.00,0.79,1580.00,0.49
16,Entry Short,SELL,2021-01-19 12:20,3250.20,100,-1515.00,-0.47,-11085.00,-1.68,820.00,0.25,1580.00,0.49
16,Exit Short,BUY,2021-01-19 14:55,3265.35,100,-1515.00,-0.47,-11085.00,-1.68,820.00,0.25,1580.00,0.49
17,Entry Long,BUY,2021-01-19 14:55,3265.35,100,-910.00,-0.28,-11995.00,-1.02,55.00,0.02,1130.00,0.35
17,Exit Long,INTRADAY_BExit,2021-01-19 15:05,3256.25,100,-910.00,-0.28,-11995.00,-1.02,55.00,0.02,1130.00,0.35
18,Entry Short,SELL,2021-01-20 10:45,3298.60,100,-505.00,-0.15,-12500.00,-0.57,1350.00,0.41,940.00,0.28
18,Exit Short,BUY,2021-01-20 14:35,3303.65,100,-505.00,-0.15,-12500.00,-0.57,1350.00,0.41,940.00,0.28
19,Entry Long,BUY,2021-01-20 14:35,3303.65,100,475.00,0.14,-12025.00,0.54,1135.00,0.34,100.00,0.03
19,Exit Long,INTRADAY_BExit,2021-01-20 15:05,3308.40,100,475.00,0.14,-12025.00,0.54,1135.00,0.34,100.00,0.03
20,Entry Short,SELL,2021-01-21 09:35,3282.10,100,-300.00,-0.09,-12325.00,-0.34,1470.00,0.45,940.00,0.29
