Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-01-11 04:20,3150.50,100,-2715.00,-0.86,-2715.00,-2.71,50.00,0.02,3305.00,1.05
1,Exit Short,BUY,2021-01-11 05:20,3177.65,100,-2715.00,-0.86,-2715.00,-2.71,50.00,0.02,3305.00,1.05
2,Entry Long,BUY,2021-01-11 05:20,3177.65,100,-2190.00,-0.69,-4905.00,-2.25,735.00,0.23,2765.00,0.87
2,Exit Long,SELL,2021-01-11 06:25,3155.75,100,-2190.00,-0.69,-4905.00,-2.25,735.00,0.23,2765.00,0.87
3,Entry Short,SELL,2021-01-11 06:25,3155.75,100,-2105.00,-0.67,-7010.00,-2.21,20.00,0.01,2345.00,0.74
3,Exit Short,BUY,2021-01-11 07:45,3176.80,100,-2105.00,-0.67,-7010.00,-2.21,20.00,0.01,2345.00,0.74
4,Entry Long,BUY,2021-01-11 07:45,3176.80,100,-140.00,-0.04,-7150.00,-0.15,2030.00,0.64,555.00,0.17
4,Exit Long,INTRADAY_BExit,2021-01-11 09:35,3175.40,100,-140.00,-0.04,-7150.00,-0.15,2030.00,0.64,555.00,0.17
5,Entry Long,BUY,2021-01-12 05:30,3191.10,100,-885.00,-0.28,-8035.00,-0.95,1890.00,0.59,900.00,0.28
5,Exit Long,SELL,2021-01-12 08:45,3182.25,100,-885.00,-0.28,-8035.00,-0.95,1890.00,0.59,900.00,0.28
6,Entry Short,SELL,2021-01-12 08:45,3182.25,100,155.00,0.05,-7880.00,0.17,225.00,0.07,1430.00,0.45
6,Exit Short,INTRADAY_SExit,2021-01-12 09:35,3180.70,100,155.00,0.05,-7880.00,0.17,225.00,0.07,1430.00,0.45
7,Entry Short,SELL,2021-01-13 04:05,3151.45,100,-80.00,-0.03,-7960.00,-0.09,2520.00,0.8,680.00,0.22
7,Exit Short,BUY,2021-01-13 09:00,3152.25,100,-80.00,-0.03,-7960.00,-0.09,2520.00,0.8,680.00,0.22
8,Entry Long,BUY,2021-01-13 09:00,3152.25,100,520.00,0.16,-7440.00,0.56,525.00,0.17,910.00,0.29
8,Exit Long,INTRADAY_BExit,2021-01-13 09:35,3157.45,100,520.00,0.16,-7440.00,0.56,525.00,0.17,910.00,0.29
9,Entry Short,SELL,2021-01-14 04:20,3132.20,100,-2380.00,-0.76,-9820.00,-2.57,220.00,0.07,2770.00,0.88
9,Exit Short,BUY,2021-01-14 04:45,3156.00,100,-2380.00,-0.76,-9820.00,-2.57,220.00,0.07,2770.00,0.88
10,Entry Long,BUY,2021-01-14 04:45,3156.00,100,3285.00,1.04,-6535.00,3.64,3515.00,1.11,0,0
10,Exit Long,BUY_TG_HIT,2021-01-14 05:35,3188.85,100,3285.00,1.04,-6535.00,3.64,3515.00,1.11,0,0
11,Entry Short,SELL,2021-01-15 04:10,3215.70,100,-4035.00,-1.25,-10570.00,-4.32,570.00,0.18,4830.00,1.5
11,Exit Short,BUY,2021-01-15 04:25,3256.05,100,-4035.00,-1.25,-10570.00,-4.32,570.00,0.18,4830.00,1.5
12,Entry Long,BUY,2021-01-15 04:25,3256.05,100,-2025.00,-0.62,-12595.00,-2.26,1795.00,0.55,2110.00,0.65
12,Exit Long,SELL,2021-01-15 07:40,3235.80,100,-2025.00,-0.62,-12595.00,-2.26,1795.00,0.55,2110.00,0.65
13,Entry Short,SELL,2021-01-15 07:40,3235.80,100,45.00,0.01,-12550.00,0.05,580.00,0.18,1420.00,0.44
13,Exit Short,INTRADAY_SExit,2021-01-15 09:35,3235.35,100,45.00,0.01,-12550.00,0.05,580.00,0.18,1420.00,0.44
14,Entry Short,SELL,2021-01-18 04:10,3194.80,100,-2640.00,-0.83,-15190.00,-3.02,740.00,0.23,3220.00,1.01
14,Exit Short,BUY,2021-01-18 04:25,3221.20,100,-2640.00,-0.83,-15190.00,-3.02,740.00,0.23,3220.00,1.01
15,Entry Long,BUY,2021-01-18 04:25,3221.20,100,-460.00,-0.14,-15650.00,-0.54,3555.00,1.1,925.00,0.29
15,Exit Long,SELL,2021-01-18 06:15,3216.60,100,-460.00,-0.14,-15650.00,-0.54,3555.00,1.1,925.00,0.29
16,Entry Short,SELL,2021-01-18 06:15,3216.60,100,-1530.00,-0.48,-17180.00,-1.81,340.00,0.11,1710.00,0.53
16,Exit Short,BUY,2021-01-18 06:50,3231.90,100,-1530.00,-0.48,-17180.00,-1.81,340.00,0.11,1710.00,0.53
17,Entry Long,BUY,2021-01-18 06:50,3231.90,100,-895.00,-0.28,-18075.00,-1.08,1790.00,0.55,1290.00,0.4
17,Exit Long,INTRADAY_BExit,2021-01-18 09:35,3222.95,100,-895.00,-0.28,-18075.00,-1.08,1790.00,0.55,1290.00,0.4
18,Entry Long,BUY,2021-01-19 04:05,3253.40,100,160.00,0.05,-17915.00,0.2,2560.00,0.79,1580.00,0.49
18,Exit Long,SELL,2021-01-19 06:45,3255.00,100,160.00,0.05,-17915.00,0.2,2560.00,0.79,1580.00,0.49
19,Entry Short,SELL,2021-01-19 06:45,3255.00,100,-395.00,-0.12,-18310.00,-0.48,1300.00,0.4,500.00,0.15
19,Exit Short,BUY,2021-01-19 07:50,3258.95,100,-395.00,-0.12,-18310.00,-0.48,1300.00,0.4,500.00,0.15
20,Entry Long,BUY,2021-01-19 07:50,3258.95,100,-450.00,-0.14,-18760.00,-0.55,415.00,0.13,840.00,0.26
20,Exit Long,SELL,2021-01-19 08:00,3254.45,100,-450.00,-0.14,-18760.00,-0.55,415.00,0.13,840.00,0.26
21,Entry Short,SELL,2021-01-19 08:00,3254.45,100,-615.00,-0.19,-19375.00,-0.76,845.00,0.26,855.00,0.26
21,Exit Short,BUY,2021-01-19 09:20,3260.60,100,-615.00,-0.19,-19375.00,-0.76,845.00,0.26,855.00,0.26
22,Entry Long,BUY,2021-01-19 09:20,3260.60,100,-435.00,-0.13,-19810.00,-0.54,540.00,0.17,655.00,0.2
22,Exit Long,INTRADAY_BExit,2021-01-19 09:35,3256.25,100,-435.00,-0.13,-19810.00,-0.54,540.00,0.17,655.00,0.2
23,Entry Short,SELL,2021-01-20 05:15,3298.60,100,-980.00,-0.3,-20790.00,-1.22,1350.00,0.41,1640.00,0.5
23,Exit Short,INTRADAY_SExit,2021-01-20 09:35,3308.40,100,-980.00,-0.3,-20790.00,-1.22,1350.00,0.41,1640.00,0.5
24,Entry Short,SELL,2021-01-21 04:05,3282.10,100,-590.00,-0.18,-21380.00,-0.74,1470.00,0.45,940.00,0.29
24,Exit Short,BUY,2021-01-21 08:40,3288.00,100,-590.00,-0.18,-21380.00,-0.74,1470.00,0.45,940.00,0.29
25,Entry Long,BUY,2021-01-21 08:40,3288.00,100,-615.00,-0.19,-21995.00,-0.78,565.00,0.17,895.00,0.27
25,Exit Long,INTRADAY_BExit,2021-01-21 09:35,3281.85,100,-615.00,-0.19,-21995.00,-0.78,565.00,0.17,895.00,0.27
26,Entry Short,SELL,2021-01-22 04:05,3271.00,100,-2550.00,-0.78,-24545.00,-3.27,0,0,2590.00,0.79
26,Exit Short,BUY,2021-01-22 04:10,3296.50,100,-2550.00,-0.78,-24545.00,-3.27,0,0,2590.00,0.79
27,Entry Long,BUY,2021-01-22 04:10,3296.50,100,725.00,0.22,-23820.00,0.96,2850.00,0.86,995.00,0.3
27,Exit Long,INTRADAY_BExit,2021-01-22 09:35,3303.75,100,725.00,0.22,-23820.00,0.96,2850.00,0.86,995.00,0.3
28,Entry Short,SELL,2021-01-25 04:20,3307.15,100,-1785.00,-0.54,-25605.00,-2.34,115.00,0.03,1985.00,0.6
28,Exit Short,BUY,2021-01-25 04:45,3325.00,100,-1785.00,-0.54,-25605.00,-2.34,115.00,0.03,1985.00,0.6
29,Entry Long,BUY,2021-01-25 04:45,3325.00,100,-1145.00,-0.34,-26750.00,-1.54,500.00,0.15,1195.00,0.36
29,Exit Long,SELL,2021-01-25 06:45,3313.55,100,-1145.00,-0.34,-26750.00,-1.54,500.00,0.15,1195.00,0.36
30,Entry Short,SELL,2021-01-25 06:45,3313.55,100,1155.00,0.35,-25595.00,1.58,1155.00,0.35,855.00,0.26
30,Exit Short,INTRADAY_SExit,2021-01-25 09:35,3302.00,100,1155.00,0.35,-25595.00,1.58,1155.00,0.35,855.00,0.26
31,Entry Short,SELL,2021-01-27 05:20,3276.10,100,3290.00,1,-22305.00,4.42,3410.00,1.04,865.00,0.26
31,Exit Short,SELL_TG_HIT,2021-01-27 07:35,3243.20,100,3290.00,1,-22305.00,4.42,3410.00,1.04,865.00,0.26
32,Entry Short,SELL,2021-01-27 07:40,3239.00,100,-2085.00,-0.64,-24390.00,-2.68,1200.00,0.37,2805.00,0.87
32,Exit Short,INTRADAY_SExit,2021-01-27 09:35,3259.85,100,-2085.00,-0.64,-24390.00,-2.68,1200.00,0.37,2805.00,0.87
33,Entry Long,BUY,2021-01-28 04:10,3243.40,100,-1400.00,-0.43,-25790.00,-1.85,1760.00,0.54,1575.00,0.49
33,Exit Long,SELL,2021-01-28 05:10,3229.40,100,-1400.00,-0.43,-25790.00,-1.85,1760.00,0.54,1575.00,0.49
34,Entry Short,SELL,2021-01-28 05:10,3229.40,100,1725.00,0.53,-24065.00,2.32,2140.00,0.66,625.00,0.19
34,Exit Short,INTRADAY_SExit,2021-01-28 09:35,3212.15,100,1725.00,0.53,-24065.00,2.32,2140.00,0.66,625.00,0.19
35,Entry Short,SELL,2021-01-29 04:05,3173.00,100,3300.00,1.04,-20765.00,4.35,3520.00,1.11,2140.00,0.67
35,Exit Short,SELL_TG_HIT,2021-01-29 06:45,3140.00,100,3300.00,1.04,-20765.00,4.35,3520.00,1.11,2140.00,0.67
36,Entry Short,SELL,2021-01-29 06:50,3141.00,100,2980.00,0.95,-17785.00,3.76,3780.00,1.2,1395.00,0.44
36,Exit Short,INTRADAY_SExit,2021-01-29 09:35,3111.20,100,2980.00,0.95,-17785.00,3.76,3780.00,1.2,1395.00,0.44
37,Entry Short,SELL,2021-02-01 04:05,3082.70,100,3770.00,1.22,-14015.00,4.59,3860.00,1.25,1290.00,0.42
37,Exit Short,SELL_TG_HIT,2021-02-01 05:40,3045.00,100,3770.00,1.22,-14015.00,4.59,3860.00,1.25,1290.00,0.42
38,Entry Short,SELL,2021-02-01 05:45,3058.20,100,-2330.00,-0.76,-16345.00,-2.71,15.00,0,2890.00,0.95
38,Exit Short,BUY,2021-02-01 07:25,3081.50,100,-2330.00,-0.76,-16345.00,-2.71,15.00,0,2890.00,0.95
39,Entry Long,BUY,2021-02-01 07:25,3081.50,100,4095.00,1.33,-12250.00,4.9,4095.00,1.33,50.00,0.02
39,Exit Long,BUY_TG_HIT,2021-02-01 08:00,3122.45,100,4095.00,1.33,-12250.00,4.9,4095.00,1.33,50.00,0.02
40,Entry Long,BUY,2021-02-01 08:05,3110.85,100,4765.00,1.53,-7485.00,5.43,4945.00,1.59,1535.00,0.49
40,Exit Long,BUY_TG_HIT,2021-02-01 09:05,3158.50,100,4765.00,1.53,-7485.00,5.43,4945.00,1.59,1535.00,0.49
41,Entry Short,SELL,2021-02-02 04:25,3177.45,100,-2150.00,-0.68,-9635.00,-2.32,205.00,0.06,2255.00,0.71
41,Exit Short,BUY,2021-02-02 04:50,3198.95,100,-2150.00,-0.68,-9635.00,-2.32,205.00,0.06,2255.00,0.71
42,Entry Long,BUY,2021-02-02 04:50,3198.95,100,505.00,0.16,-9130.00,0.56,1505.00,0.47,1890.00,0.59
42,Exit Long,INTRADAY_BExit,2021-02-02 09:35,3204.00,100,505.00,0.16,-9130.00,0.56,1505.00,0.47,1890.00,0.59
43,Entry Long,BUY,2021-02-03 04:05,3213.90,100,-2830.00,-0.88,-11960.00,-3.11,2210.00,0.69,2890.00,0.9
43,Exit Long,SELL,2021-02-03 06:05,3185.60,100,-2830.00,-0.88,-11960.00,-3.11,2210.00,0.69,2890.00,0.9
