Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-01 10:45,982.50,1,30.00,0.01,30.00,0.02,1890.00,0.32,1350.00,0.23
1,Exit Long,INTRADAY_BExit,2021-01-01 15:15,982.55,1,30.00,0.01,30.00,0.02,1890.00,0.32,1350.00,0.23
2,Entry Long,BUY,2021-01-04 09:45,986.40,1,-3510.00,-0.59,-3480.00,-1.75,870.00,0.15,5010.00,0.85
2,Exit Long,SELL,2021-01-04 11:15,980.55,1,-3510.00,-0.59,-3480.00,-1.75,870.00,0.15,5010.00,0.85
3,Entry Short,SELL,2021-01-04 11:15,980.55,1,-7050.00,-1.2,-10530.00,-3.59,0,0,8460.00,1.44
3,Exit Short,BUY,2021-01-04 12:30,992.30,1,-7050.00,-1.2,-10530.00,-3.59,0,0,8460.00,1.44
4,Entry Long,BUY,2021-01-04 12:30,992.30,1,6390.00,1.07,-4140.00,3.37,6720.00,1.13,150.00,0.03
4,Exit Long,BUY_TG_HIT,2021-01-04 13:15,1002.95,1,6390.00,1.07,-4140.00,3.37,6720.00,1.13,150.00,0.03
5,Entry Short,SELL,2021-01-06 12:30,1015.25,1,6900.00,1.13,2760.00,3.52,6900.00,1.13,0,0
5,Exit Short,SELL_TG_HIT,2021-01-06 13:15,1003.75,1,6900.00,1.13,2760.00,3.52,6900.00,1.13,0,0
6,Entry Long,BUY,2021-01-07 13:00,1006.00,1,-5730.00,-0.95,-2970.00,-2.83,2400.00,0.4,6780.00,1.12
6,Exit Long,INTRADAY_BExit,2021-01-07 15:15,996.45,1,-5730.00,-0.95,-2970.00,-2.83,2400.00,0.4,6780.00,1.12
7,Entry Long,BUY,2021-01-08 09:45,1016.90,1,7530.00,1.23,4560.00,3.82,7860.00,1.29,2340.00,0.38
7,Exit Long,BUY_TG_HIT,2021-01-08 10:45,1029.45,1,7530.00,1.23,4560.00,3.82,7860.00,1.29,2340.00,0.38
8,Entry Short,SELL,2021-01-11 09:45,1054.55,1,-7530.00,-1.19,-2970.00,-3.68,6840.00,1.08,8880.00,1.4
8,Exit Short,BUY,2021-01-11 14:15,1067.10,1,-7530.00,-1.19,-2970.00,-3.68,6840.00,1.08,8880.00,1.4
9,Entry Long,BUY,2021-01-11 14:15,1067.10,1,8280.00,1.29,5310.00,4.2,8820.00,1.38,480.00,0.07
9,Exit Long,BUY_TG_HIT,2021-01-11 14:45,1080.90,1,8280.00,1.29,5310.00,4.2,8820.00,1.38,480.00,0.07
10,Entry Short,SELL,2021-01-12 10:30,1065.00,1,-30.00,0,5280.00,-0.01,5280.00,0.83,2400.00,0.38
10,Exit Short,BUY,2021-01-12 14:00,1065.05,1,-30.00,0,5280.00,-0.01,5280.00,0.83,2400.00,0.38
11,Entry Long,BUY,2021-01-12 14:00,1065.05,1,2730.00,0.43,8010.00,1.33,5370.00,0.84,1470.00,0.23
11,Exit Long,INTRADAY_BExit,2021-01-12 15:15,1069.60,1,2730.00,0.43,8010.00,1.33,5370.00,0.84,1470.00,0.23
12,Entry Short,SELL,2021-01-13 11:45,1062.10,1,-9000.00,-1.41,-990.00,-4.33,4860.00,0.76,9540.00,1.5
12,Exit Short,INTRADAY_SExit,2021-01-13 15:15,1077.10,1,-9000.00,-1.41,-990.00,-4.33,4860.00,0.76,9540.00,1.5
13,Entry Short,SELL,2021-01-14 09:45,1042.60,1,-6300.00,-1.01,-7290.00,-3.17,3360.00,0.54,6870.00,1.1
13,Exit Short,SELL_SL_HIT,2021-01-14 10:00,1053.10,1,-6300.00,-1.01,-7290.00,-3.17,3360.00,0.54,6870.00,1.1
14,Entry Long,BUY,2021-01-14 11:30,1060.95,1,-2790.00,-0.44,-10080.00,-1.45,4770.00,0.75,5370.00,0.84
14,Exit Long,INTRADAY_BExit,2021-01-14 15:15,1056.30,1,-2790.00,-0.44,-10080.00,-1.45,4770.00,0.75,5370.00,0.84
15,Entry Short,SELL,2021-01-15 09:45,1036.50,1,6180.00,0.99,-3900.00,3.25,6600.00,1.06,4770.00,0.77
15,Exit Short,SELL_TG_HIT,2021-01-15 13:15,1026.20,1,6180.00,0.99,-3900.00,3.25,6600.00,1.06,4770.00,0.77
16,Entry Long,BUY,2021-01-19 09:45,1003.20,1,-6630.00,-1.1,-10530.00,-3.38,30.00,0,7050.00,1.17
16,Exit Long,BUY_SL_HIT,2021-01-19 11:15,992.15,1,-6630.00,-1.1,-10530.00,-3.38,30.00,0,7050.00,1.17
17,Entry Short,SELL,2021-01-19 11:30,992.30,1,-8220.00,-1.38,-18750.00,-4.34,1410.00,0.24,9660.00,1.62
17,Exit Short,SELL_SL_HIT,2021-01-19 13:00,1006.00,1,-8220.00,-1.38,-18750.00,-4.34,1410.00,0.24,9660.00,1.62
18,Entry Long,BUY,2021-01-19 13:15,1003.50,1,-5340.00,-0.89,-24090.00,-2.95,360.00,0.06,5340.00,0.89
18,Exit Long,SELL,2021-01-19 14:30,994.60,1,-5340.00,-0.89,-24090.00,-2.95,360.00,0.06,5340.00,0.89
19,Entry Short,SELL,2021-01-19 14:30,994.60,1,-810.00,-0.14,-24900.00,-0.46,0,0,3150.00,0.53
19,Exit Short,INTRADAY_SExit,2021-01-19 15:15,995.95,1,-810.00,-0.14,-24900.00,-0.46,0,0,3150.00,0.53
20,Entry Long,BUY,2021-01-20 09:45,1019.35,1,1500.00,0.25,-23400.00,0.86,4380.00,0.72,2430.00,0.4
20,Exit Long,INTRADAY_BExit,2021-01-20 15:15,1021.85,1,1500.00,0.25,-23400.00,0.86,4380.00,0.72,2430.00,0.4
21,Entry Short,SELL,2021-01-21 10:15,1017.50,1,6030.00,0.99,-17370.00,3.41,7020.00,1.15,2040.00,0.33
21,Exit Short,SELL_TG_HIT,2021-01-21 14:15,1007.45,1,6030.00,0.99,-17370.00,3.41,7020.00,1.15,2040.00,0.33
22,Entry Short,SELL,2021-01-25 10:00,981.15,1,4620.00,0.78,-12750.00,2.53,5910.00,1,6090.00,1.03
