Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-02-15 04:20,988.60,1,-2670.00,-0.45,-2670.00,-1.33,4440.00,0.75,2670.00,0.45
1,Exit Long,SELL,2021-02-15 06:35,984.15,1,-2670.00,-0.45,-2670.00,-1.33,4440.00,0.75,2670.00,0.45
2,Entry Short,SELL,2021-02-15 06:35,984.15,1,-3180.00,-0.54,-5850.00,-1.61,270.00,0.05,3180.00,0.54
2,Exit Short,BUY,2021-02-15 06:50,989.45,1,-3180.00,-0.54,-5850.00,-1.61,270.00,0.05,3180.00,0.54
3,Entry Long,BUY,2021-02-15 06:50,989.45,1,-2760.00,-0.46,-8610.00,-1.42,900.00,0.15,3030.00,0.51
3,Exit Long,SELL,2021-02-15 07:50,984.85,1,-2760.00,-0.46,-8610.00,-1.42,900.00,0.15,3030.00,0.51
4,Entry Short,SELL,2021-02-15 07:50,984.85,1,1410.00,0.24,-7200.00,0.74,3180.00,0.54,930.00,0.16
4,Exit Short,INTRADAY_SExit,2021-02-15 09:35,982.50,1,1410.00,0.24,-7200.00,0.74,3180.00,0.54,930.00,0.16
5,Entry Long,BUY,2021-02-16 04:05,995.00,1,-990.00,-0.17,-8190.00,-0.51,3900.00,0.65,2850.00,0.48
5,Exit Long,SELL,2021-02-16 04:45,993.35,1,-990.00,-0.17,-8190.00,-0.51,3900.00,0.65,2850.00,0.48
6,Entry Short,SELL,2021-02-16 04:45,993.35,1,990.00,0.17,-7200.00,0.52,9600.00,1.61,210.00,0.04
6,Exit Short,INTRADAY_SExit,2021-02-16 09:35,991.70,1,990.00,0.17,-7200.00,0.52,9600.00,1.61,210.00,0.04
7,Entry Short,SELL,2021-02-17 04:05,983.70,1,-60.00,-0.01,-7260.00,-0.03,6420.00,1.09,2430.00,0.41
7,Exit Short,INTRADAY_SExit,2021-02-17 09:35,983.80,1,-60.00,-0.01,-7260.00,-0.03,6420.00,1.09,2430.00,0.41
8,Entry Short,SELL,2021-02-18 04:20,995.15,1,-2070.00,-0.35,-9330.00,-1.07,1890.00,0.32,2610.00,0.44
8,Exit Short,BUY,2021-02-18 04:50,998.60,1,-2070.00,-0.35,-9330.00,-1.07,1890.00,0.32,2610.00,0.44
9,Entry Long,BUY,2021-02-18 04:50,998.60,1,-2760.00,-0.46,-12090.00,-1.45,1140.00,0.19,2760.00,0.46
9,Exit Long,SELL,2021-02-18 05:35,994.00,1,-2760.00,-0.46,-12090.00,-1.45,1140.00,0.19,2760.00,0.46
10,Entry Short,SELL,2021-02-18 05:35,994.00,1,-2610.00,-0.44,-14700.00,-1.39,4140.00,0.69,2940.00,0.49
10,Exit Short,BUY,2021-02-18 07:45,998.35,1,-2610.00,-0.44,-14700.00,-1.39,4140.00,0.69,2940.00,0.49
11,Entry Long,BUY,2021-02-18 07:45,998.35,1,4680.00,0.78,-10020.00,2.53,6630.00,1.11,1890.00,0.32
11,Exit Long,INTRADAY_BExit,2021-02-18 09:35,1006.15,1,4680.00,0.78,-10020.00,2.53,6630.00,1.11,1890.00,0.32
12,Entry Long,BUY,2021-02-19 04:05,1002.85,1,1620.00,0.27,-8400.00,0.85,3300.00,0.55,2640.00,0.44
12,Exit Long,SELL,2021-02-19 04:10,1005.55,1,1620.00,0.27,-8400.00,0.85,3300.00,0.55,2640.00,0.44
13,Entry Short,SELL,2021-02-19 04:10,1005.55,1,13140.00,2.18,4740.00,6.86,13140.00,2.18,3210.00,0.53
13,Exit Short,SELL_TG_HIT,2021-02-19 08:40,983.65,1,13140.00,2.18,4740.00,6.86,13140.00,2.18,3210.00,0.53
14,Entry Short,SELL,2021-02-19 08:45,976.20,1,-9330.00,-1.59,-4590.00,-4.56,120.00,0.02,11430.00,1.95
14,Exit Short,INTRADAY_SExit,2021-02-19 09:35,991.75,1,-9330.00,-1.59,-4590.00,-4.56,120.00,0.02,11430.00,1.95
15,Entry Long,BUY,2021-02-22 04:05,1007.65,1,-6900.00,-1.14,-11490.00,-3.53,1320.00,0.22,7470.00,1.24
15,Exit Long,SELL,2021-02-22 04:15,996.15,1,-6900.00,-1.14,-11490.00,-3.53,1320.00,0.22,7470.00,1.24
16,Entry Short,SELL,2021-02-22 04:15,996.15,1,12510.00,2.09,1020.00,6.64,12600.00,2.11,1110.00,0.19
16,Exit Short,SELL_TG_HIT,2021-02-22 06:00,975.30,1,12510.00,2.09,1020.00,6.64,12600.00,2.11,1110.00,0.19
17,Entry Short,SELL,2021-02-22 06:05,974.45,1,13020.00,2.23,14040.00,6.48,13470.00,2.3,0,0
17,Exit Short,SELL_TG_HIT,2021-02-22 06:45,952.75,1,13020.00,2.23,14040.00,6.48,13470.00,2.3,0,0
18,Entry Short,SELL,2021-02-23 04:15,941.30,1,-3510.00,-0.62,10530.00,-1.64,5460.00,0.97,3510.00,0.62
18,Exit Short,BUY,2021-02-23 04:45,947.15,1,-3510.00,-0.62,10530.00,-1.64,5460.00,0.97,3510.00,0.62
19,Entry Long,BUY,2021-02-23 04:45,947.15,1,120.00,0.02,10650.00,0.06,8850.00,1.56,750.00,0.13
19,Exit Long,INTRADAY_BExit,2021-02-23 09:35,947.35,1,120.00,0.02,10650.00,0.06,8850.00,1.56,750.00,0.13
20,Entry Long,BUY,2021-02-24 04:20,946.80,1,-780.00,-0.14,9870.00,-0.37,3240.00,0.57,2580.00,0.45
20,Exit Long,SELL,2021-02-24 05:55,945.50,1,-780.00,-0.14,9870.00,-0.37,3240.00,0.57,2580.00,0.45
21,Entry Short,SELL,2021-02-24 05:55,945.50,1,-840.00,-0.15,9030.00,-0.4,3270.00,0.58,5610.00,0.99
21,Exit Short,INTRADAY_SExit,2021-02-24 10:20,946.90,1,-840.00,-0.15,9030.00,-0.4,3270.00,0.58,5610.00,0.99
22,Entry Long,BUY,2021-02-25 04:05,962.50,1,-2010.00,-0.35,7020.00,-0.96,450.00,0.08,2640.00,0.46
22,Exit Long,SELL,2021-02-25 04:10,959.15,1,-2010.00,-0.35,7020.00,-0.96,450.00,0.08,2640.00,0.46
23,Entry Short,SELL,2021-02-25 04:10,959.15,1,-4350.00,-0.76,2670.00,-2.1,90.00,0.02,4710.00,0.82
23,Exit Short,BUY,2021-02-25 04:25,966.40,1,-4350.00,-0.76,2670.00,-2.1,90.00,0.02,4710.00,0.82
24,Entry Long,BUY,2021-02-25 04:25,966.40,1,-3210.00,-0.55,-540.00,-1.58,540.00,0.09,3210.00,0.55
24,Exit Long,SELL,2021-02-25 05:00,961.05,1,-3210.00,-0.55,-540.00,-1.58,540.00,0.09,3210.00,0.55
25,Entry Short,SELL,2021-02-25 05:00,961.05,1,-2400.00,-0.42,-2940.00,-1.2,0,0,2580.00,0.45
25,Exit Short,BUY,2021-02-25 05:15,965.05,1,-2400.00,-0.42,-2940.00,-1.2,0,0,2580.00,0.45
26,Entry Long,BUY,2021-02-25 05:15,965.05,1,-780.00,-0.13,-3720.00,-0.4,2070.00,0.36,1170.00,0.2
26,Exit Long,SELL,2021-02-25 06:10,963.75,1,-780.00,-0.13,-3720.00,-0.4,2070.00,0.36,1170.00,0.2
27,Entry Short,SELL,2021-02-25 06:10,963.75,1,-570.00,-0.1,-4290.00,-0.29,3030.00,0.52,690.00,0.12
27,Exit Short,BUY,2021-02-25 07:35,964.70,1,-570.00,-0.1,-4290.00,-0.29,3030.00,0.52,690.00,0.12
28,Entry Long,BUY,2021-02-25 07:35,964.70,1,-660.00,-0.11,-4950.00,-0.34,4920.00,0.85,1650.00,0.29
28,Exit Long,INTRADAY_BExit,2021-02-25 09:35,963.60,1,-660.00,-0.11,-4950.00,-0.34,4920.00,0.85,1650.00,0.29
29,Entry Short,SELL,2021-02-26 04:05,948.60,1,-1890.00,-0.33,-6840.00,-0.97,4230.00,0.74,2550.00,0.45
29,Exit Short,BUY,2021-02-26 04:20,951.75,1,-1890.00,-0.33,-6840.00,-0.97,4230.00,0.74,2550.00,0.45
30,Entry Long,BUY,2021-02-26 04:20,951.75,1,-5430.00,-0.95,-12270.00,-2.81,1020.00,0.18,5430.00,0.95
30,Exit Long,SELL,2021-02-26 05:40,942.70,1,-5430.00,-0.95,-12270.00,-2.81,1020.00,0.18,5430.00,0.95
31,Entry Short,SELL,2021-02-26 05:40,942.70,1,12720.00,2.25,450.00,6.78,13020.00,2.3,1230.00,0.22
31,Exit Short,SELL_TG_HIT,2021-02-26 08:55,921.50,1,12720.00,2.25,450.00,6.78,13020.00,2.3,1230.00,0.22
32,Entry Short,SELL,2021-02-26 09:00,923.80,1,120.00,0.02,570.00,0.06,2040.00,0.37,2730.00,0.49
32,Exit Short,INTRADAY_SExit,2021-02-26 09:35,923.60,1,120.00,0.02,570.00,0.06,2040.00,0.37,2730.00,0.49
33,Entry Long,BUY,2021-03-01 04:10,950.85,1,-3840.00,-0.67,-3270.00,-1.91,6390.00,1.12,4380.00,0.77
33,Exit Long,SELL,2021-03-01 07:00,944.45,1,-3840.00,-0.67,-3270.00,-1.91,6390.00,1.12,4380.00,0.77
34,Entry Short,SELL,2021-03-01 07:00,944.45,1,1980.00,0.35,-1290.00,1.01,5610.00,0.99,3900.00,0.69
34,Exit Short,INTRADAY_SExit,2021-03-01 09:35,941.15,1,1980.00,0.35,-1290.00,1.01,5610.00,0.99,3900.00,0.69
35,Entry Long,BUY,2021-03-02 04:05,961.25,1,540.00,0.09,-750.00,0.27,6450.00,1.12,2010.00,0.35
35,Exit Long,SELL,2021-03-02 07:55,962.15,1,540.00,0.09,-750.00,0.27,6450.00,1.12,2010.00,0.35
36,Entry Short,SELL,2021-03-02 07:55,962.15,1,-1350.00,-0.23,-2100.00,-0.68,1140.00,0.2,2370.00,0.41
36,Exit Short,BUY,2021-03-02 09:15,964.40,1,-1350.00,-0.23,-2100.00,-0.68,1140.00,0.2,2370.00,0.41
37,Entry Long,BUY,2021-03-02 09:15,964.40,1,2880.00,0.5,780.00,1.46,5160.00,0.89,180.00,0.03
37,Exit Long,INTRADAY_BExit,2021-03-02 09:35,969.20,1,2880.00,0.5,780.00,1.46,5160.00,0.89,180.00,0.03
38,Entry Long,BUY,2021-03-03 04:05,970.60,1,7710.00,1.32,8490.00,3.84,9570.00,1.64,2280.00,0.39
