Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-01 04:15,926.60,100,-705.00,-0.76,-705.00,-0.7,545.00,0.59,905.00,0.98
1,Exit Short,SELL_SL_HIT,2021-02-01 05:00,933.65,100,-705.00,-0.76,-705.00,-0.7,545.00,0.59,905.00,0.98
2,Entry Long,BUY,2021-02-01 06:15,943.85,100,430.00,0.46,-275.00,0.43,700.00,0.74,15.00,0.02
2,Exit Long,BUY_TG_HIT,2021-02-01 06:30,948.15,100,430.00,0.46,-275.00,0.43,700.00,0.74,15.00,0.02
3,Entry Long,BUY,2021-02-02 07:30,948.20,100,745.00,0.79,470.00,0.75,870.00,0.92,365.00,0.38
3,Exit Long,BUY_TG_HIT,2021-02-02 08:15,955.65,100,745.00,0.79,470.00,0.75,870.00,0.92,365.00,0.38
4,Entry Short,SELL,2021-02-03 07:45,989.30,100,405.00,0.41,875.00,0.4,540.00,0.55,80.00,0.08
4,Exit Short,SELL_TG_HIT,2021-02-03 08:45,985.25,100,405.00,0.41,875.00,0.4,540.00,0.55,80.00,0.08
5,Entry Short,SELL,2021-02-05 04:45,953.00,100,-585.00,-0.61,290.00,-0.58,295.00,0.31,655.00,0.69
5,Exit Short,SELL_SL_HIT,2021-02-05 05:45,958.85,100,-585.00,-0.61,290.00,-0.58,295.00,0.31,655.00,0.69
6,Entry Long,BUY,2021-02-05 06:00,960.00,100,450.00,0.47,740.00,0.45,685.00,0.71,50.00,0.05
6,Exit Long,BUY_TG_HIT,2021-02-05 07:00,964.50,100,450.00,0.47,740.00,0.45,685.00,0.71,50.00,0.05
7,Entry Short,SELL,2021-02-05 09:00,956.00,100,-450.00,-0.47,290.00,-0.45,50.00,0.05,570.00,0.6
7,Exit Short,SELL_SL_HIT,2021-02-05 09:15,960.50,100,-450.00,-0.47,290.00,-0.45,50.00,0.05,570.00,0.6
8,Entry Long,BUY,2021-02-08 04:15,965.85,100,615.00,0.64,905.00,0.61,690.00,0.71,350.00,0.36
8,Exit Long,BUY_TG_HIT,2021-02-08 04:45,972.00,100,615.00,0.64,905.00,0.61,690.00,0.71,350.00,0.36
9,Entry Short,SELL,2021-02-08 09:30,983.10,100,70.00,0.07,975.00,0.07,250.00,0.25,310.00,0.32
9,Exit Short,INTRADAY_SExit,2021-02-08 09:45,982.40,100,70.00,0.07,975.00,0.07,250.00,0.25,310.00,0.32
10,Entry Short,SELL,2021-02-09 04:30,988.05,100,380.00,0.38,1355.00,0.38,555.00,0.56,85.00,0.09
10,Exit Short,SELL_TG_HIT,2021-02-09 04:45,984.25,100,380.00,0.38,1355.00,0.38,555.00,0.56,85.00,0.09
