Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-01-01 09:45,975.00,100,-430.00,-0.44,-430.00,-0.43,380.00,0.39,475.00,0.49
1,Exit Short,BUY,2021-01-01 10:30,979.30,100,-430.00,-0.44,-430.00,-0.43,380.00,0.39,475.00,0.49
2,Entry Long,BUY,2021-01-01 10:30,979.30,100,-155.00,-0.16,-585.00,-0.16,190.00,0.19,265.00,0.27
2,Exit Long,INTRADAY_BExit,2021-01-01 15:15,977.75,100,-155.00,-0.16,-585.00,-0.16,190.00,0.19,265.00,0.27
3,Entry Short,SELL,2021-01-04 11:00,978.00,100,-610.00,-0.62,-1195.00,-0.61,300.00,0.31,655.00,0.67
3,Exit Short,SELL_SL_HIT,2021-01-04 12:15,984.10,100,-610.00,-0.62,-1195.00,-0.61,300.00,0.31,655.00,0.67
4,Entry Long,BUY,2021-01-04 12:30,987.20,100,650.00,0.66,-545.00,0.66,655.00,0.66,40.00,0.04
4,Exit Long,BUY_TG_HIT,2021-01-04 13:00,993.70,100,650.00,0.66,-545.00,0.66,655.00,0.66,40.00,0.04
5,Entry Short,SELL,2021-01-05 09:45,995.00,100,-685.00,-0.69,-1230.00,-0.69,200.00,0.2,875.00,0.88
5,Exit Short,SELL_SL_HIT,2021-01-05 11:00,1001.85,100,-685.00,-0.69,-1230.00,-0.69,200.00,0.2,875.00,0.88
6,Entry Long,BUY,2021-01-06 09:45,1013.20,100,1120.00,1.11,-110.00,1.13,1280.00,1.26,95.00,0.09
6,Exit Long,BUY_TG_HIT,2021-01-06 10:30,1024.40,100,1120.00,1.11,-110.00,1.13,1280.00,1.26,95.00,0.09
7,Entry Short,SELL,2021-01-06 12:15,1013.00,100,700.00,0.69,590.00,0.7,790.00,0.78,100.00,0.1
7,Exit Short,SELL_TG_HIT,2021-01-06 13:00,1006.00,100,700.00,0.69,590.00,0.7,790.00,0.78,100.00,0.1
8,Entry Long,BUY,2021-01-07 12:45,1005.30,100,-690.00,-0.69,-100.00,-0.69,470.00,0.47,760.00,0.76
8,Exit Long,BUY_SL_HIT,2021-01-07 14:30,998.40,100,-690.00,-0.69,-100.00,-0.69,470.00,0.47,760.00,0.76
9,Entry Long,BUY,2021-01-08 09:45,1014.75,100,855.00,0.84,755.00,0.86,915.00,0.9,335.00,0.33
