Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-06-21 04:15,1061.15,100,-460.00,-0.43,-460.00,-0.46,25.00,0.02,505.00,0.48
1,Exit Long,SELL,2021-06-21 04:24,1056.55,100,-460.00,-0.43,-460.00,-0.46,25.00,0.02,505.00,0.48
2,Entry Short,SELL,2021-06-21 04:24,1056.55,100,-525.00,-0.5,-985.00,-0.53,155.00,0.15,545.00,0.52
2,Exit Short,BUY,2021-06-21 04:42,1061.80,100,-525.00,-0.5,-985.00,-0.53,155.00,0.15,545.00,0.52
3,Entry Long,BUY,2021-06-21 04:42,1061.80,100,415.00,0.39,-570.00,0.42,825.00,0.78,480.00,0.45
3,Exit Long,INTRADAY_BExit,2021-06-21 09:33,1065.95,100,415.00,0.39,-570.00,0.42,825.00,0.78,480.00,0.45
4,Entry Long,BUY,2021-06-22 04:03,1069.85,100,-720.00,-0.67,-1290.00,-0.72,215.00,0.2,765.00,0.72
4,Exit Long,SELL,2021-06-22 05:00,1062.65,100,-720.00,-0.67,-1290.00,-0.72,215.00,0.2,765.00,0.72
5,Entry Short,SELL,2021-06-22 05:00,1062.65,100,295.00,0.28,-995.00,0.3,730.00,0.69,215.00,0.2
5,Exit Short,INTRADAY_SExit,2021-06-22 09:33,1059.70,100,295.00,0.28,-995.00,0.3,730.00,0.69,215.00,0.2
6,Entry Long,BUY,2021-06-23 04:03,1058.60,100,-555.00,-0.52,-1550.00,-0.56,165.00,0.16,630.00,0.6
6,Exit Long,SELL,2021-06-23 04:30,1053.05,100,-555.00,-0.52,-1550.00,-0.56,165.00,0.16,630.00,0.6
7,Entry Short,SELL,2021-06-23 04:30,1053.05,100,175.00,0.17,-1375.00,0.18,1460.00,1.39,0,0
7,Exit Short,BUY,2021-06-23 06:42,1051.30,100,175.00,0.17,-1375.00,0.18,1460.00,1.39,0,0
8,Entry Long,BUY,2021-06-23 06:42,1051.30,100,-185.00,-0.18,-1560.00,-0.19,330.00,0.31,430.00,0.41
