Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-01 04:15,1431.50,1,-3562.50,-0.66,-3562.50,-1.78,1687.50,0.31,4500.00,0.84
1,Exit Short,BUY,2021-02-01 05:30,1441.00,1,-3562.50,-0.66,-3562.50,-1.78,1687.50,0.31,4500.00,0.84
2,Entry Long,BUY,2021-02-01 05:30,1441.00,1,23437.50,4.34,19875.00,11.93,25237.50,4.67,731.25,0.14
2,Exit Long,BUY_TG_HIT,2021-02-01 08:00,1503.50,1,23437.50,4.34,19875.00,11.93,25237.50,4.67,731.25,0.14
3,Entry Short,SELL,2021-02-02 05:15,1509.75,1,6037.50,1.07,25912.50,2.75,7668.75,1.35,1968.75,0.35
3,Exit Short,INTRADAY_SExit,2021-02-02 09:45,1493.65,1,6037.50,1.07,25912.50,2.75,7668.75,1.35,1968.75,0.35
4,Entry Long,BUY,2021-02-03 04:45,1522.85,1,2362.50,0.41,28275.00,1.05,4350.00,0.76,2868.75,0.5
4,Exit Long,INTRADAY_BExit,2021-02-03 09:45,1529.15,1,2362.50,0.41,28275.00,1.05,4350.00,0.76,2868.75,0.5
5,Entry Short,SELL,2021-02-04 04:15,1510.00,1,-3750.00,-0.66,24525.00,-1.64,6187.50,1.09,4387.50,0.77
5,Exit Short,BUY,2021-02-04 06:15,1520.00,1,-3750.00,-0.66,24525.00,-1.64,6187.50,1.09,4387.50,0.77
6,Entry Long,BUY,2021-02-04 06:15,1520.00,1,-1818.75,-0.32,22706.25,-0.81,2512.50,0.44,6243.75,1.1
6,Exit Long,INTRADAY_BExit,2021-02-04 09:45,1515.15,1,-1818.75,-0.32,22706.25,-0.81,2512.50,0.44,6243.75,1.1
7,Entry Short,SELL,2021-02-05 05:30,1513.90,1,843.75,0.15,23550.00,0.38,2756.25,0.49,4968.75,0.88
7,Exit Short,INTRADAY_SExit,2021-02-05 09:45,1511.65,1,843.75,0.15,23550.00,0.38,2756.25,0.49,4968.75,0.88
8,Entry Long,BUY,2021-02-08 04:15,1533.05,1,6300.00,1.1,29850.00,2.82,15075.00,2.62,1575.00,0.27
8,Exit Long,SELL,2021-02-08 07:00,1549.85,1,6300.00,1.1,29850.00,2.82,15075.00,2.62,1575.00,0.27
9,Entry Short,SELL,2021-02-08 07:00,1549.85,1,56.25,0.01,29906.25,0.02,4312.50,0.74,993.75,0.17
9,Exit Short,INTRADAY_SExit,2021-02-08 09:45,1549.70,1,56.25,0.01,29906.25,0.02,4312.50,0.74,993.75,0.17
10,Entry Long,BUY,2021-02-09 04:15,1573.10,1,1837.50,0.31,31743.75,0.8,5962.50,1.01,2793.75,0.47
10,Exit Long,SELL,2021-02-09 06:45,1578.00,1,1837.50,0.31,31743.75,0.8,5962.50,1.01,2793.75,0.47
11,Entry Short,SELL,2021-02-09 06:45,1578.00,1,6037.50,1.02,37781.25,2.61,6112.50,1.03,731.25,0.12
11,Exit Short,INTRADAY_SExit,2021-02-09 09:45,1561.90,1,6037.50,1.02,37781.25,2.61,6112.50,1.03,731.25,0.12
12,Entry Short,SELL,2021-02-10 06:30,1541.00,1,-2043.75,-0.35,35737.50,-0.86,487.50,0.08,3337.50,0.58
12,Exit Short,BUY,2021-02-10 07:15,1546.45,1,-2043.75,-0.35,35737.50,-0.86,487.50,0.08,3337.50,0.58
13,Entry Long,BUY,2021-02-10 07:15,1546.45,1,5306.25,0.91,41043.75,2.25,5943.75,1.02,5418.75,0.93
13,Exit Long,INTRADAY_BExit,2021-02-10 09:45,1560.60,1,5306.25,0.91,41043.75,2.25,5943.75,1.02,5418.75,0.93
14,Entry Short,SELL,2021-02-11 04:15,1526.60,1,1200.00,0.21,42243.75,0.5,5175.00,0.9,2212.50,0.39
14,Exit Short,BUY,2021-02-11 08:00,1523.40,1,1200.00,0.21,42243.75,0.5,5175.00,0.9,2212.50,0.39
15,Entry Long,BUY,2021-02-11 08:00,1523.40,1,900.00,0.16,43143.75,0.37,3093.75,0.54,975.00,0.17
15,Exit Long,INTRADAY_BExit,2021-02-11 09:45,1525.80,1,900.00,0.16,43143.75,0.37,3093.75,0.54,975.00,0.17
16,Entry Short,SELL,2021-02-12 06:00,1515.20,1,5925.00,1.04,49068.75,2.44,8437.50,1.48,937.50,0.16
16,Exit Short,INTRADAY_SExit,2021-02-12 09:45,1499.40,1,5925.00,1.04,49068.75,2.44,8437.50,1.48,937.50,0.16
17,Entry Long,BUY,2021-02-15 05:30,1502.50,1,-3487.50,-0.62,45581.25,-1.4,0,0,3937.50,0.7
17,Exit Long,SELL,2021-02-15 06:15,1493.20,1,-3487.50,-0.62,45581.25,-1.4,0,0,3937.50,0.7
18,Entry Short,SELL,2021-02-15 06:15,1493.20,1,862.50,0.15,46443.75,0.35,3825.00,0.68,1687.50,0.3
18,Exit Short,INTRADAY_SExit,2021-02-15 09:45,1490.90,1,862.50,0.15,46443.75,0.35,3825.00,0.68,1687.50,0.3
19,Entry Short,SELL,2021-02-16 05:00,1484.35,1,2981.25,0.54,49425.00,1.21,6881.25,1.24,1650.00,0.3
19,Exit Short,BUY,2021-02-16 09:15,1476.40,1,2981.25,0.54,49425.00,1.21,6881.25,1.24,1650.00,0.3
20,Entry Long,BUY,2021-02-16 09:15,1476.40,1,806.25,0.15,50231.25,0.32,1650.00,0.3,900.00,0.16
20,Exit Long,INTRADAY_BExit,2021-02-16 09:45,1478.55,1,806.25,0.15,50231.25,0.32,1650.00,0.3,900.00,0.16
21,Entry Long,BUY,2021-02-17 06:00,1476.70,1,-4500.00,-0.81,45731.25,-1.8,3862.50,0.7,4500.00,0.81
21,Exit Long,SELL,2021-02-17 09:15,1464.70,1,-4500.00,-0.81,45731.25,-1.8,3862.50,0.7,4500.00,0.81
