Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-01 09:45,977.75,1,2880.00,0.49,2880.00,1.44,4740.00,0.81,1530.00,0.26
1,Exit Long,INTRADAY_BExit,2021-01-01 15:15,982.55,1,2880.00,0.49,2880.00,1.44,4740.00,0.81,1530.00,0.26
2,Entry Short,SELL,2021-01-04 10:30,985.05,1,-2850.00,-0.48,30.00,-1.4,4200.00,0.71,2850.00,0.48
2,Exit Short,BUY,2021-01-04 12:15,989.80,1,-2850.00,-0.48,30.00,-1.4,4200.00,0.71,2850.00,0.48
3,Entry Long,BUY,2021-01-04 12:15,989.80,1,9540.00,1.61,9570.00,4.77,11460.00,1.93,180.00,0.03
3,Exit Long,INTRADAY_BExit,2021-01-04 15:15,1005.70,1,9540.00,1.61,9570.00,4.77,11460.00,1.93,180.00,0.03
4,Entry Short,SELL,2021-01-05 10:15,1000.55,1,-3270.00,-0.54,6300.00,-1.56,690.00,0.11,4980.00,0.83
4,Exit Short,BUY,2021-01-05 11:15,1006.00,1,-3270.00,-0.54,6300.00,-1.56,690.00,0.11,4980.00,0.83
5,Entry Long,BUY,2021-01-05 11:15,1006.00,1,-1500.00,-0.25,4800.00,-0.73,1950.00,0.32,4710.00,0.78
5,Exit Long,SELL,2021-01-05 13:30,1003.50,1,-1500.00,-0.25,4800.00,-0.73,1950.00,0.32,4710.00,0.78
6,Entry Short,SELL,2021-01-05 13:30,1003.50,1,-3600.00,-0.6,1200.00,-1.76,30.00,0,4260.00,0.71
6,Exit Short,BUY,2021-01-05 14:15,1009.50,1,-3600.00,-0.6,1200.00,-1.76,30.00,0,4260.00,0.71
7,Entry Long,BUY,2021-01-05 14:15,1009.50,1,-90.00,-0.01,1110.00,-0.04,390.00,0.06,2400.00,0.4
7,Exit Long,INTRADAY_BExit,2021-01-05 15:15,1009.35,1,-90.00,-0.01,1110.00,-0.04,390.00,0.06,2400.00,0.4
8,Entry Short,SELL,2021-01-06 11:30,1023.20,1,12720.00,2.07,13830.00,6.32,14520.00,2.37,1620.00,0.26
8,Exit Short,SELL_TG_HIT,2021-01-06 13:45,1002.00,1,12720.00,2.07,13830.00,6.32,14520.00,2.37,1620.00,0.26
9,Entry Long,BUY,2021-01-07 09:45,993.50,1,3990.00,0.67,17820.00,1.87,9900.00,1.66,1290.00,0.22
9,Exit Long,SELL,2021-01-07 14:15,1000.15,1,3990.00,0.67,17820.00,1.87,9900.00,1.66,1290.00,0.22
10,Entry Short,SELL,2021-01-07 14:15,1000.15,1,2220.00,0.37,20040.00,1.02,3270.00,0.54,1110.00,0.18
10,Exit Short,INTRADAY_SExit,2021-01-07 15:15,996.45,1,2220.00,0.37,20040.00,1.02,3270.00,0.54,1110.00,0.18
11,Entry Long,BUY,2021-01-08 09:45,1016.90,1,13590.00,2.23,33630.00,6.18,14910.00,2.44,2340.00,0.38
11,Exit Long,BUY_TG_HIT,2021-01-08 13:00,1039.55,1,13590.00,2.23,33630.00,6.18,14910.00,2.44,2340.00,0.38
12,Entry Long,BUY,2021-01-11 09:45,1054.55,1,-5400.00,-0.85,28230.00,-2.31,0,0,6840.00,1.08
12,Exit Long,SELL,2021-01-11 10:30,1045.55,1,-5400.00,-0.85,28230.00,-2.31,0,0,6840.00,1.08
13,Entry Short,SELL,2021-01-11 10:30,1045.55,1,-8550.00,-1.36,19680.00,-3.75,630.00,0.1,9330.00,1.49
13,Exit Short,BUY,2021-01-11 11:15,1059.80,1,-8550.00,-1.36,19680.00,-3.75,630.00,0.1,9330.00,1.49
14,Entry Long,BUY,2021-01-11 11:15,1059.80,1,12660.00,1.99,32340.00,5.76,14850.00,2.34,7410.00,1.17
14,Exit Long,INTRADAY_BExit,2021-01-11 15:15,1080.90,1,12660.00,1.99,32340.00,5.76,14850.00,2.34,7410.00,1.17
15,Entry Short,SELL,2021-01-12 09:45,1071.20,1,4920.00,0.77,37260.00,2.12,9000.00,1.4,2880.00,0.45
15,Exit Short,BUY,2021-01-12 13:30,1063.00,1,4920.00,0.77,37260.00,2.12,9000.00,1.4,2880.00,0.45
16,Entry Long,BUY,2021-01-12 13:30,1063.00,1,3960.00,0.62,41220.00,1.67,6600.00,1.03,240.00,0.04
16,Exit Long,INTRADAY_BExit,2021-01-12 15:15,1069.60,1,3960.00,0.62,41220.00,1.67,6600.00,1.03,240.00,0.04
17,Entry Short,SELL,2021-01-13 10:15,1075.00,1,2130.00,0.33,43350.00,0.88,12600.00,1.95,420.00,0.07
17,Exit Short,BUY,2021-01-13 15:00,1071.45,1,2130.00,0.33,43350.00,0.88,12600.00,1.95,420.00,0.07
18,Entry Long,BUY,2021-01-13 15:00,1071.45,1,3390.00,0.53,46740.00,1.39,3930.00,0.61,30.00,0
18,Exit Long,INTRADAY_BExit,2021-01-13 15:15,1077.10,1,3390.00,0.53,46740.00,1.39,3930.00,0.61,30.00,0
19,Entry Short,SELL,2021-01-14 09:45,1042.60,1,-6480.00,-1.04,40260.00,-2.63,3360.00,0.54,9720.00,1.55
19,Exit Short,BUY,2021-01-14 10:15,1053.40,1,-6480.00,-1.04,40260.00,-2.63,3360.00,0.54,9720.00,1.55
20,Entry Long,BUY,2021-01-14 10:15,1053.40,1,1740.00,0.28,42000.00,0.72,9300.00,1.47,4380.00,0.69
20,Exit Long,INTRADAY_BExit,2021-01-14 15:15,1056.30,1,1740.00,0.28,42000.00,0.72,9300.00,1.47,4380.00,0.69
21,Entry Short,SELL,2021-01-15 09:45,1036.50,1,14400.00,2.32,56400.00,5.95,14640.00,2.35,4770.00,0.77
21,Exit Short,SELL_TG_HIT,2021-01-15 14:15,1012.50,1,14400.00,2.32,56400.00,5.95,14640.00,2.35,4770.00,0.77
22,Entry Long,BUY,2021-01-18 09:45,1009.15,1,-2820.00,-0.47,53580.00,-1.1,4200.00,0.69,4200.00,0.69
22,Exit Long,SELL,2021-01-18 11:15,1004.45,1,-2820.00,-0.47,53580.00,-1.1,4200.00,0.69,4200.00,0.69
23,Entry Short,SELL,2021-01-18 11:15,1004.45,1,210.00,0.03,53790.00,0.08,3720.00,0.62,2640.00,0.44
23,Exit Short,BUY,2021-01-18 13:00,1004.10,1,210.00,0.03,53790.00,0.08,3720.00,0.62,2640.00,0.44
24,Entry Long,BUY,2021-01-18 13:00,1004.10,1,-1680.00,-0.28,52110.00,-0.66,5400.00,0.9,2910.00,0.48
24,Exit Long,SELL,2021-01-18 15:00,1001.30,1,-1680.00,-0.28,52110.00,-0.66,5400.00,0.9,2910.00,0.48
25,Entry Short,SELL,2021-01-18 15:00,1001.30,1,270.00,0.04,52380.00,0.11,540.00,0.09,720.00,0.12
25,Exit Short,INTRADAY_SExit,2021-01-18 15:15,1000.85,1,270.00,0.04,52380.00,0.11,540.00,0.09,720.00,0.12
26,Entry Long,BUY,2021-01-19 09:45,1003.20,1,-3330.00,-0.55,49050.00,-1.32,30.00,0,5550.00,0.92
26,Exit Long,SELL,2021-01-19 10:45,997.65,1,-3330.00,-0.55,49050.00,-1.32,30.00,0,5550.00,0.92
27,Entry Short,SELL,2021-01-19 10:45,997.65,1,-3510.00,-0.59,45540.00,-1.41,4620.00,0.77,7290.00,1.22
27,Exit Short,BUY,2021-01-19 13:15,1003.50,1,-3510.00,-0.59,45540.00,-1.41,4620.00,0.77,7290.00,1.22
28,Entry Long,BUY,2021-01-19 13:15,1003.50,1,-2970.00,-0.49,42570.00,-1.21,360.00,0.06,4530.00,0.75
28,Exit Long,SELL,2021-01-19 14:00,998.55,1,-2970.00,-0.49,42570.00,-1.21,360.00,0.06,4530.00,0.75
29,Entry Short,SELL,2021-01-19 14:00,998.55,1,1560.00,0.26,44130.00,0.64,2370.00,0.4,780.00,0.13
29,Exit Short,INTRADAY_SExit,2021-01-19 15:15,995.95,1,1560.00,0.26,44130.00,0.64,2370.00,0.4,780.00,0.13
30,Entry Long,BUY,2021-01-20 09:45,1019.35,1,1080.00,0.18,45210.00,0.44,4380.00,0.72,2430.00,0.4
30,Exit Long,SELL,2021-01-20 14:15,1021.15,1,1080.00,0.18,45210.00,0.44,4380.00,0.72,2430.00,0.4
31,Entry Short,SELL,2021-01-20 14:15,1021.15,1,-420.00,-0.07,44790.00,-0.17,1590.00,0.26,1860.00,0.3
31,Exit Short,INTRADAY_SExit,2021-01-20 15:15,1021.85,1,-420.00,-0.07,44790.00,-0.17,1590.00,0.26,1860.00,0.3
32,Entry Short,SELL,2021-01-21 10:00,1011.75,1,3210.00,0.53,48000.00,1.31,8490.00,1.4,5490.00,0.9
32,Exit Short,INTRADAY_SExit,2021-01-21 15:15,1006.40,1,3210.00,0.53,48000.00,1.31,8490.00,1.4,5490.00,0.9
33,Entry Short,SELL,2021-01-22 11:00,990.65,1,4740.00,0.8,52740.00,1.91,7590.00,1.28,0,0
33,Exit Short,BUY,2021-01-22 14:45,982.75,1,4740.00,0.8,52740.00,1.91,7590.00,1.28,0,0
34,Entry Long,BUY,2021-01-22 14:45,982.75,1,-360.00,-0.06,52380.00,-0.14,1350.00,0.23,1290.00,0.22
34,Exit Long,INTRADAY_BExit,2021-01-22 15:15,982.15,1,-360.00,-0.06,52380.00,-0.14,1350.00,0.23,1290.00,0.22
35,Entry Short,SELL,2021-01-25 10:00,981.15,1,-3120.00,-0.53,49260.00,-1.24,1230.00,0.21,6090.00,1.03
