Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-01 04:15,1429.85,100,-1675.00,-1.17,-1675.00,-1.67,620.00,0.43,1750.00,1.22
1,Exit Short,BUY,2021-02-01 06:00,1446.60,100,-1675.00,-1.17,-1675.00,-1.67,620.00,0.43,1750.00,1.22
2,Entry Long,BUY,2021-02-01 06:00,1446.60,100,3055.00,2.11,1380.00,3.11,3340.00,2.31,860.00,0.59
2,Exit Long,BUY_TG_HIT,2021-02-01 07:30,1477.15,100,3055.00,2.11,1380.00,3.11,3340.00,2.31,860.00,0.59
3,Entry Short,SELL,2021-02-02 05:15,1505.45,100,2145.00,1.42,3525.00,2.12,2290.00,1.52,80.00,0.05
3,Exit Short,SELL_TG_HIT,2021-02-02 09:15,1484.00,100,2145.00,1.42,3525.00,2.12,2290.00,1.52,80.00,0.05
4,Entry Long,BUY,2021-02-03 04:45,1518.55,100,735.00,0.48,4260.00,0.71,1045.00,0.69,955.00,0.63
4,Exit Long,INTRADAY_BExit,2021-02-03 09:45,1525.90,100,735.00,0.48,4260.00,0.71,1045.00,0.69,955.00,0.63
5,Entry Short,SELL,2021-02-04 04:15,1506.20,100,1580.00,1.05,5840.00,1.52,1810.00,1.2,380.00,0.25
5,Exit Short,SELL_TG_HIT,2021-02-04 05:30,1490.40,100,1580.00,1.05,5840.00,1.52,1810.00,1.2,380.00,0.25
6,Entry Long,BUY,2021-02-04 06:30,1515.00,100,-165.00,-0.11,5675.00,-0.16,390.00,0.26,1500.00,0.99
6,Exit Long,INTRADAY_BExit,2021-02-04 09:45,1513.35,100,-165.00,-0.11,5675.00,-0.16,390.00,0.26,1500.00,0.99
7,Entry Short,SELL,2021-02-05 07:00,1516.00,100,600.00,0.4,6275.00,0.57,1100.00,0.73,460.00,0.3
7,Exit Short,INTRADAY_SExit,2021-02-05 09:45,1510.00,100,600.00,0.4,6275.00,0.57,1100.00,0.73,460.00,0.3
8,Entry Long,BUY,2021-02-08 04:15,1527.50,100,1780.00,1.17,8055.00,1.67,1780.00,1.17,485.00,0.32
8,Exit Long,BUY_TG_HIT,2021-02-08 04:30,1545.30,100,1780.00,1.17,8055.00,1.67,1780.00,1.17,485.00,0.32
9,Entry Short,SELL,2021-02-08 07:30,1535.05,100,-645.00,-0.42,7410.00,-0.6,460.00,0.3,1090.00,0.71
9,Exit Short,INTRADAY_SExit,2021-02-08 09:45,1541.50,100,-645.00,-0.42,7410.00,-0.6,460.00,0.3,1090.00,0.71
10,Entry Long,BUY,2021-02-09 04:15,1570.85,100,-85.00,-0.05,7325.00,-0.08,1380.00,0.88,835.00,0.53
10,Exit Long,SELL,2021-02-09 07:00,1570.00,100,-85.00,-0.05,7325.00,-0.08,1380.00,0.88,835.00,0.53
11,Entry Short,SELL,2021-02-09 07:00,1570.00,100,1100.00,0.7,8425.00,1.02,1100.00,0.7,600.00,0.38
11,Exit Short,INTRADAY_SExit,2021-02-09 09:45,1559.00,100,1100.00,0.7,8425.00,1.02,1100.00,0.7,600.00,0.38
12,Entry Short,SELL,2021-02-10 08:00,1536.00,100,-250.00,-0.16,8175.00,-0.23,775.00,0.5,600.00,0.39
12,Exit Short,BUY,2021-02-10 08:45,1538.50,100,-250.00,-0.16,8175.00,-0.23,775.00,0.5,600.00,0.39
13,Entry Long,BUY,2021-02-10 08:45,1538.50,100,1740.00,1.13,9915.00,1.61,1740.00,1.13,175.00,0.11
13,Exit Long,INTRADAY_BExit,2021-02-10 09:45,1555.90,100,1740.00,1.13,9915.00,1.61,1740.00,1.13,175.00,0.11
14,Entry Short,SELL,2021-02-11 04:30,1519.95,100,-495.00,-0.33,9420.00,-0.45,870.00,0.57,705.00,0.46
14,Exit Short,BUY,2021-02-11 08:45,1524.90,100,-495.00,-0.33,9420.00,-0.45,870.00,0.57,705.00,0.46
15,Entry Long,BUY,2021-02-11 08:45,1524.90,100,-45.00,-0.03,9375.00,-0.04,505.00,0.33,390.00,0.26
15,Exit Long,INTRADAY_BExit,2021-02-11 09:45,1524.45,100,-45.00,-0.03,9375.00,-0.04,505.00,0.33,390.00,0.26
16,Entry Short,SELL,2021-02-12 06:00,1513.05,100,1735.00,1.15,11110.00,1.59,2085.00,1.38,170.00,0.11
16,Exit Short,SELL_TG_HIT,2021-02-12 08:30,1495.70,100,1735.00,1.15,11110.00,1.59,2085.00,1.38,170.00,0.11
17,Entry Short,SELL,2021-02-15 07:30,1483.00,100,-180.00,-0.12,10930.00,-0.16,190.00,0.13,1050.00,0.71
17,Exit Short,INTRADAY_SExit,2021-02-15 09:45,1484.80,100,-180.00,-0.12,10930.00,-0.16,190.00,0.13,1050.00,0.71
18,Entry Short,SELL,2021-02-16 05:15,1478.00,100,1530.00,1.04,12460.00,1.38,1700.00,1.15,700.00,0.47
