Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-01 04:45,5332.20,1,-10185.00,-1.91,-10185.00,-5.09,1590.00,0.3,11680.00,2.19
1,Exit Short,BUY,2021-02-01 06:15,5434.05,1,-10185.00,-1.91,-10185.00,-5.09,1590.00,0.3,11680.00,2.19
2,Entry Long,BUY,2021-02-01 06:15,5434.05,1,17960.00,3.31,7775.00,9.46,24515.00,4.51,335.00,0.06
2,Exit Long,BUY_TG_HIT,2021-02-01 07:45,5613.65,1,17960.00,3.31,7775.00,9.46,24515.00,4.51,335.00,0.06
3,Entry Short,SELL,2021-02-04 04:45,6085.10,1,-6090.00,-1,1685.00,-2.93,115.00,0.02,6470.00,1.06
3,Exit Short,SELL_SL_HIT,2021-02-04 05:15,6146.00,1,-6090.00,-1,1685.00,-2.93,115.00,0.02,6470.00,1.06
4,Entry Long,BUY,2021-02-05 05:15,6255.00,1,12300.00,1.97,13985.00,6.1,12840.00,2.05,6045.00,0.97
4,Exit Long,BUY_TG_HIT,2021-02-05 08:45,6378.00,1,12300.00,1.97,13985.00,6.1,12840.00,2.05,6045.00,0.97
5,Entry Short,SELL,2021-02-08 07:15,6402.10,1,-4265.00,-0.67,9720.00,-1.99,3055.00,0.48,4265.00,0.67
5,Exit Short,INTRADAY_SExit,2021-02-09 03:45,6444.75,1,-4265.00,-0.67,9720.00,-1.99,3055.00,0.48,4265.00,0.67
6,Entry Short,SELL,2021-02-09 05:45,6437.00,1,-2295.00,-0.36,7425.00,-1.09,4375.00,0.68,2295.00,0.36
6,Exit Short,INTRADAY_SExit,2021-02-10 03:45,6459.95,1,-2295.00,-0.36,7425.00,-1.09,4375.00,0.68,2295.00,0.36
7,Entry Short,SELL,2021-02-10 05:15,6471.25,1,7295.00,1.13,14720.00,3.52,8025.00,1.24,615.00,0.1
7,Exit Short,SELL_TG_HIT,2021-02-10 07:45,6398.30,1,7295.00,1.13,14720.00,3.52,8025.00,1.24,615.00,0.1
8,Entry Long,BUY,2021-02-11 05:45,6475.85,1,-3585.00,-0.55,11135.00,-1.67,1915.00,0.3,4585.00,0.71
8,Exit Long,INTRADAY_BExit,2021-02-12 03:45,6440.00,1,-3585.00,-0.55,11135.00,-1.67,1915.00,0.3,4585.00,0.71
9,Entry Short,SELL,2021-02-12 06:15,6434.00,1,-2100.00,-0.33,9035.00,-0.99,4680.00,0.73,2100.00,0.33
