Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-01 04:15,5292.00,100,-7405.00,-1.4,-7405.00,-7.4,3200.00,0.6,7430.00,1.4
1,Exit Short,BUY,2021-02-01 06:00,5366.05,100,-7405.00,-1.4,-7405.00,-7.4,3200.00,0.6,7430.00,1.4
2,Entry Long,BUY,2021-02-01 06:00,5366.05,100,11795.00,2.2,4390.00,12.74,14390.00,2.68,2605.00,0.49
2,Exit Long,BUY_TG_HIT,2021-02-01 06:30,5484.00,100,11795.00,2.2,4390.00,12.74,14390.00,2.68,2605.00,0.49
3,Entry Long,BUY,2021-02-02 07:45,6118.85,100,-585.00,-0.1,3805.00,-0.56,8015.00,1.31,4530.00,0.74
3,Exit Long,SELL,2021-02-02 09:30,6113.00,100,-585.00,-0.1,3805.00,-0.56,8015.00,1.31,4530.00,0.74
4,Entry Short,SELL,2021-02-02 09:30,6113.00,100,-295.00,-0.05,3510.00,-0.28,1620.00,0.27,1670.00,0.27
4,Exit Short,INTRADAY_SExit,2021-02-02 09:45,6115.95,100,-295.00,-0.05,3510.00,-0.28,1620.00,0.27,1670.00,0.27
5,Entry Short,SELL,2021-02-03 09:15,6062.85,100,-2630.00,-0.43,880.00,-2.54,2285.00,0.38,2715.00,0.45
5,Exit Short,INTRADAY_SExit,2021-02-03 09:45,6089.15,100,-2630.00,-0.43,880.00,-2.54,2285.00,0.38,2715.00,0.45
6,Entry Long,BUY,2021-02-04 05:15,6118.45,100,5940.00,0.97,6820.00,5.89,9155.00,1.5,2240.00,0.37
6,Exit Long,INTRADAY_BExit,2021-02-04 09:45,6177.85,100,5940.00,0.97,6820.00,5.89,9155.00,1.5,2240.00,0.37
7,Entry Long,BUY,2021-02-05 06:00,6265.05,100,7950.00,1.27,14770.00,7.44,13395.00,2.14,1005.00,0.16
7,Exit Long,INTRADAY_BExit,2021-02-05 09:45,6344.55,100,7950.00,1.27,14770.00,7.44,13395.00,2.14,1005.00,0.16
8,Entry Long,BUY,2021-02-08 04:15,6408.00,100,2500.00,0.39,17270.00,2.18,7700.00,1.2,2660.00,0.42
8,Exit Long,SELL,2021-02-08 06:45,6433.00,100,2500.00,0.39,17270.00,2.18,7700.00,1.2,2660.00,0.42
9,Entry Short,SELL,2021-02-08 06:45,6433.00,100,5595.00,0.87,22865.00,4.77,6000.00,0.93,1100.00,0.17
9,Exit Short,INTRADAY_SExit,2021-02-08 09:45,6377.05,100,5595.00,0.87,22865.00,4.77,6000.00,0.93,1100.00,0.17
10,Entry Long,BUY,2021-02-09 04:30,6466.00,100,-4310.00,-0.67,18555.00,-3.51,1400.00,0.22,5125.00,0.79
10,Exit Long,SELL,2021-02-09 05:30,6422.90,100,-4310.00,-0.67,18555.00,-3.51,1400.00,0.22,5125.00,0.79
11,Entry Short,SELL,2021-02-09 05:30,6422.90,100,-2225.00,-0.35,16330.00,-1.88,525.00,0.08,2850.00,0.44
11,Exit Short,BUY,2021-02-09 07:15,6445.15,100,-2225.00,-0.35,16330.00,-1.88,525.00,0.08,2850.00,0.44
12,Entry Long,BUY,2021-02-09 07:15,6445.15,100,-1855.00,-0.29,14475.00,-1.59,90.00,0.01,2405.00,0.37
12,Exit Long,SELL,2021-02-09 08:00,6426.60,100,-1855.00,-0.29,14475.00,-1.59,90.00,0.01,2405.00,0.37
13,Entry Short,SELL,2021-02-09 08:00,6426.60,100,660.00,0.1,15135.00,0.58,3360.00,0.52,490.00,0.08
13,Exit Short,INTRADAY_SExit,2021-02-09 09:45,6420.00,100,660.00,0.1,15135.00,0.58,3360.00,0.52,490.00,0.08
14,Entry Long,BUY,2021-02-10 04:15,6525.00,100,-9270.00,-1.42,5865.00,-8.05,2300.00,0.35,10000.00,1.53
14,Exit Long,SELL,2021-02-10 05:30,6432.30,100,-9270.00,-1.42,5865.00,-8.05,2300.00,0.35,10000.00,1.53
15,Entry Short,SELL,2021-02-10 05:30,6432.30,100,3330.00,0.52,9195.00,3.15,11120.00,1.73,1070.00,0.17
15,Exit Short,INTRADAY_SExit,2021-02-10 09:45,6399.00,100,3330.00,0.52,9195.00,3.15,11120.00,1.73,1070.00,0.17
16,Entry Long,BUY,2021-02-11 04:15,6418.30,100,1170.00,0.18,10365.00,1.07,4970.00,0.77,4225.00,0.66
16,Exit Long,INTRADAY_BExit,2021-02-11 09:45,6430.00,100,1170.00,0.18,10365.00,1.07,4970.00,0.77,4225.00,0.66
17,Entry Short,SELL,2021-02-12 04:45,6427.00,100,3310.00,0.52,13675.00,3,6005.00,0.93,1800.00,0.28
17,Exit Short,INTRADAY_SExit,2021-02-12 09:45,6393.90,100,3310.00,0.52,13675.00,3,6005.00,0.93,1800.00,0.28
18,Entry Long,BUY,2021-02-15 04:15,6421.40,100,-2140.00,-0.33,11535.00,-1.88,3830.00,0.6,2615.00,0.41
18,Exit Long,SELL,2021-02-15 08:00,6400.00,100,-2140.00,-0.33,11535.00,-1.88,3830.00,0.6,2615.00,0.41
19,Entry Short,SELL,2021-02-15 08:00,6400.00,100,-790.00,-0.12,10745.00,-0.71,1290.00,0.2,1825.00,0.29
19,Exit Short,INTRADAY_SExit,2021-02-15 09:45,6407.90,100,-790.00,-0.12,10745.00,-0.71,1290.00,0.2,1825.00,0.29
20,Entry Long,BUY,2021-02-16 04:15,6514.75,100,-805.00,-0.12,9940.00,-0.73,3525.00,0.54,3975.00,0.61
20,Exit Long,SELL,2021-02-16 07:30,6506.70,100,-805.00,-0.12,9940.00,-0.73,3525.00,0.54,3975.00,0.61
21,Entry Short,SELL,2021-02-16 07:30,6506.70,100,5000.00,0.77,14940.00,4.55,7120.00,1.09,235.00,0.04
21,Exit Short,INTRADAY_SExit,2021-02-16 09:45,6456.70,100,5000.00,0.77,14940.00,4.55,7120.00,1.09,235.00,0.04
22,Entry Short,SELL,2021-02-17 05:30,6462.40,100,4240.00,0.66,19180.00,3.69,7145.00,1.11,2750.00,0.43
22,Exit Short,INTRADAY_SExit,2021-02-17 09:45,6420.00,100,4240.00,0.66,19180.00,3.69,7145.00,1.11,2750.00,0.43
23,Entry Long,BUY,2021-02-18 05:15,6432.55,100,-5955.00,-0.93,13225.00,-5,245.00,0.04,6255.00,0.97
23,Exit Long,SELL,2021-02-18 06:00,6373.00,100,-5955.00,-0.93,13225.00,-5,245.00,0.04,6255.00,0.97
24,Entry Short,SELL,2021-02-18 06:00,6373.00,100,-590.00,-0.09,12635.00,-0.52,7200.00,1.13,945.00,0.15
24,Exit Short,BUY,2021-02-18 07:45,6378.90,100,-590.00,-0.09,12635.00,-0.52,7200.00,1.13,945.00,0.15
25,Entry Long,BUY,2021-02-18 07:45,6378.90,100,-5390.00,-0.84,7245.00,-4.79,410.00,0.06,5800.00,0.91
25,Exit Long,INTRADAY_BExit,2021-02-18 09:45,6325.00,100,-5390.00,-0.84,7245.00,-4.79,410.00,0.06,5800.00,0.91
