Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-11 04:15,5574.55,100,-3775.00,-0.68,-3775.00,-3.77,2200.00,0.39,4035.00,0.72
1,Exit Long,SELL,2021-01-11 05:00,5536.80,100,-3775.00,-0.68,-3775.00,-3.77,2200.00,0.39,4035.00,0.72
2,Entry Short,SELL,2021-01-11 05:00,5536.80,100,-3715.00,-0.67,-7490.00,-3.86,680.00,0.12,3755.00,0.68
2,Exit Short,BUY,2021-01-11 05:50,5573.95,100,-3715.00,-0.67,-7490.00,-3.86,680.00,0.12,3755.00,0.68
3,Entry Long,BUY,2021-01-11 05:50,5573.95,100,5335.00,0.96,-2155.00,5.77,5550.00,1,1595.00,0.29
3,Exit Long,BUY_TG_HIT,2021-01-11 06:40,5627.30,100,5335.00,0.96,-2155.00,5.77,5550.00,1,1595.00,0.29
4,Entry Short,SELL,2021-01-12 04:05,5638.80,100,4725.00,0.84,2570.00,4.83,4780.00,0.85,1075.00,0.19
4,Exit Short,SELL_TG_HIT,2021-01-12 04:30,5591.55,100,4725.00,0.84,2570.00,4.83,4780.00,0.85,1075.00,0.19
5,Entry Short,SELL,2021-01-12 04:35,5587.90,100,-1130.00,-0.2,1440.00,-1.1,3690.00,0.66,3210.00,0.57
5,Exit Short,INTRADAY_SExit,2021-01-12 09:35,5599.20,100,-1130.00,-0.2,1440.00,-1.1,3690.00,0.66,3210.00,0.57
6,Entry Long,BUY,2021-01-13 04:05,5620.55,100,-570.00,-0.1,870.00,-0.56,2945.00,0.52,1265.00,0.23
6,Exit Long,SELL,2021-01-13 04:30,5614.85,100,-570.00,-0.1,870.00,-0.56,2945.00,0.52,1265.00,0.23
7,Entry Short,SELL,2021-01-13 04:30,5614.85,100,-2925.00,-0.52,-2055.00,-2.9,1375.00,0.24,3465.00,0.62
7,Exit Short,BUY,2021-01-13 05:20,5644.10,100,-2925.00,-0.52,-2055.00,-2.9,1375.00,0.24,3465.00,0.62
8,Entry Long,BUY,2021-01-13 05:20,5644.10,100,-1100.00,-0.19,-3155.00,-1.12,2090.00,0.37,2580.00,0.46
8,Exit Long,SELL,2021-01-13 06:05,5633.10,100,-1100.00,-0.19,-3155.00,-1.12,2090.00,0.37,2580.00,0.46
9,Entry Short,SELL,2021-01-13 06:05,5633.10,100,-2190.00,-0.39,-5345.00,-2.26,175.00,0.03,2665.00,0.47
9,Exit Short,BUY,2021-01-13 06:15,5655.00,100,-2190.00,-0.39,-5345.00,-2.26,175.00,0.03,2665.00,0.47
10,Entry Long,BUY,2021-01-13 06:15,5655.00,100,-2335.00,-0.41,-7680.00,-2.47,0,0,2390.00,0.42
10,Exit Long,SELL,2021-01-13 06:40,5631.65,100,-2335.00,-0.41,-7680.00,-2.47,0,0,2390.00,0.42
11,Entry Short,SELL,2021-01-13 06:40,5631.65,100,-2030.00,-0.36,-9710.00,-2.2,495.00,0.09,2335.00,0.41
11,Exit Short,BUY,2021-01-13 06:55,5651.95,100,-2030.00,-0.36,-9710.00,-2.2,495.00,0.09,2335.00,0.41
12,Entry Long,BUY,2021-01-13 06:55,5651.95,100,-2920.00,-0.52,-12630.00,-3.23,2205.00,0.39,3685.00,0.65
12,Exit Long,SELL,2021-01-13 08:20,5622.75,100,-2920.00,-0.52,-12630.00,-3.23,2205.00,0.39,3685.00,0.65
13,Entry Short,SELL,2021-01-13 08:20,5622.75,100,-2515.00,-0.45,-15145.00,-2.88,2275.00,0.4,3450.00,0.61
13,Exit Short,BUY,2021-01-13 09:25,5647.90,100,-2515.00,-0.45,-15145.00,-2.88,2275.00,0.4,3450.00,0.61
14,Entry Long,BUY,2021-01-13 09:25,5647.90,100,1760.00,0.31,-13385.00,2.07,1965.00,0.35,90.00,0.02
14,Exit Long,INTRADAY_BExit,2021-01-13 09:35,5665.50,100,1760.00,0.31,-13385.00,2.07,1965.00,0.35,90.00,0.02
15,Entry Short,SELL,2021-01-14 04:05,5590.70,100,-830.00,-0.15,-14215.00,-0.96,3070.00,0.55,1475.00,0.26
15,Exit Short,BUY,2021-01-14 05:50,5599.00,100,-830.00,-0.15,-14215.00,-0.96,3070.00,0.55,1475.00,0.26
16,Entry Long,BUY,2021-01-14 05:50,5599.00,100,-2090.00,-0.37,-16305.00,-2.44,1295.00,0.23,2350.00,0.42
16,Exit Long,SELL,2021-01-14 06:15,5578.10,100,-2090.00,-0.37,-16305.00,-2.44,1295.00,0.23,2350.00,0.42
17,Entry Short,SELL,2021-01-14 06:15,5578.10,100,-1235.00,-0.22,-17540.00,-1.48,1610.00,0.29,1890.00,0.34
17,Exit Short,INTRADAY_SExit,2021-01-14 09:35,5590.45,100,-1235.00,-0.22,-17540.00,-1.48,1610.00,0.29,1890.00,0.34
18,Entry Short,SELL,2021-01-15 04:05,5511.95,100,4300.00,0.78,-13240.00,5.21,5085.00,0.92,0,0
18,Exit Short,SELL_TG_HIT,2021-01-15 04:10,5468.95,100,4300.00,0.78,-13240.00,5.21,5085.00,0.92,0,0
19,Entry Short,SELL,2021-01-15 05:35,5495.90,100,-1945.00,-0.35,-15185.00,-2.24,1245.00,0.23,2510.00,0.46
19,Exit Short,BUY,2021-01-15 07:35,5515.35,100,-1945.00,-0.35,-15185.00,-2.24,1245.00,0.23,2510.00,0.46
20,Entry Long,BUY,2021-01-15 07:35,5515.35,100,-1810.00,-0.33,-16995.00,-2.13,70.00,0.01,1835.00,0.33
20,Exit Long,SELL,2021-01-15 07:45,5497.25,100,-1810.00,-0.33,-16995.00,-2.13,70.00,0.01,1835.00,0.33
21,Entry Short,SELL,2021-01-15 07:45,5497.25,100,4405.00,0.8,-12590.00,5.31,5225.00,0.95,275.00,0.05
21,Exit Short,SELL_TG_HIT,2021-01-15 08:30,5453.20,100,4405.00,0.8,-12590.00,5.31,5225.00,0.95,275.00,0.05
22,Entry Short,SELL,2021-01-15 08:35,5448.10,100,-990.00,-0.18,-13580.00,-1.13,2235.00,0.41,1740.00,0.32
22,Exit Short,INTRADAY_SExit,2021-01-15 09:35,5458.00,100,-990.00,-0.18,-13580.00,-1.13,2235.00,0.41,1740.00,0.32
23,Entry Short,SELL,2021-01-18 04:05,5382.40,100,4565.00,0.85,-9015.00,5.28,5595.00,1.04,1795.00,0.33
23,Exit Short,SELL_TG_HIT,2021-01-18 04:50,5336.75,100,4565.00,0.85,-9015.00,5.28,5595.00,1.04,1795.00,0.33
24,Entry Short,SELL,2021-01-18 05:55,5365.00,100,-1835.00,-0.34,-10850.00,-2.02,3300.00,0.62,2000.00,0.37
24,Exit Short,BUY,2021-01-18 07:10,5383.35,100,-1835.00,-0.34,-10850.00,-2.02,3300.00,0.62,2000.00,0.37
25,Entry Long,BUY,2021-01-18 07:10,5383.35,100,2155.00,0.4,-8695.00,2.42,4560.00,0.85,1285.00,0.24
25,Exit Long,INTRADAY_BExit,2021-01-18 09:35,5404.90,100,2155.00,0.4,-8695.00,2.42,4560.00,0.85,1285.00,0.24
26,Entry Long,BUY,2021-01-19 04:35,5468.50,100,-950.00,-0.17,-9645.00,-1.04,4035.00,0.74,1285.00,0.23
