Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-15 04:10,538.50,1,-3770.00,-0.54,-3770.00,-1.88,4160.00,0.59,4420.00,0.63
1,Exit Short,BUY,2021-02-15 06:20,541.40,1,-3770.00,-0.54,-3770.00,-1.88,4160.00,0.59,4420.00,0.63
2,Entry Long,BUY,2021-02-15 06:20,541.40,1,-4485.00,-0.64,-8255.00,-2.29,130.00,0.02,5525.00,0.79
2,Exit Long,SELL,2021-02-15 07:30,537.95,1,-4485.00,-0.64,-8255.00,-2.29,130.00,0.02,5525.00,0.79
3,Entry Short,SELL,2021-02-15 07:30,537.95,1,-2665.00,-0.38,-10920.00,-1.39,2405.00,0.34,3120.00,0.45
3,Exit Short,BUY,2021-02-15 09:10,540.00,1,-2665.00,-0.38,-10920.00,-1.39,2405.00,0.34,3120.00,0.45
4,Entry Long,BUY,2021-02-15 09:10,540.00,1,-845.00,-0.12,-11765.00,-0.45,520.00,0.07,1365.00,0.19
4,Exit Long,INTRADAY_BExit,2021-02-15 09:35,539.35,1,-845.00,-0.12,-11765.00,-0.45,520.00,0.07,1365.00,0.19
5,Entry Long,BUY,2021-02-16 04:45,542.50,1,-4680.00,-0.66,-16445.00,-2.49,6240.00,0.88,4680.00,0.66
5,Exit Long,SELL,2021-02-16 07:35,538.90,1,-4680.00,-0.66,-16445.00,-2.49,6240.00,0.88,4680.00,0.66
6,Entry Short,SELL,2021-02-16 07:35,538.90,1,-3510.00,-0.5,-19955.00,-1.91,910.00,0.13,5135.00,0.73
6,Exit Short,INTRADAY_SExit,2021-02-16 09:35,541.60,1,-3510.00,-0.5,-19955.00,-1.91,910.00,0.13,5135.00,0.73
7,Entry Short,SELL,2021-02-17 04:05,541.45,1,-3055.00,-0.43,-23010.00,-1.7,585.00,0.08,4420.00,0.63
7,Exit Short,BUY,2021-02-17 04:10,543.80,1,-3055.00,-0.43,-23010.00,-1.7,585.00,0.08,4420.00,0.63
8,Entry Long,BUY,2021-02-17 04:10,543.80,1,-6305.00,-0.89,-29315.00,-3.56,130.00,0.02,7280.00,1.03
8,Exit Long,SELL,2021-02-17 04:20,538.95,1,-6305.00,-0.89,-29315.00,-3.56,130.00,0.02,7280.00,1.03
9,Entry Short,SELL,2021-02-17 04:20,538.95,1,-3315.00,-0.47,-32630.00,-1.94,5005.00,0.71,3315.00,0.47
9,Exit Short,BUY,2021-02-17 07:10,541.50,1,-3315.00,-0.47,-32630.00,-1.94,5005.00,0.71,3315.00,0.47
10,Entry Long,BUY,2021-02-17 07:10,541.50,1,-6305.00,-0.9,-38935.00,-3.77,520.00,0.07,6305.00,0.9
