Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-01 09:45,472.50,100,-70.00,-0.15,-70.00,-0.07,310.00,0.66,120.00,0.25
1,Exit Long,SELL,2021-01-01 12:00,471.80,100,-70.00,-0.15,-70.00,-0.07,310.00,0.66,120.00,0.25
2,Entry Short,SELL,2021-01-01 12:00,471.80,100,275.00,0.58,205.00,0.28,320.00,0.68,150.00,0.32
2,Exit Short,INTRADAY_SExit,2021-01-01 15:15,469.05,100,275.00,0.58,205.00,0.28,320.00,0.68,150.00,0.32
3,Entry Long,BUY,2021-01-04 09:45,473.00,100,-205.00,-0.43,0,-0.2,40.00,0.08,250.00,0.53
3,Exit Long,SELL,2021-01-04 10:15,470.95,100,-205.00,-0.43,0,-0.2,40.00,0.08,250.00,0.53
4,Entry Short,SELL,2021-01-04 10:15,470.95,100,-95.00,-0.2,-95.00,-0.09,430.00,0.91,190.00,0.4
4,Exit Short,BUY,2021-01-04 12:15,471.90,100,-95.00,-0.2,-95.00,-0.09,430.00,0.91,190.00,0.4
5,Entry Long,BUY,2021-01-04 12:15,471.90,100,-30.00,-0.06,-125.00,-0.03,140.00,0.3,120.00,0.25
5,Exit Long,SELL,2021-01-04 14:30,471.60,100,-30.00,-0.06,-125.00,-0.03,140.00,0.3,120.00,0.25
6,Entry Short,SELL,2021-01-04 14:30,471.60,100,-180.00,-0.38,-305.00,-0.18,60.00,0.13,190.00,0.4
6,Exit Short,INTRADAY_SExit,2021-01-04 15:15,473.40,100,-180.00,-0.38,-305.00,-0.18,60.00,0.13,190.00,0.4
7,Entry Short,SELL,2021-01-05 09:45,469.00,100,-95.00,-0.2,-400.00,-0.1,250.00,0.53,100.00,0.21
7,Exit Short,BUY,2021-01-05 11:30,469.95,100,-95.00,-0.2,-400.00,-0.1,250.00,0.53,100.00,0.21
8,Entry Long,BUY,2021-01-05 11:30,469.95,100,-45.00,-0.1,-445.00,-0.05,205.00,0.44,85.00,0.18
8,Exit Long,SELL,2021-01-05 13:15,469.50,100,-45.00,-0.1,-445.00,-0.05,205.00,0.44,85.00,0.18
9,Entry Short,SELL,2021-01-05 13:15,469.50,100,-205.00,-0.44,-650.00,-0.21,200.00,0.43,290.00,0.62
9,Exit Short,INTRADAY_SExit,2021-01-05 15:15,471.55,100,-205.00,-0.44,-650.00,-0.21,200.00,0.43,290.00,0.62
10,Entry Long,BUY,2021-01-06 09:45,474.20,100,335.00,0.71,-315.00,0.34,770.00,1.62,170.00,0.36
10,Exit Long,SELL,2021-01-06 12:00,477.55,100,335.00,0.71,-315.00,0.34,770.00,1.62,170.00,0.36
11,Entry Short,SELL,2021-01-06 12:00,477.55,100,615.00,1.29,300.00,0.62,1040.00,2.18,110.00,0.23
11,Exit Short,BUY,2021-01-06 15:00,471.40,100,615.00,1.29,300.00,0.62,1040.00,2.18,110.00,0.23
12,Entry Long,BUY,2021-01-06 15:00,471.40,100,155.00,0.33,455.00,0.15,200.00,0.42,5.00,0.01
12,Exit Long,INTRADAY_BExit,2021-01-06 15:15,472.95,100,155.00,0.33,455.00,0.15,200.00,0.42,5.00,0.01
13,Entry Short,SELL,2021-01-07 12:30,482.00,100,-150.00,-0.31,305.00,-0.15,295.00,0.61,200.00,0.41
13,Exit Short,BUY,2021-01-07 14:00,483.50,100,-150.00,-0.31,305.00,-0.15,295.00,0.61,200.00,0.41
14,Entry Long,BUY,2021-01-07 14:00,483.50,100,-265.00,-0.55,40.00,-0.26,180.00,0.37,310.00,0.64
14,Exit Long,INTRADAY_BExit,2021-01-07 15:15,480.85,100,-265.00,-0.55,40.00,-0.26,180.00,0.37,310.00,0.64
15,Entry Long,BUY,2021-01-08 09:45,503.00,100,-500.00,-0.99,-460.00,-0.5,300.00,0.6,500.00,0.99
15,Exit Long,SELL,2021-01-08 11:15,498.00,100,-500.00,-0.99,-460.00,-0.5,300.00,0.6,500.00,0.99
16,Entry Short,SELL,2021-01-08 11:15,498.00,100,-440.00,-0.88,-900.00,-0.44,75.00,0.15,460.00,0.92
16,Exit Short,BUY,2021-01-08 12:00,502.40,100,-440.00,-0.88,-900.00,-0.44,75.00,0.15,460.00,0.92
17,Entry Long,BUY,2021-01-08 12:00,502.40,100,250.00,0.5,-650.00,0.25,260.00,0.52,360.00,0.72
17,Exit Long,INTRADAY_BExit,2021-01-08 15:15,504.90,100,250.00,0.5,-650.00,0.25,260.00,0.52,360.00,0.72
18,Entry Short,SELL,2021-01-11 10:15,499.25,100,15.00,0.03,-635.00,0.02,595.00,1.19,35.00,0.07
18,Exit Short,BUY,2021-01-11 12:15,499.10,100,15.00,0.03,-635.00,0.02,595.00,1.19,35.00,0.07
19,Entry Long,BUY,2021-01-11 12:15,499.10,100,-115.00,-0.23,-750.00,-0.12,90.00,0.18,310.00,0.62
19,Exit Long,INTRADAY_BExit,2021-01-11 15:15,497.95,100,-115.00,-0.23,-750.00,-0.12,90.00,0.18,310.00,0.62
20,Entry Short,SELL,2021-01-12 09:45,495.40,100,-80.00,-0.16,-830.00,-0.08,200.00,0.4,110.00,0.22
20,Exit Short,BUY,2021-01-12 10:30,496.20,100,-80.00,-0.16,-830.00,-0.08,200.00,0.4,110.00,0.22
21,Entry Long,BUY,2021-01-12 10:30,496.20,100,495.00,1,-335.00,0.5,930.00,1.87,65.00,0.13
21,Exit Long,SELL,2021-01-12 13:00,501.15,100,495.00,1,-335.00,0.5,930.00,1.87,65.00,0.13
22,Entry Short,SELL,2021-01-12 13:00,501.15,100,-15.00,-0.03,-350.00,-0.02,110.00,0.22,315.00,0.63
22,Exit Short,INTRADAY_SExit,2021-01-12 15:15,501.30,100,-15.00,-0.03,-350.00,-0.02,110.00,0.22,315.00,0.63
23,Entry Long,BUY,2021-01-13 12:30,495.10,100,-450.00,-0.91,-800.00,-0.45,40.00,0.08,490.00,0.99
23,Exit Long,SELL,2021-01-13 13:45,490.60,100,-450.00,-0.91,-800.00,-0.45,40.00,0.08,490.00,0.99
24,Entry Short,SELL,2021-01-13 13:45,490.60,100,-85.00,-0.17,-885.00,-0.09,620.00,1.26,120.00,0.24
24,Exit Short,BUY,2021-01-13 14:30,491.45,100,-85.00,-0.17,-885.00,-0.09,620.00,1.26,120.00,0.24
25,Entry Long,BUY,2021-01-13 14:30,491.45,100,115.00,0.23,-770.00,0.12,185.00,0.38,135.00,0.27
25,Exit Long,INTRADAY_BExit,2021-01-13 15:15,492.60,100,115.00,0.23,-770.00,0.12,185.00,0.38,135.00,0.27
26,Entry Long,BUY,2021-01-15 09:45,524.70,100,-605.00,-1.15,-1375.00,-0.61,320.00,0.61,645.00,1.23
26,Exit Long,SELL,2021-01-15 10:15,518.65,100,-605.00,-1.15,-1375.00,-0.61,320.00,0.61,645.00,1.23
27,Entry Short,SELL,2021-01-15 10:15,518.65,100,-360.00,-0.69,-1735.00,-0.37,265.00,0.51,410.00,0.79
27,Exit Short,BUY,2021-01-15 12:30,522.25,100,-360.00,-0.69,-1735.00,-0.37,265.00,0.51,410.00,0.79
28,Entry Long,BUY,2021-01-15 12:30,522.25,100,-340.00,-0.65,-2075.00,-0.35,75.00,0.14,515.00,0.99
28,Exit Long,SELL,2021-01-15 14:15,518.85,100,-340.00,-0.65,-2075.00,-0.35,75.00,0.14,515.00,0.99
29,Entry Short,SELL,2021-01-15 14:15,518.85,100,-450.00,-0.87,-2525.00,-0.46,375.00,0.72,500.00,0.96
29,Exit Short,INTRADAY_SExit,2021-01-15 15:15,523.35,100,-450.00,-0.87,-2525.00,-0.46,375.00,0.72,500.00,0.96
30,Entry Long,BUY,2021-01-18 09:45,537.85,100,2130.00,3.96,-395.00,2.19,2305.00,4.29,550.00,1.02
30,Exit Long,BUY_TG_HIT,2021-01-18 14:45,559.15,100,2130.00,3.96,-395.00,2.19,2305.00,4.29,550.00,1.02
31,Entry Short,SELL,2021-01-19 09:45,558.50,100,-290.00,-0.52,-685.00,-0.29,125.00,0.22,840.00,1.5
31,Exit Short,BUY,2021-01-19 10:15,561.40,100,-290.00,-0.52,-685.00,-0.29,125.00,0.22,840.00,1.5
32,Entry Long,BUY,2021-01-19 10:15,561.40,100,200.00,0.36,-485.00,0.2,950.00,1.69,135.00,0.24
32,Exit Long,SELL,2021-01-19 13:30,563.40,100,200.00,0.36,-485.00,0.2,950.00,1.69,135.00,0.24
