Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-01 05:15,387.95,1,2960.00,0.95,2960.00,1.48,2960.00,0.95,360.00,0.12
1,Exit Long,INTRADAY_BExit,2021-01-04 03:45,391.65,1,2960.00,0.95,2960.00,1.48,2960.00,0.95,360.00,0.12
2,Entry Long,BUY,2021-01-04 04:45,391.60,1,2480.00,0.79,5440.00,1.22,6120.00,1.95,2880.00,0.92
2,Exit Long,INTRADAY_BExit,2021-01-05 03:45,394.70,1,2480.00,0.79,5440.00,1.22,6120.00,1.95,2880.00,0.92
3,Entry Long,BUY,2021-01-05 04:45,398.55,1,5000.00,1.57,10440.00,2.43,10200.00,3.2,440.00,0.14
3,Exit Long,INTRADAY_BExit,2021-01-06 03:45,404.80,1,5000.00,1.57,10440.00,2.43,10200.00,3.2,440.00,0.14
4,Entry Long,BUY,2021-01-06 04:45,408.00,1,-1440.00,-0.44,9000.00,-0.68,7840.00,2.4,2760.00,0.85
4,Exit Long,SELL,2021-01-06 08:45,406.20,1,-1440.00,-0.44,9000.00,-0.68,7840.00,2.4,2760.00,0.85
5,Entry Short,SELL,2021-01-06 08:45,406.20,1,-2640.00,-0.81,6360.00,-1.26,720.00,0.22,3280.00,1.01
5,Exit Short,INTRADAY_SExit,2021-01-07 03:45,409.50,1,-2640.00,-0.81,6360.00,-1.26,720.00,0.22,3280.00,1.01
6,Entry Long,BUY,2021-01-07 07:15,409.10,1,480.00,0.15,6840.00,0.23,480.00,0.15,2040.00,0.62
6,Exit Long,INTRADAY_BExit,2021-01-08 03:45,409.70,1,480.00,0.15,6840.00,0.23,480.00,0.15,2040.00,0.62
7,Entry Long,BUY,2021-01-08 04:45,413.90,1,10120.00,3.06,16960.00,4.89,11240.00,3.39,400.00,0.12
7,Exit Long,BUY_TG_HIT,2021-01-08 07:15,426.55,1,10120.00,3.06,16960.00,4.89,11240.00,3.39,400.00,0.12
8,Entry Long,BUY,2021-01-08 07:45,426.25,1,6440.00,1.89,23400.00,2.97,6440.00,1.89,760.00,0.22
8,Exit Long,INTRADAY_BExit,2021-01-11 03:45,434.30,1,6440.00,1.89,23400.00,2.97,6440.00,1.89,760.00,0.22
9,Entry Long,BUY,2021-01-11 05:45,446.35,1,-280.00,-0.08,23120.00,-0.13,1960.00,0.55,3000.00,0.84
9,Exit Long,INTRADAY_BExit,2021-01-12 03:45,446.00,1,-280.00,-0.08,23120.00,-0.13,1960.00,0.55,3000.00,0.84
10,Entry Long,BUY,2021-01-12 06:45,448.05,1,8560.00,2.39,31680.00,3.84,9400.00,2.62,1360.00,0.38
10,Exit Long,INTRADAY_BExit,2021-01-13 03:45,458.75,1,8560.00,2.39,31680.00,3.84,9400.00,2.62,1360.00,0.38
11,Entry Long,BUY,2021-01-13 04:45,460.35,1,-4280.00,-1.16,27400.00,-1.85,2080.00,0.56,6280.00,1.71
11,Exit Long,SELL,2021-01-13 08:15,455.00,1,-4280.00,-1.16,27400.00,-1.85,2080.00,0.56,6280.00,1.71
12,Entry Short,SELL,2021-01-13 08:15,455.00,1,6640.00,1.82,34040.00,2.92,6640.00,1.82,3840.00,1.05
12,Exit Short,INTRADAY_SExit,2021-01-14 03:45,446.70,1,6640.00,1.82,34040.00,2.92,6640.00,1.82,3840.00,1.05
13,Entry Long,BUY,2021-01-14 07:15,454.15,1,-2200.00,-0.61,31840.00,-0.94,7880.00,2.17,2800.00,0.77
13,Exit Long,INTRADAY_BExit,2021-01-15 03:45,451.40,1,-2200.00,-0.61,31840.00,-0.94,7880.00,2.17,2800.00,0.77
14,Entry Short,SELL,2021-01-15 08:15,442.75,1,1840.00,0.52,33680.00,0.79,4880.00,1.38,280.00,0.08
14,Exit Short,INTRADAY_SExit,2021-01-18 03:45,440.45,1,1840.00,0.52,33680.00,0.79,4880.00,1.38,280.00,0.08
15,Entry Long,BUY,2021-01-18 04:45,442.35,1,-8920.00,-2.52,24760.00,-3.82,1360.00,0.38,9200.00,2.6
15,Exit Long,SELL,2021-01-18 09:45,431.20,1,-8920.00,-2.52,24760.00,-3.82,1360.00,0.38,9200.00,2.6
16,Entry Short,SELL,2021-01-18 09:45,431.20,1,-3080.00,-0.89,21680.00,-1.37,1760.00,0.51,3080.00,0.89
16,Exit Short,INTRADAY_SExit,2021-01-19 03:45,435.05,1,-3080.00,-0.89,21680.00,-1.37,1760.00,0.51,3080.00,0.89
17,Entry Short,SELL,2021-01-19 05:45,431.80,1,-400.00,-0.12,21280.00,-0.18,3400.00,0.98,1200.00,0.35
17,Exit Short,INTRADAY_SExit,2021-01-20 03:45,432.30,1,-400.00,-0.12,21280.00,-0.18,3400.00,0.98,1200.00,0.35
18,Entry Long,BUY,2021-01-20 04:45,446.40,1,15880.00,4.45,37160.00,7.18,15880.00,4.45,3920.00,1.1
18,Exit Long,INTRADAY_BExit,2021-01-21 03:45,466.25,1,15880.00,4.45,37160.00,7.18,15880.00,4.45,3920.00,1.1
19,Entry Long,BUY,2021-01-21 04:45,448.25,1,-3800.00,-1.06,33360.00,-1.6,520.00,0.15,6360.00,1.77
19,Exit Long,SELL,2021-01-21 09:45,443.50,1,-3800.00,-1.06,33360.00,-1.6,520.00,0.15,6360.00,1.77
20,Entry Short,SELL,2021-01-21 09:45,443.50,1,-1280.00,-0.36,32080.00,-0.55,760.00,0.21,1280.00,0.36
20,Exit Short,INTRADAY_SExit,2021-01-22 03:45,445.10,1,-1280.00,-0.36,32080.00,-0.55,760.00,0.21,1280.00,0.36
21,Entry Short,SELL,2021-01-22 05:45,442.70,1,-3680.00,-1.04,28400.00,-1.59,2080.00,0.59,4080.00,1.15
21,Exit Short,BUY,2021-01-22 09:15,447.30,1,-3680.00,-1.04,28400.00,-1.59,2080.00,0.59,4080.00,1.15
22,Entry Long,BUY,2021-01-22 09:15,447.30,1,-3160.00,-0.88,25240.00,-1.38,3520.00,0.98,4000.00,1.12
22,Exit Long,INTRADAY_BExit,2021-01-25 03:45,443.35,1,-3160.00,-0.88,25240.00,-1.38,3520.00,0.98,4000.00,1.12
23,Entry Short,SELL,2021-01-25 04:45,442.55,1,-440.00,-0.12,24800.00,-0.2,3040.00,0.86,1960.00,0.55
23,Exit Short,BUY,2021-01-25 07:45,443.10,1,-440.00,-0.12,24800.00,-0.2,3040.00,0.86,1960.00,0.55
24,Entry Long,BUY,2021-01-25 07:45,443.10,1,-5080.00,-1.43,19720.00,-2.26,0,0,6240.00,1.76
24,Exit Long,SELL,2021-01-25 09:45,436.75,1,-5080.00,-1.43,19720.00,-2.26,0,0,6240.00,1.76
25,Entry Short,SELL,2021-01-25 09:45,436.75,1,-1160.00,-0.33,18560.00,-0.53,960.00,0.27,1160.00,0.33
25,Exit Short,INTRADAY_SExit,2021-01-27 03:45,438.20,1,-1160.00,-0.33,18560.00,-0.53,960.00,0.27,1160.00,0.33
26,Entry Long,BUY,2021-01-27 04:45,452.65,1,-3960.00,-1.09,14600.00,-1.81,1240.00,0.34,4200.00,1.16
26,Exit Long,SELL,2021-01-27 07:45,447.70,1,-3960.00,-1.09,14600.00,-1.81,1240.00,0.34,4200.00,1.16
27,Entry Short,SELL,2021-01-27 07:45,447.70,1,3600.00,1.01,18200.00,1.68,3600.00,1.01,1360.00,0.38
27,Exit Short,INTRADAY_SExit,2021-01-28 03:45,443.20,1,3600.00,1.01,18200.00,1.68,3600.00,1.01,1360.00,0.38
28,Entry Short,SELL,2021-01-28 05:15,432.20,1,-2160.00,-0.62,16040.00,-0.99,4640.00,1.34,2160.00,0.62
28,Exit Short,INTRADAY_SExit,2021-01-29 03:45,434.90,1,-2160.00,-0.62,16040.00,-0.99,4640.00,1.34,2160.00,0.62
29,Entry Short,SELL,2021-01-29 06:15,428.65,1,10000.00,2.92,26040.00,4.63,10000.00,2.92,360.00,0.1
29,Exit Short,INTRADAY_SExit,2021-02-01 03:45,416.15,1,10000.00,2.92,26040.00,4.63,10000.00,2.92,360.00,0.1
30,Entry Short,SELL,2021-02-01 04:45,414.50,1,-6600.00,-1.99,19440.00,-2.92,4000.00,1.21,6920.00,2.09
30,Exit Short,BUY,2021-02-01 08:15,422.75,1,-6600.00,-1.99,19440.00,-2.92,4000.00,1.21,6920.00,2.09
31,Entry Long,BUY,2021-02-01 08:15,422.75,1,5320.00,1.57,24760.00,2.42,5320.00,1.57,4360.00,1.29
31,Exit Long,INTRADAY_BExit,2021-02-02 03:45,429.40,1,5320.00,1.57,24760.00,2.42,5320.00,1.57,4360.00,1.29
32,Entry Long,BUY,2021-02-02 04:45,426.35,1,-280.00,-0.08,24480.00,-0.12,2080.00,0.61,840.00,0.25
32,Exit Long,SELL,2021-02-02 05:15,426.00,1,-280.00,-0.08,24480.00,-0.12,2080.00,0.61,840.00,0.25
33,Entry Short,SELL,2021-02-02 05:15,426.00,1,-3280.00,-0.96,21200.00,-1.46,400.00,0.12,4720.00,1.38
33,Exit Short,BUY,2021-02-02 07:45,430.10,1,-3280.00,-0.96,21200.00,-1.46,400.00,0.12,4720.00,1.38
34,Entry Long,BUY,2021-02-02 07:45,430.10,1,1400.00,0.41,22600.00,0.63,3400.00,0.99,640.00,0.19
34,Exit Long,INTRADAY_BExit,2021-02-03 03:45,431.85,1,1400.00,0.41,22600.00,0.63,3400.00,0.99,640.00,0.19
35,Entry Long,BUY,2021-02-03 04:45,438.50,1,-3120.00,-0.89,19480.00,-1.4,2400.00,0.68,3840.00,1.09
35,Exit Long,SELL,2021-02-03 09:45,434.60,1,-3120.00,-0.89,19480.00,-1.4,2400.00,0.68,3840.00,1.09
36,Entry Short,SELL,2021-02-03 09:45,434.60,1,-1080.00,-0.31,18400.00,-0.49,480.00,0.14,1440.00,0.41
36,Exit Short,INTRADAY_SExit,2021-02-04 03:45,435.95,1,-1080.00,-0.31,18400.00,-0.49,480.00,0.14,1440.00,0.41
37,Entry Short,SELL,2021-02-04 05:45,432.60,1,-1080.00,-0.31,17320.00,-0.49,2000.00,0.58,1080.00,0.31
37,Exit Short,INTRADAY_SExit,2021-02-05 03:45,433.95,1,-1080.00,-0.31,17320.00,-0.49,2000.00,0.58,1080.00,0.31
38,Entry Short,SELL,2021-02-05 05:15,422.15,1,-4600.00,-1.36,12720.00,-2.12,440.00,0.13,4880.00,1.44
38,Exit Short,BUY,2021-02-05 09:45,427.90,1,-4600.00,-1.36,12720.00,-2.12,440.00,0.13,4880.00,1.44
39,Entry Long,BUY,2021-02-05 09:45,427.90,1,1880.00,0.55,14600.00,0.88,1880.00,0.55,400.00,0.12
39,Exit Long,INTRADAY_BExit,2021-02-08 03:45,430.25,1,1880.00,0.55,14600.00,0.88,1880.00,0.55,400.00,0.12
40,Entry Short,SELL,2021-02-08 06:45,428.90,1,-6680.00,-1.95,7920.00,-3.11,0,0,8680.00,2.53
40,Exit Short,BUY,2021-02-08 08:45,437.25,1,-6680.00,-1.95,7920.00,-3.11,0,0,8680.00,2.53
41,Entry Long,BUY,2021-02-08 08:45,437.25,1,2760.00,0.79,10680.00,1.33,2760.00,0.79,1160.00,0.33
41,Exit Long,INTRADAY_BExit,2021-02-09 03:45,440.70,1,2760.00,0.79,10680.00,1.33,2760.00,0.79,1160.00,0.33
42,Entry Long,BUY,2021-02-09 04:45,448.60,1,-1520.00,-0.42,9160.00,-0.72,3800.00,1.06,2240.00,0.62
42,Exit Long,SELL,2021-02-09 06:15,446.70,1,-1520.00,-0.42,9160.00,-0.72,3800.00,1.06,2240.00,0.62
43,Entry Short,SELL,2021-02-09 06:15,446.70,1,3480.00,0.97,12640.00,1.66,8320.00,2.33,440.00,0.12
43,Exit Short,INTRADAY_SExit,2021-02-10 03:45,442.35,1,3480.00,0.97,12640.00,1.66,8320.00,2.33,440.00,0.12
44,Entry Short,SELL,2021-02-10 04:45,441.30,1,3560.00,1.01,16200.00,1.67,4560.00,1.29,280.00,0.08
44,Exit Short,INTRADAY_SExit,2021-02-11 03:45,436.85,1,3560.00,1.01,16200.00,1.67,4560.00,1.29,280.00,0.08
45,Entry Short,SELL,2021-02-11 04:45,438.20,1,-3040.00,-0.87,13160.00,-1.41,2800.00,0.8,3040.00,0.87
45,Exit Short,INTRADAY_SExit,2021-02-12 03:45,442.00,1,-3040.00,-0.87,13160.00,-1.41,2800.00,0.8,3040.00,0.87
46,Entry Short,SELL,2021-02-12 05:45,443.80,1,-1280.00,-0.36,11880.00,-0.6,2160.00,0.61,1280.00,0.36
46,Exit Short,INTRADAY_SExit,2021-02-15 03:45,445.40,1,-1280.00,-0.36,11880.00,-0.6,2160.00,0.61,1280.00,0.36
47,Entry Short,SELL,2021-02-15 05:15,442.60,1,-3240.00,-0.92,8640.00,-1.53,4640.00,1.31,3240.00,0.92
47,Exit Short,INTRADAY_SExit,2021-02-16 03:45,446.65,1,-3240.00,-0.92,8640.00,-1.53,4640.00,1.31,3240.00,0.92
48,Entry Long,BUY,2021-02-16 04:45,442.75,1,-960.00,-0.27,7680.00,-0.46,960.00,0.27,960.00,0.27
48,Exit Long,SELL,2021-02-16 05:15,441.55,1,-960.00,-0.27,7680.00,-0.46,960.00,0.27,960.00,0.27
49,Entry Short,SELL,2021-02-16 05:15,441.55,1,4600.00,1.3,12280.00,2.21,6120.00,1.73,1000.00,0.28
49,Exit Short,INTRADAY_SExit,2021-02-17 03:45,435.80,1,4600.00,1.3,12280.00,2.21,6120.00,1.73,1000.00,0.28
50,Entry Long,BUY,2021-02-17 05:45,434.60,1,-2520.00,-0.72,9760.00,-1.19,0,0,3160.00,0.91
50,Exit Long,SELL,2021-02-17 08:15,431.45,1,-2520.00,-0.72,9760.00,-1.19,0,0,3160.00,0.91
51,Entry Short,SELL,2021-02-17 08:15,431.45,1,360.00,0.1,10120.00,0.17,1480.00,0.43,1000.00,0.29
