Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-01 07:30,206.20,1,3.25,0.32,3.25,0,11.50,1.12,1.00,0.1
1,Exit Short,BUY,2021-02-01 11:15,205.55,1,3.25,0.32,3.25,0,11.50,1.12,1.00,0.1
2,Entry Long,BUY,2021-02-01 11:15,205.55,1,-4.00,-0.39,-0.75,0,5.00,0.49,6.25,0.61
2,Exit Long,SELL,2021-02-01 15:45,204.75,1,-4.00,-0.39,-0.75,0,5.00,0.49,6.25,0.61
3,Entry Short,SELL,2021-02-01 15:45,204.75,1,-3.75,-0.37,-4.50,0,0,0,4.00,0.39
3,Exit Short,BUY,2021-02-01 17:15,205.50,1,-3.75,-0.37,-4.50,0,0,0,4.00,0.39
4,Entry Long,BUY,2021-02-01 17:15,205.50,1,-3.00,-0.29,-7.50,0,0.25,0.02,3.50,0.34
4,Exit Long,INTRADAY_BExit,2021-02-01 17:45,204.90,1,-3.00,-0.29,-7.50,0,0.25,0.02,3.50,0.34
5,Entry Short,SELL,2021-02-02 04:30,204.75,1,-2.50,-0.24,-10.00,0,2.25,0.22,3.50,0.34
5,Exit Short,BUY,2021-02-02 05:45,205.25,1,-2.50,-0.24,-10.00,0,2.25,0.22,3.50,0.34
6,Entry Long,BUY,2021-02-02 05:45,205.25,1,-4.50,-0.44,-14.50,0,0.25,0.02,6.00,0.58
6,Exit Long,SELL,2021-02-02 06:30,204.35,1,-4.50,-0.44,-14.50,0,0.25,0.02,6.00,0.58
7,Entry Short,SELL,2021-02-02 06:30,204.35,1,-2.00,-0.2,-16.50,0,5.25,0.51,3.00,0.29
7,Exit Short,BUY,2021-02-02 09:45,204.75,1,-2.00,-0.2,-16.50,0,5.25,0.51,3.00,0.29
8,Entry Long,BUY,2021-02-02 09:45,204.75,1,6.25,0.61,-10.25,0,7.75,0.76,3.50,0.34
8,Exit Long,INTRADAY_BExit,2021-02-02 17:45,206.00,1,6.25,0.61,-10.25,0,7.75,0.76,3.50,0.34
9,Entry Short,SELL,2021-02-03 04:00,205.15,1,-3.50,-0.34,-13.75,0,2.00,0.19,4.25,0.41
9,Exit Short,BUY,2021-02-03 06:00,205.85,1,-3.50,-0.34,-13.75,0,2.00,0.19,4.25,0.41
10,Entry Long,BUY,2021-02-03 06:00,205.85,1,9.75,0.95,-4.00,0,12.00,1.17,0.50,0.05
10,Exit Long,BUY_TG_HIT,2021-02-03 11:30,207.80,1,9.75,0.95,-4.00,0,12.00,1.17,0.50,0.05
11,Entry Short,SELL,2021-02-03 14:15,207.50,1,-4.75,-0.46,-8.75,0,1.75,0.17,5.75,0.55
