Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-01 09:30,214.80,1,10.75,1,10.75,0,13.00,1.21,1.75,0.16
1,Exit Long,INTRADAY_BExit,2021-01-04 09:15,216.95,1,10.75,1,10.75,0,13.00,1.21,1.75,0.16
2,Entry Short,SELL,2021-01-04 21:00,217.95,1,-3.00,-0.28,7.75,0,2.50,0.23,4.25,0.39
2,Exit Short,BUY,2021-01-04 22:30,218.55,1,-3.00,-0.28,7.75,0,2.50,0.23,4.25,0.39
3,Entry Long,BUY,2021-01-04 22:30,218.55,1,-0.75,-0.07,7.00,0,3.50,0.32,1.25,0.11
3,Exit Long,INTRADAY_BExit,2021-01-04 23:15,218.40,1,-0.75,-0.07,7.00,0,3.50,0.32,1.25,0.11
4,Entry Short,SELL,2021-01-05 13:30,219.35,1,-1.50,-0.14,5.50,0,4.00,0.36,2.25,0.21
4,Exit Short,BUY,2021-01-05 18:00,219.65,1,-1.50,-0.14,5.50,0,4.00,0.36,2.25,0.21
5,Entry Long,BUY,2021-01-05 18:00,219.65,1,5.50,0.5,11.00,0,7.50,0.68,0.25,0.02
5,Exit Long,INTRADAY_BExit,2021-01-05 23:15,220.75,1,5.50,0.5,11.00,0,7.50,0.68,0.25,0.02
6,Entry Short,SELL,2021-01-06 19:45,222.00,1,-1.25,-0.11,9.75,0,6.00,0.54,5.50,0.5
6,Exit Short,BUY,2021-01-06 21:00,222.25,1,-1.25,-0.11,9.75,0,6.00,0.54,5.50,0.5
7,Entry Long,BUY,2021-01-06 21:00,222.25,1,7.75,0.7,17.50,0,8.25,0.74,2.25,0.2
7,Exit Long,INTRADAY_BExit,2021-01-06 23:15,223.80,1,7.75,0.7,17.50,0,8.25,0.74,2.25,0.2
8,Entry Short,SELL,2021-01-07 11:30,225.20,1,-1.25,-0.11,16.25,0,7.00,0.62,3.25,0.29
8,Exit Short,BUY,2021-01-07 19:45,225.45,1,-1.25,-0.11,16.25,0,7.00,0.62,3.25,0.29
9,Entry Long,BUY,2021-01-07 19:45,225.45,1,5.00,0.44,21.25,0,6.75,0.6,0.50,0.04
9,Exit Long,INTRADAY_BExit,2021-01-07 23:15,226.45,1,5.00,0.44,21.25,0,6.75,0.6,0.50,0.04
10,Entry Short,SELL,2021-01-08 09:30,225.80,1,11.25,1,32.50,0,12.25,1.09,1.00,0.09
10,Exit Short,SELL_TG_HIT,2021-01-08 13:45,223.55,1,11.25,1,32.50,0,12.25,1.09,1.00,0.09
11,Entry Long,BUY,2021-01-08 17:30,223.30,1,-2.25,-0.2,30.25,0,2.25,0.2,3.25,0.29
11,Exit Long,SELL,2021-01-08 19:00,222.85,1,-2.25,-0.2,30.25,0,2.25,0.2,3.25,0.29
12,Entry Short,SELL,2021-01-08 19:00,222.85,1,12.25,1.1,42.50,0,13.25,1.19,0.25,0.02
12,Exit Short,SELL_TG_HIT,2021-01-08 21:15,220.40,1,12.25,1.1,42.50,0,13.25,1.19,0.25,0.02
13,Entry Long,BUY,2021-01-11 13:15,220.30,1,-3.75,-0.34,38.75,0,3.25,0.3,5.00,0.45
13,Exit Long,SELL,2021-01-11 14:45,219.55,1,-3.75,-0.34,38.75,0,3.25,0.3,5.00,0.45
14,Entry Short,SELL,2021-01-11 14:45,219.55,1,11.75,1.07,50.50,0,12.25,1.12,1.00,0.09
14,Exit Short,SELL_TG_HIT,2021-01-11 19:45,217.20,1,11.75,1.07,50.50,0,12.25,1.12,1.00,0.09
15,Entry Long,BUY,2021-01-12 09:30,217.75,1,12.75,1.17,63.25,0,13.25,1.22,1.00,0.09
15,Exit Long,BUY_TG_HIT,2021-01-12 15:15,220.30,1,12.75,1.17,63.25,0,13.25,1.22,1.00,0.09
16,Entry Short,SELL,2021-01-12 19:00,218.95,1,0,0,63.25,0,3.50,0.32,3.75,0.34
16,Exit Short,INTRADAY_SExit,2021-01-12 23:15,218.95,1,0,0,63.25,0,3.50,0.32,3.75,0.34
17,Entry Long,BUY,2021-01-13 09:30,220.10,1,-3.00,-0.27,60.25,0,0.75,0.07,4.25,0.39
17,Exit Long,SELL,2021-01-13 11:30,219.50,1,-3.00,-0.27,60.25,0,0.75,0.07,4.25,0.39
18,Entry Short,SELL,2021-01-13 11:30,219.50,1,1.25,0.11,61.50,0,6.50,0.59,2.50,0.23
18,Exit Short,BUY,2021-01-13 19:30,219.25,1,1.25,0.11,61.50,0,6.50,0.59,2.50,0.23
19,Entry Long,BUY,2021-01-13 19:30,219.25,1,-3.00,-0.27,58.50,0,1.75,0.16,5.00,0.46
19,Exit Long,SELL,2021-01-13 20:30,218.65,1,-3.00,-0.27,58.50,0,1.75,0.16,5.00,0.46
20,Entry Short,SELL,2021-01-13 20:30,218.65,1,-0.75,-0.07,57.75,0,1.25,0.11,2.75,0.25
20,Exit Short,INTRADAY_SExit,2021-01-13 23:15,218.80,1,-0.75,-0.07,57.75,0,1.25,0.11,2.75,0.25
21,Entry Long,BUY,2021-01-14 17:15,216.15,1,8.75,0.81,66.50,0,11.25,1.04,3.00,0.28
21,Exit Long,INTRADAY_BExit,2021-01-14 23:15,217.90,1,8.75,0.81,66.50,0,11.25,1.04,3.00,0.28
22,Entry Short,SELL,2021-01-15 11:30,215.95,1,-2.25,-0.21,64.25,0,6.75,0.63,4.75,0.44
22,Exit Short,BUY,2021-01-15 20:30,216.40,1,-2.25,-0.21,64.25,0,6.75,0.63,4.75,0.44
23,Entry Long,BUY,2021-01-15 20:30,216.40,1,-5.50,-0.51,58.75,0,0,0,8.00,0.74
23,Exit Long,SELL,2021-01-15 21:45,215.30,1,-5.50,-0.51,58.75,0,0,0,8.00,0.74
24,Entry Short,SELL,2021-01-15 21:45,215.30,1,3.00,0.28,61.75,0,3.50,0.33,1.50,0.14
24,Exit Short,INTRADAY_SExit,2021-01-15 23:15,214.70,1,3.00,0.28,61.75,0,3.50,0.33,1.50,0.14
25,Entry Long,BUY,2021-01-18 11:30,214.65,1,-3.50,-0.33,58.25,0,2.50,0.23,5.25,0.49
25,Exit Long,SELL,2021-01-18 13:30,213.95,1,-3.50,-0.33,58.25,0,2.50,0.23,5.25,0.49
26,Entry Short,SELL,2021-01-18 13:30,213.95,1,-0.75,-0.07,57.50,0,3.75,0.35,1.50,0.14
26,Exit Short,BUY,2021-01-18 17:00,214.10,1,-0.75,-0.07,57.50,0,3.75,0.35,1.50,0.14
27,Entry Long,BUY,2021-01-18 17:00,214.10,1,-1.50,-0.14,56.00,0,1.75,0.16,4.25,0.4
27,Exit Long,INTRADAY_BExit,2021-01-18 23:15,213.80,1,-1.50,-0.14,56.00,0,1.75,0.16,4.25,0.4
28,Entry Short,SELL,2021-01-19 11:30,214.75,1,-3.50,-0.33,52.50,0,0.75,0.07,3.50,0.33
28,Exit Short,BUY,2021-01-19 16:00,215.45,1,-3.50,-0.33,52.50,0,0.75,0.07,3.50,0.33
29,Entry Long,BUY,2021-01-19 16:00,215.45,1,8.75,0.81,61.25,0,9.25,0.86,0.75,0.07
29,Exit Long,INTRADAY_BExit,2021-01-19 23:15,217.20,1,8.75,0.81,61.25,0,9.25,0.86,0.75,0.07
30,Entry Short,SELL,2021-01-20 10:30,216.15,1,-7.50,-0.69,53.75,0,1.00,0.09,7.75,0.72
